date,open,high,low,close,volume
2014-01-02,46.3983,46.5353,45.6404,45.6618,1782716
2014-01-03,45.5847,45.8159,45.2379,45.3963,1824586
2014-01-06,45.0195,45.1137,44.2402,44.5399,2244802
2014-01-07,44.7797,45.2593,44.7797,45.0281,1480372
2014-01-08,44.6386,45.041,44.3963,44.6646,1867490
2014-01-09,44.6127,44.803,44.2924,44.4309,805996
2014-01-10,44.6473,45.3059,44.5867,45.1059,1329201
2014-01-13,45.0454,45.1059,43.8944,43.9895,1116631
2014-01-14,44.0847,44.4136,43.9117,44.2751,914289
2014-01-15,44.4136,44.9242,44.2059,44.8896,1144260
2014-01-16,44.9329,45.6944,44.7857,45.2098,1989946
2014-01-17,44.9156,44.9502,44.0155,44.1021,1100264
2014-01-21,44.4569,44.7425,43.6783,43.9376,1182701
2014-01-22,44.3617,44.5607,43.7992,44.0328,881268
2014-01-23,43.6953,44.2924,43.3275,44.2146,1282747
2014-01-24,43.8078,44.2319,43.3535,43.3578,1044961
2014-01-27,43.4876,43.8944,43.2453,43.4703,1007711
2014-01-28,43.4703,44.0501,43.3751,43.4097,1122974
2014-01-29,43.1847,43.3491,42.302,42.5529,1701404
2014-01-30,42.8558,43.0116,42.501,42.8385,1473576
2014-01-31,42.4577,43.1501,42.1981,42.7866,1185662
2014-02-03,42.8212,42.9337,40.8913,40.9519,1627484
2014-02-04,41.3673,41.5577,41.0731,41.2894,1530430
2014-02-05,41.0471,41.1768,40.7139,40.9519,1394552
2014-02-06,41.0211,41.7048,41.0125,41.3846,854342
2014-02-07,41.6616,41.8,41.1899,41.7654,962532
2014-02-10,41.6962,42.3452,41.5404,41.8952,1475005
2014-02-11,41.8952,42.5097,41.826,42.2587,1032806
2014-02-12,42.2414,42.5097,41.9125,41.9645,774588
2014-02-13,41.6616,41.9471,41.5491,41.6875,1157081
2014-02-14,41.6702,42.0164,41.5845,41.8693,719050
2014-02-18,42.4751,42.5356,42.0034,42.4145,1639730
2014-02-19,42.2847,42.8818,42.1202,42.3712,1216579
2014-02-20,42.5097,43.825,42.4145,43.704,2182510
2014-02-21,43.7905,44.3444,43.5741,44.1453,2043272
2014-02-24,44.1799,44.3184,43.704,44.1453,1278507
2014-02-25,44.2492,44.353,43.7507,43.7818,1035545
2014-02-26,43.9549,44.1453,43.202,43.2712,2174149
2014-02-27,43.202,43.3232,42.9078,43.0982,2025160
2014-02-28,43.1934,44.2405,42.9597,44.1886,1543037
2014-03-03,42.5616,42.8385,41.601,41.826,3783162
2014-03-04,42.1895,42.1895,41.5317,42.077,2467307
2014-03-05,42.2154,42.2154,41.4539,41.4885,2031324
2014-03-06,41.7221,42.5529,41.6356,42.3279,2361549
2014-03-07,42.527,43.2886,42.3453,43.228,2072817
2014-03-10,43.2366,43.6867,43.0982,43.3405,1302328
