date,open,high,low,close,volume
2014-01-02,57.0276,57.0606,56.0387,56.1541,3374033
2014-01-03,56.1953,56.3684,55.7997,55.9728,2593136
2014-01-06,56.0387,56.2052,55.7585,56.0058,2470039
2014-01-07,56.0634,56.4755,56.0387,56.4425,2772248
2014-01-08,56.3107,56.3684,55.742,55.9151,3882058
2014-01-09,55.9481,56.047,55.5855,55.9316,2379885
2014-01-10,56.1953,57.2749,56.1541,56.5249,4036331
2014-01-13,56.0717,56.2035,55.7008,55.8492,3940070
2014-01-14,55.8904,56.0387,55.6514,55.6844,3291288
2014-01-15,55.5937,55.7667,55.2558,55.3218,3475081
2014-01-16,55.4206,55.6431,55.2558,55.5113,3000137
2014-01-17,55.5195,55.7915,55.3794,55.6844,3302878
2014-01-21,55.9398,56.5167,55.8492,56.459,3029675
2014-01-22,56.4508,56.8381,56.4013,56.5744,2314447
2014-01-23,56.3189,56.6403,56.014,56.4755,2873723
2014-01-24,56.1788,57.1348,56.0387,56.253,4715306
2014-01-27,56.2859,56.8546,56.2612,56.6403,3862114
2014-01-28,56.6568,56.8216,56.426,56.7145,2461014
2014-01-29,56.6073,57.1183,56.4837,56.8546,4437254
2014-01-30,56.9782,57.621,56.9535,57.5963,3444402
2014-01-31,57.1677,58.2473,57.1512,58.1979,4776260
2014-02-03,58.2473,59.1291,57.7611,58.066,5425820
2014-02-04,58.2555,58.2555,57.2419,57.6375,3625579
2014-02-05,57.588,57.588,57.0936,57.3738,2848832
2014-02-06,57.4397,57.7774,57.0112,57.6952,2774005
2014-02-07,57.4232,57.7776,57.1512,57.6787,3820083
2014-02-10,57.5798,58.3792,57.2913,58.2967,3071527
2014-02-11,58.2391,58.9066,58.099,58.7582,2631866
2014-02-12,58.6916,59.0749,58.5333,59.0499,2509699
2014-02-13,58.9499,59.6081,58.8499,59.5165,2270104
2014-02-14,59.304,59.6581,59.0249,59.5331,2940206
2014-02-18,59.7914,60.5497,59.3998,59.5748,4798336
2014-02-19,59.4915,60.3247,58.9249,59.7581,3274558
2014-02-20,59.7914,60.0914,59.5165,59.7748,3482346
2014-02-21,59.6665,60.1747,59.5373,59.5665,2927812
2014-02-24,59.5748,60.0831,59.2332,59.2499,2522504
2014-02-25,59.2332,59.8331,59.1082,59.1832,2616123
2014-02-26,59.2582,59.4333,58.9249,59.0582,3431265
2014-02-27,58.9582,59.2165,58.5333,58.6833,2480878
2014-02-28,58.6583,59.2999,58.6166,59.0582,2931148
2014-03-03,58.8166,59.1999,58.325,58.3667,2508395
2014-03-04,58.7749,58.8083,58.225,58.425,2626711
2014-03-05,58.45,58.9166,58.2833,58.4166,2192808
2014-03-06,58.5333,58.5583,58.0084,58.35,3589593
2014-03-07,58.2417,58.4833,57.8334,58.375,3668793
2014-03-10,58.225,58.3833,57.8195,58.0084,2542782
2014-03-11,58.15,58.2,57.5084,57.8834,2764685
2014-03-12,57.8501,58.6499,57.8334,58.6249,3203405
2014-03-13,58.6499,59.1499,58.55,58.7999,3912497
2014-03-14,58.7333,59.2665,58.6083,58.9082,2939176
2014-03-17,59.1249,59.4582,58.7416,59.2415,3401187
2014-03-18,59.3165,59.3498,58.3083,58.525,4195651
2014-03-19,58.325,58.45,56.8252,57.2501,5175132
2014-03-20,57.1668,57.7084,56.7427,57.6334,4275432
2014-03-21,58.1084,58.3,57.5084,57.5584,4560978
2014-03-24,57.1668,57.8542,57.1668,57.7584,3001518
2014-03-25,57.8334,58.4,57.6834,58.2583,3099713
2014-03-26,58.2833,58.5333,57.8584,57.9084,3294165
2014-03-27,58.0334,58.7083,57.7001,58.6749,3033414
2014-03-28,58.6833,58.7416,58.2583,58.6916,3082994
2014-03-31,58.8832,59.3998,58.7917,59.3415,3099100
2014-04-01,59.4832,59.4832,58.7291,58.8832,2507224
2014-04-02,58.8832,58.8832,58.4166,58.5416,1975951
2014-04-03,58.7333,58.9499,58.4916,58.6999,1674935
2014-04-04,58.8999,59.5415,58.7166,58.7333,2831069
2014-04-07,58.8166,59.7165,58.7166,59.2749,4313750
2014-04-08,59.2082,60.4497,58.7916,60.4164,5126899
2014-04-09,60.3247,60.408,59.269,59.8414,4726031
2014-04-10,59.8914,60.408,59.4998,59.6498,2984836
2014-04-11,59.5998,60.2247,59.454,59.8581,2751967
2014-04-14,60.0331,60.308,59.6831,60.0497,2119596
2014-04-15,60.0414,60.6747,59.9831,60.6663,3372139
2014-04-16,60.8246,61.0246,60.458,61.0163,2591493
2014-04-17,60.7496,61.2662,60.2497,60.4663,2851793
2014-04-21,60.5247,60.883,60.0747,60.3747,1808069
2014-04-22,60.2914,60.7496,59.987,60.6497,2210413
2014-04-23,60.6747,61.3329,60.4747,60.4997,2491583
2014-04-24,60.4913,61.1079,60.1122,60.8746,2121135
2014-04-25,60.8913,61.6995,60.8913,61.6578,2546557
2014-04-28,61.6578,62.3744,61.4495,62.3244,3717598
2014-04-29,62.2744,62.5994,61.9161,62.0994,2617597
2014-04-30,62.1494,62.5411,62.0411,62.0661,3001710
2014-05-01,62.1578,62.3078,61.4246,62.1411,2267572
2014-05-02,61.8661,61.8661,60.3914,60.708,4505070
2014-05-05,60.708,61.3246,60.6252,61.2579,2776844
2014-05-06,61.0413,61.2912,60.708,60.883,2847151
2014-05-07,60.9246,61.5787,60.7496,61.5079,2520169
2014-05-08,61.4662,61.4662,60.483,60.6913,3008560
2014-05-09,60.6747,60.8546,59.8581,59.9748,3813710
2014-05-12,60.1664,60.2747,59.6268,59.7914,3618120
2014-05-13,60.0081,60.1747,59.6196,59.7581,3119954
2014-05-14,59.9266,60.4194,59.6823,60.0361,2578570
2014-05-15,60.1541,60.8195,60.0791,60.1288,2668074
2014-05-16,60.0782,60.331,59.8592,60.1035,2023326
2014-05-19,60.022,60.1231,58.9186,59.2134,3490365
2014-05-20,59.2948,59.6402,58.7389,59.0421,2656158
2014-05-21,59.1769,59.2948,58.781,58.9073,1885302
2014-05-22,58.9747,59.5054,58.9747,59.4296,1834726
2014-05-23,59.3454,59.7498,59.1643,59.2022,1523880
2014-05-27,59.8592,60.0277,59.3285,59.3538,2299123
2014-05-28,59.3706,59.7413,59.3454,59.6065,2230137
2014-05-29,59.7244,59.7918,59.278,59.7497,1817717
2014-05-30,59.5897,59.9013,59.3117,59.8761,2530741
2014-06-02,59.7666,59.935,59.4802,59.6823,1920170
2014-06-03,59.6655,59.7244,59.1938,59.556,2420394
2014-06-04,59.4717,59.8424,59.313,59.8171,1998230
2014-06-05,59.6992,60.5247,59.6318,60.4236,2472924
2014-06-06,60.4068,60.6047,60.0193,60.0951,2145214
2014-06-09,59.9182,60.0277,59.4717,59.6907,2299557
2014-06-10,59.556,59.8424,59.3201,59.3959,2362735
2014-06-11,59.2948,59.4633,58.6209,58.6546,3554364
