date,open,high,low,close,volume
2017-09-01,65.5683,66.1978,64.5847,66.0798,7341133
2017-09-05,65.9224,66.07,63.9158,63.9158,10832692
2017-09-06,64.1322,64.2601,62.9617,63.8076,10345913
2017-09-07,63.542,63.8863,63.1683,63.6207,6382521
2017-09-08,63.8371,64.1322,63.5814,63.788,8099999
2017-09-11,64.1814,66.0601,64.1322,65.7552,11567033
2017-09-12,67.0831,68.1159,66.6903,67.3979,14631020
2017-09-13,67.7716,68.4602,67.1716,68.3618,9223585
2017-09-14,68.4602,69.1487,68.0864,68.8733,12264841
2017-09-15,69.1094,69.5422,68.3618,68.7159,32382148
2017-09-18,68.8536,69.2176,68.4798,68.6274,7193708
2017-09-19,68.8733,68.9618,68.4995,68.9028,6713280
2017-09-20,69.129,69.3454,68.5193,69.2569,6812432
2017-09-21,69.2569,69.3454,68.952,69.1684,4450285
2017-09-22,68.9913,69.0798,68.5389,68.8143,4078750
2017-09-25,68.9225,69.2274,68.0766,69.188,6419196
2017-09-26,69.1094,69.3215,68.1946,68.2143,5244251
2017-09-27,68.3815,68.3815,67.1519,67.6733,7044021
2017-09-28,67.3192,67.9388,66.6601,67.929,7885679
2017-09-29,67.87,68.2733,67.447,68.0962,5746573
2017-10-02,68.2634,69.2667,68.0175,69.2667,6044629
2017-10-03,69.2569,69.4635,68.7554,69.2077,6796348
2017-10-04,69.4241,69.7487,69.2864,69.2962,5999448
2017-10-05,69.6602,69.8372,69.0897,69.8077,5481589
2017-10-06,69.6405,70.0635,69.4635,70.0536,4247331
2017-10-09,70.034,70.7028,69.8372,70.5061,5278932
2017-10-10,70.3881,70.575,69.9946,70.3979,4829699
2017-10-11,70.329,70.4569,69.7585,70.4471,5091115
2017-10-12,70.329,70.4569,70.0438,70.2307,4464655
2017-10-13,70.3586,70.5258,69.9848,70.2602,5136216
2017-10-16,70.6241,70.634,69.6503,69.7684,4336975
2017-10-17,69.6405,69.7733,69.3749,69.7192,5606700
2017-10-18,69.6995,69.8077,69.4044,69.6208,4755382
2017-10-19,69.493,69.911,69.1389,69.729,6006408
2017-10-20,70.034,70.2209,69.8372,70.0143,7374262
2017-10-23,70.7717,70.9977,70.2307,70.3782,11205340
2017-10-24,70.6635,70.9389,70.4372,70.6832,10364834
2017-10-25,70.6832,70.9192,69.7684,69.9553,6559212
2017-10-26,71.1455,72.6406,70.8504,71.8537,16846954
2017-10-27,71.8045,71.9028,71.0471,71.352,8587317
2017-10-30,71.1356,71.4209,70.3486,70.5061,5860821
2017-10-31,70.7323,71.2782,70.4274,71.1258,6007601
2017-11-01,71.9127,72.375,71.1356,72.1192,7968525
2017-11-02,70.8405,72.0012,70.3881,70.8602,10314302
2017-11-03,70.9094,71.0864,69.6995,69.9946,8619088
2017-11-06,70.2307,70.5553,68.9815,69.0897,9270953
2017-11-07,69.729,69.9848,69.1684,69.9749,6719034
2017-11-08,70.1422,70.329,69.552,69.6503,6091437
2017-11-09,69.3454,69.3848,68.8635,69.0798,4529926
2017-11-10,69.0798,69.3356,68.5979,68.8241,7127142
2017-11-13,70.2456,70.2654,69.2467,69.3555,6865130
2017-11-14,69.0292,69.1577,67.5803,67.8127,8133045
2017-11-15,67.4666,68.3765,67.2441,68.2083,14901145
2017-11-16,68.594,69.9885,68.3072,69.8994,9595780
2017-11-17,69.8698,70.4236,69.7214,69.9588,8784131
2017-11-20,69.8797,70.4829,69.761,70.0676,5600160
2017-11-21,70.6115,70.9824,70.3148,70.473,8091913
2017-11-22,70.562,70.5917,69.8203,69.8203,6403981
2017-11-24,69.8203,70.6016,69.7511,70.3741,2636225
2017-11-27,70.2456,70.2654,69.2467,69.3555,6865430
2017-11-28,69.5236,70.4137,69.3555,70.3049,8536608
