date,open,high,low,close,volume
2017-04-03,68.6021,71.0861,67.0583,67.2463,34496800
2017-04-04,67.8698,69.8936,67.4047,68.6813,6992294
2017-04-05,69.2454,71.8877,68.8891,71.0465,5244219
2017-04-06,71.9669,74.3124,71.7987,73.9066,9425095
2017-04-07,73.6295,75.4505,73.6196,75.0843,3981631
2017-04-10,75.114,75.3713,73.0753,73.9363,3184751
2017-04-11,73.3425,74.4014,72.7784,73.5108,2928972
2017-04-12,73.2732,75.9552,73.2337,75.3416,3587192
2017-04-13,74.9062,76.5391,74.7379,75.7177,2960952
2017-04-17,76.0047,77.1823,76.0047,76.2026,2065550
2017-04-18,75.9057,76.0442,73.9957,74.6093,3131160
2017-04-19,75.3713,75.3713,73.9264,74.4707,3219498
2017-04-20,74.7379,74.9952,74.1045,74.7082,2624505
2017-04-21,74.9358,75.7276,74.2332,75.5296,2727860
2017-04-24,76.1729,76.2323,74.6488,74.9062,2156462
2017-04-25,74.6291,75.6286,74.3124,75.3416,2329355
2017-04-26,75.5395,75.9552,74.8666,75.3515,1566573
2017-04-27,75.5395,75.6781,74.5697,75.0942,1185210
2017-04-28,75.0942,75.0942,74.1837,74.5598,2007802
2017-05-01,74.5994,76.0047,74.1738,75.6088,2962259
2017-05-02,75.6385,77.123,75.4604,76.1828,2209133
2017-05-03,76.0442,77.786,75.5395,76.4698,3073638
2017-05-04,77.0735,77.499,76.7172,76.7568,2271897
2017-05-05,76.9844,77.6673,76.2521,77.5782,1005264
2017-05-08,77.3308,77.6178,76.7073,77.598,1162570
2017-05-09,79.1022,79.2012,78.0235,78.1819,3522470
2017-05-10,78.2413,79.033,78.2413,78.7856,2693431
2017-05-11,78.3996,78.6965,78.1522,78.5975,1775586
2017-05-12,78.6272,78.8054,78.3006,78.7955,1044019
2017-05-15,78.8153,79.7653,78.8153,79.696,1858039
2017-05-16,79.8544,79.9929,79.4585,79.7554,1717816
2017-05-17,79.2012,79.3497,77.7019,77.9642,2145461
2017-05-18,77.885,78.073,76.9349,77.311,3752918
2017-05-19,77.2714,78.2116,77.1329,77.2615,1731802
2017-05-22,77.2912,77.7662,76.8361,77.6673,1527982
2017-05-23,77.6376,78.0631,77.3407,77.4594,1091391
2017-05-24,77.7365,77.9107,76.5984,77.1428,1178954
2017-05-25,77.7266,78.7262,77.212,77.8256,1700205
2017-05-26,78.6866,79.4981,76.3708,77.8454,2372728
2017-05-30,77.2912,77.786,76.4698,77.5287,1997347
2017-05-31,77.4199,77.8256,76.5213,76.7172,2395551
2017-06-01,76.4995,77.0141,75.9651,76.3411,1719613
2017-06-02,76.2026,77.4297,75.4999,76.7865,2123220
2017-06-05,76.549,77.2912,76.1729,76.9448,1675887
2017-06-06,76.7172,77.1823,76.0442,76.0739,2007454
2017-06-07,76.0838,76.45,75.5791,75.975,1140513
2017-06-08,76.0047,76.0947,74.9754,75.3614,1493799
2017-06-09,75.292,75.778,73.7147,74.4984,2288499
2017-06-12,74.1313,75.3416,73.3477,74.9448,2434200
2017-06-13,74.8158,75.3515,74.3,75.3217,2087220
2017-06-14,75.3912,75.5797,74.0619,74.1909,1194670
2017-06-15,73.4667,73.9726,73.1592,73.5064,1710796
2017-06-16,73.0402,74.3793,72.9211,74.2405,2555736
2017-06-19,74.3992,76.2542,74.3,76.0955,1683401
2017-06-20,75.7979,75.9268,75.0688,75.3118,1499980
2017-06-21,75.3912,76.3732,75.1829,75.8078,2000389
2017-06-22,75.9268,76.3832,75.5122,76.1054,1044465
2017-06-23,75.659,77.8414,75.4507,77.8315,10491712
2017-06-26,77.4247,78.6747,77.2363,78.2183,2848008
2017-06-27,77.9108,78.6151,76.8792,76.899,2011750
