date,open,high,low,close,volume
2014-01-02,98.6124,99.4121,98.4505,98.8123,814936
2014-01-03,99.1074,99.2789,98.8028,98.9361,554472
2014-01-06,96.5465,97.7555,96.3656,97.3747,1657481
2014-01-07,97.5651,98.8599,97.4414,98.3744,1001663
2014-01-08,98.203,99.4978,97.8793,99.1455,1208221
2014-01-09,99.9643,100.0404,98.9075,99.9643,1092643
2014-01-10,100.6783,100.9163,99.9072,100.3356,859130
2014-01-13,99.8786,100.2309,97.965,98.1554,979361
2014-01-14,98.3553,99.3645,97.6984,99.3264,1146602
2014-01-15,99.2693,99.4597,98.1649,98.6505,1080024
2014-01-16,98.679,99.6311,98.6505,99.4407,793868
2014-01-17,99.6311,99.6692,98.9456,99.155,884134
2014-01-21,99.5359,99.6606,97.9174,98.917,875257
2014-01-22,99.2502,99.2502,98.441,98.7171,814185
2014-01-23,97.8507,98.0602,96.5941,97.051,1180640
2014-01-24,96.2799,96.5369,94.5186,94.5853,1974110
2014-01-27,94.5472,94.6709,93.2429,94.0235,1255751
2014-01-28,94.252,95.2707,94.252,95.0613,936690
2014-01-29,94.5948,96.0038,94.49,95.423,2023265
2014-01-30,95.88,96.7273,95.2993,95.9943,1238663
2014-01-31,94.69,96.1752,94.471,95.7182,1154000
2014-02-03,95.4802,96.4132,93.1762,93.3286,1580065
2014-02-04,94.2044,94.3377,93.1991,93.9664,1280099
2014-02-05,93.6618,94.5948,92.9668,94.4044,943836
2014-02-06,94.3377,95.147,93.7855,95.0994,1117212
2014-02-07,95.5754,95.8324,95.0232,95.3278,1373275
2014-02-10,95.1565,96.0133,94.3758,95.7943,1040718
2014-02-11,95.7943,96.8035,95.4897,96.5465,943372
2014-02-12,96.4893,96.8797,96.1847,96.2894,788740
2014-02-13,95.8515,97.8412,95.7277,97.3938,743717
2014-02-14,97.7746,98.3268,97.232,98.203,584159
2014-02-18,98.4315,98.7171,98.0697,98.1364,762077
2014-02-19,98.0888,99.155,97.051,97.0796,927094
2014-02-20,97.1653,97.2795,96.1656,96.9844,1523715
2014-02-21,97.3938,99.9643,96.4893,97.289,1998381
2014-02-24,97.0034,97.7936,96.4893,97.4795,1339599
2014-02-25,97.2414,100.0024,97.2414,99.5644,1576128
2014-02-26,99.7834,101.0972,99.5644,100.3737,1201620
2014-02-27,99.9643,101.6589,99.8405,101.5351,953571
2014-02-28,101.4971,103.0108,101.3638,102.5824,1331542
