date,open,high,low,close,volume
2014-01-02,65.274,65.558,64.564,64.8006,336346
2014-01-03,64.9048,65.4444,64.8953,65.2266,314813
2014-01-06,65.2266,65.2834,64.5545,64.6208,284818
2014-01-07,65.2077,65.2172,64.6776,65.0657,320861
2014-01-08,64.8858,65.2077,64.2894,65.0752,445776
2014-01-09,65.1793,65.3686,64.545,65.0941,313662
2014-01-10,65.2834,65.3213,64.6586,65.132,249416
2014-01-13,64.5829,65.0562,63.7498,63.8539,466309
2014-01-14,64.0527,64.5545,63.3995,64.5072,439644
2014-01-15,64.6492,65.5106,64.6492,65.4254,547562
2014-01-16,64.3273,65.4917,64.2705,65.4349,785187
2014-01-17,65.7662,67.5271,65.4349,66.9591,1091313
2014-01-21,67.1957,67.4229,65.7946,66.5236,841083
2014-01-22,66.7413,67.8016,66.5946,67.6407,698329
2014-01-23,66.8644,66.9685,66.0692,66.5331,430785
2014-01-24,66.2396,66.6656,65.842,66.0503,839602
2014-01-27,66.0124,66.2207,65.274,65.3308,921157
2014-01-28,65.3118,65.6432,64.9805,65.1982,625478
2014-01-29,64.5545,65.2456,64.4693,64.7722,434759
2014-01-30,65.1509,67.0537,64.9048,66.9685,742738
2014-01-31,65.8514,67.0632,65.7189,66.3248,763572
2014-02-03,66.2775,66.4668,64.1853,64.4882,793279
2014-02-04,64.6776,65.9934,64.261,65.6621,817078
2014-02-05,65.4254,65.7378,64.3652,64.4882,1017788
2014-02-06,64.6018,66.5709,64.4172,66.4952,611463
2014-02-07,66.7413,67.4324,66.5048,67.1673,693793
2014-02-10,67.0253,67.4797,66.8218,67.3661,620043
2014-02-11,67.3851,67.7827,66.978,67.4324,680057
2014-02-12,67.5649,67.8868,67.262,67.5744,658686
2014-02-13,67.1484,68.0951,66.8123,68.0004,652604
2014-02-14,66.0219,67.5934,65.0184,66.0787,1452564
2014-02-18,65.2834,66.1923,64.9426,66.0597,1040114
2014-02-19,65.7852,66.8691,65.681,66.2301,903349
2014-02-20,64.8196,66.3721,64.8196,66.0219,834971
2014-02-21,65.5088,66.0029,64.7677,65.4518,1308072
2014-02-24,65.5943,66.7534,65.467,66.3449,539587
2014-02-25,66.3734,66.5824,65.7701,66.0504,456906
2014-02-26,66.2689,67.029,66.2689,66.3544,807896
2014-02-27,66.3259,66.7914,66.2689,66.5254,529702
2014-02-28,66.6394,66.7867,66.2594,66.5634,631290
2014-03-03,66.1929,66.4038,65.6846,66.0884,348296
2014-03-04,66.6679,67.257,66.4779,67.143,643412
2014-03-05,67.1525,67.162,66.3069,66.4019,338145
2014-03-06,66.6869,66.915,66.2784,66.877,354128
2014-03-07,67.105,67.6275,66.6394,67.2285,787853
2014-03-10,67.219,67.694,66.7629,67.694,621178
2014-03-11,67.7415,68.2261,67.2855,67.694,661379
2014-03-12,67.2,68.4066,67.1905,68.3686,603579
2014-03-13,68.4066,69.0242,68.0171,68.0931,940191
2014-03-14,67.903,68.2166,67.3853,67.485,574343
2014-03-17,67.7225,68.3686,67.58,67.9696,558669
2014-03-18,68.0836,69.2142,68.0266,69.1762,489885
2014-03-19,69.0812,69.2617,67.58,67.9886,460926
2014-03-20,67.9316,68.4066,67.6275,68.4066,379147
2014-03-21,68.9006,68.9672,67.6085,67.6655,827849
2014-03-24,67.751,67.903,66.6679,67.048,558307
2014-03-25,67.3045,67.3805,66.3449,66.5634,648623
2014-03-26,66.9245,67.0765,65.7178,65.7273,487326
2014-03-27,65.8319,65.8319,65.0623,65.2428,547058
2014-03-28,65.4138,65.9079,64.6632,64.7867,796942
2014-03-31,65.2998,65.3948,64.5302,64.6347,1592329
2014-04-01,64.8153,66.3615,64.8153,66.2499,1085356
2014-04-02,66.3924,66.6869,65.9174,65.9364,452287
2014-04-03,66.1644,66.1644,65.3758,65.6798,560982
