date,open,high,low,close,volume
2014-01-02,70.83,70.9339,69.4793,69.621,1084018
2014-01-03,69.6304,70.2349,69.5171,69.5643,802475
2014-01-06,70.5938,70.7129,69.7721,69.9705,1275407
2014-01-07,70.1877,70.6033,69.3754,69.791,1111652
2014-01-08,69.791,69.7957,68.8843,69.0259,1447044
2014-01-09,69.4415,69.8571,69.0543,69.366,1145312
2014-01-10,69.6588,70.0649,69.4982,69.9421,1517195
2014-01-13,70.8205,70.9575,69.6777,69.7438,2541132
2014-01-14,69.8855,69.9421,68.9976,69.6493,1570553
2014-01-15,69.791,69.8382,68.0058,68.8276,2034910
2014-01-16,68.582,68.8275,68.0814,68.1853,2140176
2014-01-17,67.7225,68.6765,67.6375,68.5442,1516737
2014-01-21,69.1298,69.8855,67.9775,68.1759,1969059
2014-01-22,68.3742,68.667,67.8169,68.1286,1162087
2014-01-23,67.5619,67.6186,66.4096,66.5607,2260826
2014-01-24,66.4096,66.5607,64.9456,64.9739,2495715
2014-01-27,64.9267,65.2856,63.831,64.7567,3306401
2014-01-28,65.0873,66.5135,64.8889,65.9751,2558973
2014-01-29,65.7673,65.7957,64.3883,64.7378,2070204
2014-01-30,65.2289,65.5312,64.4261,65.125,2451127
2014-01-31,64.105,65.4178,63.8405,64.9267,1908506
2014-02-03,65.0495,65.2384,64.105,64.4922,3015182
2014-02-04,65.0495,65.8996,64.8889,65.3517,2484944
2014-02-05,65.6917,65.6917,60.1002,61.7342,8099594
2014-02-06,63.3493,63.4721,62.5559,63.0943,5131292
2014-02-07,62.8204,63.2077,62.1403,62.811,3649785
2014-02-10,62.811,63.1888,62.4615,62.7071,6061043
2014-02-11,62.6032,63.4154,62.4331,63.0754,3685421
2014-02-12,63.5288,63.7271,62.7826,63.1699,3256621
2014-02-13,62.9999,63.8877,62.7921,63.7933,2961479
2014-02-14,63.6988,64.4922,63.6799,64.2089,2638542
2014-02-18,64.2277,64.5867,63.8216,64.3033,1736978
2014-02-19,63.9444,64.445,63.6232,63.6516,1881489
2014-02-20,63.8688,64.3222,63.661,64.0955,1871408
2014-02-21,64.0861,64.6953,63.8405,63.8972,1397369
2014-02-24,63.8594,64.6811,63.746,64.1333,1373287
2014-02-25,64.2939,64.36,63.4249,63.7366,3766108
2014-02-26,64.665,65.1008,64.2861,64.3997,2472324
2014-02-27,63.9734,64.4282,63.8029,64.0397,1995158
2014-02-28,64.2482,65.8397,64.1629,65.2144,3054511
2014-03-03,64.8545,65.1197,64.4755,64.9492,1632810
2014-03-04,66.0291,66.9007,65.4513,66.0576,1615968
2014-03-05,65.8681,65.9344,65.366,65.6218,3041407
2014-03-06,65.6407,65.9136,65.3518,65.4039,1275522
2014-03-07,65.7544,66.5501,65.5081,66.3323,1901194
2014-03-10,66.1239,66.5028,65.7828,66.5028,1464364
2014-03-11,66.5028,66.7539,66.0102,66.4176,2205842
2014-03-12,65.9534,66.6639,65.9344,66.5028,1680565
2014-03-13,66.5597,66.7302,65.9155,66.1049,2149696
