date,open,high,low,close,volume
2014-01-02,72.8716,73.0712,72.4814,72.8444,1612922
2014-01-03,73.0077,73.4387,72.6992,72.7446,941715
2014-01-06,73.2799,73.4433,71.8826,72.3726,1291201
2014-01-07,72.3544,72.5631,71.8826,72.0913,1442675
2014-01-08,71.8009,72.1185,70.9208,71.8644,1776619
2014-01-09,72.1276,72.5813,71.6376,71.9552,1054621
2014-01-10,72.5087,72.9805,71.9279,72.0731,973109
2014-01-13,71.7828,72.1956,70.7665,70.9298,1070462
2014-01-14,71.0659,72.1639,71.0659,71.9461,1080773
2014-01-15,72.0096,72.7537,71.9733,72.4179,1381868
2014-01-16,72.3453,72.8535,72.1003,72.4361,813842
2014-01-17,72.2728,72.9442,71.8644,72.4814,1023962
2014-01-21,73.1801,73.7246,72.1185,72.2637,2314842
2014-01-22,72.2728,72.3635,70.0315,70.6395,3149352
2014-01-23,69.8863,69.8863,67.8992,69.1423,3160109
2014-01-24,68.3619,68.7975,67.6179,67.7177,2958341
2014-01-27,67.7812,68.2077,66.2388,67.4909,2386821
2014-01-28,67.5998,68.6251,67.4183,68.2531,1986474
2014-01-29,67.9718,69.0243,67.5907,67.7722,1933343
2014-01-30,68.117,69.1604,67.7092,68.9336,2259856
2014-01-31,70.0497,72.3726,69.1877,70.7393,3489190
2014-02-03,70.8754,71.2746,68.988,69.0606,2073415
2014-02-04,69.4871,70.2039,68.6251,69.8682,1762910
2014-02-05,69.6958,70.8572,68.9971,70.6122,2165193
2014-02-06,70.6485,71.4008,70.3945,70.8845,1609233
2014-02-07,71.2746,71.9552,70.9662,71.8281,1476285
2014-02-10,71.7465,72.8898,71.6467,72.7355,1599310
2014-02-11,72.5903,73.035,72.1457,72.4179,1719916
2014-02-12,72.4996,74.2871,72.4542,74.0875,1730791
2014-02-13,73.7881,75.4032,73.4977,74.8406,1845924
2014-02-14,74.5866,75.3125,73.9423,75.1673,864629
2014-02-18,75.4486,75.4577,74.6818,75.1491,1170343
2014-02-19,75.1582,75.6573,74.3597,74.4505,1583768
2014-02-20,74.4868,75.1854,73.4977,75.1401,1280270
2014-02-21,76.1291,76.8459,75.6573,76.5284,1984766
2014-02-24,76.4195,77.227,76.0928,76.3015,1708220
2014-02-25,76.2471,78.1616,76.1926,77.835,2352429
2014-02-26,77.8168,78.4883,77.4085,77.9439,1775393
2014-02-27,77.6717,78.7877,77.6717,78.7696,1816488
2014-02-28,78.9874,79.9764,78.6516,79.3322,1746621
2014-03-03,78.5246,79.7405,78.3703,79.0872,1676121
2014-03-04,80.049,80.1034,79.3866,79.432,1499283
2014-03-05,79.4773,79.6588,78.8513,79.2414,1276818
2014-03-06,79.6588,80.666,79.5772,79.8221,1312611
2014-03-07,80.0218,80.1307,78.942,79.432,1434587
2014-03-10,79.2777,79.8902,78.4066,79.2324,1505646
2014-03-11,79.4501,79.4501,78.2887,78.4792,1959108
2014-03-12,78.1057,78.3517,77.4452,77.8142,1957638
2014-03-13,78.0055,78.5157,76.5478,76.9395,1864370
2014-03-14,76.9122,77.6228,76.1287,76.2562,1784514
2014-03-17,76.9031,77.4406,76.4585,77.0489,1170970
