date,open,high,low,close,volume
2014-01-02,60.3718,60.5447,59.7412,59.9136,1803110
2014-01-03,60.1902,60.4323,59.8617,59.9741,1634150
2014-01-06,60.3286,60.415,59.3516,59.5245,2492072
2014-01-07,59.6628,59.7666,59.1787,59.5677,3025885
2014-01-08,59.5332,59.6456,59.0058,59.2652,2755910
2014-01-09,59.5591,60.294,58.8026,59.0231,3431591
2014-01-10,59.2479,59.5764,58.7205,59.2652,3569717
2014-01-13,59.1528,59.9006,58.7291,58.8329,3519592
2014-01-14,59.1009,59.853,58.8847,59.8358,2780776
2014-01-15,59.8617,60.5101,59.8271,60.3286,2088225
2014-01-16,60.2594,60.7695,60.1211,60.4755,2068720
2014-01-17,60.2853,60.536,59.6196,59.7579,3596547
2014-01-21,59.9741,60.4323,59.7839,60.1297,2359846
2014-01-22,60.1643,60.1989,59.2306,59.6196,2954025
2014-01-23,59.1701,59.2133,58.0202,58.2277,4377122
2014-01-24,57.5274,57.7781,56.4164,56.4208,5543282
2014-01-27,56.3775,57.1038,55.8934,56.6456,4461529
2014-01-28,56.8098,57.4237,56.7407,57.3545,3777526
2014-01-29,56.8098,57.3113,56.6456,56.7752,3673788
2014-01-30,57.1643,57.6917,56.8271,57.562,2806084
2014-01-31,56.5418,57.4453,56.4726,57.0087,2577201
2014-02-03,56.9395,57.3199,55.4871,55.5476,4708135
2014-02-04,54.9164,56.196,53.8185,55.3833,5501253
2014-02-05,55.1412,55.4311,54.7141,55.1239,3943580
2014-02-06,55.1412,55.6859,55.098,55.2796,3110882
2014-02-07,55.66,56.4164,55.5389,56.3603,2616483
2014-02-10,56.1355,56.196,55.7464,56.1873,2613130
2014-02-11,56.2565,56.4467,55.7983,56.1528,3255344
2014-02-12,56.379,56.9099,56.2659,56.6662,3475526
2014-02-13,56.1875,56.3181,55.6567,56.1701,4202715
2014-02-14,56.0396,56.5444,55.7002,56.144,4436082
2014-02-18,56.0831,56.1875,55.4913,55.5261,4956040
2014-02-19,55.3607,55.9265,54.9865,55.0648,3890866
2014-02-20,55.1693,55.7872,54.8647,55.3172,3369647
2014-02-21,55.4391,55.8307,55.1954,55.1954,2969856
2014-02-24,55.3694,56.4747,55.3694,55.9787,3556068
2014-02-25,55.9961,56.4941,55.7524,56.1788,3017729
2014-02-26,56.3529,57.2667,56.205,56.7707,4014798
2014-02-27,56.762,57.2102,56.5357,56.7881,3091874
2014-02-28,56.8925,57.3625,56.5217,56.7968,3393814
2014-03-03,56.3964,56.3964,55.6567,56.0048,2641248
2014-03-04,56.9534,57.0753,56.3877,56.6749,3201212
2014-03-05,56.6749,56.8316,56.5313,56.6227,2234706
2014-03-06,56.6662,56.9708,56.5705,56.614,2462504
2014-03-07,56.8751,57.3364,56.8324,57.0927,3200699
2014-03-10,57.2058,57.2058,56.3703,56.5096,3092549
2014-03-11,56.6923,56.849,55.822,56.057,2030199
2014-03-12,55.7263,55.7959,55.4391,55.7002,3032301
2014-03-13,56.0918,56.2485,54.6297,54.8473,4547294
2014-03-14,54.7428,54.9169,54.3252,54.4469,4438511
2014-03-17,54.8124,55.5609,54.8124,55.4043,3165736
2014-03-18,55.5609,55.8439,55.4652,55.587,2624912
2014-03-19,55.7176,55.8742,54.943,55.3782,4126726
2014-03-20,55.2824,55.4913,54.9865,55.3433,2806917
2014-03-21,56.4399,57.4582,56.1092,56.8751,7957105
2014-03-24,56.9534,57.3103,56.5096,56.9099,4184003
