date,open,high,low,close,volume
2014-01-02,125.972,131.0805,125.972,129.9788,725431
2014-01-03,130.2187,131.658,129.8989,131.658,480537
2014-01-06,131.4892,132.9018,130.3609,132.351,465997
2014-01-07,132.7863,133.8702,131.7824,133.5237,436472
2014-01-08,133.5059,134.1545,132.3598,132.653,356323
2014-01-09,132.6086,133.1683,130.7518,132.7685,328568
2014-01-10,133.0617,134.27,133.0617,134.2078,269996
2014-01-13,133.9679,135.3095,133.7369,134.4832,673879
2014-01-14,135.0429,135.6204,134.1123,135.5582,394118
2014-01-15,135.9225,136.7043,135.2295,135.8603,260108
2014-01-16,135.4516,136.9087,135.4516,136.5977,449118
2014-01-17,136.6332,137.2818,135.7751,136.1179,271906
2014-01-21,137.1574,137.7527,136.3667,137.2196,331090
2014-01-22,137.5661,138.4012,137.2107,137.8415,389661
2014-01-23,137.3973,138.4279,136.9175,137.3884,392366
2014-01-24,136.5266,136.8287,135.2739,135.5582,256665
2014-01-27,135.7626,136.4022,134.2966,134.5809,346824
2014-01-28,134.6698,136.7709,134.6698,136.038,439704
2014-01-29,135.1851,136.4022,135.0429,135.8781,518776
2014-01-30,137.4861,139.2453,133.9857,138.9254,507243
2014-01-31,138.1702,141.5108,137.9748,140.7023,702996
2014-02-03,140.1692,140.1692,137.9926,139.1209,707057
2014-02-04,139.6539,141.9639,138.499,141.6263,887448
2014-02-05,141.7773,144.1139,141.4308,143.1899,654604
2014-02-06,144.1139,145.7575,143.2877,145.3488,694961
2014-02-07,145.6065,147.4811,145.2955,146.9391,614864
2014-02-10,146.6282,148.4051,146.2106,148.183,461951
2014-02-11,147.8187,150.2353,147.3012,148.6627,409348
2014-02-12,148.7782,149.3202,147.9342,148.0852,312878
2014-02-13,147.8987,150.1375,147.259,147.9964,554858
2014-02-14,147.6321,148.6894,147.3567,147.6499,270285
2014-02-18,147.7921,148.2363,146.335,147.9609,439504
2014-02-19,146.3705,149.1336,146.3705,147.1879,530713
2014-02-20,147.4456,148.4495,145.626,145.8997,288612
2014-02-21,145.9086,147.7032,145.1889,147.2235,295977
2014-02-24,147.3301,148.8404,146.7082,147.8187,432128
2014-02-25,147.4544,148.9381,146.9391,148.2896,201074
2014-02-26,149.0181,149.1958,147.3923,147.8098,331179
2014-02-27,147.9431,148.3873,146.0774,146.6726,436384
2014-02-28,146.6282,148.8226,146.5571,148.5916,757571
2014-03-03,148.2985,150.2219,147.5433,149.7555,402743
2014-03-04,150.8927,152.6607,149.7289,152.6341,483760
2014-03-05,151.6479,153.7091,149.6933,151.5235,859219
2014-03-06,151.4702,152.2343,149.5689,150.4218,358452
2014-03-07,150.1464,150.1464,147.8454,149.3557,425955
2014-03-10,149.258,149.3024,147.49,147.9342,251101
2014-03-11,148.2896,149.178,147.7032,148.4317,206786
2014-03-12,147.6173,148.718,147.1349,147.9842,320718
2014-03-13,147.9842,148.0379,145.729,145.7916,387046
2014-03-14,146.0691,148.4585,144.9325,147.5904,290438
2014-03-17,148.6196,149.1565,147.0982,147.7247,159477
