date,open,high,low,close,volume
2014-01-02,65.3083,65.5239,64.8255,65.0928,3774166
2014-01-03,65.1445,65.6101,64.9979,65.2825,1936371
2014-01-06,65.6963,65.9205,64.8255,64.9979,2077233
2014-01-07,65.0496,65.5153,64.7651,65.1359,1940949
2014-01-08,65.1704,65.1704,64.6271,64.9117,2330001
2014-01-09,65.3083,65.7136,64.6746,65.1445,2436609
2014-01-10,65.248,65.8981,64.9807,65.8084,2360597
2014-01-13,64.7306,65.1617,63.4372,63.8683,6969354
2014-01-14,63.9546,65.2738,63.7131,65.2738,3925242
2014-01-15,65.4204,66.024,65.2221,65.9119,2637547
2014-01-16,65.7653,66.4983,65.7136,65.9981,2381617
2014-01-17,66.0757,66.5284,65.7998,66.2654,3159795
2014-01-21,66.9466,67.4209,66.5069,66.9725,3205390
2014-01-22,66.6966,66.869,66.0154,66.5586,2863789
2014-01-23,65.8774,65.9464,64.9203,65.4808,2733579
2014-01-24,64.7737,64.8858,62.9285,63.0578,4557245
2014-01-27,63.2303,63.7907,62.1869,62.7646,2676117
2014-01-28,63.1354,63.8166,62.9371,63.42,1748898
2014-01-29,62.8164,63.9804,62.6698,63.3596,2793363
2014-01-30,63.9114,64.0149,63.2906,63.7304,2833798
2014-01-31,62.6525,63.351,62.4715,63.0233,3121157
2014-02-03,63.3251,63.67,60.5141,60.5917,4858628
2014-02-04,59.0655,59.4966,58.0308,59.1948,9152235
2014-02-05,58.5568,59.626,57.6772,59.5829,6970503
2014-02-06,59.5225,60.5098,59.3932,59.557,4986203
2014-02-07,59.7726,61.0832,59.3242,60.8935,5040840
2014-02-10,60.79,60.9082,59.7898,59.9623,2816512
2014-02-11,60.2899,60.6176,59.8502,60.3675,3348940
2014-02-12,60.6434,61.5488,60.5055,61.3074,4603648
2014-02-13,60.7297,61.8248,60.5745,61.6954,2169260
2014-02-14,61.6437,63.0018,61.4195,62.7043,2826570
2014-02-18,62.9198,62.9974,62.1783,62.4887,1773705
2014-02-19,62.1783,63.0837,62.161,62.1955,2146217
2014-02-20,62.2214,63.0837,61.8679,62.9198,2619294
2014-02-21,63.282,63.7821,63.1182,63.3768,2663094
2014-02-24,63.6183,65.0065,63.6183,64.653,3503612
2014-02-25,64.4374,65.4377,64.2909,64.9807,3373951
2014-02-26,65.0669,65.6705,64.9376,65.3428,3933254
2014-02-27,65.2566,65.5325,64.8599,65.0583,2607275
2014-02-28,65.0583,65.6532,64.0235,64.4202,4704971
2014-03-03,63.7649,63.8942,62.5585,63.351,5792142
2014-03-04,64.2391,64.4116,63.6959,63.7045,4624043
2014-03-05,64.0408,64.3598,63.7648,64.1529,3526856
2014-03-06,64.3178,65.4288,64.257,65.3941,3215258
