date,open,high,low,close,volume
2014-01-02,23.227,23.3285,22.9733,22.9817,4983758
2014-01-03,22.7533,22.8126,22.3727,22.5165,10157328
2014-01-06,22.508,22.7153,22.4573,22.6603,7421560
2014-01-07,22.8126,22.8379,22.5757,22.7787,7045515
2014-01-08,22.8295,22.9141,22.6349,22.728,5820157
2014-01-09,22.7364,22.9225,22.6688,22.8633,5646411
2014-01-10,22.9733,23.337,22.9225,22.9817,5593009
2014-01-13,22.9563,22.9902,22.7363,22.821,4403118
2014-01-14,22.8295,23.0409,22.7111,22.7449,5425446
2014-01-15,22.7449,22.9014,22.6011,22.6434,4731040
2014-01-16,22.728,23.2101,22.6772,23.1847,5249989
2014-01-17,23.2439,23.3031,22.8887,23.0071,4560881
2014-01-21,23.0663,23.4977,23.0409,23.4892,7407301
2014-01-22,23.43,23.8276,23.3962,23.7937,7712254
2014-01-23,23.6669,24.0221,23.6161,23.9545,8749472
2014-01-24,23.8614,24.665,23.8529,23.9122,13805769
2014-01-27,24.0644,24.0644,23.7515,23.8529,8275201
2014-01-28,24.0137,24.039,23.5992,23.7684,5938006
2014-01-29,23.7345,23.9037,23.6416,23.8445,6116433
2014-01-30,23.9375,24.5931,23.8868,24.5212,9983226
2014-01-31,24.3605,24.7918,24.3435,24.5296,10412341
2014-02-03,24.6311,24.868,24.2759,24.5043,14383308
2014-02-04,24.7073,24.7411,24.3774,24.4535,9383593
2014-02-05,24.3351,24.5973,24.1659,24.4112,9930753
2014-02-06,24.3689,25.274,24.3689,24.9441,13763414
2014-02-07,25.1217,25.1217,24.5973,24.9018,9390546
2014-02-10,24.8257,24.9948,24.7242,24.868,7130167
2014-02-11,24.8088,25.0541,24.648,24.9272,7617930
2014-02-12,24.9272,24.9357,24.6109,24.7391,5453861
2014-02-13,24.6878,25.2948,24.6622,25.1323,9758902
2014-02-14,25.081,25.4743,25.0127,25.423,7361988
2014-02-18,25.4401,25.7991,25.3332,25.688,8592493
2014-02-19,25.611,25.9273,25.4315,25.611,7017696
2014-02-20,25.5939,25.8846,25.4144,25.8419,6189211
2014-02-21,25.8675,26.2522,25.7307,26.0043,8391757
2014-02-24,26.0043,26.4573,25.9615,25.9786,10331880
2014-02-25,25.953,26.2778,25.8077,25.953,5712028
2014-02-26,26.0214,26.2009,25.9359,26.0043,3632197
2014-02-27,25.953,26.0556,25.611,25.7906,6059666
2014-02-28,25.8931,26.1368,25.8589,25.9957,4558963
2014-03-03,25.8504,25.9359,25.6623,25.6709,3731141
2014-03-04,25.876,26.0727,25.6709,25.9872,5405788
2014-03-05,25.9957,26.0727,25.8034,25.8846,3923230
2014-03-06,25.8162,25.9786,25.3119,25.4828,7124686
2014-03-07,25.3717,25.4956,24.9101,25.4914,8027872
2014-03-10,25.4828,25.611,25.3033,25.5427,4319143
2014-03-11,25.7649,25.7649,25.3717,25.5085,3017005
2014-03-12,25.4315,25.8077,25.3717,25.7991,3311804
2014-03-13,25.7906,26.2265,25.7735,26.0812,4760385
2014-03-14,26.0128,26.389,25.9359,26.1923,5138045
2014-03-17,26.2693,26.5471,26.0898,26.5172,5664281
2014-03-18,26.577,26.7223,26.4231,26.6283,4165336
2014-03-19,26.6625,26.9531,26.4146,26.5514,8728501
2014-03-20,26.4402,26.8762,26.141,26.8164,7417698
2014-03-21,27.8678,28.0986,27.2951,27.8251,14184870
2014-03-24,27.8336,28.1841,27.7994,28.1499,9380261
2014-03-25,28.1328,28.2397,27.7568,28.1499,6488479
2014-03-26,28.1499,28.2098,27.4062,27.7311,10412048
2014-03-27,27.7481,28.1328,27.4831,28.0559,6203770
2014-03-28,28.0046,28.4919,27.8935,28.4577,7200764
2014-03-31,28.5517,29.0133,28.4833,28.6885,7783304
2014-04-01,28.7227,28.7825,28.3038,28.6286,4373977
2014-04-02,28.6372,28.8552,28.4064,28.6457,7751145
2014-04-03,28.697,28.9535,28.5517,28.8765,5372914
2014-04-04,28.9193,29.8126,28.8765,29.4664,12336807
2014-04-07,29.4493,29.9451,29.4493,29.6544,8272738
2014-04-08,29.5091,30.3896,29.351,30.3811,11129026
2014-04-09,30.4153,30.5606,29.7912,30.1673,10072840
