date,open,high,low,close,volume
2014-01-02,36.2034,36.255,35.6787,35.9454,491126
2014-01-03,35.9282,36.2894,35.7389,36.2034,604385
2014-01-06,36.1948,36.3927,35.954,36.3582,759160
2014-01-07,36.3668,36.5475,35.997,36.2464,620325
2014-01-08,36.2206,36.3207,35.8336,36.1002,692986
2014-01-09,36.2464,36.5905,36.1174,36.5475,742086
2014-01-10,36.7711,37.485,36.4185,37.4764,955843
2014-01-13,37.4506,37.571,37.1582,37.2442,827505
2014-01-14,37.3302,37.8377,37.2614,37.8205,627363
2014-01-15,38.414,38.543,38.1439,38.4054,1243835
2014-01-16,38.3108,38.4398,38.0355,38.1731,542823
2014-01-17,38.0785,38.1645,37.8119,37.8291,732514
2014-01-21,38.0613,38.3366,37.7087,37.9495,1136432
2014-01-22,38.0871,38.2398,37.7431,37.7689,381608
2014-01-23,37.5022,37.9839,37.4248,37.8721,715812
2014-01-24,37.5538,37.7156,37.27,37.5022,735390
2014-01-27,37.5882,37.8291,37.442,37.5452,758476
2014-01-28,37.6915,38.4441,37.6915,38.4054,960211
2014-01-29,38.2248,38.4484,38.1387,38.3968,927816
2014-01-30,38.5774,39.0677,38.5774,39.0075,787573
2014-01-31,38.5688,39.472,38.4828,39.2741,1040225
2014-02-03,39.2999,39.4204,38.1129,38.1817,1366327
2014-02-04,38.2162,39.2827,38.1129,39.0333,1662199
2014-02-05,38.9645,39.0849,38.6892,38.9559,591219
2014-02-06,39.0247,39.4419,38.8441,39.2139,564089
2014-02-07,39.4376,39.6182,39.1322,39.5838,747640
2014-02-10,39.5924,40.4095,39.4892,40.3493,591800
2014-02-11,40.2461,40.6504,40.2289,40.5385,565202
2014-02-12,40.5127,40.6332,40.1601,40.5385,728379
2014-02-13,40.3407,40.8568,40.2375,40.7536,915335
2014-02-14,40.7192,40.8482,40.3751,40.5988,616963
2014-02-18,40.8138,40.8826,40.4009,40.8482,476010
2014-02-19,40.7364,41.2009,40.7364,40.8568,936064
2014-02-20,40.8826,41.1406,40.3407,40.8138,959617
2014-02-21,40.7622,41.6223,39.8762,40.9514,1715939
2014-02-24,40.6504,41.1191,40.6504,40.8998,1106900
2014-02-25,41.0288,41.4503,40.7794,41.089,1248731
2014-02-26,41.2955,41.6825,41.175,41.5621,1025041
2014-02-27,41.5879,41.889,41.2009,41.3041,574650
2014-02-28,41.2869,42.3448,41.2869,42.233,1180168
2014-03-03,41.9406,42.1126,41.4159,41.9148,550793
2014-03-04,42.3104,42.6975,42.1986,42.6717,642599
2014-03-05,42.7663,43.0932,42.4825,42.6803,851263
2014-03-06,42.7921,42.8007,42.19,42.276,539681
2014-03-07,42.4653,42.4739,41.2955,41.4847,1217797
2014-03-10,41.5019,41.6309,41.2869,41.5105,944541
2014-03-11,41.5707,42.3792,41.4589,42.362,1359299
2014-03-12,42.3013,42.6872,42.1626,42.6829,1179807
2014-03-13,42.865,42.865,42.5008,42.5962,727046
2014-03-14,42.4835,43.0731,42.4835,42.7176,491253
2014-03-17,42.5875,42.7696,41.9631,42.0499,614587
2014-03-18,42.0238,42.232,41.8071,42.1019,512016
2014-03-19,42.232,42.3967,40.9572,41.2347,787233
2014-03-20,41.3128,41.4168,40.9052,41.1133,822426
2014-03-21,41.2,41.8678,41.1827,41.6249,1291504
2014-03-24,41.7377,41.9892,40.8618,41.2781,572248
2014-03-25,41.4862,41.7767,41.1567,41.5469,497035
2014-03-26,41.7377,41.8244,41.1567,41.2347,461537
2014-03-27,41.148,41.4038,40.8878,41.2781,350895
2014-03-28,41.2867,41.8591,41.2867,41.6249,311606
2014-03-31,41.8157,42.2233,41.3821,42.0672,421917
2014-04-01,42.2927,42.917,41.9458,42.8824,690926
2014-04-02,42.7523,43.0124,42.1973,42.4228,1115438
2014-04-03,41.9892,42.232,41.7984,41.9545,984117
2014-04-04,42.2493,42.4401,41.5642,41.8417,530697
2014-04-07,41.8851,42.2753,41.5296,41.6249,1019765
2014-04-08,41.6336,41.7724,41.2521,41.6423,1024162
2014-04-09,41.6943,41.9978,41.4862,41.8331,768876
2014-04-10,42.4228,42.4748,41.6336,41.7637,730107
2014-04-11,41.6423,41.9805,41.3388,41.3388,771994
2014-04-14,41.5122,42.1106,41.4255,42.0759,759201
2014-04-15,42.0672,42.7956,42.0672,42.7176,799608
2014-04-16,42.9344,43.2553,42.7349,43.1772,1069450
2014-04-17,43.0038,43.3506,42.8824,43.3333,859566
2014-04-21,43.316,43.6368,43.172,43.5935,640782
2014-04-22,43.6368,44.0357,43.5241,43.9317,644960
2014-04-23,43.9317,43.9317,43.4981,43.7409,1026105
2014-04-24,43.8536,44.0964,43.6802,44.0704,529127
2014-04-25,44.027,44.0635,43.7322,43.7929,592843
2014-04-28,44.0531,44.2525,43.923,44.1658,978852
2014-04-29,45.8742,45.9522,44.4346,44.6254,1523374
2014-04-30,44.6167,45.4406,44.452,45.3799,936455
2014-05-01,45.4752,45.4752,44.6774,45.1891,644614
2014-05-02,45.0937,45.3105,44.7642,45.2151,561648
2014-05-05,44.6948,45.0156,44.4346,44.8249,955966
2014-05-06,44.6861,44.8595,44.3479,44.6167,495401
2014-05-07,44.8682,45.1631,44.6584,45.0677,598903
2014-05-08,44.6774,45.111,44.4433,44.5994,809289
2014-05-09,44.582,44.8856,44.4086,44.7121,394336
2014-05-12,44.9549,45.1457,44.7728,45.137,405705
2014-05-13,45.0763,45.4492,44.4867,44.5127,490452
2014-05-14,44.4606,44.5994,44.2265,44.3913,588856
2014-05-15,44.3826,44.4433,43.949,44.4346,510183
2014-05-16,44.3392,44.9983,44.1398,44.981,433065
2014-05-19,44.9549,45.2281,44.7381,45.2064,543899
2014-05-20,45.2064,45.4406,44.8769,45.1024,430950
2014-05-21,45.2845,45.3781,44.8986,44.9376,364056
2014-05-22,44.9549,45.3365,44.7295,44.7642,804903
2014-05-23,44.9376,45.1717,44.7555,45.059,592882
2014-05-27,45.2931,45.7614,45.2585,45.7094,523918
2014-05-28,45.6834,45.7874,44.8942,45.3192,545349
2014-05-29,45.5099,45.5099,45.2324,45.3625,235655
2014-05-30,45.2758,45.64,45.1804,45.3972,740086
2014-06-02,45.4492,45.7181,45.2064,45.5273,570285
2014-06-03,45.3885,45.5706,45.2628,45.4145,435798
2014-06-04,45.3365,45.7874,45.3365,45.6834,505962
2014-06-05,45.8915,46.9928,45.8395,46.9321,852956
2014-06-06,47.0622,47.0622,46.247,46.5072,573888
2014-06-09,46.4812,46.6199,46.1421,46.4899,1309243
2014-06-10,46.2991,46.4985,45.9782,46.3771,1412692
2014-06-11,46.3684,46.5433,46.0884,46.5346,679865
2014-06-12,46.3771,46.469,45.8872,46.2109,506405
2014-06-13,46.3421,46.5083,45.8872,46.4908,487991
2014-06-16,46.3596,46.4646,45.5372,45.9222,833069
2014-06-17,45.9747,46.3377,45.8347,46.2546,737388
2014-06-18,46.3684,46.8058,46.2196,46.6396,882370
2014-06-19,46.8233,47.5057,46.5346,47.4882,646281
2014-06-20,47.2957,47.6282,47.0858,47.392,1072544
2014-06-23,47.3482,47.5232,46.7358,46.8058,1013826
2014-06-24,46.867,46.937,46.5871,46.7008,604953
2014-06-25,46.7008,46.867,46.3771,46.5346,651980
2014-06-26,46.4646,46.6483,46.2371,46.5608,500679
2014-06-27,46.4209,47.042,46.3071,46.6746,2225336
2014-06-30,46.8233,46.9895,46.259,46.5871,1392680
2014-07-01,46.7446,47.2695,46.4908,46.7621,1144719
2014-07-02,46.7708,46.9676,46.4558,46.7533,476933
2014-07-03,46.7621,46.7621,46.1146,46.4908,283381
2014-07-07,46.4908,46.8032,46.3946,46.4209,487850
2014-07-08,46.4383,46.6658,46.3159,46.3946,415855
2014-07-09,46.5171,46.5958,46.0622,46.3421,535475
2014-07-10,46.1146,46.5958,45.9834,46.3859,435672
2014-07-11,46.4733,46.5783,46.0447,46.3684,574079
2014-07-14,46.5433,46.8583,46.3859,46.8408,499274
2014-07-15,46.8495,46.9633,46.3159,46.6046,503115
2014-07-16,46.5871,46.8758,46.2021,46.5258,788973
2014-07-17,46.4821,46.5608,46.1671,46.2546,393095
2014-07-18,46.4383,47.042,46.4383,47.0245,373606
2014-07-21,46.8845,46.9808,46.5871,46.6046,349322
