date,open,high,low,close,volume
2014-01-02,43.1961,43.7087,42.9113,43.1296,1024930
2014-01-03,43.2815,43.5663,42.9493,43.272,774229
2014-01-06,43.1581,43.4904,42.4698,42.6739,813099
2014-01-07,42.8068,43.5284,42.4936,43.0442,682270
2014-01-08,42.8828,43.7657,42.6739,43.2436,682129
2014-01-09,43.291,43.5853,42.8733,43.5284,491024
2014-01-10,43.5663,44.4777,43.5663,44.4208,686347
2014-01-13,44.1644,44.4303,43.9081,43.9935,2051114
2014-01-14,44.0125,45.2467,43.9366,45.2372,1239535
2014-01-15,45.2562,45.4935,44.8954,45.4081,1190123
2014-01-16,45.1423,45.4271,44.5442,44.753,1931704
2014-01-17,44.829,44.8765,43.9746,44.2024,2455397
2014-01-21,44.5062,44.7815,43.8606,44.7625,1083357
2014-01-22,44.81,45.3701,44.5062,45.3322,1181039
2014-01-23,45.1043,45.2372,44.5157,45.1803,1261530
2014-01-24,44.8195,44.9118,43.1344,43.329,1465558
2014-01-27,43.3765,43.6803,42.4556,43.0347,1770133
2014-01-28,43.0917,44.0505,43.0917,44.041,1107219
2014-01-29,43.6043,44.1549,43.2436,43.3385,1552280
2014-01-30,41.0885,41.5252,39.4271,41.022,4031730
2014-01-31,41.4113,43.1676,40.6632,42.7784,2350157
2014-02-03,42.4366,42.8828,40.0822,40.3005,2420083
2014-02-04,40.4619,41.3733,40.1391,40.9461,2089767
2014-02-05,40.7752,41.3638,40.2341,41.1644,1532044
2014-02-06,41.2404,42.2562,41.1929,42.1803,1285294
2014-02-07,42.541,43.0822,42.1803,42.7024,1746843
2014-02-10,42.6929,42.7404,41.81,41.829,1092384
2014-02-11,42.0189,42.7974,42.0189,42.5505,969251
2014-02-12,42.7024,43.253,42.503,43.2151,1556852
2014-02-13,42.7974,43.1866,42.7784,42.8733,990730
2014-02-14,42.8353,43.5663,42.7309,43.5568,1000380
2014-02-18,43.5948,44.0695,43.0727,43.5284,1220825
2014-02-19,43.2436,43.6803,43.2436,43.3005,1650189
2014-02-20,43.2625,43.6137,43.1011,43.2246,1233384
2014-02-21,43.2341,43.329,42.636,42.7024,924076
2014-02-24,42.6929,43.2151,42.4651,42.4651,859576
2014-02-25,42.4651,42.7974,42.3825,42.541,1216321
2014-02-26,43.3216,44.4306,42.5125,44.2925,1545900
2014-02-27,43.5977,44.9018,43.5977,44.8161,1498195
2014-02-28,44.8827,45.1683,44.2069,44.4924,1451711
2014-03-03,43.8071,44.0022,43.1217,43.7595,953384
2014-03-04,44.2735,44.621,43.9499,44.5876,922956
2014-03-05,44.6733,45.1017,44.4639,44.5781,696846
2014-03-06,44.6257,45.0065,44.54,44.7495,658529
2014-03-07,44.9779,45.2064,44.2545,44.3401,1077935
2014-03-10,44.0831,44.1974,43.4406,43.4739,831437
2014-03-11,43.5596,43.9784,42.9313,42.9979,950223
2014-03-12,42.6648,42.8647,42.1603,42.541,1470932
2014-03-13,42.7028,42.8076,40.5991,40.6943,1728881
2014-03-14,40.7705,41.294,40.5515,41.1988,1397938
2014-03-17,41.4463,42.0175,41.2797,41.6272,727125
2014-03-18,41.7129,42.3602,41.5415,42.1412,857017
2014-03-19,42.2935,43.0931,41.8556,42.0365,1066503
2014-03-20,41.9508,42.1507,40.9418,41.0846,1007233
2014-03-21,41.2369,41.6367,40.2564,40.2945,4617615
2014-03-24,40.4468,40.8466,38.8857,39.0285,2615638
2014-03-25,39.1332,40.3231,39.0951,40.0375,3209242
2014-03-26,40.2469,40.3707,38.7524,38.8095,1956062
2014-03-27,38.781,38.9618,37.9147,38.2669,2157034
2014-03-28,38.3621,39.9423,38.1765,39.7805,2091032
2014-03-31,39.9518,40.3611,39.3521,40.0565,1446500
2014-04-01,40.1612,40.8657,40.028,40.4849,1734722
2014-04-02,40.4468,40.7514,40.1803,40.4373,1433808
2014-04-03,40.4373,40.7276,40.0042,40.0565,1594420
2014-04-04,40.4278,41.4178,39.7138,40.066,1690892
2014-04-07,39.9233,40.2184,38.4097,38.6667,1410672
2014-04-08,38.6191,39.1808,38.1622,39.0951,1463428
2014-04-09,39.8757,40.285,39.1808,39.9804,1510457
2014-04-10,39.8566,39.9804,38.6287,38.9713,1399879
2014-04-11,38.5525,39.0951,38.2909,38.5049,929354
2014-04-14,38.8095,38.8666,38.048,38.3526,1055883
2014-04-15,38.4764,38.8381,37.7243,38.3145,1443881
2014-04-16,38.6191,39.3331,38.6002,38.8952,1194450
2014-04-17,38.8857,39.1998,38.4668,38.4954,932510
2014-04-21,38.5811,38.9428,38.1908,38.8095,1028218
2014-04-22,38.8857,39.8852,38.8666,39.4092,1171421
2014-04-23,39.3712,39.5806,38.9333,39.3045,1066370
2014-04-24,39.4759,39.9899,39.0475,39.9804,1348336
2014-04-25,39.5235,39.5425,37.8481,38.4002,2285034
2014-04-28,38.5144,38.8857,36.8581,37.5625,3267051
2014-04-29,37.7053,38.305,37.2674,38.1813,1282723
2014-04-30,38.0765,38.1908,37.4692,37.9338,1797942
2014-05-01,40.1136,40.1136,36.7153,37.6577,4122563
2014-05-02,37.6006,39.1237,37.6006,38.8571,2618433
2014-05-05,38.4668,38.562,37.9242,38.3621,1357603
2014-05-06,38.3145,38.3145,37.2865,37.3721,1310522
2014-05-07,37.3436,37.5149,36.6868,37.0866,2011339
2014-05-08,36.9247,37.6387,36.8295,37.1151,1766412
2014-05-09,37.2008,37.6767,36.9028,37.6387,1880906
2014-05-12,38.0004,38.8571,37.7719,38.5239,1266125
2014-05-13,38.5239,38.781,37.9433,37.9718,858528
2014-05-14,37.8957,37.9528,36.7915,36.8771,1210516
2014-05-15,36.8105,36.8962,35.4873,36.0299,2510679
2014-05-16,36.1918,36.563,36.049,36.4964,2245558
2014-05-19,36.582,37.791,36.3441,37.0866,1839709
2014-05-20,36.9152,37.315,36.8486,36.8771,1768102
2014-05-21,36.9723,37.6577,36.9247,37.1342,1108879
2014-05-22,37.2865,38.3145,37.077,37.9718,1424576
2014-05-23,37.8671,38.6144,37.8291,38.4383,1193168
2014-05-27,38.5811,38.8571,38.3812,38.7334,1183959
2014-05-28,38.6188,38.8193,38.0555,38.1032,1572611
2014-05-29,38.1605,38.5997,37.9505,38.2942,901009
2014-05-30,38.1796,38.361,37.8359,38.1701,1278680
2014-06-02,38.1605,38.5042,37.855,38.1892,1096396
2014-06-03,38.2846,38.6761,37.9505,38.1605,1118334
2014-06-04,38.0937,38.361,37.8455,37.8741,1547720
2014-06-05,38.0746,38.6283,37.6069,38.1319,2826612
2014-06-06,38.2083,38.5902,38.1128,38.4947,1637686
2014-06-09,38.4279,39.2871,38.3419,38.9052,1301863
2014-06-10,38.8479,39.0246,38.4565,38.8002,1221013
2014-06-11,38.6474,38.7047,38.1223,38.6952,1620827
2014-06-12,38.6856,38.7906,38.1367,38.3897,2156051
2014-06-13,38.4947,38.5329,37.8932,37.9982,1152445
2014-06-16,37.855,38.256,37.6259,37.8455,1035522
2014-06-17,37.6736,37.8359,37.1867,37.4636,1795740
2014-06-18,37.4445,37.7977,36.9385,37.7595,2234538
2014-06-19,37.8073,38.7047,37.5686,38.6952,2491374
2014-06-20,38.4374,38.4851,37.0721,37.7214,4746002
2014-06-23,37.7691,38.1605,37.4779,37.5209,1120641
2014-06-24,37.5018,38.2178,37.2917,37.6068,1167833
2014-06-25,37.4731,38.0078,37.4731,37.8837,836408
2014-06-26,37.645,37.9409,37.1199,37.3204,1007157
2014-06-27,37.2249,37.8264,37.1294,37.7595,2593655
2014-06-30,37.6354,38.1414,37.3967,38.1223,1326519
2014-07-01,38.1987,39.1057,38.1701,38.5711,1632064
2014-07-02,38.4088,38.7334,38.0841,38.1892,1305915
2014-07-03,38.2942,39.0007,38.151,39.0007,942496
2014-07-07,38.7906,38.8575,38.0173,38.0651,1761044
2014-07-08,37.9314,38.0316,37.3967,37.4636,1430849
2014-07-09,37.5495,38.0841,37.3204,37.3872,1285698
2014-07-10,36.4611,36.5661,35.2486,36.2988,3240056
2014-07-11,36.1651,36.5566,35.7928,35.8119,2387882
2014-07-14,35.8787,36.3752,35.8787,36.232,1989326
2014-07-15,35.936,36.2224,35.5541,35.7451,1238205
2014-07-16,36.0124,36.1079,35.5732,35.8596,1554336
2014-07-17,35.5064,35.9265,35.2897,35.8692,2607489
2014-07-18,35.9074,36.2893,35.6878,36.2893,1998421
2014-07-21,36.0219,36.5088,35.8883,36.442,1653344
2014-07-22,36.5757,37.5686,36.5184,37.3204,2826237
2014-07-23,37.1867,37.7452,36.8048,37.2344,1951227
2014-07-24,37.1772,37.5495,36.7571,36.8907,2137818
2014-07-25,36.5566,36.8048,36.3084,36.4611,1318860
2014-07-28,35.9551,36.127,34.9908,35.1054,2539030
2014-07-29,35.5541,36.0028,35.5064,35.5159,4316952
2014-07-30,35.64,35.8501,35.3059,35.5541,2723343
2014-07-31,35.5255,36.9003,35.1054,36.0792,4309071
2014-08-01,36.0124,36.4707,35.4586,36.1079,2550148
2014-08-04,36.146,36.8335,36.1365,36.7093,2410521
2014-08-05,36.4611,37.7595,36.4611,37.4827,3030388
2014-08-06,37.1294,38.2942,37.0912,37.8646,2110813
2014-08-07,38.0841,38.2751,37.6736,38.0364,2280772
2014-08-08,38.1319,39.3826,38.0078,39.2394,2438367
2014-08-11,39.4971,39.6213,39.1725,39.4685,1707830
2014-08-12,39.2871,39.4208,38.7811,39.1153,1434319
2014-08-13,39.1439,39.4876,38.9816,39.2203,1545347
2014-08-14,39.3062,39.8695,39.1153,39.8599,1420044
2014-08-15,39.965,40.0891,39.3253,39.8504,1519874
2014-08-18,40.0986,41.1584,40.0986,40.7765,1920518
2014-08-19,41.0629,41.6262,40.8338,40.8815,1433377
2014-08-20,41.0343,41.3684,40.681,41.2825,1231020
2014-08-21,41.2252,41.378,40.66,41.2538,834087
2014-08-22,41.1202,41.4639,40.9674,41.3111,636423
2014-08-25,41.4639,41.8649,41.1775,41.3302,1068453
2014-08-26,41.4448,41.7408,41.2252,41.5498,542109
2014-08-27,41.6647,41.7317,41.186,41.3583,688264
2014-08-28,41.0615,41.3966,40.6882,41.2051,1038631
2014-08-29,41.2051,41.5594,41.052,41.3679,586382
2014-09-02,41.4636,41.8753,41.2769,41.77,1338947
2014-09-03,41.8466,41.9136,41.411,41.5977,1195243
2014-09-04,41.5402,42.354,41.4541,41.9615,1401079
2014-09-05,41.8753,42.1721,41.5402,42.0859,883107
2014-09-08,41.8466,42.2295,41.7221,42.1434,929393
2014-09-09,42.0476,42.1051,41.478,41.7413,793916
2014-09-10,41.7413,41.8945,41.4349,41.77,946290
2014-09-11,41.6072,42.1434,41.4636,41.971,1148842
2014-09-12,41.8753,42.0381,40.8796,41.2913,1493500
2014-09-15,41.2817,41.3392,40.8509,41.0041,790814
2014-09-16,40.8701,41.1956,40.7025,41.0232,1307495
2014-09-17,41.2051,41.904,41.0903,41.6551,1073988
2014-09-18,41.6743,41.7461,41.0424,41.0711,794510
2014-09-19,41.1956,41.2147,40.1903,40.8031,3308328
2014-09-22,40.7935,40.7935,39.8744,40.0563,1094354
2014-09-23,39.817,40.2956,39.501,39.9989,1084506
2014-09-24,39.9893,40.2382,39.7691,40.0755,833456
2014-09-25,39.9318,40.0467,39.2425,39.2425,1076061
2014-09-26,39.233,39.9223,39.233,39.8648,849547
2014-09-29,39.3574,39.5585,39.1564,39.2808,808561
2014-09-30,39.5106,40.018,38.9745,39.3574,1604728
2014-10-01,39.5776,39.5872,38.3522,38.5437,1695445
2014-10-02,38.4766,39.0032,38.0746,38.8213,1024815
2014-10-03,39.0989,39.3479,38.8979,39.0032,1071442
2014-10-06,39.2617,39.3957,38.7639,38.9266,963555
2014-10-07,38.6107,38.6767,38.1368,38.1703,1015246
2014-10-08,38.2469,38.6203,37.5959,38.582,1417424
2014-10-09,38.4288,38.6681,37.7108,37.7299,1250885
2014-10-10,37.4906,37.9405,36.8587,36.8587,1301734
2014-10-13,36.9544,37.2512,36.0928,36.1311,1316828
2014-10-14,36.2556,36.8108,35.4229,36.1502,2010102
2014-10-15,35.4514,36.9832,34.9823,36.5906,2180694
2014-10-16,35.8726,37.6246,35.7481,37.2799,1434861
2014-10-17,37.6916,38.5437,37.3613,38.4575,1440786
2014-10-20,38.3043,38.7447,38.1799,38.4192,1238355
2014-10-21,38.6203,39.4244,38.5915,39.2617,842910
2014-10-22,39.2042,39.7499,39.0415,39.0511,734757
2014-10-23,39.5106,40.1042,39.367,39.7882,1022770
2014-10-24,39.884,40.1808,39.4244,40.0659,720375
2014-10-27,39.9701,40.2478,39.6063,40.1999,585629
2014-10-28,40.3148,40.8031,40.0467,40.7456,964594
2014-10-29,40.6499,41.0807,39.9893,40.535,1683790
2014-10-30,41.1094,41.1573,40.4249,40.7169,489451
2014-10-31,40.8222,41.5019,40.5446,41.4062,1973735
2014-11-03,41.4253,41.8945,41.1764,41.4253,1372664
2014-11-04,41.1286,41.2626,40.2286,40.6307,931067
2014-11-05,41.0711,41.0711,40.0563,40.152,1106460
2014-11-06,40.2669,40.8222,39.9893,40.8126,966276
2014-11-07,40.8892,40.9945,40.535,40.9754,735444
2014-11-10,41.1381,41.4445,40.7169,40.8126,719759
2014-11-11,40.7552,41.1477,40.736,41.0807,461852
2014-11-12,40.8126,41.0998,40.669,40.985,733211
2014-11-13,41.1094,41.1573,40.4249,40.7169,489451
2014-11-14,40.7169,41.0711,40.4775,40.9467,742085
2014-11-17,40.7552,40.7552,40.1808,40.2956,595627
2014-11-18,40.401,41.3583,40.2191,41.1286,886669
2014-11-19,41.0232,41.3009,40.7839,41.0137,792661
2014-11-20,40.7169,41.9902,40.7169,41.971,754087
2014-11-21,42.2104,42.9093,42.1529,42.7178,1585944
2014-11-24,42.9188,43.8666,42.8853,43.8188,1511876
2014-11-25,43.8092,44.1451,43.0509,43.3196,982519
2014-11-26,43.3004,43.406,43.1085,43.2236,458154
2014-11-28,43.1181,43.4348,42.8493,43.1181,357592
2014-12-01,42.9933,43.1757,42.3789,42.6189,839764
2014-12-02,42.7149,43.5452,42.5421,43.2812,1051498
2014-12-03,43.4444,43.838,43.1948,43.7804,575705
2014-12-04,43.6556,43.838,43.4636,43.8092,477444
2014-12-05,43.8284,44.1547,43.6268,43.7612,455449
2014-12-08,43.5788,43.9436,43.0797,43.262,518373
2014-12-09,42.8589,44.1163,42.7437,44.0108,535184
2014-12-10,43.9628,43.9628,42.5133,42.5229,702045
2014-12-11,42.8013,43.6844,42.6285,42.8013,704658
2014-12-12,42.5133,42.8589,42.0814,42.235,578158
2014-12-15,42.6765,42.7917,41.4191,41.8222,712033
2014-12-16,41.659,42.4749,41.2559,42.1006,1717298
2014-12-17,42.235,43.358,41.7934,43.214,915901
2014-12-18,43.79,43.886,43.0221,43.7132,754729
2014-12-19,43.79,43.8476,43.1181,43.2716,1839184
2014-12-22,43.406,43.406,42.8781,43.2716,574038
2014-12-23,43.2716,43.6988,42.9261,42.9261,834522
2014-12-24,42.9165,43.0317,42.8301,42.8493,546073
2014-12-26,43.0317,43.262,42.8877,42.9837,725452
2014-12-29,42.8589,43.6268,42.8109,43.4252,1139650
2014-12-30,43.3196,43.5884,42.9357,43.2428,937152
2014-12-31,43.4444,44.1067,43.1757,43.454,1073429
2015-01-02,43.79,44.0971,42.4269,42.9933,748006
2015-01-05,42.6765,42.8973,42.139,42.4173,822979
2015-01-06,42.6093,42.7437,41.0351,41.4575,1337884
2015-01-07,41.7454,42.2542,41.4958,42.0526,882755
2015-01-08,42.4845,43.4348,42.2638,43.4156,1074570
2015-01-09,43.5308,44.5099,43.3388,43.9436,1305138
2015-01-12,43.9244,44.2891,43.5404,44.0012,1351405
2015-01-13,44.5483,45.6138,42.9165,43.7132,2900059
2015-01-14,43.3292,44.2987,43.3292,43.8284,1393422
2015-01-15,44.1451,44.2315,41.8894,41.9374,999324
2015-01-16,41.803,43.1661,41.2847,43.1085,910048
2015-01-20,43.2332,43.4156,41.899,42.4557,680650
2015-01-21,42.4077,43.2716,42.2158,42.5613,1108407
2015-01-22,42.8109,43.2428,42.1198,43.0413,1027332
2015-01-23,42.9741,43.3772,42.6189,43.0509,441156
2015-01-26,43.0509,43.9724,42.9549,43.6268,853898
2015-01-27,43.0509,43.6124,42.7341,43.5212,683635
2015-01-28,43.9244,44.2603,43.2428,43.3868,924229
2015-01-29,43.2236,44.0011,43.0605,43.5596,1145065
2015-01-30,43.3964,43.694,42.9069,42.9933,1358297
2015-02-02,43.2428,44.0971,42.6189,44.0395,1581918
2015-02-03,44.3755,45.4698,44.0587,45.249,2077598
2015-02-04,44.8459,46.0169,44.4043,45.3354,2585282
2015-02-05,43.1948,43.8764,41.3423,42.1678,5975131
2015-02-06,41.8798,42.2446,41.3807,41.563,2360896
2015-02-09,41.5342,41.9758,41.2559,41.3135,2095346
2015-02-10,41.5438,42.8205,41.0831,42.5229,2406153
2015-02-11,42.5133,42.7245,42.0526,42.6861,1769443
2015-02-12,42.6669,43.7708,42.5998,43.7324,2417663
2015-02-13,43.8476,44.9322,43.694,44.7115,3086956
2015-02-17,44.5291,45.5274,44.2315,45.105,1982178
2015-02-18,44.9514,45.2586,44.8075,45.2106,1095403
2015-02-19,45.0474,45.9785,45.0186,45.8633,1590234
2015-02-20,45.9305,46.1705,45.5946,46.0745,1131967
2015-02-23,45.8633,46.1033,45.489,45.9497,992821
