date,open,high,low,close,volume
2014-01-02,18.8641,18.9722,18.765,18.801,6971216
2014-01-03,18.8371,18.9722,18.783,18.8461,4436573
2014-01-06,18.9272,19.2154,18.8641,18.8731,7209419
2014-01-07,18.9992,19.0983,18.8551,18.9407,6549176
2014-01-08,18.9362,19.1208,18.9182,19.0353,7551353
2014-01-09,19.0443,19.3235,19.0443,19.2064,8873058
2014-01-10,19.1434,19.4091,19.1434,19.3956,8715286
2014-01-13,19.3686,19.4767,19.1073,19.1434,8251423
2014-01-14,19.1974,19.3911,19.1073,19.2425,7441279
2014-01-15,19.2875,19.4902,19.2785,19.4316,5218396
2014-01-16,19.3596,19.4136,19.1974,19.2515,5595082
2014-01-17,19.3325,19.6614,19.2875,19.4136,6735538
2014-01-21,19.4857,19.7199,19.4857,19.6569,6866616
2014-01-22,19.783,19.783,19.6208,19.7469,7739804
2014-01-23,19.5037,19.7379,19.2335,19.3866,11224659
2014-01-24,19.2335,19.4046,19.1704,19.2064,9540872
2014-01-27,19.7289,19.7379,18.9992,19.0353,9455841
2014-01-28,19.0623,19.301,19.0443,19.1884,9397863
2014-01-29,19.0443,19.2199,18.8281,18.8731,12289989
2014-01-30,18.9992,19.2064,18.9587,19.1344,5822331
2014-01-31,18.9001,19.1614,18.747,18.9362,7693354
2014-02-03,18.8641,19.0353,18.3956,18.4677,18238611
2014-02-04,18.5128,18.801,18.3506,18.5488,10596703
2014-02-05,18.5578,18.738,18.4317,18.6028,7677472
2014-02-06,18.9001,19.0172,18.7695,18.9902,7596799
2014-02-07,19.0263,19.1434,18.8371,19.0082,6826570
2014-02-10,19.3686,19.3686,19.0443,19.1614,8595313
2014-02-11,19.1253,19.3145,18.8641,19.2515,9048410
2014-02-12,19.3325,19.5172,19.1704,19.2425,9049391
2014-02-13,19.1794,19.4046,19.0893,19.4046,6968174
2014-02-14,19.3325,19.5668,19.2965,19.4857,5548480
2014-02-18,19.5307,19.6388,19.4407,19.5127,6896202
2014-02-19,19.4857,19.5127,19.1524,19.1974,10907426
2014-02-20,19.1794,19.274,19.0263,19.2244,7189716
2014-02-21,19.2695,19.4632,19.2244,19.3145,8206416
2014-02-24,19.3235,19.5488,19.3235,19.4677,9382763
2014-02-25,19.5127,19.5848,19.3145,19.4677,7967540
2014-02-26,19.5217,19.5758,19.3685,19.5127,7200968
2014-02-27,19.5217,19.5668,19.3776,19.5668,6945764
2014-02-28,19.6028,19.6929,19.4226,19.5443,12470540
2014-03-03,19.3956,19.4407,19.2875,19.3866,8702066
2014-03-04,19.6208,19.8641,19.5127,19.783,10185610
2014-03-05,19.765,20.0262,19.7109,19.9992,7129934
2014-03-06,20.0442,20.1974,20.0262,20.0893,5626541
2014-03-07,20.1974,20.4947,20.1974,20.3866,7670944
2014-03-10,20.3235,20.4496,20.2334,20.4496,6099768
2014-03-11,20.4676,20.4902,20.2155,20.2785,5603209
2014-03-12,20.1703,20.3325,20.0803,20.2965,6214526
2014-03-13,20.3235,20.4766,20.1298,20.2064,6998000
2014-03-14,20.1523,20.2965,20.0262,20.1253,6313858
2014-03-17,20.5487,20.5667,20.1974,20.3595,5794283
2014-03-18,20.3685,20.5757,20.2785,20.5217,7586932
2014-03-19,20.5037,20.7199,20.3956,20.5667,6884687
2014-03-20,20.5757,21.1613,20.5397,21.0442,9007649
2014-03-21,21.2874,21.5307,20.9991,21.0712,17741967
2014-03-24,21.1613,21.3325,20.9361,21.0622,6801801
2014-03-25,21.0982,21.1838,20.9901,21.0262,7236521
2014-03-26,21.1793,21.2244,20.9451,20.9541,6929301
2014-03-27,20.936,21.0447,20.2931,20.4198,13658554
2014-03-28,20.447,20.6915,20.3564,20.5738,5163714
2014-03-31,20.7639,20.8545,20.6734,20.7866,6437766
2014-04-01,20.9088,20.9903,20.7277,20.8998,5466522
2014-04-02,20.9541,20.9949,20.782,20.8817,5085757
2014-04-03,20.9813,21.022,20.8635,20.9994,7500018
2014-04-04,21.0537,21.1941,20.7277,20.7549,6820678
2014-04-07,20.7187,20.782,20.3293,20.3836,9018353
2014-04-08,20.4017,20.5013,20.2025,20.3293,6392100
2014-04-09,20.3746,20.533,20.3202,20.4742,6123239
2014-04-10,20.5194,20.5557,19.6954,19.7407,11974108
2014-04-11,19.3875,19.7497,19.3785,19.5234,9470885
2014-04-14,19.8041,19.8041,19.3332,19.5596,6259613
2014-04-15,19.5505,19.7135,19.3196,19.5867,7973880
2014-04-16,19.7769,19.8312,19.555,19.786,7771534
2014-04-17,19.297,19.4871,18.7924,18.971,16990860
2014-04-21,19.0887,19.2336,18.7174,18.7627,10444126
2014-04-22,18.8442,19.0344,18.6721,19.0163,12085429
2014-04-23,18.9981,19.2155,18.9619,19.1521,8062162
2014-04-24,19.2245,19.2245,18.8351,19.0434,9493167
2014-04-25,18.9076,18.9076,18.6812,18.7899,8603814
2014-04-28,18.7627,18.7989,18.3914,18.5725,10173784
2014-04-29,18.5907,18.7627,18.4956,18.5454,11928944
2014-04-30,18.491,18.7265,18.4277,18.6631,8692107
2014-05-01,18.6178,18.7265,18.3824,18.4277,11335011
2014-05-02,18.3824,18.8714,18.3824,18.6133,9890887
2014-05-05,18.5816,18.7899,18.4729,18.645,8365108
2014-05-06,18.482,18.6088,18.3371,18.3643,7455493
2014-05-07,18.4367,18.7718,18.3733,18.7536,9700984
2014-05-08,18.7084,18.9076,18.6359,18.654,8009388
2014-05-09,18.5544,18.645,18.319,18.6088,8482456
2014-05-12,18.7084,18.9166,18.6269,18.9076,7287961
2014-05-13,18.9076,18.971,18.7899,18.8351,5752083
2014-05-14,18.7899,18.8261,18.4729,18.5363,5577821
2014-05-15,18.491,18.5092,18.0383,18.2556,11601026
2014-05-16,18.2284,18.2918,17.9568,18.1379,11883748
2014-05-19,18.1107,18.3371,17.9477,18.2918,8730875
2014-05-20,18.319,18.3371,18.0654,18.1651,7461905
2014-05-21,18.2737,18.5001,18.2194,18.4458,10029199
2014-05-22,18.4095,18.6178,18.3371,18.482,7374319
2014-05-23,18.5092,18.7446,18.4277,18.5997,6340657
2014-05-27,18.654,18.9302,18.654,18.7446,6333427
2014-05-28,18.6993,18.7446,18.6042,18.654,5832022
2014-05-29,18.654,18.6993,18.4639,18.6088,6444875
2014-05-30,18.6631,18.808,18.6223,18.7355,6536450
2014-06-02,18.8261,19.0072,18.6088,18.971,8740727
2014-06-03,18.8895,19.3785,18.8804,19.1883,17970617
2014-06-04,19.0978,19.2517,19.0163,19.0978,10202297
2014-06-05,19.134,19.2426,18.9393,19.1883,10609572
2014-06-06,19.306,19.3513,19.0253,19.3151,9883168
2014-06-09,19.2698,19.6592,19.2608,19.5913,9240357
2014-06-10,19.5596,19.5867,19.4237,19.5052,6128934
2014-06-11,19.4419,19.5234,19.3287,19.4147,5599880
2014-06-12,19.3513,19.5143,19.2608,19.2789,6311756
2014-06-13,19.3785,19.5324,19.2698,19.3513,6647806
2014-06-16,19.2336,19.2789,19.0163,19.1159,6900144
2014-06-17,19.0434,19.5867,19.0253,19.4509,9316924
2014-06-18,19.4781,19.5052,19.2245,19.46,9144176
2014-06-19,19.7497,19.7497,19.3241,19.4781,7840541
2014-06-20,19.6049,19.7226,19.4781,19.5505,7451550
2014-06-23,19.5958,19.5958,19.4147,19.4962,4576096
2014-06-24,19.469,19.6864,19.4192,19.4328,7980700
2014-06-25,19.3241,19.4781,19.1249,19.4237,9006747
2014-06-26,19.442,19.483,19.2279,19.3964,5670234
2014-06-27,19.3964,19.4238,19.2233,19.3691,6966820
2014-06-30,19.4329,19.5057,19.278,19.4511,6321176
2014-07-01,19.5513,19.7608,19.4602,19.6196,8530092
2014-07-02,19.5604,19.7335,19.442,19.5057,6146007
2014-07-03,19.606,19.7608,19.565,19.7062,4007142
2014-07-07,19.5786,19.7244,19.5695,19.6515,5583019
2014-07-08,19.6424,19.6424,19.4329,19.5039,9411741
2014-07-09,19.5331,19.6971,19.524,19.6014,6922589
2014-07-10,19.4146,19.442,19.278,19.3326,8623453
2014-07-11,19.3235,19.5877,19.2233,19.524,6462056
2014-07-14,19.6424,19.7045,19.442,19.4966,6229785
2014-07-15,19.4055,19.852,19.4055,19.8155,10491694
2014-07-16,19.8428,19.852,19.5331,19.6333,11517920
2014-07-17,19.2415,19.3144,18.3669,18.4763,26030350
2014-07-18,18.6038,18.6812,18.3257,18.6311,17694837
2014-07-21,18.7313,18.8953,18.5309,18.704,8143927
2014-07-22,18.8225,18.9227,18.7723,18.8589,10887781
2014-07-23,18.9318,18.9591,18.7587,18.8953,7362906
2014-07-24,18.8953,19.2689,18.8953,19.2097,11285639
2014-07-25,19.0867,19.3873,19.0775,19.2962,10398250
2014-07-28,19.2962,19.3144,18.9773,19.0229,7111118
2014-07-29,18.9864,19.1277,18.8862,18.8953,7976869
2014-07-30,19.0047,19.1003,18.8133,18.9409,7669571
2014-07-31,18.8953,18.9045,18.6357,18.6585,8429081
2014-08-01,18.5856,18.7131,18.1301,18.2212,14570559
2014-08-04,18.3032,18.3578,18.0663,18.1938,6430932
2014-08-05,18.0845,18.2212,17.8567,17.9114,10913734
2014-08-06,17.8112,18.0526,17.7337,17.9251,7388414
2014-08-07,17.9934,18.0845,17.7292,17.7839,6375530
2014-08-08,17.8567,17.9296,17.7201,17.9205,4242330
2014-08-11,18.0116,18.0116,17.793,17.8567,5710029
2014-08-12,17.7656,17.9205,17.7201,17.8476,6017522
2014-08-13,17.8476,18.0298,17.8294,17.9023,5443542
2014-08-14,17.9661,18.1209,17.9114,18.0481,5618867
2014-08-15,18.0754,18.1756,17.8649,17.9752,5832223
2014-08-18,18.1027,18.2758,18.0936,18.2394,5689628
2014-08-19,18.2303,18.4125,18.1665,18.1893,6247651
2014-08-20,18.1392,18.3487,18.1209,18.3123,4659174
2014-08-21,18.294,18.5036,18.212,18.4489,5277003
2014-08-22,18.458,18.6402,18.3669,18.5127,7433432
2014-08-25,18.6038,18.7769,18.5491,18.622,6226982
2014-08-26,18.1938,18.7678,18.1938,18.6038,3576012
2014-08-27,18.6676,18.7587,18.4489,18.4854,5124097
2014-08-28,18.3851,18.5271,18.3168,18.4671,4645464
2014-08-29,18.4945,18.6493,18.4854,18.5901,4509375
2014-09-02,18.5947,18.7496,18.5218,18.6858,4932518
2014-09-03,18.7587,18.8316,18.54,18.5947,6501678
2014-09-04,18.6767,18.7405,18.5674,18.6038,6223368
2014-09-05,18.5309,18.6676,18.4034,18.5583,7534554
2014-09-08,18.5856,18.6585,18.417,18.54,5783592
2014-09-09,18.5127,18.5218,18.3123,18.4125,4874622
2014-09-10,18.5309,18.7587,18.4671,18.6311,7209018
2014-09-11,18.5856,18.7769,18.5765,18.6676,4568728
2014-09-12,18.6858,19.0001,18.6858,18.8088,6871756
2014-09-15,18.7587,18.8498,18.6676,18.704,4840474
2014-09-16,18.6585,18.8953,18.6494,18.7405,5671211
2014-09-17,18.7587,19.0502,18.7222,18.8953,6154515
2014-09-18,18.95,19.2233,18.8771,19.1413,7449646
2014-09-19,19.2689,19.3144,19.0229,19.0593,8523292
2014-09-22,19.0684,19.1823,18.9136,18.9409,4857649
2014-09-23,18.8589,18.9409,18.704,18.704,4911872
2014-09-24,18.6494,18.7906,18.6038,18.7587,5002876
2014-09-25,18.6858,18.7313,18.4307,18.499,6328001
2014-09-26,18.5403,18.6595,18.4944,18.6045,3529298
2014-09-29,18.4211,18.5403,18.3661,18.444,5141811
2014-09-30,18.5036,18.5861,18.3202,18.3569,6619583
2014-10-01,18.3661,18.4486,18.146,18.1506,7078976
2014-10-02,18.1643,18.2744,17.9259,18.146,9239292
2014-10-03,18.3111,18.4394,18.2194,18.3844,10086895
2014-10-06,18.4578,18.5128,18.2285,18.2652,5517321
2014-10-07,18.1827,18.3111,18.0268,18.0268,5902940
2014-10-08,18.0818,18.4486,18.036,18.4303,10087395
2014-10-09,18.3202,18.4119,17.9718,17.9901,8611102
2014-10-10,18.0543,18.1643,17.8159,17.8159,6813937
2014-10-13,17.7976,17.9626,17.6417,17.6463,5569518
2014-10-14,17.6784,17.8618,17.5683,17.6463,7877461
2014-10-15,17.4033,17.4766,16.6973,17.0365,14510971
2014-10-16,16.5047,16.7981,16.1838,16.2663,24707127
2014-10-17,16.4772,16.6881,16.3213,16.6239,14195795
2014-10-20,16.6239,16.8531,16.5506,16.8256,8806165
2014-10-21,16.9448,17.3116,16.9082,17.3024,12024967
2014-10-22,17.3116,17.4583,17.2566,17.2658,8134132
2014-10-23,17.6875,17.6967,17.3116,17.4033,8729573
2014-10-24,17.3758,17.5317,17.3299,17.5317,4441441
2014-10-27,17.495,17.5683,17.4125,17.5592,3618477
2014-10-28,17.7426,17.9076,17.5592,17.8984,4462574
2014-10-29,17.8434,18.1185,17.7701,18.0635,6159664
2014-10-30,18.0543,18.1919,17.9259,18.091,5311626
2014-10-31,18.3111,18.3661,18.1643,18.3294,6246104
2014-11-03,18.3294,18.499,18.2194,18.3019,5112987
2014-11-04,18.2469,18.3386,18.0681,18.1643,5085314
2014-11-05,18.4119,18.5219,18.2652,18.5036,6887192
2014-11-06,18.5495,18.6411,18.4027,18.6136,7619519
2014-11-07,18.632,18.632,18.2285,18.4394,7022617
2014-11-10,18.4578,18.6228,18.3844,18.5036,4737336
2014-11-11,18.5219,18.5953,18.4578,18.5586,5301569
2014-11-12,18.4486,18.6962,18.4303,18.687,5669324
2014-11-13,18.7328,18.7328,18.5495,18.6228,4381327
2014-11-14,18.4303,18.6549,18.4303,18.4853,3351753
2014-11-17,18.4303,18.5128,18.3386,18.4899,3625047
2014-11-18,18.4761,18.6136,18.4119,18.5128,2777422
2014-11-19,18.5128,18.5128,18.2652,18.3477,4756761
2014-11-20,18.2102,18.4944,18.201,18.4899,3652032
2014-11-21,18.7328,18.7328,18.3936,18.4578,4058882
2014-11-24,18.5403,18.7237,18.5403,18.6595,3785895
2014-11-25,18.6687,18.6778,18.4211,18.5403,5644811
2014-11-26,18.5861,18.6228,18.4715,18.6045,3341407
2014-11-28,18.6228,18.7102,18.4211,18.4486,2207880
2014-12-01,18.3569,18.4119,17.981,18.1093,5889830
2014-12-02,18.1093,18.3477,18.0818,18.2652,6005695
2014-12-03,18.2927,18.4486,18.2377,18.4119,6115530
2014-12-04,18.3936,18.5219,18.3202,18.4853,5114503
2014-12-05,18.6045,18.9529,18.5219,18.9162,8551374
2014-12-08,18.577,19.0813,18.577,18.9437,6851105
2014-12-09,18.7879,19.0904,18.7145,18.9712,7959472
2014-12-10,18.8704,18.8979,18.3477,18.3569,8998962
2014-12-11,18.5036,18.6366,18.3386,18.3936,6764655
2014-12-12,18.1735,18.3661,18.036,18.1002,9266912
2014-12-15,18.1827,18.2102,17.7609,17.8343,9637626
2014-12-16,17.6692,18.0314,17.6325,17.7059,7933457
2014-12-17,17.7701,18.0085,17.6967,17.9718,9335504
2014-12-18,18.1735,18.4211,18.0268,18.4211,9608103
2014-12-19,18.4119,18.5953,18.3294,18.4027,14801323
2014-12-22,18.3294,18.5219,18.3111,18.4761,7530058
2014-12-23,18.6045,18.9529,18.577,18.8704,5839806
2014-12-24,18.9346,18.9529,18.7099,18.8795,2191913
2014-12-26,18.9712,18.9804,18.797,18.8795,2694610
2014-12-29,18.8426,19.1564,18.8057,18.9995,4693068
