date,open,high,low,close,volume
2014-01-02,37.8137,37.96,37.1097,37.2834,1559184
2014-01-03,37.1097,37.896,37.1097,37.7131,1567472
2014-01-06,37.768,38.152,37.6491,37.7131,1444406
2014-01-07,37.7954,38.0514,37.5668,37.7131,1597467
2014-01-08,37.64,37.704,37.0914,37.5851,1576226
2014-01-09,37.8594,37.8594,37.2468,37.5303,1543817
2014-01-10,37.5577,37.7954,37.192,37.7223,1536681
2014-01-13,37.6765,37.6765,36.936,37.1371,1505548
2014-01-14,37.1463,37.6171,36.9588,37.3565,1341412
2014-01-15,37.5403,37.6506,36.8696,36.9156,1618515
2014-01-16,37.0074,37.0074,36.1622,36.2816,1772127
2014-01-17,36.4378,36.4378,35.6385,35.7304,2266503
2014-01-21,35.7671,36.0795,35.0689,35.565,2974748
2014-01-22,35.6569,35.8406,35.3629,35.4547,1705837
2014-01-23,35.3537,35.3537,34.83,35.1056,1326504
2014-01-24,34.8759,34.8943,34.4165,34.4257,1870599
2014-01-27,35.0045,35.6752,34.9127,34.9219,2477688
2014-01-28,34.9862,35.5834,34.7657,35.078,2046254
2014-01-29,34.8392,35.2159,34.5314,34.5727,1714740
2014-01-30,34.9035,35.7074,34.8116,35.6109,1836488
2014-01-31,35.2067,35.7487,34.977,35.4639,1334940
2014-02-03,35.3445,35.4272,33.6724,33.7459,2570121
2014-02-04,33.9939,34.5727,33.6724,34.49,2518365
2014-02-05,34.389,35.0229,34.2236,34.8667,1537230
2014-02-06,34.931,35.7487,34.7749,35.2342,1042415
2014-02-07,35.5191,36.0244,35.271,35.5282,878890
2014-02-10,35.6293,35.8131,35.0413,35.3445,1105630
2014-02-11,35.2894,36.1714,35.1515,36.0795,1400109
2014-02-12,36.0887,36.3276,35.7671,35.9692,1371396
2014-02-13,35.6293,36.1438,35.565,36.0244,1076988
2014-02-14,35.8314,35.9233,35.6293,35.7855,838906
2014-02-18,35.8314,35.8682,35.3261,35.6936,1302717
2014-02-19,35.6201,36.5664,35.5191,36.1989,1577792
2014-02-20,36.2449,36.8512,36.2081,36.8053,1375723
2014-02-21,36.8237,36.9799,36.5297,36.7502,648644
2014-02-24,36.7869,37.3657,36.7502,37.1728,1337327
2014-02-25,37.2004,38.1191,36.9247,38.0089,2644292
2014-02-26,38.1283,38.6979,38.0181,38.5693,2051785
2014-02-27,38.4131,38.6796,38.1375,38.4315,986542
2014-02-28,38.4958,38.6107,38.0272,38.3213,1167538
2014-03-03,37.9446,38.6244,37.8986,38.3948,1227288
2014-03-04,38.8174,39.4881,38.8174,39.3135,1966162
2014-03-05,39.3686,39.3686,38.5142,38.9276,1789846
2014-03-06,39.1114,39.4973,38.5601,39.2584,3024704
2014-03-07,41.3991,42.9977,41.2521,42.7129,7030748
2014-03-10,42.8323,42.8875,42.0422,42.2351,3723641
2014-03-11,42.2351,42.667,41.9044,42.4189,2425542
2014-03-12,42.1065,42.6853,41.7344,41.9779,3089646
2014-03-13,42.033,42.5843,41.5553,41.7941,2387169
2014-03-14,41.6931,42.033,41.3899,41.4083,1772035
2014-03-17,41.5461,41.7482,41.4083,41.7115,3359176
2014-03-18,41.8033,42.9426,41.7482,42.4648,3941559
2014-03-19,42.5016,42.8645,42.3004,42.5567,1372217
2014-03-20,42.4373,42.8415,42.3858,42.7588,975964
