date,open,high,low,close,volume
2014-01-02,28.0783,28.1627,27.2806,27.3181,781424
2014-01-03,27.29,27.4026,27.0366,27.2337,730534
2014-01-06,27.243,27.3275,27.0835,27.2149,686180
2014-01-07,27.2618,29.8613,27.1492,29.8472,3273940
2014-01-08,30.0959,31.6537,30.0021,30.8748,4505427
2014-01-09,30.9781,31.2877,30.4431,30.4995,1818494
2014-01-10,30.6027,30.6495,30.1147,30.3118,1663246
2014-01-13,30.3118,30.7434,30.171,30.4619,1324648
2014-01-14,30.6402,30.6778,30.3962,30.5182,1483043
2014-01-15,30.6308,31.8743,30.4638,31.1939,1417759
2014-01-16,31.0813,31.3065,30.8748,31.1939,843316
2014-01-17,31.2127,31.6725,31.0813,31.3816,1047921
2014-01-21,31.5693,31.7945,31.269,31.7851,943012
2014-01-22,31.757,32.0854,31.5224,32.0667,769915
2014-01-23,31.9071,32.0197,31.7288,31.9071,1422248
2014-01-24,31.832,31.832,30.5933,30.659,1125436
2014-01-27,30.7998,31.0156,30.3681,30.4901,928522
2014-01-28,30.537,30.7341,30.4431,30.6778,524244
2014-01-29,30.3587,30.6214,29.8144,30.1991,1020998
2014-01-30,30.4338,30.8279,30.3305,30.7528,626485
2014-01-31,30.2648,30.4431,29.7299,29.7675,1557388
2014-02-03,29.7956,30.0208,28.8478,28.8572,1390691
2014-02-04,28.9698,29.3358,28.6507,29.2607,921851
2014-02-05,29.0636,29.2701,28.6883,29.0542,710111
2014-02-06,29.0542,30.232,28.7417,30.2085,1713252
2014-02-07,29.2701,29.629,27.8089,28.8196,2975144
2014-02-10,29.073,29.1669,28.4912,28.6038,1171220
2014-02-11,28.5944,29.5329,28.5006,29.2138,1512733
2014-02-12,29.195,29.4484,29.0636,29.195,1012691
2014-02-13,28.8947,29.3311,28.8853,29.0449,1207285
2014-02-14,29.0731,29.2143,28.7436,29.0825,1376679
2014-02-18,28.8942,29.6286,28.8942,29.5815,1598840
2014-02-19,29.5721,29.7698,29.1861,29.3556,1015911
2014-02-20,29.3744,30.5371,29.3744,30.2688,1308826
2014-02-21,30.3629,30.9843,30.1558,30.8713,1210947
2014-02-24,30.9372,31.1867,30.7339,31.0691,1183540
2014-02-25,31.0691,31.1067,30.7584,30.8996,1186790
2014-02-26,30.9655,31.5869,30.8525,31.3609,1299288
2014-02-27,31.3327,31.3515,31.0455,31.2479,926988
2014-02-28,31.2668,32.2742,31.1444,32.1424,1531946
2014-03-03,31.907,32.2836,31.6057,32.2177,1981889
2014-03-04,32.6413,33.1309,32.4625,32.6696,2335317
2014-03-05,32.7167,33.2721,32.4854,32.952,2129825
2014-03-06,32.9614,33.3686,32.905,33.1592,1379279
2014-03-07,33.2251,33.2439,32.8955,33.1215,933403
2014-03-10,33.065,33.161,32.8861,33.0838,1245348
2014-03-11,33.0933,33.1309,32.6508,32.8579,2352001
2014-03-12,32.679,32.8955,32.4154,32.8296,935936
2014-03-13,32.952,33.0273,32.1706,32.2694,1600651
2014-03-14,32.2836,32.5331,32.1047,32.1329,1211526
2014-03-17,32.293,32.6131,32.1518,32.3306,859318
2014-03-18,32.3683,32.8861,32.1988,32.5849,959003
2014-03-19,32.5943,32.9332,32.2271,32.3777,702139
2014-03-20,32.2836,32.6319,32.0859,32.6225,585367
2014-03-21,33.0085,33.5687,32.5849,33.1215,1921343
2014-03-24,33.2062,33.3192,32.9709,33.1309,1371692
2014-03-25,33.2533,33.3945,32.9426,33.1403,1078324
2014-03-26,33.2815,33.3851,32.8391,32.9614,813340
2014-03-27,32.8579,32.9897,32.5001,32.7355,1464086
2014-03-28,32.8579,33.2721,32.7355,33.1874,619666
2014-03-31,33.3286,33.9312,33.1121,33.8935,1354723
2014-04-01,33.95,34.6373,33.8935,34.5808,1008771
2014-04-02,34.6749,34.7879,34.3078,34.6467,1575947
2014-04-03,34.6655,34.9197,34.4772,34.835,1629864
2014-04-04,34.9668,35.1645,34.2889,34.4207,2101502
2014-04-07,34.3925,34.5337,33.2533,33.3851,1216212
2014-04-08,33.3098,33.4981,32.6508,32.8579,2330581
2014-04-09,32.952,33.4981,32.9144,33.4322,989554
2014-04-10,33.4887,33.6205,32.3024,32.453,990803
2014-04-11,32.2459,32.4625,31.9823,32.2459,1127050
2014-04-14,32.5284,32.7167,32.1988,32.5284,724798
2014-04-15,32.6696,33.2721,32.3684,33.0462,1056998
2014-04-16,33.3004,33.3659,32.952,33.2627,683011
2014-04-17,33.2251,33.7805,33.1309,33.6111,1234271
2014-04-21,33.7805,34.3266,33.6958,34.2419,1092215
2014-04-22,34.2136,35.0704,33.9688,35.0515,1673772
2014-04-23,35.0515,35.0515,34.5431,34.6938,1651674
2014-04-24,34.9197,35.2304,34.5902,35.0139,1913848
2014-04-25,34.3925,34.8444,32.952,32.9991,2402002
2014-04-28,32.7167,33.065,31.681,31.9541,2721455
2014-04-29,32.1329,32.1329,31.6245,31.8787,977142
2014-04-30,31.7281,32.2083,31.7281,32.0482,1037927
2014-05-01,32.1047,32.6696,32.0388,32.5378,959833
2014-05-02,32.4907,33.0933,32.3871,32.9803,957497
2014-05-05,32.8391,33.2345,32.6978,32.7543,1060694
2014-05-06,32.6319,32.7167,32.2365,32.3777,613024
2014-05-07,32.406,32.8296,31.6057,31.7658,1507071
2014-05-08,31.7375,32.3212,31.6245,31.907,945830
2014-05-09,31.8976,32.1894,31.6057,32.1518,835629
2014-05-12,32.3118,32.6413,32.0105,32.4907,706792
2014-05-13,32.4907,32.5189,32.0294,32.1424,441291
2014-05-14,32.1047,32.1329,31.6528,31.681,460169
2014-05-15,31.8411,31.8599,31.1538,31.5021,781267
