date,open,high,low,close,volume
2014-01-02,74.4,74.7542,73.44,73.5145,1206471
2014-01-03,73.5425,74.3721,73.4493,73.7755,825157
2014-01-06,74.1484,74.4,72.9739,73.2256,875452
2014-01-07,73.5239,74.3907,73.3374,73.9899,1006871
2014-01-08,73.8687,74.2509,73.5518,73.906,970017
2014-01-09,74.1111,74.5492,73.0019,73.4493,1432007
2014-01-10,73.9433,74.2229,73.44,73.5425,1393898
2014-01-13,73.5332,73.7662,72.4613,72.7409,2072974
2014-01-14,73.645,74.3907,73.0299,74.0831,1989848
2014-01-15,74.4187,75.8168,74.3068,74.9966,1713229
2014-01-16,74.894,75.1457,73.9619,74.9779,1140765
2014-01-17,75.3135,76.6557,74.894,76.4786,1580999
2014-01-21,77.0845,77.8768,76.4413,77.3082,1727939
2014-01-22,77.7742,78.231,77.3827,77.97,1556952
2014-01-23,77.2523,77.2523,75.416,75.5838,1936517
2014-01-24,74.9313,75.0339,72.2189,72.2189,1935521
2014-01-27,72.135,72.8994,70.4386,71.5105,1571124
2014-01-28,71.7249,72.4892,71.5944,72.2003,1356669
2014-01-29,71.3148,72.3587,70.4293,70.9513,1948678
2014-01-30,71.6037,71.7715,70.942,71.1657,1431100
2014-01-31,70.1403,71.3614,69.8421,70.8021,1205719
2014-02-03,70.7182,71.0724,68.5254,68.7795,1652313
2014-02-04,69.1803,70.3454,68.3414,70.1031,1405561
2014-02-05,69.6929,70.1217,69.0778,69.7768,1160287
2014-02-06,69.8514,71.3614,69.7955,70.8674,876317
2014-02-07,72.7316,72.7316,71.436,71.9673,1632308
2014-02-10,71.8181,72.5638,71.4732,72.1444,1328281
2014-02-11,72.3494,72.7502,72.1257,72.3774,1628851
2014-02-12,72.6943,74.95,72.6011,74.4746,2063147
2014-02-13,73.673,74.3441,73.0765,73.5145,1527277
2014-02-14,73.5425,74.4094,73.4297,74.2602,1633668
2014-02-18,74.8195,74.9593,73.6637,74.689,1927569
2014-02-19,74.9873,77.4573,74.6452,74.8008,3475792
2014-02-20,75.0245,75.416,74.3349,74.5771,2450218
2014-02-21,75.0339,75.0618,73.7382,73.8128,1414003
2014-02-24,73.8035,74.5585,73.3095,73.5705,1200127
2014-02-25,73.5984,73.9433,72.2003,72.4799,1994878
2014-02-26,72.8714,73.645,72.3401,73.0112,1848589
2014-02-27,73.0578,73.5332,72.4986,72.8528,1410954
2014-02-28,72.993,72.993,72.2359,72.6098,1954007
2014-03-03,71.6845,72.2546,71.3761,71.8901,1310277
2014-03-04,72.6191,73.5537,72.5257,73.2733,1680544
2014-03-05,73.4042,73.6191,72.7967,73.0303,1034899
2014-03-06,73.3761,75.0117,73.3481,74.8809,1426595
2014-03-07,75.4884,75.4884,74.2453,74.479,1261848
2014-03-10,74.0771,74.4883,72.7313,73.5163,1104332
2014-03-11,73.5724,73.8715,71.8621,72.1892,1225981
2014-03-12,71.6471,71.8574,70.8994,71.4509,1511157
2014-03-13,71.6471,71.7331,69.5629,70.0863,1683379
2014-03-14,69.8714,70.2452,69.3386,69.4695,1226884
2014-03-17,70.0676,70.9181,70.0396,70.0957,1262233
2014-03-18,69.0583,72.1331,69.0583,71.8621,1976579
2014-03-19,71.834,71.834,70.0116,70.4602,1469350
2014-03-20,70.3293,70.9368,69.9555,70.5162,1266163
2014-03-21,71.1237,72.0864,70.8807,71.6097,2353876
2014-03-24,71.6845,71.9649,70.5817,71.5163,1484620
2014-03-25,71.9462,72.6752,71.535,72.2359,1518588
