date,open,high,low,close,volume
2014-01-02,72.8525,73.1228,71.7528,72.0417,1400867
2014-01-03,72.2281,72.9364,72.0603,72.5636,896180
2014-01-06,72.8898,73.1506,71.7435,71.9858,971502
2014-01-07,72.0883,72.3958,71.5011,71.9858,1480266
2014-01-08,72.8805,72.8805,71.6596,71.9299,1478711
2014-01-09,72.079,72.8246,71.6316,71.7528,990225
2014-01-10,72.0696,72.3791,71.2682,71.7621,1000072
2014-01-13,71.6782,71.9392,70.0845,70.2709,1044182
2014-01-14,71.3986,71.9485,70.7462,71.9205,1567386
2014-01-15,71.9205,72.7873,71.6782,72.312,844018
2014-01-16,72.1442,72.4471,71.7994,71.8273,872732
2014-01-17,72.1069,72.2933,71.7248,71.8739,1018486
2014-01-21,72.3306,72.5822,71.0258,71.4825,821631
2014-01-22,71.7807,72.4331,71.2682,72.3306,838686
2014-01-23,72.1162,72.4238,70.5599,70.9792,1440265
2014-01-24,70.1871,70.3082,67.6894,68.0249,2536296
2014-01-27,68.0342,68.3511,66.9531,67.27,1153101
2014-01-28,67.5309,69.1992,67.5309,68.9848,962270
2014-01-29,67.5962,68.3697,66.4498,67.4564,2142218
2014-01-30,67.913,67.9317,67.2234,67.6055,1305885
2014-01-31,66.6083,67.9596,66.4312,67.4098,759377
2014-02-03,67.1675,67.6521,64.6325,64.968,2202103
2014-02-04,65.0519,66.4685,64.8282,66.2168,1209038
2014-02-05,65.872,66.5617,64.8562,66.0491,1475143
2014-02-06,66.105,67.4377,65.9,67.1022,661849
2014-02-07,67.5496,68.612,67.3539,68.5561,1021211
2014-02-10,68.4163,68.4163,67.3259,67.8944,1032015
2014-02-11,67.9596,69.2551,67.8105,68.9569,1572657
2014-02-12,68.9569,70.2989,68.9569,70.2896,1521698
2014-02-13,69.5999,71.7435,69.4881,71.2868,1146322
2014-02-14,71.5291,71.7341,70.7183,71.2402,1453623
2014-02-18,71.4359,71.6397,70.4294,71.0911,1329608
2014-02-19,71.4545,76.4406,71.4545,75.1172,3280200
2014-02-20,74.8749,76.0492,74.5953,76.0026,1714412
2014-02-21,75.8907,76.2915,75.4061,75.4714,1185337
2014-02-24,75.49,76.6494,75.4294,75.956,1484870
2014-02-25,75.9467,76.4499,75.3595,75.5739,1762055
2014-02-26,75.5832,76.3567,74.9122,75.0892,2049257
2014-02-27,75.1079,75.8125,74.8749,75.1172,1536776
2014-02-28,75.2384,76.1517,74.9029,75.6857,2058735
2014-03-03,74.9122,75.052,73.3837,73.9988,1218473
2014-03-04,75.0427,75.8115,74.5021,75.7323,1197473
2014-03-05,75.7416,75.9746,74.8376,75.2384,1007879
2014-03-06,75.2104,75.5646,74.9029,75.0427,1213396
2014-03-07,75.6298,75.7976,75.1545,75.3129,677586
2014-03-10,74.9961,75.2663,74.0361,74.148,737609
2014-03-11,74.2412,74.558,73.4117,73.5701,636153
2014-03-12,73.1787,73.3371,72.2654,72.8618,976392
2014-03-13,73.0762,73.4117,70.2616,70.5878,1394385
2014-03-14,70.4853,71.38,70.4107,70.8394,1113625
2014-03-17,71.4918,71.9765,71.2495,71.3148,1276626
2014-03-18,71.4079,72.3213,71.3241,71.9205,808970
2014-03-19,71.9299,72.0976,70.5971,71.2029,572027
2014-03-20,71.0818,71.6037,70.6437,71.3427,874335
2014-03-21,72.051,73.0016,70.7742,71.7994,1604563
2014-03-24,71.846,72.023,70.8022,71.3427,1101592
2014-03-25,72.0324,72.284,70.8674,71.1843,1061439
2014-03-26,71.4645,71.698,70.3998,70.4091,984122
2014-03-27,70.1756,70.5772,69.4378,70.1663,1222332
2014-03-28,70.5399,71.5205,70.0542,71.1002,613831
2014-03-31,72.4171,73.2016,71.5672,73.1642,1161638
2014-04-01,73.3137,73.9954,73.1035,73.6312,1107167
2014-04-02,73.6218,74.6977,73.3697,74.2382,791230
2014-04-03,74.2756,74.6212,72.9774,73.4351,938627
2014-04-04,73.7806,74.5091,72.2396,72.6879,776218
2014-04-07,72.5291,72.5572,70.9467,71.2964,1072248
2014-04-08,71.0722,72.2116,70.7267,71.5859,996641
2014-04-09,71.9221,72.772,71.4102,72.7066,879417
2014-04-10,72.6786,72.9401,70.9041,71.1002,712600
2014-04-11,70.5119,71.1563,69.9889,70.185,793249
2014-04-14,70.8387,71.287,69.7834,70.3531,714995
2014-04-15,70.4091,71.315,69.718,71.1936,914249
2014-04-16,71.9314,73.2576,71.8007,73.1922,879052
2014-04-17,73.407,74.2382,73.0428,73.818,888262
2014-04-21,73.6125,74.2382,73.0344,74.2102,798088
2014-04-22,74.0982,74.4344,73.4444,73.5098,1220806
2014-04-23,73.5565,73.9487,72.9681,72.9681,1268838
2014-04-24,72.3704,72.3704,68.1864,69.0736,4158497
2014-04-25,68.5132,69.9422,67.9622,68.0556,1642334
2014-04-28,68.2798,68.8121,66.4773,67.4205,1463737
2014-04-29,67.7194,68.0369,66.7481,67.2711,1182100
2014-04-30,67.3645,68.4105,67.019,68.2237,1042122
2014-05-01,68.1957,69.0456,67.7941,68.6814,810211
2014-05-02,68.5599,69.9305,68.5506,69.5873,1387693
2014-05-05,69.0082,69.9748,68.7841,69.8394,749909
2014-05-06,69.4939,69.7367,69.1483,69.4472,1073577
2014-05-07,69.6153,70.5492,69.1773,70.4652,821882
2014-05-08,70.3064,71.2123,69.8394,70.0636,466618
2014-05-09,69.9515,70.0822,68.9998,69.9328,461590
2014-05-12,70.5679,71.9314,70.5679,71.8754,821603
