date,open,high,low,close,volume
2014-01-02,71.6578,71.7625,70.7629,70.9533,605886
2014-01-03,70.7629,71.2199,70.6011,70.7058,381450
2014-01-06,71.0771,71.0771,70.2108,70.2488,588313
2014-01-07,70.4297,71.1342,70.1251,70.7344,768462
2014-01-08,70.7153,71.1342,70.2869,70.8486,822517
2014-01-09,71.0961,71.5436,70.6106,70.7915,508496
2014-01-10,70.9724,71.1342,70.4297,70.6582,811544
2014-01-13,70.2964,70.582,69.2778,69.3539,664274
2014-01-14,69.3825,70.544,69.3825,70.5249,780301
2014-01-15,71.2389,72.1386,71.1342,72.0957,973407
2014-01-16,71.9625,72.3433,71.9339,72.0957,556720
2014-01-17,72.1719,72.3052,71.6911,71.8958,437054
2014-01-21,72.3528,72.9525,71.9244,72.1529,980939
2014-01-22,72.2005,72.3528,71.7054,72.2861,667870
2014-01-23,71.6578,71.8577,70.1441,70.582,918683
2014-01-24,69.9156,70.0394,68.183,68.183,825305
2014-01-27,68.0402,68.916,67.3642,68.2496,889110
2014-01-28,68.2877,68.6971,68.0783,68.2306,439361
2014-01-29,67.7926,68.9351,67.7546,68.2211,640225
2014-01-30,68.6685,68.7256,67.9831,68.4115,566154
2014-01-31,67.5356,68.1449,67.1738,67.2405,992337
2014-02-03,67.1929,67.6213,65.2317,65.5649,1341625
2014-02-04,65.9553,66.9358,65.4317,66.1838,1054095
2014-02-05,65.8315,66.4694,64.5463,66.1552,1577658
2014-02-06,65.9553,69.0588,64.0798,68.1259,3118495
2014-02-07,68.2877,68.7351,67.0215,68.0878,1537631
2014-02-10,67.8117,68.1735,67.25,68.0687,810680
2014-02-11,68.2687,69.1445,68.1449,68.7351,980310
2014-02-12,68.897,69.3063,68.2972,68.3734,777768
2014-02-13,68.0402,68.8684,67.6594,68.6971,520720
2014-02-14,68.659,69.7728,68.4495,69.4301,767003
2014-02-18,69.2587,69.6491,69.0874,69.2873,843054
2014-02-19,69.2873,69.9728,68.916,69.1731,873235
2014-02-20,69.2683,69.7633,68.8494,69.5729,504371
2014-02-21,69.7824,69.8776,69.135,69.2111,458856
2014-02-24,69.0874,69.6015,68.7637,68.8494,824138
2014-02-25,68.897,69.4967,68.6019,69.1826,748632
2014-02-26,69.373,71.6578,69.2778,71.6007,1412299
2014-02-27,71.6102,73.1715,71.6008,72.5908,1835695
2014-02-28,72.8859,74.571,72.7812,73.4762,1718969
2014-03-03,72.6955,73.3048,72.1671,73.1715,754172
2014-03-04,73.9046,74.4282,73.4476,74.333,849060
2014-03-05,74.2092,74.3806,73.6666,74.0283,1082677
2014-03-06,74.0569,74.6566,74.0188,74.333,902819
2014-03-07,74.5614,74.7994,74.0759,74.133,968673
2014-03-10,79.9117,79.9117,77.5317,79.1121,3500960
2014-03-11,78.2267,78.5884,76.8939,77.2461,1776771
2014-03-12,76.7987,76.951,76.1608,76.3988,1709600
2014-03-13,76.8082,77.3794,75.7895,76.2941,1169721
2014-03-14,76.3036,76.7035,75.1898,75.1993,753894
2014-03-17,75.3992,76.4369,75.1193,75.9514,1397085
2014-03-18,75.761,76.494,74.4091,75.3135,1957866
2014-03-19,75.3707,75.5687,73.7998,74.1902,1148801
2014-03-20,74.1235,75.3802,73.975,75.3421,1225764
2014-03-21,75.9895,76.4274,75.1136,75.1136,3437133
2014-03-24,75.6753,76.0085,74.3044,74.7138,875905
2014-03-25,75.2183,75.7277,74.4282,74.4948,572834
2014-03-26,74.7423,74.9613,72.8383,72.8669,1078515
2014-03-27,74.1737,74.1737,72.905,73.5918,1170283
2014-03-28,73.6777,74.2214,72.7906,72.9241,1079162
2014-03-31,73.2103,73.4106,72.4472,73.029,1774649
2014-04-01,73.63,73.9066,72.9527,73.754,1195715
2014-04-02,73.5823,74.8319,73.4964,74.7269,1156414
2014-04-03,74.8605,75.2611,74.2119,74.6316,994916
2014-04-04,75.1943,75.4901,73.0863,73.1912,817210
2014-04-07,73.0577,73.5155,72.0561,72.2564,1113632
2014-04-08,72.4663,73.2389,72.1038,72.9718,893615
2014-04-09,73.1244,74.0402,72.8669,74.0402,620833
2014-04-10,73.9257,74.126,72.0465,72.0465,761383
