date,open,high,low,close,volume
2014-01-02,32.9564,33.5282,32.8325,33.3948,1978530
2014-01-03,33.4329,33.471,33.004,33.0326,1066731
2014-01-06,32.8515,33.1088,32.6514,32.6609,1660910
2014-01-07,32.68,33.0231,32.6514,32.7562,1465564
2014-01-08,32.8706,32.8706,32.1463,32.213,1549172
2014-01-09,31.0407,31.4982,30.9264,31.0598,16682972
2014-01-10,30.974,31.3457,30.7262,31.298,9104705
2014-01-13,30.9835,31.2885,30.3259,30.4308,8807964
2014-01-14,30.3831,30.4355,29.9257,30.3355,4435425
2014-01-15,30.2973,30.812,30.1449,30.4784,6884168
2014-01-16,30.3545,30.5404,30.202,30.3259,3888025
2014-01-17,30.1544,30.3355,29.9257,29.9828,4310008
2014-01-21,29.8875,29.9828,29.6302,29.7732,6552379
2014-01-22,29.6874,30.183,29.6421,29.8875,5141566
2014-01-23,29.5826,29.8351,29.4873,29.573,4877361
2014-01-24,29.2776,29.4682,29.106,29.249,4141019
2014-01-27,29.1632,29.3824,28.8964,29.1156,3327744
2014-01-28,28.8678,29.4682,28.8392,29.2299,5160772
2014-01-29,28.7534,29.2871,28.6105,28.7915,5524326
2014-01-30,28.9631,30.2068,28.9631,29.8399,8395976
2014-01-31,29.3157,30.0305,29.3062,29.7732,7007619
2014-02-03,29.7636,29.8494,28.8106,29.0298,6073679
2014-02-04,29.1537,29.8399,29.0965,29.5826,5848006
2014-02-05,29.0679,29.7922,28.925,29.6874,5213768
2014-02-06,29.4205,30.6119,29.1918,30.0877,5960021
2014-02-07,30.0305,30.2688,29.7915,30.0877,4940528
2014-02-10,30.2497,30.2497,29.8113,29.9638,2695531
2014-02-11,29.7636,30.1925,29.6969,30.0305,3112726
2014-02-12,29.8018,30.4117,29.8018,30.3164,6833230
2014-02-13,30.1735,30.5261,29.9638,30.0972,4912059
2014-02-14,30.183,30.5356,30.0496,30.3355,2598549
2014-02-18,30.6119,30.8311,30.4117,30.6309,4655702
2014-02-19,30.4498,30.6786,30.3831,30.3927,3972844
2014-02-20,30.3545,30.4784,29.9733,30.3069,4463007
2014-02-21,30.4975,30.7739,30.2831,30.6214,3234926
2014-02-24,30.5451,31.1456,30.5451,30.7834,2665487
2014-02-25,30.7929,30.9645,30.6214,30.7167,2675224
2014-02-26,30.8215,30.8501,30.4355,30.4498,3658230
2014-02-27,30.3259,30.669,30.3259,30.6119,2685397
2014-02-28,30.8025,31.2027,30.6786,31.0217,3518003
2014-03-03,30.9359,31.0169,30.3974,30.5833,2074564
2014-03-04,30.974,31.3171,30.8168,31.2218,3713154
2014-03-05,31.0693,31.746,30.9359,31.4791,2505778
2014-03-06,31.6507,32.0891,31.4658,31.8889,3362722
2014-03-07,32.1653,32.1749,31.5458,31.584,3241957
2014-03-10,31.5888,31.7801,31.3018,31.5122,2829974
2014-03-11,31.3783,31.4453,30.7182,30.8808,4401597
2014-03-12,30.8426,30.9047,30.5556,30.6704,3823838
2014-03-13,30.9287,30.9287,30.039,30.0868,3271267
2014-03-14,30.1442,30.4121,29.9911,30.2686,2529711
2014-03-17,30.4982,30.6991,30.2829,30.4216,3332715
2014-03-18,30.4312,31.0052,30.2877,30.8426,3796416
2014-03-19,30.7947,30.9574,30.5077,30.613,4756811
2014-03-20,30.4695,30.6751,30.2686,30.4216,6854610
2014-03-21,30.9287,31.0626,30.4264,30.4503,4422428
2014-03-24,30.6225,30.6225,29.9911,30.1165,2956683
2014-03-25,30.3355,30.479,30.0294,30.2686,4081166
2014-03-26,30.479,30.6895,29.9433,29.9433,2934203
2014-03-27,30.1825,30.1825,29.5702,29.6276,3967238
