date,open,high,low,close,volume
2014-01-02,51.2654,51.5319,50.2004,50.5843,1964533
2014-01-03,50.7225,51.5417,50.5152,51.2259,1736851
2014-01-06,51.3246,51.6207,50.8508,51.2259,1831726
2014-01-07,50.9989,51.2654,50.4856,50.6337,1316283
2014-01-08,50.6238,50.989,50.3178,50.7324,1693239
2014-01-09,50.8015,51.4036,50.4955,50.8113,1028253
2014-01-10,50.8607,51.6503,50.7817,51.6306,1345866
2014-01-13,51.67,51.67,50.3771,50.3869,2354528
2014-01-14,50.4067,51.2358,50.3672,51.2358,1427595
2014-01-15,51.2061,51.3147,50.4758,50.535,1656429
2014-01-16,50.3376,50.7521,50.155,50.4165,1197158
2014-01-17,50.4363,50.6436,50.1599,50.3376,1648493
2014-01-21,50.762,51.5023,50.3376,50.6337,1526646
2014-01-22,50.9495,51.0285,50.3474,50.9199,1489561
2014-01-23,50.4659,50.8706,49.5381,49.5381,2837652
2014-01-24,49.0545,49.8342,48.3463,48.7584,3159820
2014-01-27,48.8472,48.9755,48.1859,48.2945,2642408
2014-01-28,48.0971,48.561,47.7023,48.5511,2108333
2014-01-29,48.0872,48.709,47.87,48.2649,2230396
2014-01-30,48.5116,49.3111,48.3932,49.2617,2254822
2014-01-31,48.6498,49.3703,48.403,48.7978,1555872
2014-02-03,48.8176,49.0939,48.1069,48.3043,2276388
2014-02-04,48.3636,49.2815,48.2846,49.0742,2215765
2014-02-05,48.8768,48.9064,47.9885,48.7584,2610005
2014-02-06,48.9558,50.0662,48.7682,49.3012,3679433
2014-02-07,47.3765,50.2487,46.9817,47.7417,8239521
2014-02-10,47.9589,48.7485,47.5049,48.4721,4101959
2014-02-11,49.0643,49.9526,48.8768,49.6171,2730658
2014-02-12,49.8836,50.4067,49.6862,50.002,2090517
2014-02-13,49.9625,51.2851,49.7454,50.6929,2084244
2014-02-14,50.6633,50.7719,50.1007,50.5745,1671870
2014-02-18,50.6436,50.8804,49.8836,50.2882,1913392
2014-02-19,49.9823,50.6337,49.7454,49.8638,1672478
2014-02-20,49.8539,50.2389,49.6368,50.1599,1254939
2014-02-21,50.1599,50.2191,49.3604,49.3703,1504519
2014-02-24,49.7158,50.4264,49.5085,50.002,1555327
2014-02-25,49.8046,49.9526,48.9558,49.4493,2781219
2014-02-26,49.8243,50.7521,49.3999,49.548,1452188
2014-02-27,49.548,49.7651,48.6745,49.3407,1666190
2014-02-28,49.3308,49.8539,49.0446,49.5874,1976049
2014-03-03,49.3111,50.081,48.9291,49.0545,1286851
2014-03-04,49.5973,49.8737,49.3407,49.4986,1252316
2014-03-05,49.6269,50.0513,49.4098,50.0316,2122423
2014-03-06,50.3178,51.8971,50.2586,51.8872,2921540
2014-03-07,51.8576,52.8248,51.8082,52.5781,3687952
2014-03-10,52.203,52.3412,51.8501,52.2129,1879404
2014-03-11,52.3313,52.7163,51.216,51.2752,1242707
2014-03-12,50.841,50.9594,50.3376,50.6633,1157816
2014-03-13,50.6732,50.9199,49.7355,49.9921,1627308
2014-03-14,49.9625,50.7126,49.8243,50.683,1399008
2014-03-17,50.762,51.1371,50.3178,50.5646,985090
2014-03-18,50.5547,50.8706,50.456,50.6436,1112698
2014-03-19,50.6534,50.8015,50.2093,50.5449,939606
2014-03-20,50.4758,51.7678,50.456,51.7293,1610373
2014-03-21,52.3017,53.19,51.6997,51.8576,2654616
2014-03-24,51.9859,52.3511,51.3147,51.3838,689251
2014-03-25,51.6404,51.9563,51.3739,51.6207,738136
2014-03-26,51.8971,52.0352,51.1469,51.295,1177674
2014-03-27,51.295,51.7786,50.989,51.0384,1263633
2014-03-28,51.1173,51.8971,50.841,51.7293,1683425
2014-03-31,51.8773,52.0747,51.4529,51.6108,985979
2014-04-01,51.6799,52.509,51.5417,52.1932,1531560
2014-04-02,52.3116,53.5552,52.1833,53.2986,2458472
2014-04-03,53.3874,53.5454,53.0617,53.2789,1928221
2014-04-04,53.7625,54.6113,53.4664,53.9797,2032636
2014-04-07,53.9106,53.9106,52.6077,52.6669,1119242
2014-04-08,52.6669,53.2986,52.509,52.8347,996398
2014-04-09,52.9532,53.1111,52.0648,52.6867,1067786
2014-04-10,52.6274,53.4368,52.1142,52.3807,1591650
2014-04-11,51.3246,51.8329,50.8785,51.4825,2568977
2014-04-14,51.601,52.3807,51.4036,51.7687,1908124
2014-04-15,52.0155,53.1407,51.8082,52.9729,1511523
2014-04-16,53.5256,54.0093,53.1506,53.9204,1502553
2014-04-17,54.1376,54.3448,53.5256,54.0882,1078331
2014-04-21,54.1376,55.0012,54.029,54.6015,1345886
2014-04-22,54.2659,54.8581,53.9303,54.7002,1650748
2014-04-23,57.4737,58.51,56.8124,56.9999,4217562
2014-04-24,57.2072,57.4835,56.3287,56.4274,2085650
2014-04-25,56.8222,57.0591,55.6191,56.0622,2014314
2014-04-28,56.4965,56.5163,55.2825,55.7661,1831330
2014-04-29,56.23,56.9209,55.4602,55.4898,1902074
2014-04-30,55.5589,56.1511,55.2332,55.9635,2124160
2014-05-01,55.9142,56.2498,55.2628,55.7365,1612628
2014-05-02,55.7267,56.2596,55.5786,55.8254,835531
2014-05-05,55.6378,56.4077,55.4503,56.2893,1369984
2014-05-06,57.2467,57.296,56.3682,56.536,1669295
2014-05-07,56.6643,57.0098,55.6971,55.855,1390127
2014-05-08,55.7563,56.2202,55.1937,55.3022,1263369
2014-05-09,55.3812,55.628,54.71,55.2332,914373
2014-05-12,55.322,55.6477,54.6706,55.2233,1296312
2014-05-13,55.4009,56.2794,55.3615,55.776,1716755
2014-05-14,55.6674,56.0524,54.9568,55.0752,1244611
2014-05-15,54.8976,55.0456,53.6737,54.8087,1241752
2014-05-16,54.6508,54.9963,54.1771,54.6903,1050155
2014-05-19,54.5817,55.4404,54.4435,54.9173,896113
2014-05-20,54.7199,55.0703,54.5028,54.7989,1246155
2014-05-21,54.9765,55.549,54.9309,55.3516,1614128
2014-05-22,55.5786,56.1017,55.1443,55.3615,1309272
2014-05-23,55.4207,56.003,55.3417,55.9734,1362514
2014-05-27,56.388,56.9012,55.9438,56.8617,1682317
2014-05-28,56.842,56.9012,55.7859,56.5558,1438536
2014-05-29,56.5261,57.2368,56.3189,57.148,1107251
2014-05-30,57.2467,57.4046,56.9703,57.3059,1272678
2014-06-02,57.3454,57.6119,56.536,57.1578,1043465
2014-06-03,57.1578,57.602,56.7482,57.5428,916427
2014-06-04,57.4243,58.4804,56.9407,58.2435,1448910
2014-06-05,58.0955,58.3028,57.5132,58.1448,1135511
2014-06-06,58.3324,58.51,58.056,58.0955,1886421
2014-06-09,57.9178,58.4903,57.7204,58.3817,1380587
2014-06-10,58.2238,58.4804,58.1547,58.362,1102119
2014-06-11,58.3817,58.3916,57.8882,58.2337,1080067
2014-06-12,58.2732,58.7568,58.1646,58.4409,1044347
2014-06-13,58.5396,58.5693,57.8389,58.0856,1589843
2014-06-16,58.283,58.3126,57.7599,58.2337,1623613
2014-06-17,58.2633,58.51,57.8783,58.0856,1112068
2014-06-18,58.0856,58.9246,57.7796,58.895,1580347
2014-06-19,59.1417,59.1911,58.51,59.1911,769210
2014-06-20,59.3293,60.7012,59.2207,60.7012,2752671
2014-06-23,60.869,61.6191,60.6913,61.0861,2067114
2014-06-24,61.0269,61.5105,60.0991,60.2472,1416042
2014-06-25,60.0004,60.7802,59.882,60.7407,651314
2014-06-26,60.6321,60.79,59.2799,59.4773,1645097
2014-06-27,59.2207,59.5859,58.8604,59.4674,1262026
2014-06-30,59.7043,60.2965,59.3885,60.2768,1326750
2014-07-01,60.5926,60.5926,59.1418,59.3293,2126288
2014-07-02,59.4872,59.8129,58.9246,59.4674,1556929
2014-07-03,52.9926,55.2332,52.3017,55.0851,3009047
2014-07-07,59.9905,60.0202,58.512,58.816,1674232
2014-07-08,58.6976,59.1911,58.3817,59.1417,1722616
2014-07-09,59.3293,59.7285,58.9641,59.7043,1131500
2014-07-10,59.2898,59.2947,58.4706,58.6976,2090551
2014-07-11,58.6877,58.816,58.0659,58.4015,1200152
2014-07-14,58.8259,59.5464,58.6482,59.3687,1182082
2014-07-15,59.0529,59.655,59.0529,59.497,1789906
2014-07-16,59.9116,60.5926,59.655,60.5828,1187199
2014-07-17,60.2669,60.7111,59.497,59.7241,1411960
2014-07-18,59.7833,60.1781,59.497,60.1386,1118979
2014-07-21,59.9017,60.4939,59.7241,60.109,1033284
2014-07-22,60.3656,60.9973,60.2373,60.5038,1321378
2014-07-23,62.2508,63.0602,61.2737,62.3989,2878166
2014-07-24,62.8726,63.0898,61.7869,61.8067,2477484
2014-07-25,61.8067,62.5864,61.6191,62.4581,1358304
2014-07-28,62.6555,62.8825,62.1028,62.695,1290508
2014-07-29,62.9516,62.9516,61.6487,61.6882,1557045
2014-07-30,61.7672,62.0238,61.1552,61.3625,1513750
2014-07-31,61.1059,61.3428,59.9511,60.0103,1955960
2014-08-01,59.6451,60.4347,58.7864,59.1713,2150478
2014-08-04,59.3983,61.2934,59.1022,61.1947,1790285
2014-08-05,60.8591,61.0664,59.4872,59.9905,1222884
2014-08-06,59.8228,61.1947,59.4872,60.3952,946461
2014-08-07,60.6025,60.6716,59.0331,59.2009,1459187
2014-08-08,59.5661,60.4742,59.0825,60.4446,1230336
2014-08-11,60.8098,60.9677,60.1485,60.2867,1015673
2014-08-12,60.188,60.2965,58.8752,59.2306,1479487
2014-08-13,59.5464,59.8524,59.2404,59.5168,1146829
2014-08-14,59.6846,59.8918,58.5396,58.6976,1151910
2014-08-15,58.9937,59.5267,58.6976,59.1812,1302159
2014-08-18,59.5859,59.7734,58.7568,59.0233,860105
2014-08-19,59.1319,59.6747,58.7667,59.6648,1314081
2014-08-20,59.428,60.0695,59.2602,59.9708,1249901
2014-08-21,59.9905,60.109,59.0331,59.9905,1058770
2014-08-22,59.8425,59.9313,58.8357,59.2503,785163
2014-08-25,59.6254,59.882,59.2898,59.803,787497
2014-08-26,60.0498,60.8394,59.6747,60.415,1002373
2014-08-27,60.4051,60.9282,60.03,60.7111,872279
2014-08-28,60.4643,60.9381,60.2274,60.79,968300
2014-08-29,60.8591,61.0664,60.5433,61.0368,1142712
2014-09-02,61.0368,61.1947,59.5168,59.5957,1151502
2014-09-03,59.4773,60.0893,58.8061,58.9048,1690012
2014-09-04,58.8357,58.9344,55.1739,56.309,3813798
2014-09-05,56.2399,56.9999,55.8945,56.8025,2374795
2014-09-08,56.4373,56.4373,54.9437,55.5194,1995293
2014-09-09,55.4799,56.8716,55.2505,56.23,2202303
2014-09-10,56.3978,56.8321,55.7069,56.6545,1752387
2014-09-11,56.2103,56.9506,55.9083,56.8124,1284310
2014-09-12,56.5755,56.6298,55.7464,55.9537,1719328
2014-09-15,55.7958,56.2103,55.2825,55.776,1275531
2014-09-16,53.2986,55.7661,53.2986,55.3417,2605459
2014-09-17,55.6477,55.8352,54.8581,55.1641,1606205
2014-09-18,55.4898,55.4898,54.5324,54.6015,1308068
2014-09-19,54.9568,55.095,54.5126,54.6113,1782398
2014-09-22,54.3646,54.5324,53.2394,53.8415,1608992
2014-09-23,53.8612,54.483,53.5158,53.8711,1449807
2014-09-24,53.5947,54.9074,52.7854,54.4534,3076121
2014-09-25,54.2955,54.4238,53.5059,53.6145,2974420
2014-09-26,53.4664,53.9797,53.042,53.8513,1797055
2014-09-29,53.3085,53.7329,52.7261,53.5059,1334428
2014-09-30,53.3973,54.0389,53.1407,53.6046,2780472
2014-10-01,53.4861,53.9303,52.3117,52.5584,2450623
2014-10-02,52.1537,52.1733,50.7324,51.8181,4481761
2014-10-03,51.9267,52.2228,51.295,51.7293,2233736
2014-10-06,51.9069,52.6669,51.6108,51.749,1482125
2014-10-07,51.5319,52.8742,51.3443,51.6602,2198095
2014-10-08,51.4036,52.9729,50.683,52.8841,2827943
2014-10-09,52.5386,52.6758,50.3474,50.6534,3280064
2014-10-10,50.6929,51.295,49.0347,50.4363,3486011
2014-10-13,50.4462,51.0778,48.936,49.0347,2796134
2014-10-14,49.4394,49.9181,48.1464,48.4129,2787201
2014-10-15,47.6628,49.1729,47.1693,48.8867,3470251
2014-10-16,47.6628,50.3178,47.6529,50.15,3146078
