date,open,high,low,close,volume
2016-07-01,,,,49.1048,0
2016-07-05,48.966,53.8626,47.9698,48.173,6230697
2016-07-06,46.6565,48.173,45.8833,47.3305,6706473
2016-07-07,47.2017,47.5783,46.9291,47.3206,5486829
2016-07-08,47.5387,50.1654,47.1124,49.759,4243498
2016-07-11,48.7777,50.7799,48.5497,50.6709,6042339
2016-07-12,50.552,50.6114,49.8185,50.1257,5552928
2016-07-13,50.1257,50.6511,49.3922,50.1753,4864712
2016-07-14,49.8878,51.2855,49.5112,51.117,3481590
2016-07-15,51.3251,51.454,50.1654,50.7799,3689804
2016-07-18,50.324,51.1269,50.0663,50.8394,1557534
2016-07-19,50.5916,51.107,49.9969,51.0971,1954651
2016-07-20,51.3846,51.4639,49.5707,49.8978,3351687
2016-07-21,49.9572,50.1753,49.5508,49.7986,3037115
2016-07-22,49.5607,49.8482,48.857,48.966,2450622
2016-07-25,48.7876,49.0156,47.4395,48.5497,3044828
2016-07-26,48.1334,48.9858,47.8559,48.8471,1571409
2016-07-27,48.6488,49.0651,48.287,48.4902,1628596
2016-07-28,48.3118,48.6587,47.9203,48.2226,2923057
2016-07-29,48.0343,48.3713,47.5882,47.7865,4484073
2016-08-01,47.6873,48.0838,47.1719,47.3801,2980989
2016-08-02,47.0827,47.5981,46.7655,47.0827,3267301
2016-08-03,47.0827,49.0453,46.934,48.8471,4709939
2016-08-04,49.1543,49.6698,49.0453,49.5905,3046799
2016-08-05,49.8185,50.5321,49.8185,50.1356,2665875
2016-08-08,50.1852,50.4231,49.5013,49.6103,2116463
2016-08-09,48.3019,50.0861,47.9951,50.0167,1077911
2016-08-10,50.0266,50.3537,49.6599,50.0068,1182411
2016-08-11,50.2843,52.2469,50.2546,52.0883,1992681
2016-08-12,51.5432,52.4055,51.3449,52.2469,1287802
2016-08-15,52.4848,53.2976,52.3956,53.1886,1457937
2016-08-16,53.1093,53.476,52.802,53.0796,1002284
2016-08-17,53.1985,53.258,52.8714,52.9408,1032288
2016-08-18,52.7525,53.0498,52.465,52.693,874672
2016-08-19,52.4848,52.4848,51.2557,51.4639,1196193
2016-08-22,51.4639,51.5828,50.6313,50.8097,1081677
2016-08-23,50.9088,51.6423,50.6907,51.4442,2513773
2016-08-24,50.8784,51.3945,50.2274,50.9876,692793
2016-08-25,50.799,51.5037,50.6005,51.2357,1384867
2016-08-26,51.2556,51.9504,51.1464,51.4839,937562
2016-08-29,51.3945,52.397,51.1762,52.0198,1044848
2016-08-30,51.8015,53.072,51.8015,52.2184,952121
2016-08-31,52.0794,52.4268,51.6129,52.2779,1653599
2016-09-01,52.5658,52.7146,51.7519,52.2382,959371
2016-09-02,52.6253,53.072,52.4169,52.9826,840803
2016-09-06,53.1017,53.1514,51.9007,52.3375,1293788
2016-09-07,52.0397,52.7246,51.6328,52.5459,1743200
2016-09-08,52.2878,52.5658,51.8809,51.9404,1097798
2016-09-09,51.3846,51.6228,50.1737,50.1737,2170702
2016-09-12,49.6476,51.0571,49.4888,50.8288,1862444
2016-09-13,50.4814,51.0174,49.598,49.6675,1607116
2016-09-14,49.6774,50.1241,49.2705,49.6476,1152272
2016-09-15,49.6079,50.2233,49.1315,50.1141,1417223
2016-09-16,49.737,50.0149,49.0521,49.8859,2351863
2016-09-19,50.0347,51.0223,50.005,50.402,975306
2016-09-20,50.402,50.6997,49.8362,49.8759,1070439
2016-09-21,50.0943,50.6303,49.8462,50.6005,850841
2016-09-22,50.9677,51.603,50.9082,51.2556,1649215
2016-09-23,50.9181,51.196,50.273,50.5012,807188
2016-09-26,50.2829,51.1067,49.9256,50.8387,1066265
2016-09-27,50.7196,51.3945,50.67,51.2258,1196391
2016-09-28,51.3548,51.3846,50.9677,51.335,905666
2016-09-29,50.7097,51.2258,50.2531,50.3226,1458059
2016-09-30,50.7395,50.8883,49.9057,50.5211,1952443
2016-10-03,50.2332,51.2753,50.2332,51.0074,1361493
2016-10-04,50.8784,51.067,50.1836,50.4318,1212754
2016-10-05,50.6402,50.9132,50.2233,50.5608,884504
2016-10-06,50.4516,50.5906,50.1241,50.3226,764013
2016-10-07,50.1241,50.4318,49.4988,49.5583,1055658
2016-10-10,49.8561,49.9454,49.5285,49.5782,1021172
2016-10-11,49.5484,49.7866,48.6551,48.8536,1401859
2016-10-12,49.0323,49.0323,48.2878,48.6253,1620016
2016-10-13,48.268,49.3102,47.6427,48.4566,1209563
2016-10-14,48.7047,49.5633,48.4467,49.0918,872344
2016-10-17,49.1911,49.2203,48.5459,48.6948,1116544
2016-10-18,49.2804,49.9454,48.6352,48.7246,1152647
2016-10-19,48.9032,49.4253,48.0993,49.0223,759918
2016-10-20,48.7742,48.8139,48.0794,48.3375,1419279
2016-10-21,47.861,48.5261,47.7717,48.3077,1706970
2016-10-24,48.5062,48.8933,48.0,48.1886,1269604
2016-10-25,48.139,48.139,47.5037,47.5633,1279439
2016-10-26,47.4442,47.7618,47.1861,47.4144,1574685
2016-10-27,47.335,47.335,46.4615,47.1365,3144196
2016-10-28,49.8561,51.3051,49.3598,49.8362,3978783
2016-10-31,49.8362,50.9677,49.6675,50.67,1561747
2016-11-01,50.5608,50.6402,49.6179,50.1141,1775822
2016-11-02,50.0744,50.7692,49.9057,49.9454,879788
2016-11-03,49.9156,50.8189,49.6179,50.6005,1145737
2016-11-04,50.6402,51.2754,50.1638,50.7295,1568224
2016-11-07,51.1861,51.6824,50.6551,51.4045,1413931
2016-11-08,51.4938,52.4069,50.9876,52.2581,1165927
2016-11-09,51.603,53.5285,51.5179,53.062,1673874
2016-11-10,53.5484,54.928,53.2953,53.7965,1796173
2016-11-11,53.6873,54.3325,52.8834,53.0025,1431376
2016-11-14,53.2605,53.6576,53.0918,53.4194,2630365
2016-11-15,53.5385,54.0447,53.2903,53.7171,1703435
2016-11-16,53.3896,54.0496,53.3102,54.0347,1533521
2016-11-17,53.9752,54.2531,53.5186,54.0943,933070
2016-11-18,54.0744,54.3424,53.6873,54.2233,1214944
2016-11-21,53.8462,54.7494,53.598,54.4218,1391314
2016-11-22,54.402,55.4256,54.2231,55.0281,1333194
2016-11-23,55.2666,55.5846,54.9287,55.4554,1052992
2016-11-25,55.7337,55.8033,55.1076,55.6244,489276
2016-11-28,55.7337,55.8927,54.9784,55.2467,1054130
2016-11-29,55.0181,55.6343,54.8691,54.9386,1077962
2016-11-30,55.3064,55.8082,54.4616,54.6504,4718924
2016-12-01,54.7995,54.8691,53.6663,53.8554,3325307
2016-12-02,53.9548,54.6902,53.6765,54.1436,2545434
2016-12-05,54.4318,54.551,53.2392,53.5771,1420805
2016-12-06,53.6367,53.7858,53.2094,53.6665,2281347
2016-12-07,53.6665,54.069,53.0802,53.9051,3285698
2016-12-08,54.0343,54.1237,53.105,53.3485,2203150
2016-12-09,53.1796,53.8256,52.9907,53.6665,1441365
2016-12-12,53.5473,54.0343,53.4082,53.6566,1530219
2016-12-13,53.9448,54.1138,52.9212,53.5175,2752022
2016-12-14,53.5572,54.9933,53.5373,53.915,1559674
2016-12-15,53.8752,54.9486,53.597,54.4715,1578075
2016-12-16,54.5212,54.6802,54.0641,54.4914,2646114
2016-12-19,54.4715,54.6902,54.0541,54.6206,1169327
2016-12-20,54.8989,55.1175,54.4715,54.7101,1187882
2016-12-21,54.6306,54.6306,53.587,53.7858,1469792
2016-12-22,53.7858,54.6405,53.3585,53.756,1543310
2016-12-23,53.9945,54.4219,53.438,54.1734,521727
2016-12-27,54.4119,54.5014,53.7759,54.1237,915355
2016-12-28,54.3225,54.3225,53.1398,53.4181,602736
2016-12-29,53.6566,53.8057,53.2591,53.6765,497171
2016-12-30,53.8653,54.1436,53.0603,53.2988,705431
2017-01-03,53.5572,53.8495,52.6628,53.3982,1615079
2017-01-04,53.7858,54.1933,53.6367,53.915,1487117
2017-01-05,53.9945,54.3622,53.3783,53.6069,1429980
2017-01-06,53.5672,53.8653,53.0603,53.5373,1260009
2017-01-09,53.6864,53.8653,53.2591,53.3982,743335
2017-01-10,53.3982,53.7461,53.1498,53.4678,1311612
2017-01-11,53.4479,53.5473,52.9311,53.3286,3691727
2017-01-12,53.1398,53.5572,53.0305,53.3386,2030174
2017-01-13,54.0641,54.8194,54.0641,54.4219,1439364
2017-01-17,54.1038,54.1933,53.3386,53.7957,1235536
2017-01-18,53.7759,54.0641,53.5175,53.8057,1346076
2017-01-19,53.8951,54.3423,53.6665,53.9349,821079
2017-01-20,54.084,54.3423,53.8752,54.1833,1822897
2017-01-23,53.9846,54.4715,53.2591,53.7759,1372830
2017-01-24,53.9746,54.6504,53.7547,54.3622,1710517
2017-01-25,54.6007,54.9983,54.3622,54.8293,1755924
2017-01-26,54.6604,55.6343,54.4219,55.3461,2298667
2017-01-27,55.3859,55.6542,55.207,55.5846,1568686
2017-01-30,55.5846,55.5846,54.4119,55.0977,1570608
2017-01-31,54.8989,55.197,54.5709,54.9685,1792769
2017-02-01,55.1275,55.3064,54.4664,54.7896,1159728
2017-02-02,54.4616,55.1573,54.1635,54.8691,1895180
2017-02-03,55.2169,56.3002,54.7299,55.6741,1447427
2017-02-06,55.356,55.5946,55.1672,55.4654,879644
2017-02-07,55.6542,55.7735,55.2169,55.2964,1898017
2017-02-08,54.6306,56.0418,54.5455,55.8331,4628151
2017-02-09,55.8132,56.7971,55.8132,56.6679,1128318
2017-02-10,56.8368,57.0654,56.33,56.7971,1251218
2017-02-13,57.1052,57.6816,57.0257,57.1747,1187793
2017-02-14,57.1449,57.1747,56.5685,56.9362,1008695
2017-02-15,56.8865,57.3934,56.7285,57.2244,1022011
2017-02-16,57.3039,57.8804,56.4493,57.0356,1120430
2017-02-17,57.0555,57.3636,56.7772,57.3338,902052
2017-02-21,57.3338,57.8903,57.1747,57.771,1553170
2017-02-22,57.4825,57.8805,57.2636,57.4029,940437
2017-02-23,57.7213,57.8606,56.8357,56.975,1019326
2017-02-24,56.8059,57.6118,56.4477,57.5024,1846710
2017-02-27,57.3531,57.5919,57.184,57.3631,891555
2017-02-28,57.383,57.6019,57.0248,57.3631,1648764
2017-03-01,57.9302,58.9452,57.7909,58.6168,1436196
2017-03-02,58.6168,58.7163,58.0297,58.3382,1943679
2017-03-03,58.3183,58.587,58.0795,58.4377,1438432
2017-03-06,58.0297,58.368,57.7163,58.0397,1567188
2017-03-07,58.0795,58.2586,57.7213,57.9103,1664624
2017-03-08,57.9203,58.179,57.7312,57.8805,1290575
2017-03-09,57.7909,58.179,57.5422,57.7312,1308068
2017-03-10,57.9899,58.2586,57.6914,58.0198,1219101
2017-03-13,58.1591,58.6765,57.8009,58.4775,1573550
2017-03-14,58.1889,58.3581,57.9601,58.2586,951031
2017-03-15,58.4874,59.582,58.4874,59.4029,1783872
2017-03-16,59.4327,59.6217,59.1044,59.2138,1428077
2017-03-17,59.4327,59.5173,59.1442,59.2835,1929291
2017-03-20,59.3034,59.5521,58.6666,58.7064,1467799
2017-03-21,58.985,59.174,58.0496,58.2188,1860961
2017-03-22,58.2188,58.5272,57.9999,58.1989,1661136
2017-03-23,58.0198,58.5471,57.9999,58.2387,1054543
2017-03-24,59.8805,59.8805,58.6467,59.0148,1811179
2017-03-27,58.4277,59.0049,57.8606,58.786,943158
2017-03-28,58.7462,59.4725,58.4576,59.2934,817860
2017-03-29,59.5621,60.1093,59.2138,59.3531,1377032
2017-03-30,59.4228,59.6914,59.1541,59.3233,1155660
2017-03-31,59.2735,60.0994,59.0845,59.9203,1220824
2017-04-03,59.8606,60.3481,59.2437,59.8307,1918021
2017-04-04,59.8208,59.9999,59.5073,59.7213,1514787
2017-04-05,59.9601,60.4874,59.7611,59.9501,1389853
2017-04-06,59.97,60.4775,59.8506,60.2685,719920
2017-04-07,60.2785,60.3979,60.0496,60.169,521387
2017-04-10,60.1989,60.8059,60.169,60.6964,1224559
2017-04-11,60.3581,60.6665,60.1093,60.4675,2477402
2017-04-12,60.4874,60.6367,59.9302,60.1989,1546100
2017-04-13,60.1989,60.6168,59.9899,60.0297,1215355
2017-04-17,60.1989,60.2685,59.7661,60.179,978281
2017-04-18,59.8208,60.183,59.6964,59.97,1562969
2017-04-19,59.9899,60.3879,59.582,59.7113,1963931
2017-04-20,59.9601,60.5471,59.582,60.3083,1502677
2017-04-21,60.2884,60.3979,59.6763,59.7113,1391290
2017-04-24,60.4874,61.2337,60.378,61.1243,1269327
2017-04-25,61.4825,62.2287,61.3929,62.0198,1472022
2017-04-26,61.9899,62.4178,61.8009,61.9402,1303575
2017-04-27,61.9302,62.6963,61.7611,62.0098,1945756
2017-04-28,62.6466,63.9501,62.1889,62.9451,2403012
2017-05-01,63.2934,63.3332,61.8009,62.0297,1759044
2017-05-02,61.5223,62.0098,60.7959,61.8705,1505181
2017-05-03,61.6417,62.4078,61.4725,62.3581,976823
2017-05-04,62.3183,62.7959,62.2486,62.5073,819909
2017-05-05,62.5471,62.8456,62.169,62.8257,595382
2017-05-08,62.776,63.0447,62.4228,62.577,1791548
2017-05-09,62.6267,63.1143,62.1491,62.3879,826693
2017-05-10,62.2188,62.4974,61.9302,62.2586,1048468
2017-05-11,61.8705,62.3879,61.771,62.3083,591319
