date,open,high,low,close,volume
2014-01-02,15.9948,16.0579,15.8866,16.0218,7571718
2014-01-03,16.0218,16.1931,16.0209,16.13,7592073
2014-01-06,16.2202,16.2292,15.9407,15.9857,15343360
2014-01-07,16.0128,16.2292,15.9948,16.0849,9730161
2014-01-08,16.103,16.2112,15.9857,16.2112,9015969
2014-01-09,16.2382,16.3734,16.1841,16.2292,8262268
2014-01-10,16.3103,16.5222,16.2833,16.4907,9828919
2014-01-13,16.4726,16.5267,16.2021,16.2472,10196441
2014-01-14,16.2653,16.671,16.2653,16.671,10475343
2014-01-15,16.6439,16.7521,16.5267,16.5988,9358711
2014-01-16,16.5988,16.7792,16.5628,16.689,8110396
2014-01-17,16.7251,16.9595,16.707,16.9234,11381476
2014-01-21,17.0226,17.0361,16.7972,16.9144,11635393
2014-01-22,16.9144,17.239,16.8491,17.1308,11532803
2014-01-23,16.9956,17.1488,16.9234,17.1128,15890953
2014-01-24,16.9234,16.9234,16.3825,16.4185,19275825
2014-01-27,16.4816,16.7251,16.2743,16.4275,20673080
2014-01-28,15.3005,15.9046,14.9218,15.4177,41320721
2014-01-29,15.3276,15.6522,15.2825,15.4718,15090565
2014-01-30,15.589,15.7784,15.553,15.6702,9301155
2014-01-31,15.4628,15.6612,15.4177,15.5169,12660945
2014-02-03,15.589,15.6341,15.2374,15.3726,19568229
2014-02-04,15.4177,15.553,15.3185,15.4989,12050374
2014-02-05,15.4808,15.9136,15.4448,15.8235,14424184
2014-02-06,15.8235,16.3329,15.7874,16.3013,18087473
2014-02-07,16.2833,16.6016,16.1571,16.5538,17389768
2014-02-10,16.5177,16.7611,16.4726,16.6169,12893927
2014-02-11,16.5718,17.0947,16.5718,16.9505,15491117
2014-02-12,16.9595,17.2029,16.9505,17.1398,10749486
2014-02-13,16.9685,17.221,16.9054,17.212,9019759
2014-02-14,17.1308,17.3292,17.1308,17.23,10025141
2014-02-18,17.1759,17.3021,17.1128,17.2029,13754508
2014-02-19,17.1128,17.221,17.0497,17.0587,11401141
2014-02-20,17.0857,17.23,17.0587,17.1308,8443269
2014-02-21,17.1308,17.2525,17.0857,17.1939,12835042
2014-02-24,17.1669,17.5275,17.1579,17.4103,12403786
2014-02-25,17.4103,17.4554,17.239,17.3833,8853209
2014-02-26,17.3742,17.5373,17.3379,17.4648,8092221
2014-02-27,17.3379,17.5373,17.3379,17.5283,9252723
2014-02-28,17.5102,17.5645,17.2564,17.4648,11578496
2014-03-03,17.2111,17.3561,17.0751,17.2564,8396360
2014-03-04,17.5736,17.6733,17.3969,17.6733,20544887
2014-03-05,17.6733,17.9633,17.5464,17.8183,11179142
2014-03-06,17.8817,17.918,17.6733,17.7095,13693497
2014-03-07,17.8364,17.9271,17.7367,17.8002,8485566
2014-03-10,17.7458,17.8002,17.4558,17.5736,11030236
2014-03-11,17.5917,17.7005,17.3606,17.4558,8339703
2014-03-12,17.3742,17.5645,17.3379,17.492,8513962
2014-03-13,17.5192,17.6824,17.3108,17.3742,8771363
2014-03-14,17.2654,17.3289,17.0389,17.1023,13638365
2014-03-17,17.1839,17.3923,17.1657,17.3379,12153157
2014-03-18,17.3379,17.5917,17.3379,17.5011,8087350
2014-03-19,17.4467,17.5011,17.1413,17.2564,13186841
2014-03-20,17.2473,17.8228,17.2473,17.6008,12860894
2014-03-21,17.7458,17.8455,17.6189,17.6914,19273588
2014-03-24,17.773,17.85,17.5192,17.773,10662748
2014-03-25,17.8455,18.344,17.8002,18.1808,21216934
2014-03-26,18.4346,18.7518,18.3983,18.5162,19411291
2014-03-27,18.5162,18.8062,18.3258,18.5434,11889687
2014-03-28,18.5796,18.8062,18.4618,18.6793,9459093
2014-03-31,18.7246,19.0237,18.7246,18.8696,11764380
2014-04-01,18.9421,19.1234,18.9331,19.0056,9523832
2014-04-02,19.0237,19.4587,18.9421,19.359,14586557
2014-04-03,19.4134,19.7216,19.3862,19.5675,15741039
2014-04-04,19.6944,19.7306,19.1687,19.35,14030584
2014-04-07,19.2775,19.359,19.0872,19.1234,10383051
2014-04-08,19.0917,19.2717,18.924,19.0418,14925250
2014-04-09,19.0237,19.2503,19.0237,19.1778,10109139
2014-04-10,19.205,19.2955,18.779,18.8243,11011831
2014-04-11,18.4255,18.7065,18.3802,18.4709,17334390
2014-04-14,18.3893,18.6068,18.339,18.6068,9443395
2014-04-15,18.6702,18.7065,18.353,18.6249,10582131
2014-04-16,18.7699,18.8878,18.7065,18.7881,11221357
2014-04-17,18.7609,19.0781,18.7246,19.069,11158246
2014-04-21,19.0146,19.1687,18.8696,19.0509,7441609
2014-04-22,19.069,19.35,19.0509,19.2412,7460508
2014-04-23,19.205,19.2684,18.9875,19.1687,7700784
2014-04-24,19.3047,19.3364,19.06,19.205,7533689
2014-04-25,19.1597,19.1597,18.7337,18.7971,14563424
2014-04-28,19.3047,19.3047,18.4437,19.0056,17078012
2014-04-29,18.9512,19.1234,18.8787,18.9059,11222667
2014-04-30,18.2805,19.0146,18.2805,18.9512,11067700
2014-05-01,18.9512,19.2503,18.915,19.0872,8491659
2014-05-02,19.0146,19.205,18.9875,19.0237,8210556
2014-05-05,18.915,18.9965,18.7246,18.9875,8313927
2014-05-06,18.9692,18.9784,18.6702,18.7246,12821063
2014-05-07,18.7609,18.924,18.7004,18.924,9051881
2014-05-08,18.8424,19.1506,18.8153,18.8696,11041571
2014-05-09,18.8424,18.8878,18.6793,18.7971,28638487
2014-05-12,18.924,19.4134,18.8606,19.4134,11073611
2014-05-13,19.4678,19.6491,19.2775,19.3047,9807492
2014-05-14,19.3137,19.3772,19.1325,19.205,6487383
2014-05-15,19.1868,19.2394,18.8968,18.9965,9632591
2014-05-16,18.9784,19.1234,18.8606,18.9875,10922185
2014-05-19,19.62,19.62,19.2522,19.3166,6894417
2014-05-20,19.1597,19.1959,18.9376,19.0962,7770510
2014-05-21,19.1325,19.3137,19.0146,19.1687,7332836
2014-05-22,19.205,19.4044,19.1778,19.2322,6342324
2014-05-23,19.2322,19.4452,19.1687,19.3319,6848276
2014-05-27,19.4134,19.5766,19.3137,19.4316,9587428
2014-05-28,19.5226,19.6319,19.3587,19.3587,6588246
2014-05-29,19.4589,19.5772,19.3678,19.4862,5540728
2014-05-30,19.4407,19.5317,19.3314,19.3951,9798856
2014-06-02,19.386,19.5499,19.3496,19.3951,6320867
2014-06-03,19.3314,19.5135,19.3223,19.4953,7899256
2014-06-04,19.4498,19.5226,19.386,19.4498,4770992
2014-06-05,19.468,19.6592,19.3678,19.6501,5804989
2014-06-06,19.6592,19.7867,19.5499,19.641,7470732
2014-06-09,19.5955,19.6683,19.4498,19.5408,5409431
2014-06-10,19.5317,19.6501,19.4407,19.6501,7615821
2014-06-11,19.5772,19.6774,19.4862,19.5317,5712785
2014-06-12,19.5226,19.5499,19.0673,19.122,10003834
2014-06-13,19.1129,19.3951,19.1129,19.3041,6026713
2014-06-16,19.3041,19.4316,19.1538,19.2221,5711474
2014-06-17,19.1493,19.4407,19.04,19.3769,6873546
2014-06-18,19.3314,19.5636,19.1948,19.5317,5698454
2014-06-19,19.5408,19.732,19.5135,19.732,5623087
2014-06-20,19.8231,20.0234,19.7867,19.8959,12941313
2014-06-23,19.9142,19.9324,19.7457,19.814,5976653
2014-06-24,19.8686,20.2146,19.8322,19.8504,10559397
2014-06-25,19.8868,20.069,19.8504,20.0325,7957127
2014-06-26,20.069,20.0872,19.7047,19.8049,7170587
2014-06-27,19.7685,20.0872,19.7594,20.0325,12245199
2014-06-30,19.9961,20.0826,19.8959,19.987,7189032
2014-07-01,20.0872,20.1873,20.0416,20.1054,6746714
2014-07-02,20.0781,20.2556,19.9506,20.0143,7066210
2014-07-03,20.1054,20.3694,20.0598,20.333,5100691
2014-07-07,20.1873,20.3421,20.16,20.2784,4508243
2014-07-08,20.2784,20.3148,19.9233,19.9779,6551138
2014-07-09,20.0143,20.2237,20.0052,20.0507,5176452
2014-07-10,19.8322,19.8959,19.6228,19.6956,9318490
2014-07-11,19.6956,19.7685,19.6319,19.7503,5087316
2014-07-14,19.8504,20.0416,19.8504,19.9506,6419253
2014-07-15,20.0052,20.1145,19.9415,19.9961,7525558
2014-07-16,20.0872,20.1236,19.8322,19.8686,11156197
2014-07-17,19.6592,19.8959,19.6,19.8777,9736934
2014-07-18,19.6592,19.8959,19.6,19.8777,9736934
2014-07-21,19.8777,20.0052,19.8322,19.9597,3871761
2014-07-22,20.0052,20.2602,19.987,20.1873,4525864
2014-07-23,20.1418,20.242,20.0781,20.1964,4070268
2014-07-24,20.2329,20.2693,20.0598,20.1145,5157209
2014-07-25,20.0781,20.1418,20.0052,20.0507,3688985
2014-07-28,20.0325,20.1145,19.8504,20.0781,5937522
2014-07-29,19.1584,19.213,18.0566,18.2114,30121123
2014-07-30,18.3024,18.3116,17.8198,18.093,13123284
2014-07-31,17.8745,18.1021,17.8563,17.8927,13197599
2014-08-01,17.8654,18.1613,17.8107,18.1021,11729307
2014-08-04,18.1385,18.3025,17.9929,18.2569,8001958
2014-08-05,18.1932,18.2933,18.0429,18.1021,8540209
2014-08-06,17.9837,18.2114,17.9382,18.0202,6841788
2014-08-07,18.1568,18.2296,17.8563,17.92,5317709
2014-08-08,17.92,18.1568,17.8669,18.1568,5975983
2014-08-11,18.2387,18.439,18.2114,18.3207,4825803
2014-08-12,18.3024,18.4117,18.2205,18.3844,4395364
2014-08-13,18.4846,18.5665,18.3662,18.5028,4511809
2014-08-14,18.4755,18.5756,18.4026,18.4481,5235659
2014-08-15,18.5119,18.5574,18.1203,18.3571,8644202
2014-08-18,18.4755,18.5938,18.4709,18.5483,5286662
2014-08-19,18.5392,18.5574,18.2114,18.521,10518120
2014-08-20,18.4572,18.9034,18.3298,18.8488,11470738
2014-08-21,18.8761,18.9763,18.7668,18.8033,7693448
2014-08-22,18.785,18.8397,18.6029,18.7031,5400105
2014-08-25,18.7668,18.9125,18.7486,18.785,3913866
2014-08-26,18.8488,19.1584,18.8488,18.8852,6036859
