date,open,high,low,close,volume
2014-01-02,33.8663,34.1826,33.5833,34.0911,14764415
2014-01-03,34.0661,34.0911,32.4677,32.9423,41430487
2014-01-06,33.217,33.7873,33.0005,33.6332,25066845
2014-01-07,33.883,34.0828,33.3835,33.4667,14157364
2014-01-08,33.575,33.9954,33.4667,33.6499,11344528
2014-01-09,34.0328,34.0828,33.5333,33.7082,9792633
2014-01-10,33.7997,33.8663,33.167,33.3252,14605635
2014-01-13,33.4334,33.833,32.834,32.9506,20995498
2014-01-14,33.1088,33.4334,32.9423,33.3169,17565955
2014-01-15,32.9922,33.1088,32.4344,32.7841,89213832
2014-01-16,32.7216,32.9256,32.2679,32.4677,36095485
2014-01-17,32.526,32.551,31.91,32.1347,28012924
2014-01-21,32.3762,32.4677,31.552,31.9183,30790088
2014-01-22,31.9682,32.3179,31.7351,32.3012,16904726
2014-01-23,31.9183,32.0515,31.5603,31.9849,20559316
2014-01-24,31.6935,31.7268,30.553,30.6612,39671978
2014-01-27,30.6362,31.0358,30.0202,30.6029,33922905
2014-01-28,30.9359,30.9692,30.5696,30.6445,15932874
2014-01-29,30.0202,30.7659,29.9785,30.2616,17526021
2014-01-30,30.7028,30.861,30.3698,30.6695,15484212
2014-01-31,30.1534,30.6695,29.8703,30.0368,27212019
2014-02-03,30.195,30.2283,29.0628,29.3458,38983893
2014-02-04,29.529,29.9494,29.3458,29.8204,20950002
2014-02-05,29.837,29.837,29.1044,29.3375,29456137
2014-02-06,28.6632,29.8204,28.6049,29.3292,53696324
2014-02-07,29.9452,30.3573,29.4874,30.0618,31334321
2014-02-10,29.8953,29.9036,28.8214,29.0545,43300443
2014-02-11,29.3209,29.7496,29.2959,29.3458,23789033
2014-02-12,29.5456,29.6788,29.2459,29.6039,23314571
2014-02-13,29.2792,29.3209,28.9379,29.3042,30512706
2014-02-14,29.4457,30.0368,29.3458,29.9286,22850052
2014-02-18,30.3282,30.3781,29.9702,30.2283,24557168
2014-02-19,30.1534,30.5655,29.9702,29.9952,23070864
2014-02-20,30.1284,30.4697,29.9702,30.3948,18651132
2014-02-21,30.5363,30.5946,30.0868,30.5446,51726927
2014-02-24,30.553,30.6487,30.3365,30.4281,22112794
2014-02-25,30.528,30.6362,29.966,30.0535,22524431
2014-02-26,29.9286,30.9109,29.9203,30.6612,26664315
2014-02-27,30.4364,30.6778,29.9452,30.6112,28752156
2014-02-28,30.5779,30.6029,29.8786,30.1367,44350702
2014-03-03,29.7205,30.4614,29.7205,30.145,24013349
2014-03-04,30.4114,30.7944,30.3282,30.7444,17934335
2014-03-05,31.2523,31.6768,31.0808,31.2356,28500737
2014-03-06,31.527,31.6768,31.2523,31.2523,19116622
2014-03-07,31.5853,31.6436,31.1773,31.3771,17560314
2014-03-10,31.2689,31.2689,30.6029,30.8776,17557528
2014-03-11,30.8027,30.9026,29.1544,29.2876,41090952
2014-03-12,28.9379,29.3458,28.6132,29.0212,46333475
2014-03-13,29.171,29.2709,28.197,28.3801,39628553
2014-03-14,28.4305,29.0268,28.1979,28.6321,31908641
2014-03-17,28.6741,29.136,28.3129,29.0856,29702056
2014-03-18,29.1276,29.598,28.9764,29.5392,21329665
