date,open,high,low,close,volume
2014-01-02,38.0203,38.0909,37.0313,37.3555,1830255
2014-01-03,38.0868,38.8056,37.4884,38.7101,2497576
2014-01-06,38.7932,39.3749,38.5023,38.5688,1413400
2014-01-07,38.5688,38.7599,37.8865,37.9621,1008226
2014-01-08,37.9621,38.1366,37.4635,37.7294,1741291
2014-01-09,37.9372,38.012,36.915,37.289,1079898
2014-01-10,37.4386,37.6131,37.1643,37.4386,837294
2014-01-13,38.3195,38.3652,37.4635,37.7377,1222170
2014-01-14,37.7377,38.5522,37.5549,38.4857,979075
2014-01-15,38.5189,39.3168,38.5189,39.1173,1105855
2014-01-16,39.0591,39.2419,38.8929,39.0175,617525
2014-01-17,38.868,39.1921,38.6768,38.7765,977909
2014-01-21,38.9012,39.2835,38.5106,38.7017,733684
2014-01-22,38.868,39.0549,38.3028,38.7682,542172
2014-01-23,38.4358,38.7848,38.12,38.3943,804119
2014-01-24,38.0618,38.2696,37.4967,37.5715,970854
2014-01-27,37.5632,37.8873,37.268,37.6214,837038
2014-01-28,37.7377,38.0785,37.4718,37.9372,644104
2014-01-29,37.3305,37.8125,37.1892,37.2308,845845
2014-01-30,37.4967,38.2613,37.264,38.0618,701805
2014-01-31,37.3471,38.0203,37.3056,37.4386,1009923
2014-02-03,37.4386,37.5424,36.0673,36.2585,1578212
2014-02-04,36.4164,36.6574,36.084,36.6491,956040
2014-02-05,35.7599,36.7405,35.7599,36.5992,934946
2014-02-06,36.6906,37.8125,36.6906,37.505,802075
2014-02-07,37.6962,37.9455,37.289,37.8375,785167
2014-02-10,37.8458,37.9537,36.9815,36.9981,1465597
2014-02-11,36.9067,38.0286,36.807,37.6131,1345883
2014-02-12,37.7959,38.4109,37.6463,38.2447,1057895
2014-02-13,38.0618,38.9968,38.0618,38.4441,1274660
2014-02-14,38.2281,38.3943,37.8541,38.2945,839018
2014-02-18,38.1616,39.3167,37.6713,39.2004,2114622
2014-02-19,43.4969,43.8127,41.1035,42.9484,9415898
2014-02-20,42.375,43.1811,41.7849,42.8487,2861190
2014-02-21,43.2306,43.4886,42.832,43.1894,2681927
2014-02-24,43.1645,43.8792,42.9484,42.965,2022884
2014-02-25,42.9982,43.6714,42.965,43.206,1325232
2014-02-26,43.1395,43.5717,43.1312,43.339,1167023
2014-02-27,43.1894,44.785,43.0897,44.5024,2885450
2014-02-28,44.411,44.9263,44.0121,44.5939,1379905
2014-03-03,43.6382,44.7476,43.6298,44.544,1382458
2014-03-04,45.0509,45.7075,44.8099,45.6867,2247452
2014-03-05,45.5745,45.7324,45.2421,45.2919,1208979
2014-03-06,45.3418,45.4581,44.6936,44.8182,862686
2014-03-07,45.1673,45.2836,44.4318,44.5523,888312
2014-03-10,44.5357,44.6188,43.9041,44.1451,855227
2014-03-11,44.1285,44.7268,44.0786,44.3861,1523356
2014-03-12,44.2864,44.9761,44.0537,44.9346,1106855
2014-03-13,45.0268,45.1357,43.6524,43.9876,974777
2014-03-14,43.9122,44.4234,43.6022,43.7362,733950
2014-03-17,43.9374,45.1249,43.753,44.7251,978050
2014-03-18,44.7335,45.7307,44.5407,45.538,1049868
2014-03-19,45.2782,45.8061,45.0603,45.6385,1141586
2014-03-20,45.3788,45.9486,45.0559,45.7894,917424
2014-03-21,46.1581,46.6692,45.957,46.1749,2024644
2014-03-24,46.2335,46.5981,45.8229,46.0492,1228859
2014-03-25,46.3006,46.6274,45.4961,45.6385,800739
2014-03-26,47.3481,47.5911,46.1833,46.3928,1589643
2014-03-27,46.4347,48.7811,46.3257,46.9459,2940399
2014-03-28,46.971,47.1973,46.3257,46.5687,1428029
2014-03-31,46.8788,47.3481,46.3006,46.309,1435541
2014-04-01,46.5939,46.7196,46.2252,46.6358,1632523
2014-04-02,46.9207,47.6833,46.552,47.6833,1506746
2014-04-03,47.6749,48.2196,47.2811,48.0604,1915352
2014-04-04,48.2615,48.3956,46.6609,46.6861,1442228
2014-04-07,46.5771,47.0464,46.2084,46.6358,1994492
2014-04-08,46.5604,47.6246,46.5604,47.5827,1125498
2014-04-09,47.5576,48.0185,47.2308,47.8593,1086064
2014-04-10,47.7755,47.918,46.2754,46.2838,1264446
2014-04-11,46.0911,46.8788,45.7475,45.9737,1049767
2014-04-14,46.4682,46.8118,45.7726,46.1833,1033633
2014-04-15,46.3676,47.0548,45.7307,46.4514,1248370
2014-04-16,46.7866,46.9417,45.8899,46.7782,771154
2014-04-17,46.7196,47.323,46.5436,47.0716,1031409
2014-04-21,47.1637,47.6833,46.9123,47.3565,997150
2014-04-22,47.6749,47.6833,46.7363,47.1051,1269779
2014-04-23,47.2308,47.3313,46.8034,47.0213,858949
2014-04-24,47.0883,47.1931,46.4598,46.5017,782472
2014-04-25,46.3592,46.4513,45.1357,45.4542,898876
2014-04-28,45.8899,46.2168,45.1273,45.848,889368
2014-04-29,46.0408,46.5939,45.9402,46.1665,1880943
2014-04-30,49.2253,49.9208,47.566,47.8509,4274695
2014-05-01,47.8258,48.1191,47.2475,47.6163,1407701
2014-05-02,47.6414,49.1834,47.566,48.2113,1682793
2014-05-05,47.918,48.5967,47.4319,48.1694,1221297
2014-05-06,48.1861,49.2158,48.1509,48.9068,2565858
2014-05-07,48.6386,48.999,47.2727,47.3481,2333877
2014-05-08,47.2894,47.5995,46.619,46.8285,1871262
2014-05-09,46.8285,47.0632,46.3676,46.7866,1294647
2014-05-12,47.038,47.9012,46.8704,47.2392,1404100
2014-05-13,47.3481,47.6665,46.6106,46.7866,1761604
2014-05-14,46.7363,47.3062,46.6525,46.8872,1882118
2014-05-15,46.8369,46.9291,45.9151,46.0994,1461619
2014-05-16,46.2335,46.5604,45.8145,46.1497,1208878
2014-05-19,45.8397,46.9291,45.8146,46.4849,1119222
2014-05-20,46.4011,46.6274,46.0408,46.1581,991595
2014-05-21,46.2922,46.5687,45.9318,46.4095,1033765
2014-05-22,46.3928,46.9283,46.2922,46.7866,1073409
2014-05-23,46.9291,48.1191,46.7615,48.0939,1241638
2014-05-27,48.4124,48.7308,48.1107,48.5884,1512781
2014-05-28,48.5381,49.0912,48.3537,48.7644,1241084
2014-05-29,48.999,49.3845,48.7644,49.3091,1130924
2014-05-30,49.418,49.5647,48.9068,49.3677,1435725
2014-06-02,49.3929,49.5772,48.8398,49.2253,1379963
2014-06-03,48.9152,48.9571,48.2113,48.6386,1257431
2014-06-04,48.5632,48.8817,48.3202,48.8649,833310
2014-06-05,48.8733,49.418,48.6554,49.3342,568128
2014-06-06,49.6694,50.5326,49.4431,50.2057,1133081
2014-06-09,50.08,51.0731,50.0549,50.9348,1226159
2014-06-10,50.6834,51.0689,50.5326,50.9767,703575
2014-06-11,50.7672,51.027,50.5493,50.9432,661503
2014-06-12,50.7672,50.9683,50.2309,50.365,730169
2014-06-13,50.3988,50.4326,49.5625,50.0693,905271
2014-06-16,49.9426,50.6353,49.9004,50.5001,606734
2014-06-17,50.5001,51.1422,50.4579,51.1084,737891
2014-06-18,50.3143,51.742,50.2805,51.7335,1259666
2014-06-19,51.7504,51.78,50.8296,51.6321,1180465
2014-06-20,51.6744,51.8095,50.6691,50.7282,2737266
2014-06-23,50.6015,51.2985,50.6015,50.7536,883798
2014-06-24,50.61,51.5814,50.3312,50.61,1464123
2014-06-25,50.5677,50.7451,50.044,50.6438,1440630
2014-06-26,50.7113,50.8465,49.9764,50.0355,1034518
2014-06-27,49.9257,51.2858,49.9173,51.1844,1806133
2014-06-30,50.9901,51.5814,50.8718,51.4463,941721
2014-07-01,51.3196,51.818,51.083,51.5646,794580
2014-07-02,51.5308,52.0503,51.3028,51.6997,828322
2014-07-03,51.6575,52.4178,51.4379,52.1137,847626
2014-07-07,52.1474,52.1643,51.6744,51.742,954764
2014-07-08,51.649,51.7589,50.517,51.2182,1838836
2014-07-09,50.4495,50.4495,47.8898,48.8782,5214633
2014-07-10,48.7599,48.8782,47.9658,48.4474,1807027
2014-07-11,48.6079,48.6332,48.0419,48.5825,1161208
2014-07-14,48.8697,49.4273,48.6839,49.1232,1053996
2014-07-15,48.9965,49.2077,48.4727,48.498,1074167
2014-07-16,48.9035,48.9035,47.6279,47.8898,1599584
2014-07-17,47.6279,48.101,47.2478,47.4252,1080152
2014-07-18,47.6786,48.101,47.3576,47.8222,1040490
2014-07-21,47.6871,47.8138,47.274,47.6026,812549
2014-07-22,47.8222,48.3375,47.8222,48.1264,930183
2014-07-23,47.8138,48.4157,47.7209,48.3629,798514
2014-07-24,48.422,49.0007,48.422,48.912,976811
2014-07-25,48.9035,49.1401,48.1601,48.2362,761054
2014-07-28,48.1855,48.8866,48.1348,48.591,861632
2014-07-29,48.346,48.836,48.0503,48.6417,2075250
2014-07-30,52.0376,52.1643,45.4315,45.9638,9634164
2014-07-31,45.8117,47.5604,45.6174,46.4769,2930841
2014-08-01,46.4537,46.9656,45.516,46.0567,1409163
2014-08-04,46.0989,46.6311,45.9975,46.5297,1325446
2014-08-05,46.2087,46.496,45.8455,46.0567,1176835
2014-08-06,45.9384,46.5762,45.6681,46.4622,839664
2014-08-07,46.7409,47.0788,46.3186,46.496,1082727
2014-08-08,46.5382,47.0282,46.496,46.9606,683983
2014-08-11,47.1211,47.2731,46.8001,47.1126,636014
2014-08-12,46.8592,47.1633,46.4368,46.7494,903325
2014-08-13,46.8423,47.1802,46.6734,47.0155,705523
2014-08-14,47.0535,47.4843,46.9183,47.0957,506307
2014-08-15,47.5012,48.27,47.0873,47.3661,1239234
2014-08-18,47.6364,47.9912,47.1802,47.3069,867791
2014-08-19,47.2562,47.4674,47.214,47.3999,1036381
2014-08-20,47.5181,48.8697,47.5181,48.2108,1272477
2014-08-21,48.3629,48.5741,48.177,48.4896,499238
2014-08-22,48.4727,48.9289,48.2108,48.6923,1012728
2014-08-25,48.8022,49.1063,48.4727,48.7346,522589
2014-08-26,48.6839,48.836,48.4643,48.5403,479123
2014-08-27,48.0841,48.3629,45.9891,46.1158,2915385
2014-08-28,45.9469,46.0398,44.9416,45.7188,2618305
2014-08-29,46.0989,46.3017,45.6005,45.8962,1162433
2014-09-02,45.9215,46.0651,45.1992,45.5498,1690371
2014-09-03,45.6089,45.7779,45.1105,45.2457,3158491
2014-09-04,45.2288,45.6427,44.2531,44.2996,2259449
2014-09-05,44.232,45.0092,44.0968,45.0007,1577873
2014-09-08,44.7811,45.6427,44.4178,45.2457,1580300
2014-09-09,45.0345,45.1866,42.4833,43.6829,5306928
2014-09-10,43.8434,45.5667,43.8434,45.4231,4916879
2014-09-11,45.6021,45.6021,44.5793,45.2441,1546511
2014-09-12,45.0395,46.0453,44.7071,45.6277,2296613
2014-09-15,45.4742,45.8493,45.3464,45.7044,1538922
2014-09-16,45.6447,46.1988,45.4998,45.8067,1161948
2014-09-17,45.7385,45.8749,45.1674,45.2356,1188086
2014-09-18,45.3208,45.5595,45.2015,45.2271,864391
2014-09-19,45.5169,45.5169,44.3576,44.4088,2589495
2014-09-22,44.3321,44.3747,43.8206,43.9229,1106576
2014-09-23,43.7695,44.3235,43.224,43.2581,1155760
2014-09-24,43.1984,43.7013,42.7466,43.6757,1459272
2014-09-25,43.6161,43.8206,43.045,43.2581,952254
2014-09-26,43.5308,44.3832,43.3433,44.2042,990311
2014-09-29,43.8547,44.2724,43.4797,44.2127,1460887
2014-09-30,44.1701,44.6474,43.9996,44.315,1054353
2014-10-01,44.119,44.2724,43.4285,43.4626,1529406
2014-10-02,43.3944,43.4712,41.4851,42.5208,5507012
2014-10-03,42.5762,43.1643,41.9028,43.0024,1982686
2014-10-06,43.1046,43.7098,42.9256,43.6672,1460943
2014-10-07,43.5394,43.5564,42.5421,42.6699,1177820
2014-10-08,42.8234,43.7269,42.3545,43.6331,1919423
2014-10-09,43.582,43.582,41.9028,42.3801,1608323
2014-10-10,42.2523,43.42,42.1415,42.4227,1618600
2014-10-13,42.3119,42.9341,41.8516,42.0647,1614036
2014-10-14,42.3886,43.599,42.0818,43.2836,1937936
2014-10-15,42.6955,44.4258,42.4995,44.2042,2252747
2014-10-16,43.6587,45.4913,43.6587,44.8435,1573341
2014-10-17,45.0992,45.2612,44.315,44.5281,1722820
2014-10-20,44.5452,45.0395,44.4258,45.0225,716464
2014-10-21,45.1674,45.9516,45.0736,45.9004,1532243
2014-10-22,45.9686,46.9062,45.6618,45.6873,1573313
2014-10-23,46.1221,46.4886,46.0368,46.2243,855098
2014-10-24,46.284,47.1833,45.8834,47.1023,1594541
2014-10-27,47.8183,48.3723,47.2046,48.253,3295141
2014-10-28,48.4576,48.8923,48.2359,48.7559,2847618
2014-10-29,46.7954,47.3154,45.4402,45.9942,4001306
2014-10-30,46.8807,46.8807,45.8919,46.1476,2051251
2014-10-31,46.7699,47.3069,46.3437,47.2898,1525202
2014-11-03,47.2898,47.8609,46.8892,47.4773,1118216
