date,open,high,low,close,volume
2014-01-02,166.5713,167.9174,166.0159,166.5148,1990643
2014-01-03,166.0065,168.3598,165.8841,167.7009,2147480
2014-01-06,168.6422,170.5061,168.3881,168.8493,2957222
2014-01-07,170.1296,170.3649,167.1078,167.8327,2736910
2014-01-08,168.0304,168.4069,166.8631,167.9739,2212037
2014-01-09,168.5763,168.5763,166.2512,166.9949,2151647
2014-01-10,166.9949,168.228,166.6183,167.9268,2508128
2014-01-13,167.8421,167.8421,165.3852,165.564,2823817
2014-01-14,165.9217,167.089,165.404,166.2418,2212631
2014-01-15,166.6183,169.1976,166.6183,168.2657,3547763
2014-01-16,168.2657,168.3034,164.265,164.8957,4717139
2014-01-17,164.7451,166.8819,164.265,165.9406,3456477
2014-01-21,164.8298,165.291,161.2903,163.0412,5143973
2014-01-22,163.2766,164.3968,162.6459,163.4931,2483849
2014-01-23,162.307,162.307,159.1064,160.7349,3980430
2014-01-24,158.6451,159.9913,157.412,157.8073,4182028
2014-01-27,157.2802,157.7697,153.8443,155.0304,5599857
2014-01-28,155.3504,156.7813,154.9362,156.4989,3190078
2014-01-29,154.3526,156.3577,154.0231,154.2867,3489836
2014-01-30,155.6328,156.4236,154.9174,156.1129,2850700
2014-01-31,154.1926,156.2438,153.7219,154.4938,3420994
2014-02-03,155.4634,155.8117,150.3989,150.446,5112315
2014-02-04,151.4627,153.0394,150.4743,152.2722,3366839
2014-02-05,151.1709,153.11,150.9167,151.0108,3238037
2014-02-06,151.7074,152.4982,150.7097,152.2628,3798525
2014-02-07,153.2324,153.3454,150.8696,152.4323,5003902
2014-02-10,151.5756,152.2816,150.879,151.5568,4331377
2014-02-11,151.7545,155.2827,150.9073,154.748,5034450
2014-02-12,154.8515,155.5387,153.656,153.9102,3067337
2014-02-13,153.0159,154.7574,152.5923,154.4373,3138242
2014-02-14,153.7501,154.8515,153.3736,154.1173,4221951
2014-02-18,154.4185,155.8776,154.1173,154.9927,3425988
2014-02-19,154.2961,156.433,153.4207,153.6842,3730651
2014-02-20,153.9008,155.2939,153.1305,154.8515,2656478
2014-02-21,154.6632,155.9331,154.522,154.8515,2601608
2014-02-24,154.4562,157.5908,154.4562,156.7719,3268511
2014-02-25,156.3671,156.5459,153.5901,153.8913,3706698
2014-02-26,154.203,154.8028,151.8511,153.7685,3987988
2014-02-27,153.6363,156.5926,153.334,156.2054,3853776
2014-02-28,155.667,158.51,155.4403,157.216,4291928
2014-03-03,155.1097,156.1393,154.5808,155.6009,3122876
2014-03-04,157.3955,159.3979,156.9799,159.3695,3453120
2014-03-05,159.4356,163.3082,158.9163,162.3637,4465314
2014-03-06,163.1287,164.3472,162.9209,163.0248,3408257
2014-03-07,164.3283,165.849,163.5065,164.5927,4095634
2014-03-10,163.9694,164.8093,162.9021,163.8844,2191673
2014-03-11,164.3094,164.3094,160.4274,160.4652,3837217
2014-03-12,159.7473,160.5596,158.5006,160.3046,2565816
2014-03-13,161.0224,161.7393,157.3294,157.4521,3421385
2014-03-14,157.6411,158.1086,155.8748,156.177,2762052
2014-03-17,157.1499,159.4356,157.1027,157.5844,3207398
2014-03-18,157.9905,159.6246,157.7449,158.765,1941251
2014-03-19,159.1428,160.7202,157.5466,158.85,3534103
2014-03-20,158.5667,160.9941,157.9905,159.8323,3950521
2014-03-21,160.2763,160.5691,157.6505,157.6883,4795425
2014-03-24,157.8583,158.6611,155.9409,156.5265,2722989
2014-03-25,157.3483,158.1322,153.7685,154.1935,4437493
2014-03-26,155.6009,155.8465,152.7484,152.7579,2597634
2014-03-27,152.824,154.2502,151.8511,153.2868,3890239
2014-03-28,153.2112,155.0814,152.3423,153.2962,2630486
2014-03-31,154.1652,155.0342,153.2207,154.7603,2494292
2014-04-01,155.6198,157.0649,155.1097,156.7154,3325853
2014-04-02,156.6965,158.2455,156.5312,157.9905,2407076
2014-04-03,158.0283,158.3683,155.8465,156.876,2337292
