date,open,high,low,close,volume
2014-01-02,231.6543,232.3637,229.9444,230.1627,285125
2014-01-03,230.1718,231.2359,229.1077,229.9626,204831
2014-01-06,230.7357,230.763,227.1886,228.2618,323125
2014-01-07,229.4533,230.8085,228.4437,230.0354,381291
2014-01-08,230.0354,230.9904,228.1254,230.5083,368439
2014-01-09,231.4178,233.0732,229.7079,231.4724,421054
2014-01-10,232.3728,243.287,232.2728,239.8491,928871
2014-01-13,238.985,240.2856,237.2933,237.9846,915859
2014-01-14,238.5212,240.513,234.6557,240.3493,387197
2014-01-15,239.6399,242.0956,238.1941,239.9127,461290
2014-01-16,239.8673,242.2047,238.412,241.8773,395984
2014-01-17,242.4594,242.805,239.096,240.2038,384846
2014-01-21,239.831,241.0133,238.9223,240.1674,405907
2014-01-22,241.0223,241.7863,237.4207,238.3211,486463
2014-01-23,236.8022,238.9828,232.8549,233.437,622008
2014-01-24,226.1062,229.3168,218.63,219.967,1658474
2014-01-27,219.8124,221.3404,215.4649,217.3112,824681
2014-01-28,217.7932,217.8114,215.856,216.338,641842
2014-01-29,215.3285,218.7301,214.5463,216.6109,495369
2014-01-30,216.62,218.1025,215.4831,215.7105,402747
2014-01-31,212.8364,214.7464,211.2447,213.2638,538545
2014-02-03,213.282,213.282,207.543,208.5434,702347
2014-02-04,209.7622,210.8718,208.0705,210.3625,634767
2014-02-05,209.3984,212.6545,209.1619,209.9805,612795
2014-02-06,211.3868,213.8433,210.3366,213.6424,449517
2014-02-07,214.2542,215.5418,211.5237,213.688,844099
2014-02-10,212.9849,216.1719,212.3365,213.9528,643771
2014-02-11,211.7703,218.2631,210.1357,217.213,715589
2014-02-12,217.8065,218.8065,216.8422,217.3865,508261
2014-02-13,216.6194,218.9115,214.9026,218.8384,644954
2014-02-14,221.578,224.6098,220.0804,224.345,715530
2014-02-18,224.7925,226.5093,223.7697,226.2536,607898
2014-02-19,225.8335,227.7056,224.6738,226.4728,625610
2014-02-20,225.7057,228.701,225.4043,226.5093,593941
2014-02-21,227.0389,228.8836,226.3541,227.6051,546148
2014-02-24,228.5183,230.4543,227.9156,229.7694,711963
2014-02-25,229.7329,230.9018,228.153,228.427,624637
2014-02-26,228.9201,230.2169,227.7421,229.6416,635923
2014-02-27,224.2628,230.9931,216.665,230.9566,267871
2014-02-28,231.4862,233.4861,230.9757,232.8834,667195
2014-03-03,231.1849,231.751,229.0297,231.3036,489590
2014-03-04,233.7783,234.2121,231.4223,232.7738,416048
2014-03-05,232.9382,235.2851,232.2944,234.6641,320939
2014-03-06,234.9107,236.8649,233.961,235.1299,422589
2014-03-07,236.0339,236.8193,234.2623,234.6459,407466
2014-03-10,231.8698,234.4066,231.8698,233.5683,310515
2014-03-11,235.2669,235.2669,231.2671,231.8058,337054
2014-03-12,228.9932,230.5274,227.0116,229.9703,591291
2014-03-13,231.5867,231.6597,224.2263,224.5003,675565
2014-03-14,223.7332,226.9476,222.8108,225.587,635039
2014-03-17,226.007,229.9429,226.007,229.8333,440980
2014-03-18,229.8333,231.5684,228.9567,231.1483,362744
2014-03-19,231.331,231.4497,226.3723,228.2626,417729
2014-03-20,227.249,229.395,225.6418,229.2489,358208
2014-03-21,231.2944,232.4268,228.9247,230.0982,887387
2014-03-24,231.1301,231.5319,228.9841,229.6324,372797
2014-03-25,230.5091,233.0843,230.5091,232.509,426553
2014-03-26,233.4587,233.7144,228.9475,228.9567,429849
2014-03-27,229.6781,230.4543,227.6508,228.5183,429196
2014-03-28,229.1119,230.089,227.5503,227.7969,505686
2014-03-31,229.9429,231.3675,228.4727,230.7283,559069
2014-04-01,231.9063,232.8377,230.5,231.0844,542067
