date,open,high,low,close,volume
2014-01-02,8.6499,8.704,8.5868,8.5959,7039144
2014-01-03,8.6409,8.722,8.6319,8.6499,6096687
2014-01-06,8.695,8.8301,8.6319,8.6319,9729579
2014-01-07,8.6679,8.8301,8.6679,8.758,11770309
2014-01-08,8.7851,8.8211,8.722,8.7851,9013707
2014-01-09,8.8301,8.8932,8.767,8.8031,10238262
2014-01-10,8.7761,8.8391,8.722,8.8211,9663011
2014-01-13,8.8301,8.8572,8.686,8.713,6751368
2014-01-14,8.722,8.8121,8.6769,8.8031,8115710
2014-01-15,8.8301,8.9292,8.767,8.9202,13933188
2014-01-16,8.686,8.74,8.4967,8.6769,23518248
2014-01-17,8.722,8.758,8.5778,8.6769,11801922
2014-01-21,8.731,8.8932,8.704,8.8932,10448449
2014-01-22,8.8842,8.9292,8.8121,8.9112,7915103
2014-01-23,8.8752,8.8752,8.713,8.7851,9554757
2014-01-24,8.713,8.731,8.4877,8.4877,9839900
2014-01-27,8.4967,8.5688,8.3616,8.4156,10298444
2014-01-28,8.4427,8.5058,8.4021,8.4247,9215922
2014-01-29,8.3706,8.4922,8.2715,8.2895,16892471
2014-01-30,8.3526,8.3886,8.2264,8.3436,14176410
2014-01-31,8.2354,8.2895,8.1724,8.1724,11001093
2014-02-03,8.1273,8.1724,7.8029,7.857,31464969
2014-02-04,7.875,8.0733,7.866,7.9831,16996408
2014-02-05,7.9111,8.0372,7.884,7.9651,13264637
2014-02-06,7.9741,8.1543,7.9561,8.1363,11272532
2014-02-07,8.1904,8.258,8.0733,8.1363,10834562
2014-02-10,8.1183,8.1814,8.0552,8.1363,7357501
2014-02-11,8.1453,8.2445,8.1183,8.2264,5733705
2014-02-12,8.2354,8.3526,8.1931,8.2174,7096706
2014-02-13,8.1814,8.2174,8.1093,8.1904,6460692
2014-02-14,8.1904,8.2895,8.1679,8.2174,4534636
2014-02-18,8.2174,8.2445,8.1543,8.1634,9713058
2014-02-19,8.1093,8.1543,7.9471,7.9741,11171614
2014-02-20,7.9741,8.1048,7.9021,8.0642,12283568
2014-02-21,8.0823,8.2445,8.0778,8.2084,10825280
2014-02-24,8.1994,8.4066,8.1904,8.3526,11593152
2014-02-25,8.3436,8.3976,8.2895,8.3706,8380943
2014-02-26,8.4156,8.4697,8.3255,8.4247,9565335
2014-02-27,8.4337,8.5418,8.3886,8.4877,10420481
2014-02-28,8.4877,8.6409,8.4877,8.5868,10610365
2014-03-03,8.5598,8.6229,8.5058,8.5778,11803136
2014-03-04,8.6769,8.74,8.6409,8.731,8564842
2014-03-05,8.731,8.767,8.6499,8.695,9245813
2014-03-06,8.722,8.7941,8.695,8.74,10814402
2014-03-07,8.749,8.9292,8.713,8.8301,13465570
2014-03-10,8.8211,8.8752,8.758,8.8301,7253133
2014-03-11,8.8481,8.8662,8.704,8.749,6946767
2014-03-12,8.731,8.7333,8.6319,8.731,8656815
2014-03-13,8.767,8.7941,8.6139,8.6589,8285281
2014-03-14,8.6499,8.7767,8.6408,8.668,8564574
2014-03-17,8.7495,8.7948,8.7042,8.7404,6632110
2014-03-18,8.7676,8.8582,8.7404,8.831,5770446
2014-03-19,8.7948,8.9306,8.7586,8.8763,7724334
2014-03-20,8.8129,9.1299,8.8129,9.0665,13705266
2014-03-21,9.0665,9.1571,8.9306,8.9578,14938892
2014-03-24,9.0031,9.0303,8.8944,8.9669,7060230
2014-03-25,8.9941,9.0393,8.9125,9.0212,9033162
2014-03-26,9.0756,9.1163,8.9306,8.9488,12531582
2014-03-27,8.9759,9.0756,8.7676,8.7937,11010759
2014-03-28,8.8129,8.9714,8.7903,8.9306,9027430
2014-03-31,8.9669,9.0665,8.9488,9.0303,5255040
2014-04-01,9.0756,9.2295,9.0303,9.2024,11500079
2014-04-02,9.2477,9.2748,9.1209,9.1752,8433054
2014-04-03,9.2024,9.2477,9.1299,9.2386,5272684
2014-04-04,9.2839,9.3201,9.071,9.1118,9989303
2014-04-07,9.0756,9.0937,8.8763,8.9488,8416057
2014-04-08,8.9397,9.0303,8.8854,8.9669,7772326
2014-04-09,8.985,9.0212,8.8672,8.9397,8046671
2014-04-10,8.9125,8.9569,8.5049,8.5321,23297411
2014-04-11,8.4325,8.6227,8.2423,8.5231,18919610
2014-04-14,8.6318,8.6725,8.3963,8.4868,9296303
2014-04-15,8.5231,8.6544,8.3872,8.5774,13231073
2014-04-16,8.6136,8.6499,8.3057,8.4325,20779553
2014-04-17,8.2423,8.3872,8.1698,8.3419,27894028
2014-04-21,8.36,8.437,8.2921,8.3691,7625324
2014-04-22,8.351,8.5321,8.3057,8.4868,9516789
2014-04-23,8.4687,8.5684,8.4234,8.5593,7812797
2014-04-24,8.5774,8.5774,8.4234,8.4506,10052759
2014-04-25,8.4597,8.4597,8.2966,8.3012,11029028
2014-04-28,8.3691,8.3691,8.1517,8.2151,18352053
2014-04-29,8.2876,8.2968,8.1426,8.197,22319894
2014-04-30,8.1608,8.3329,8.1608,8.2966,11595473
2014-05-01,8.3147,8.3419,8.197,8.2242,9492557
2014-05-02,8.2423,8.4234,8.2242,8.2785,8506244
2014-05-05,8.2966,8.3147,8.1608,8.2513,6987896
2014-05-06,8.1879,8.2513,8.1517,8.1698,9044861
2014-05-07,8.197,8.2966,8.1517,8.2876,10477086
2014-05-08,8.2513,8.4144,8.2423,8.3329,13286978
2014-05-09,8.3238,8.3781,8.2332,8.3691,10450204
2014-05-12,8.3872,8.5321,8.3691,8.5321,8896559
2014-05-13,8.5502,8.5774,8.4778,8.4868,7423614
2014-05-14,8.4597,8.4823,8.2966,8.2966,6905558
2014-05-15,8.2423,8.2604,8.0521,8.1879,11553285
2014-05-16,8.1879,8.2106,8.0793,8.1517,9208026
2014-05-19,8.0883,8.2604,8.0793,8.2604,6563647
2014-05-20,8.2332,8.2422,8.0974,8.1698,9931479
2014-05-21,8.2332,8.2876,8.1879,8.2423,5571344
2014-05-22,8.2695,8.2785,8.1698,8.2061,8721932
2014-05-23,8.1879,8.2695,8.1789,8.2423,5803791
2014-05-27,8.2876,8.3781,8.2513,8.3057,8805260
2014-05-28,8.3057,8.4687,8.2513,8.3419,9315583
2014-05-29,8.3691,8.3781,8.274,8.3736,9149087
2014-05-30,8.351,8.4415,8.351,8.3963,5962068
2014-06-02,8.4053,8.4868,8.3419,8.4778,5490849
2014-06-03,8.4325,8.5774,8.4144,8.4868,6359674
2014-06-04,8.4687,8.5593,8.4597,8.5321,7502642
2014-06-05,8.5049,8.6408,8.4778,8.6227,6084858
2014-06-06,8.6499,8.6952,8.6091,8.6589,5998911
2014-06-09,8.6861,8.8038,8.6589,8.8038,6237348
2014-06-10,8.7948,8.8038,8.7042,8.7948,5254057
2014-06-11,8.7404,8.7586,8.6136,8.6318,13723468
2014-06-12,8.6589,8.6861,8.5412,8.5865,7067124
2014-06-13,8.6047,8.7048,8.5591,8.5956,10214309
2014-06-16,8.5774,8.6047,8.5136,8.5409,7095749
2014-06-17,8.5136,8.7413,8.5136,8.632,13582374
2014-06-18,8.6684,8.7413,8.632,8.6957,8966930
2014-06-19,8.7322,8.7413,8.6229,8.6957,5535165
2014-06-20,8.7139,8.8141,8.7139,8.7595,8547191
2014-06-23,8.7413,8.8141,8.7139,8.7959,7891523
2014-06-24,8.7413,8.8505,8.6775,8.6957,5626049
2014-06-25,8.6502,8.7458,8.5591,8.7139,6702905
2014-06-26,8.6957,8.7504,8.5774,8.723,5751437
2014-06-27,8.6866,8.7413,8.6502,8.7048,6577900
2014-06-30,8.7139,8.7413,8.6593,8.6866,4461592
2014-07-01,8.7048,8.8596,8.6957,8.7777,6797431
2014-07-02,8.7777,8.8505,8.7139,8.7322,5374528
2014-07-03,8.7868,8.8505,8.7595,8.8323,3903341
2014-07-07,8.8141,8.8596,8.7777,8.7959,5195529
2014-07-08,8.7868,8.7959,8.6411,8.7322,8333439
2014-07-09,8.7686,8.8414,8.7322,8.805,7192996
2014-07-10,8.6593,8.7686,8.6047,8.7139,7788537
2014-07-11,8.6866,8.805,8.6502,8.7595,7305624
2014-07-14,8.8232,8.8469,8.7413,8.7686,6105019
2014-07-15,8.7686,8.9143,8.7686,8.8869,8823563
2014-07-16,8.8961,8.9234,8.7504,8.7686,7633888
2014-07-17,8.723,8.7686,8.459,8.4681,12546913
2014-07-18,8.8687,8.9052,8.7048,8.8778,16464406
2014-07-21,8.978,8.978,8.8232,8.8687,10101384
2014-07-22,8.9598,8.9962,8.8961,8.9598,14017620
2014-07-23,9.0144,9.0417,8.9416,8.978,7802389
2014-07-24,9.0144,9.1146,8.9826,9.0782,9856390
2014-07-25,9.0599,9.1055,9.0235,9.0873,7138287
2014-07-28,9.0873,9.0964,8.9325,8.9689,6131484
2014-07-29,8.9962,9.0691,8.9507,8.9598,8301123
2014-07-30,8.9962,9.0691,8.9507,9.0235,6110303
2014-07-31,9.0508,9.0599,8.9325,8.9416,10191414
2014-08-01,8.9052,8.9689,8.7504,8.8323,8765675
2014-08-04,8.8232,8.8961,8.723,8.8278,7190277
2014-08-05,8.7959,8.8414,8.6684,8.7048,9535986
2014-08-06,8.6957,8.7777,8.6502,8.7048,4457946
2014-08-07,8.7322,8.7778,8.5956,8.6138,7386239
2014-08-08,8.6411,8.6775,8.5683,8.6593,7928488
2014-08-11,8.6684,8.7048,8.5956,8.6229,9993784
2014-08-12,8.6411,8.7504,8.5865,8.7322,11536686
2014-08-13,8.7777,8.8687,8.7322,8.7868,8781621
2014-08-14,8.7959,8.8505,8.7868,8.805,4024224
2014-08-15,8.8414,8.8687,8.7048,8.7595,6699425
2014-08-18,8.8141,8.8961,8.7822,8.8687,6496347
2014-08-19,8.8778,8.9416,8.805,8.8232,7956609
2014-08-20,8.8232,8.8687,8.7731,8.846,6350762
2014-08-21,8.8687,8.9871,8.8323,8.9598,4988372
2014-08-22,8.9325,8.9871,8.9052,8.9598,5248947
2014-08-25,9.0144,9.0326,8.9689,9.0235,4680181
2014-08-26,9.0417,9.0599,8.9962,9.0144,3766779
2014-08-27,9.0053,9.0599,8.9416,8.9507,3620741
2014-08-28,8.8869,8.9689,8.8687,8.9325,3262883
2014-08-29,8.9507,8.9962,8.9052,8.9598,2919959
2014-09-02,9.0053,9.0508,8.9461,9.0235,5845956
2014-09-03,9.0417,9.0691,8.9507,9.0008,6216540
2014-09-04,9.0326,9.0782,8.9962,9.0326,7178307
2014-09-05,8.9962,9.0782,8.9689,9.0691,10500887
2014-09-08,9.0599,9.0964,9.0053,9.0645,5481311
2014-09-09,9.0417,9.0417,8.9325,8.9643,4908330
2014-09-10,8.9871,9.0964,8.9507,9.0417,4595477
2014-09-11,8.9962,9.0782,8.9962,9.0691,5927706
2014-09-12,9.0782,9.233,9.0645,9.2238,12931616
2014-09-15,9.2422,9.2422,9.1506,9.1872,8293407
2014-09-16,9.1506,9.2696,9.1415,9.1644,6546810
2014-09-17,9.1598,9.3337,9.1598,9.2422,7918901
2014-09-18,9.2788,9.3886,9.2513,9.3428,11193644
2014-09-19,9.416,9.4252,9.2092,9.2238,10708844
2014-09-22,9.2238,9.2788,9.1598,9.1872,7338709
2014-09-23,9.1598,9.2147,9.0774,9.0774,6963231
2014-09-24,9.1049,9.1323,9.0134,9.1049,6920092
2014-09-25,9.05,9.1049,8.9585,8.9676,8530801
2014-09-26,8.9676,9.0363,8.9402,9.0225,6361000
2014-09-29,8.9127,9.0134,8.8395,8.9585,5074350
2014-09-30,8.9402,9.0042,8.8944,8.9036,7349165
2014-10-01,8.9036,8.9219,8.7663,8.7846,12751413
2014-10-02,8.7846,8.9036,8.6931,8.8578,10915304
2014-10-03,8.931,8.9997,8.9127,8.9493,7523582
