date,open,high,low,close,volume
2014-01-02,28.2331,28.3108,27.9766,28.1398,2100032
2014-01-03,28.101,28.2797,27.9378,28.1165,2014262
2014-01-06,28.1165,29.0257,28.101,28.6061,4266293
2014-01-07,28.6061,29.1268,28.4119,29.0957,4243611
2014-01-08,29.1345,29.1734,28.7149,29.0335,3789490
2014-01-09,29.3366,29.391,28.8548,29.0724,3674615
2014-01-10,29.3677,30.3469,29.3521,30.207,4337936
2014-01-13,30.1137,30.2769,29.5425,29.6164,4069386
2014-01-14,29.7096,29.7562,29.492,29.5231,3015640
2014-01-15,29.5309,29.8495,29.5231,29.562,3399743
2014-01-16,29.5076,29.8437,29.5076,29.8417,2953341
2014-01-17,29.8884,29.935,29.4454,29.562,3957633
2014-01-21,29.764,29.9661,29.562,29.834,3296700
2014-01-22,29.9117,30.0671,29.7329,29.8728,2083818
2014-01-23,29.8029,29.9661,29.7252,29.9428,3409925
2014-01-24,29.935,30.0671,29.7353,29.9972,3092710
2014-01-27,29.9972,30.1992,29.8495,29.8495,2883534
2014-01-28,29.9505,30.4246,29.9505,30.4013,2670497
2014-01-29,30.2147,30.4013,30.0438,30.1759,2347499
2014-01-30,30.3158,30.479,30.1914,30.2225,2529814
2014-01-31,29.9428,30.5722,29.9194,30.4246,3152777
2014-02-03,30.5023,30.5489,30.137,30.1759,4537929
2014-02-04,30.1914,30.3469,29.935,30.3235,3094428
2014-02-05,30.2458,30.409,29.8262,29.9972,2586891
2014-02-06,29.9853,30.3952,29.9617,30.0641,3197630
2014-02-07,30.206,30.34,29.9696,30.2849,2973142
2014-02-10,30.3243,30.679,30.0957,30.6002,2519000
2014-02-11,29.9932,30.3479,29.3913,29.7961,5551254
2014-02-12,29.8198,29.9932,29.4651,29.6385,3565259
2014-02-13,29.5597,29.9459,29.536,29.8592,2452511
2014-02-14,29.7961,29.9144,29.6227,29.7094,2417670
2014-02-18,29.7567,29.8592,29.3468,29.8513,2925666
2014-02-19,29.7961,30.5371,29.7646,30.0563,3688367
2014-02-20,30.0957,30.3795,29.6621,29.8277,2277779
2014-02-21,29.536,29.5754,29.1734,29.2522,4455504
2014-02-24,29.3153,30.0169,29.2522,29.8119,2863721
2014-02-25,29.8356,29.875,29.4414,29.5124,2900926
2014-02-26,29.607,29.9774,29.4887,29.9617,2459808
2014-02-27,29.9853,30.2454,29.9696,30.2297,2309307
2014-02-28,30.2139,30.7026,30.143,30.5608,4064861
2014-03-03,30.4189,30.6238,30.2297,30.4977,1976845
2014-03-04,30.7815,31.081,30.6317,31.0731,3180056
2014-03-05,31.0258,31.2071,30.7342,30.9391,2099294
2014-03-06,30.9312,30.9943,30.3164,30.411,1909863
2014-03-07,30.3637,30.3952,29.5518,29.7016,3442676
2014-03-10,29.67,29.7283,29.2995,29.3153,3007576
2014-03-11,29.4178,29.6779,29.3981,29.5203,5159884
2014-03-12,29.5045,29.804,29.4966,29.6385,4215013
2014-03-13,29.7173,29.7173,29.268,29.2759,3719965
2014-03-14,29.2838,29.5402,29.2444,29.2917,3495472
2014-03-17,29.4414,29.5597,29.1734,29.2128,2607137
2014-03-18,29.1892,29.2877,29.1025,29.2128,2670559
2014-03-19,29.2444,29.4099,28.5428,28.6216,4667954
2014-03-20,28.5665,28.795,28.3793,28.5665,3925434
2014-03-21,28.6532,29.1892,28.527,29.0631,5864695
2014-03-24,29.1892,29.1892,28.8975,28.9291,3082488
2014-03-25,29.0631,29.3705,28.9921,29.3153,2019936
2014-03-26,29.7173,29.7173,29.1971,29.2601,3015695
2014-03-27,29.268,29.8198,29.1734,29.7725,2719007
2014-03-28,29.8198,30.143,29.7725,30.0878,2263499
2014-03-31,30.1824,30.6002,29.875,30.5765,3661285
2014-04-01,30.5292,30.608,30.34,30.6002,2740259
2014-04-02,30.545,30.7657,30.4228,30.7499,2700795
2014-04-03,30.813,30.813,30.5056,30.7499,1798126
2014-04-04,30.8839,31.2741,30.7105,31.1125,2849213
2014-04-07,31.1441,31.8298,31.1125,31.6958,3727973
2014-04-08,31.617,32.0979,31.5855,32.0742,3114546
2014-04-09,32.1688,32.1767,31.684,31.8614,3776645
2014-04-10,31.9008,32.153,31.5145,31.5618,3154819
2014-04-11,31.4436,32.0111,31.2781,31.7037,4062696
2014-04-14,31.9481,31.956,31.617,31.9481,2649814
2014-04-15,31.9166,32.5787,31.8535,32.4999,3333305
2014-04-16,32.6418,32.6733,32.2397,32.3816,2312430
2014-04-17,32.3343,32.3706,31.5855,31.9481,4893200
2014-04-21,32.2634,32.3107,31.9244,32.1767,2396422
2014-04-22,32.1767,32.2003,31.6722,32.0348,2462353
2014-04-23,32.0663,32.1609,31.7904,32.1609,2860162
2014-04-24,32.1924,32.4841,32.1136,32.2397,2361078
2014-04-25,32.2792,32.4999,32.0584,32.1294,2206713
2014-04-28,32.2949,32.7994,32.2792,32.7994,3187465
2014-04-29,32.9255,33.028,32.6733,32.9571,4333503
2014-04-30,32.8625,33.028,32.7127,32.9965,2203086
2014-05-01,32.9886,33.2645,32.7048,33.2487,2582856
2014-05-02,33.0832,33.2873,32.9334,33.162,2574290
2014-05-05,33.0595,33.3906,33.0438,33.2645,2071634
2014-05-06,33.0122,33.4458,32.8782,33.0832,2251622
2014-05-07,33.2329,33.6507,33.2093,33.4694,2520855
2014-05-08,33.5692,33.8407,33.4814,33.8407,3369152
2014-05-09,33.8407,34.1921,33.5453,33.6251,4638963
2014-05-12,33.6571,33.7369,33.3776,33.4734,2232342
2014-05-13,33.5293,33.7848,33.3137,33.4016,2266495
2014-05-14,33.4095,33.8128,33.2818,33.697,2120011
