date,open,high,low,close,volume
2014-01-02,74.5618,74.9795,74.2803,74.4801,4255086
2014-01-03,74.3802,74.8978,74.3075,74.362,3897962
2014-01-06,74.1441,74.4438,73.6447,73.6447,11190715
2014-01-07,73.8353,74.3893,73.6265,74.0079,4631656
2014-01-08,74.0442,74.4074,73.5811,74.3984,4662392
2014-01-09,74.3711,74.4074,73.5311,74.0714,4966067
2014-01-10,74.2077,74.4982,73.9352,74.471,4981041
2014-01-13,74.1078,74.58,73.5175,73.5266,6953443
2014-01-14,73.8081,73.997,73.1997,73.5629,5218305
2014-01-15,73.4176,73.9443,73.3177,73.6174,5197081
2014-01-16,73.463,73.8989,73.3541,73.7899,4871229
2014-01-17,73.8444,73.8717,73.236,73.5538,6178264
2014-01-21,73.8263,74.0079,72.4732,73.0635,6933022
2014-01-22,73.2451,73.3813,72.5731,72.8274,5821639
2014-01-23,72.3007,72.9182,71.9102,72.8637,6386966
2014-01-24,72.2916,72.6458,71.883,71.883,7120767
2014-01-27,71.6106,71.8921,71.3018,71.6832,6591287
2014-01-28,71.211,71.6741,70.6671,71.32,10586815
2014-01-29,71.0839,71.5107,69.5856,69.631,9195417
2014-01-30,70.1304,70.6117,69.6036,69.858,6821172
2014-01-31,69.1951,70.3484,68.8773,69.7853,10598937
2014-02-03,69.5947,69.6764,68.0418,68.1871,9527573
2014-02-04,68.5685,68.8773,67.3517,68.0782,9573497
2014-02-05,67.8602,68.6003,67.161,68.3415,10093459
2014-02-06,68.2779,69.1951,68.2598,69.1588,6107248
2014-02-07,69.1679,69.5583,68.8773,69.4221,6223667
2014-02-10,69.522,69.5492,68.9045,69.3858,6343591
2014-02-11,69.413,69.9125,69.1679,69.6491,6293074
2014-02-12,69.8398,70.2212,69.6219,70.1758,7346941
2014-02-13,70.2303,70.7074,69.8671,70.4573,6587379
2014-02-14,70.6026,70.9477,70.2121,70.7661,4754671
2014-02-18,70.757,70.9023,69.9851,70.4392,4954868
2014-02-19,70.1486,70.3938,69.3767,69.4221,7768088
2014-02-20,69.5492,70.4301,69.5038,70.3574,5852270
2014-02-21,70.2485,70.866,70.2485,70.5935,7765502
2014-02-24,70.6843,71.0566,70.3393,70.7116,11743785
2014-02-25,72.3552,73.5538,72.0374,73.5357,13425902
2014-02-26,73.5448,75.1067,73.3632,74.1895,9737916
2014-02-27,74.1532,74.6435,73.1997,74.4347,6041528
2014-02-28,74.362,75.4608,73.908,74.4892,7239956
2014-03-03,73.3087,74.4891,73.2088,74.4619,8359542
2014-03-04,75.2701,75.5516,75.1067,75.2519,6368258
2014-03-05,75.2883,75.5516,74.9841,75.2883,5071030
2014-03-06,75.1702,75.2701,74.6708,74.8342,6174796
2014-03-07,75.0158,75.0703,74.4982,74.9614,5288531
2014-03-10,74.8615,74.9523,74.2167,74.6254,4139181
2014-03-11,74.6071,74.7531,74.0226,74.2418,4667987
2014-03-12,73.7303,73.8399,73.2828,73.5751,7048929
2014-03-13,74.0317,74.0317,71.8946,71.9677,7665899
2014-03-14,71.9859,72.954,71.9585,72.4974,6739016
2014-03-17,72.6709,73.2326,72.3787,72.68,5547699
2014-03-18,72.744,73.5751,72.7166,72.8992,5032641
2014-03-19,73.0362,73.5066,72.5156,72.8353,6568371
2014-03-20,72.7988,73.2828,72.5796,73.1458,5097855
2014-03-21,73.776,74.7989,73.2919,73.4472,10086173
2014-03-24,73.4381,73.4837,72.333,72.7531,7574336
2014-03-25,73.1093,73.1458,72.2964,72.5796,5375497
2014-03-26,72.5978,72.8627,71.8763,72.0316,6365519
2014-03-27,71.8124,72.1686,71.575,71.8581,5803263
2014-03-28,72.0773,72.607,71.6846,71.8946,5132693
2014-03-31,72.3421,72.4517,72.0042,72.2691,5736200
2014-04-01,72.3695,73.3285,72.3695,72.4974,6697949
2014-04-02,72.6435,73.7577,72.5933,73.018,6611747
2014-04-03,73.018,73.0819,72.1321,72.5156,5505760
2014-04-04,72.7348,72.7896,71.6846,71.8946,6422052
2014-04-07,71.8672,71.8672,70.3511,70.4425,11121603
2014-04-08,70.2415,70.7256,69.794,70.4242,7372045
2014-04-09,70.5429,71.1731,70.4516,71.0178,8028618
2014-04-10,70.89,71.438,70.0498,70.1228,6208182
2014-04-11,69.9767,70.3785,69.0908,69.1365,8399700
2014-04-14,69.6844,70.1959,68.9629,69.383,8677247
2014-04-15,69.6753,69.7758,68.141,69.31,7022954
2014-04-16,69.794,69.9402,69.2278,69.9402,6104717
2014-04-17,69.6479,70.9448,69.3282,70.4059,6875585
2014-04-21,71.5567,71.5567,70.9356,71.2005,6254150
2014-04-22,71.9129,73.2737,71.8124,72.7622,11189099
2014-04-23,72.9449,73.1093,71.639,71.7119,7497133
2014-04-24,72.1229,72.8901,71.8946,72.8536,7275948
2014-04-25,72.5248,72.7896,72.1777,72.4974,6381366
2014-04-28,72.6344,74.1139,72.4517,73.2189,14562447
