date,open,high,low,close,volume
2014-01-02,33.2372,33.2648,32.5743,32.5927,3545824
2014-01-03,32.6848,33.053,32.5559,32.7124,3445197
2014-01-06,32.8413,32.9702,32.6479,32.7584,4297756
2014-01-07,32.8044,32.9702,32.5466,32.6479,2911561
2014-01-08,32.6755,32.8229,32.5098,32.694,3192480
2014-01-09,32.9149,32.9886,32.6111,32.9425,3238013
2014-01-10,33.2556,33.274,32.7216,33.0899,4780590
2014-01-13,33.0162,33.0162,32.0126,32.0126,5091579
2014-01-14,32.1139,32.6249,31.9528,32.5559,4147012
2014-01-15,32.6387,33.1819,32.5559,33.1635,4010566
2014-01-16,33.1175,33.1175,32.5881,32.7308,2264539
2014-01-17,32.7584,32.8229,32.3349,32.4638,2685364
2014-01-21,32.5927,32.6571,32.0219,32.252,3401582
2014-01-22,32.2981,32.3809,31.9942,32.1139,2684983
2014-01-23,31.7641,31.8193,30.9262,31.1472,5497349
2014-01-24,30.917,30.9815,30.162,30.1713,6257723
2014-01-27,30.2449,30.5395,29.4255,30.1436,9682051
2014-01-28,30.4383,30.9907,30.3738,30.8526,4687696
2014-01-29,30.4751,30.8756,30.1344,30.2633,5272240
2014-01-30,30.6868,31.1748,30.6592,31.0735,4473640
2014-01-31,30.4751,31.0735,30.3001,30.6132,4565995
2014-02-03,30.8157,30.8249,29.4899,29.628,7776273
2014-02-04,29.9871,30.5027,29.9319,30.2173,8371139
2014-02-05,30.383,30.9354,30.1713,30.8802,6833178
2014-02-06,30.917,31.3313,30.8526,31.2669,3971145
2014-02-07,31.3497,31.7272,31.184,31.6812,3390382
2014-02-10,31.5891,31.5983,31.2669,31.5155,3677602
2014-02-11,31.4418,32.0126,31.4418,31.893,3992581
2014-02-12,31.8377,32.206,31.7963,31.9482,2905764
2014-02-13,31.5891,31.8561,31.3958,31.8101,3739497
2014-02-14,31.6904,31.9942,31.5615,31.9206,2186240
2014-02-18,31.9574,32.1231,31.7549,32.0679,2127103
2014-02-19,31.9666,32.2152,31.5638,31.6352,3608585
2014-02-20,31.5707,31.718,31.2024,31.6167,2791679
2014-02-21,31.672,31.8469,31.5523,31.5891,2078622
2014-02-24,31.6352,32.1692,31.6075,31.893,2715327
2014-02-25,31.8469,31.8653,31.4142,31.6536,4273435
2014-02-26,31.6904,31.8193,31.3221,31.7549,3304719
2014-02-27,31.7272,32.0219,31.6051,31.9298,2302686
