date,open,high,low,close,volume
2014-01-02,84.889,85.3152,82.7959,83.26,479111
2014-01-03,83.2127,83.8567,82.8717,83.7431,394439
2014-01-06,84.3871,85.8077,83.7809,85.2774,404683
2014-01-07,87.1337,88.2702,86.0445,86.3665,437059
2014-01-08,86.3665,86.7738,85.5899,85.9498,518561
2014-01-09,86.5275,86.8306,85.6183,86.0635,273994
2014-01-10,86.1203,87.7493,85.9593,87.702,207480
2014-01-13,87.844,89.0042,87.7493,88.0997,443264
2014-01-14,88.185,89.8519,88.1281,89.1605,696518
2014-01-15,89.7382,90.4391,89.4446,90.2591,623019
2014-01-16,89.9939,90.638,89.5109,90.1834,555824
2014-01-17,90.1644,90.5527,90.0129,90.2023,390221
2014-01-21,91.0642,91.6324,90.4959,91.0642,506999
2014-01-22,91.4051,92.769,91.4051,92.75,414715
2014-01-23,92.2007,92.7027,91.873,92.0586,448949
2014-01-24,91.4051,91.4335,87.9956,88.507,566342
2014-01-27,88.5449,89.4162,86.537,88.0713,574738
2014-01-28,88.0713,88.9237,87.8535,88.9142,454289
2014-01-29,88.1281,89.0942,87.7114,88.2986,279504
2014-01-30,88.9332,89.1226,88.3081,88.9427,326902
2014-01-31,87.9529,90.7137,87.9198,89.9939,632174
2014-02-03,90.0413,90.5716,84.7849,84.9648,661309
2014-02-04,85.1637,86.4612,84.2355,85.9024,721038
2014-02-05,85.9024,86.3855,84.6759,85.7699,408313
2014-02-06,86.1203,87.1337,85.3152,86.0161,333239
2014-02-07,86.1866,88.3034,86.1866,87.9766,280340
2014-02-10,88.005,88.005,86.4707,86.5938,202693
2014-02-11,86.8117,88.2418,86.3002,87.9008,215984
2014-02-12,88.0713,89.1321,87.844,88.5354,368429
2014-02-13,88.1566,91.0736,87.9491,90.2781,427272
2014-02-14,90.1076,91.282,89.5772,90.9316,344974
2014-02-18,91.282,92.5322,90.8654,92.0302,330269
2014-02-19,91.6609,92.2386,90.8179,90.9221,251373
2014-02-20,91.1399,93.1289,90.7516,92.8258,373812
2014-02-21,93.0815,93.7445,91.9923,92.911,336235
2014-02-24,93.072,94.3033,92.8637,92.9016,394538
2014-02-25,93.0815,93.3088,91.6703,91.8692,306139
2014-02-26,92.1723,92.5602,91.3105,91.7745,456298
2014-02-27,95.3451,95.9039,92.8258,95.3546,958270
2014-02-28,96.0649,97.1541,95.0325,95.9702,582285
2014-03-03,94.8715,98.4231,93.8297,97.7981,531931
2014-03-04,100.1943,100.1943,98.3105,99.0199,502616
2014-03-05,99.4659,100.3389,98.498,98.5834,490347
2014-03-06,98.8111,100.6235,98.3177,99.5987,862532
2014-03-07,100.5856,101.1454,99.3994,99.4564,578328
2014-03-10,99.5892,100.3484,99.2761,99.9878,439780
2014-03-11,100.0162,100.1301,98.1753,98.3366,399578
2014-03-12,97.7388,98.7921,96.9038,98.5549,416714
2014-03-13,98.7542,99.1337,96.6855,97.0746,392049
2014-03-14,97.0746,98.1658,96.6533,97.122,381983
2014-03-17,96.4673,97.6819,96.3154,96.6855,347754
2014-03-18,96.5527,97.16,96.3629,97.0841,322178
2014-03-19,97.141,97.2549,95.0164,95.9074,277075
2014-03-20,96.0118,96.2205,95.2147,95.5468,298675
2014-03-21,96.1921,96.4293,94.3132,94.4176,605581
2014-03-24,95.3191,95.3855,92.8614,94.7782,442946
2014-03-25,95.1293,95.6455,94.7972,95.2337,305938
2014-03-26,95.5848,96.3344,94.2847,94.3227,312866
2014-03-27,94.4081,95.5183,94.0191,94.8541,437640
2014-03-28,95.0913,96.4578,94.6738,94.7972,322667
2014-03-31,95.4329,97.4447,95.0344,97.0366,273165
2014-04-01,97.1125,98.4695,96.9512,98.0425,381708
2014-04-02,98.3556,99.0578,97.9428,98.8396,314139
2014-04-03,99.2666,99.5133,98.3841,99.1527,263936
2014-04-04,99.0294,99.9593,95.6038,95.6607,240748
2014-04-07,95.6892,95.6979,93.8672,94.7213,362180
2014-04-08,94.7307,94.987,92.1781,93.2125,457895
2014-04-09,93.9242,95.4709,93.5541,95.1483,290879
2014-04-10,95.2242,95.7081,94.1614,94.3322,525016
2014-04-11,94.1424,95.0439,93.0417,93.1555,313205
2014-04-14,93.4782,94.1614,93.1745,93.4877,287184
2014-04-15,93.4877,94.9775,92.2351,94.7118,339877
2014-04-16,95.1388,96.4103,94.2563,96.1826,319693
2014-04-17,96.1826,98.8016,96.1826,98.7257,303940
2014-04-21,98.3746,98.8965,97.7388,98.6403,237812
2014-04-22,98.6877,99.7126,98.3272,98.3366,279728
2014-04-23,98.4315,98.9154,97.9381,98.7826,292401
2014-04-24,99.0483,99.295,97.3498,98.5169,215533
2014-04-25,98.0235,98.2892,95.3475,95.4235,259723
2014-04-28,96.3534,96.5716,93.0417,94.0191,344750
2014-04-29,94.3702,96.2965,94.1614,96.1067,161659
2014-04-30,96.0877,97.7958,95.6797,97.7388,265881
2014-05-01,97.7104,99.0863,97.2264,97.9476,123936
2014-05-02,97.6249,99.6367,97.6249,98.9629,238102
2014-05-05,98.6403,99.2002,97.3118,98.2797,220279
2014-05-06,97.6914,98.4031,96.6096,96.8089,351252
2014-05-07,96.9038,98.6498,96.0403,98.4505,244313
2014-05-08,94.968,99.1812,94.9215,95.6132,800130
2014-05-09,95.376,96.3914,93.8767,95.1103,565381
2014-05-12,95.0818,96.5242,94.9015,96.0687,562763
2014-05-13,96.268,96.6381,95.9881,96.5052,258742
2014-05-14,96.4862,96.7709,94.3891,94.6074,274650
2014-05-15,93.3358,93.649,90.4796,91.5234,549072
2014-05-16,91.846,92.0168,90.3562,91.2387,401144
2014-05-19,90.8971,92.3015,90.5175,91.0964,490985
2014-05-20,90.8876,91.3905,90.0241,90.3562,615460
2014-05-21,90.8117,91.6084,90.4226,91.4854,441222
2014-05-22,91.3431,92.6146,90.9826,92.2351,337378
2014-05-23,92.5198,93.9526,92.3209,93.5825,380300
2014-05-27,93.63,94.465,93.222,94.2088,368282
2014-05-28,94.2374,95.5591,94.2374,95.0266,528649
2014-05-29,95.502,95.502,94.1233,94.4941,226244
2014-05-30,94.0758,95.1312,93.9426,94.922,382225
2014-06-02,94.6463,96.2627,93.8381,96.044,395023
2014-06-03,95.426,96.4814,95.426,96.1201,292267
2014-06-04,95.9774,96.586,95.7112,96.1581,280730
2014-06-05,96.567,97.0329,96.2151,96.8047,300023
2014-06-06,96.9853,97.7745,96.9663,97.4607,346176
2014-06-09,97.5939,98.8204,97.2516,98.1644,265679
2014-06-10,97.8221,98.0883,96.5099,97.5558,361034
2014-06-11,97.0614,97.223,95.8824,96.0535,268985
2014-06-12,95.9869,95.9965,94.0187,94.2659,227400
2014-06-13,94.3135,94.5179,93.8571,93.9807,316245
2014-06-16,93.743,94.1899,93.3056,93.5908,301854
2014-06-17,93.5623,94.399,92.9253,93.9522,363086
2014-06-18,94.1899,94.5464,92.0885,93.0584,422442
2014-06-19,93.0394,93.7525,91.9934,92.5544,324857
2014-06-20,92.4308,93.1344,92.0267,92.3738,497028
2014-06-23,92.2692,92.4784,91.5656,91.5751,233784
2014-06-24,91.2803,91.5085,89.2075,89.2835,328914
2014-06-25,89.4072,89.6449,89.179,89.5118,322437
2014-06-26,89.5118,89.5783,88.4658,88.9888,234091
2014-06-27,88.5419,89.9016,88.4278,89.5973,859152
2014-06-30,89.8541,90.0252,88.9032,89.9396,418799
2014-07-01,90.339,91.2708,89.5878,90.6528,630424
2014-07-02,90.3295,90.8905,89.4737,89.5783,277959
2014-07-03,90.0252,90.3105,89.3406,89.4167,310270
2014-07-07,89.3786,89.3786,88.6275,88.9317,233137
2014-07-08,88.9032,89.0553,87.2345,87.6766,367603
2014-07-09,88.2186,88.4658,87.1632,87.515,381786
2014-07-10,86.5737,88.1045,86.1838,87.8763,436453
2014-07-11,87.9239,88.2566,87.0015,87.5816,260321
2014-07-14,88.2947,88.675,87.477,88.1996,353012
2014-07-15,88.1616,89.0934,87.7289,88.3042,199029
2014-07-16,88.9317,89.0934,87.2297,87.2297,398071
2014-07-17,87.2012,88.0094,85.9841,86.0222,317349
2014-07-18,86.1838,87.7717,86.1173,87.5245,290704
2014-07-21,87.3438,88.1521,87.1442,87.7527,299062
2014-07-22,88.4658,88.8633,87.9239,88.4658,254960
2014-07-23,88.5704,88.675,87.9429,88.656,245252
2014-07-24,88.656,88.9127,88.1235,88.8081,328811
2014-07-25,88.5704,89.0553,88.4373,88.8081,373449
2014-07-28,88.9603,89.2455,88.4848,89.0268,326378
2014-07-29,88.9698,89.3501,88.3993,88.4088,313086
2014-07-30,88.637,89.1314,88.1901,88.4848,284034
2014-07-31,87.9334,88.4373,86.4405,86.4501,351407
2014-08-01,86.0792,87.2773,84.9382,85.9651,435070
2014-08-04,85.6989,86.1363,84.4723,84.9002,283265
2014-08-05,84.7195,86.0317,84.2631,85.5373,301397
2014-08-06,85.0618,85.4612,84.5199,85.0048,238209
2014-08-07,85.2853,88.7891,85.1569,88.5799,426537
2014-08-08,88.5894,90.4055,88.4944,90.1964,346449
2014-08-11,91.3944,92.9062,90.9428,91.3088,290620
2014-08-12,91.3374,92.079,90.5862,91.1567,314824
2014-08-13,91.8223,94.4371,91.8223,94.342,305053
2014-08-14,94.4181,95.6351,93.781,95.2738,275477
2014-08-15,95.4545,95.9014,94.0853,94.8079,250899
2014-08-18,99.7377,100.1473,96.9844,97.5084,286744
2014-08-19,96.6811,98.3926,96.6811,97.7365,455155
2014-08-20,97.6129,97.9837,97.1185,97.803,170851
2014-08-21,97.765,98.4591,97.5368,98.345,183904
2014-08-22,98.4686,98.6398,97.8316,97.8506,146635
2014-08-25,98.3926,98.7349,97.9457,98.0978,143654
2014-08-26,97.9362,98.0883,97.3847,97.4703,169849
2014-08-27,97.7751,98.5754,97.4321,98.1276,219071
2014-08-28,98.0038,98.1419,97.0997,97.2511,159241
2014-08-29,97.2797,97.6036,96.6795,97.2797,104833
2014-09-02,97.4226,99.8234,97.013,99.7853,413190
2014-09-03,99.7377,100.1473,96.9844,97.5084,286744
2014-09-04,97.6322,98.099,96.0698,96.3842,232308
2014-09-05,96.3842,97.7942,95.784,97.7561,225876
2014-09-08,97.6608,98.6706,97.5846,98.4992,194724
2014-09-09,98.5182,99.8852,98.3467,99.6614,266105
2014-09-10,99.7948,101.3668,99.5852,101.2239,311907
2014-09-11,101.0524,101.3287,100.195,100.6332,218625
2014-09-12,100.3569,100.8809,99.9758,100.195,202470
2014-09-15,100.3188,100.6904,99.7091,100.0902,136987
2014-09-16,100.2616,101.3668,99.8854,100.7761,270936
2014-09-17,100.7761,102.3957,100.3455,101.9574,271166
2014-09-18,102.5195,102.7815,101.9384,102.5005,157252
2014-09-19,102.51,103.1054,100.7094,100.8714,354769
2014-09-22,100.6141,100.6141,98.8898,99.4233,178024
2014-09-23,99.3185,99.4042,98.4944,98.6611,220137
2014-09-24,98.5658,99.5662,98.1752,99.4709,334630
2014-09-25,99.0327,99.328,98.3563,99.1756,273444
2014-09-26,99.2232,100.1759,98.6325,99.9187,263076
2014-09-29,99.0708,100.3379,98.8135,100.2235,204412
2014-09-30,100.0711,100.4617,99.1279,99.2804,241723
2014-10-01,98.8898,98.8898,96.5938,98.1657,441732
2014-10-02,98.1276,98.9565,97.1749,98.0323,318091
2014-10-03,98.7183,99.5281,98.3086,99.0136,224650
2014-10-06,98.9279,99.1089,96.7938,97.1082,305183
2014-10-07,96.7653,96.7653,93.6214,93.7547,539735
2014-10-08,93.8691,94.8122,92.6306,94.6979,448323
2014-10-09,94.2692,94.3359,92.964,93.2784,313250
2014-10-10,92.8783,93.4499,90.7537,90.7919,408528
2014-10-13,90.7252,91.5731,87.9242,88.0005,421632
2014-10-14,88.4101,90.4013,88.029,89.4676,324526
2014-10-15,87.8861,89.62,86.176,88.896,425698
2014-10-16,87.1716,88.9722,86.7905,88.1529,442193
2014-10-17,89.4104,90.1536,88.9055,89.8773,467428
2014-10-20,89.3438,89.6075,88.1862,88.7626,380417
2014-10-21,88.8579,92.2876,88.8579,92.259,257937
2014-10-22,92.4114,93.7262,91.5731,91.6779,183880
2014-10-23,92.8211,94.193,92.7925,93.1069,187087
2014-10-24,93.0974,93.326,92.4495,93.0307,253793
2014-10-27,92.8878,94.2835,92.4495,94.2311,331334
2014-10-28,94.5455,97.2035,94.4788,97.194,257102
2014-10-29,97.1654,98.5468,96.9748,98.4229,298183
2014-10-30,103.034,103.4341,102.51,103.2341,188440
2014-10-31,100.033,100.9854,99.6757,100.8142,251633
2014-11-03,100.3664,101.2906,99.4519,100.2616,223191
2014-11-04,100.2235,100.8237,99.7853,100.4998,360300
2014-11-05,100.757,101.2423,99.6614,99.9949,279480
2014-11-06,95.9364,100.9285,95.2695,100.9095,326001
2014-11-07,100.9857,101.9574,100.5093,101.7764,546056
2014-11-10,102.1003,104.4726,101.7879,104.3773,408007
2014-11-11,104.644,105.1585,102.0146,103.1578,346116
2014-11-12,103.034,103.4341,102.51,103.2341,188440
2014-11-13,103.1578,103.7389,102.5005,102.7291,273101
2014-11-14,102.491,103.4722,102.1766,102.7482,228573
2014-11-17,102.5767,103.1293,102.3957,102.9387,184977
2014-11-18,103.377,103.8419,103.0435,103.5484,299470
2014-11-19,103.215,103.9772,102.5576,103.92,154169
2014-11-20,103.0816,103.8343,102.9197,103.3103,192735
2014-11-21,104.4059,104.5583,102.6624,102.853,217030
2014-11-24,102.853,104.9013,102.853,104.8536,154468
2014-11-25,104.9397,105.609,104.6385,105.303,134794
2014-11-26,105.0831,105.4177,104.0982,104.6432,109430
2014-11-28,104.213,105.3412,104.0504,104.1938,106721
2014-12-01,103.4576,104.2703,102.3293,102.3962,227666
2014-12-02,102.0233,104.0313,101.9086,102.9795,199861
2014-12-03,102.9604,104.6528,102.6831,104.4903,192080
2014-12-04,103.7253,104.4329,102.5779,102.817,153914
2014-12-05,103.2664,105.1787,103.2664,104.5476,287823
2014-12-08,104.4903,105.3795,103.2377,103.5819,316998
2014-12-09,102.0903,103.3715,101.1484,102.9891,188679
2014-12-10,102.5779,102.5779,99.566,99.6425,148477
2014-12-11,99.9484,101.0385,99.8241,100.1492,173334
2014-12-12,99.0496,99.958,98.5238,99.107,286880
2014-12-15,99.7668,99.7859,98.0265,99.1835,234611
2014-12-16,98.9253,100.7421,98.1508,100.0249,267559
2014-12-17,100.3022,102.5205,99.2314,102.1572,232665
2014-12-18,102.6353,105.4464,102.2433,105.3986,276915
2014-12-19,105.1787,106.7277,105.1118,106.46,385409
2014-12-22,106.852,110.3611,106.7373,109.6727,347178
2014-12-23,110.3133,111.193,109.4623,109.5771,318706
2014-12-24,109.5006,110.3419,109.2424,109.8066,82564
2014-12-26,110.3133,110.7146,109.2042,110.4185,92548
2014-12-29,110.0456,110.9635,109.883,109.9404,105885
2014-12-30,109.491,110.2177,109.1755,109.3189,133652
2014-12-31,109.5006,110.1842,107.5117,107.5309,225795
2015-01-02,107.5596,108.4159,105.7428,107.005,199086
2015-01-05,106.7564,107.158,104.6241,105.3986,210168
2015-01-06,106.8424,109.9978,106.1444,109.2711,438346
2015-01-07,110.0169,111.0878,108.1333,109.0799,381675
2015-01-08,110.036,112.742,109.5484,112.5794,341081
2015-01-09,112.4934,113.2249,110.7388,110.801,183269
2015-01-12,111.3556,111.432,109.1564,110.4376,254369
2015-01-13,110.7149,112.4073,108.7739,109.883,300847
2015-01-14,108.1906,110.1115,107.4066,108.554,432686
2015-01-15,108.3914,109.8926,106.9285,107.8942,335950
2015-01-16,107.3588,110.7532,107.3588,110.5811,274085
2015-01-20,110.5332,111.3556,108.401,109.7588,369693
2015-01-21,109.5771,111.0209,109.0129,110.8297,285869
2015-01-22,111.7571,114.53,110.3707,114.1667,312624
2015-01-23,114.1667,114.5778,112.7038,114.3675,258995
2015-01-26,113.9946,114.3292,112.589,114.2814,272410
2015-01-27,112.4934,114.444,112.4934,113.832,309833
2015-01-28,115.0081,115.4958,112.742,113.2488,216191
2015-01-29,113.3348,113.7076,111.5324,113.2966,224709
2015-01-30,112.3595,113.22,111.1452,111.4894,283192
2015-02-02,111.6042,112.8854,109.5866,112.8376,223808
2015-02-03,113.3061,115.993,113.3061,115.8591,317005
2015-02-04,115.8591,116.5857,115.142,115.5627,208060
2015-02-05,116.538,116.8535,115.228,115.5436,184039
2015-02-06,115.3141,117.1213,114.8743,116.3754,375224
