date,open,high,low,close,volume
2015-10-19,13.8426,13.8426,12.3311,12.3835,1581576
2015-10-20,12.159,12.6678,12.159,12.6229,709632
2015-10-21,12.9073,12.9821,12.2713,12.3311,78598
2015-10-22,12.5032,12.7576,12.1515,12.6828,110000
2015-10-23,12.9073,12.9073,12.608,12.7202,59910
2015-10-26,12.8025,12.8025,12.2039,12.2862,514799
2015-10-27,12.391,12.5331,11.6727,11.7699,636017
2015-10-28,11.8971,12.2338,11.856,12.1815,296321
2015-10-29,11.9794,12.174,11.6352,11.9345,290446
2015-10-30,11.8971,12.0468,11.0142,11.0142,2449278
2015-11-02,11.2163,11.351,10.3708,10.8422,40866212
2015-11-03,10.5279,11.0068,10.2324,10.7449,40205820
2015-11-04,10.7674,10.8572,10.1837,10.2211,31525806
2015-11-05,10.2062,10.3932,9.8171,9.9368,22190459
2015-11-06,9.862,10.8347,9.8395,10.7749,30049954
2015-11-09,10.6701,10.8347,10.5728,10.6252,17528088
2015-11-10,10.5728,10.8048,10.483,10.7823,14777765
2015-11-11,10.6252,10.7075,10.5429,10.5579,11009387
2015-11-12,10.3334,10.3409,10.1688,10.2511,20371666
2015-11-13,10.1837,10.296,9.8395,10.0191,14924533
2015-11-16,10.0042,10.1837,9.8321,10.0116,13781675
2015-11-17,10.0116,10.0939,9.8171,9.8919,12420759
2015-11-18,10.0865,10.2735,9.8684,10.2062,13020475
2015-11-19,10.1239,10.3932,10.1164,10.3109,13171491
2015-11-20,10.3109,10.947,10.2361,10.6327,18559394
2015-11-23,10.6028,10.6327,10.1538,10.3633,15317345
2015-11-24,10.1613,10.4943,10.1014,10.2436,24110878
2015-11-25,10.4082,11.1191,10.3558,10.5653,22677094
2015-11-27,10.5653,10.9544,10.513,10.7374,6041718
2015-11-30,10.6477,11.2238,10.6102,11.1191,29104253
2015-12-01,11.134,11.8823,11.1116,11.6802,25106564
2015-12-02,11.5007,11.6279,11.1265,11.1864,12681142
2015-12-03,11.2238,11.4782,10.9095,10.9395,18905240
2015-12-04,10.7674,11.4445,10.6551,11.3884,12001085
2015-12-07,11.2645,11.625,11.2044,11.6025,9546047
2015-12-08,11.3321,11.4823,10.9792,11.3922,11617601
2015-12-09,11.257,11.5574,11.0242,11.1519,14261925
2015-12-10,11.1068,11.1218,10.9116,11.0542,11350209
2015-12-11,11.257,11.5649,10.6187,10.6487,10614763
2015-12-14,10.7388,10.889,10.4535,10.844,11528144
2015-12-15,10.8965,11.2495,10.8778,10.9341,12888739
2015-12-16,10.9792,11.1218,10.9266,11.0392,7840968
2015-12-17,10.9716,11.0542,10.6788,10.7464,7625458
2015-12-18,10.7163,10.8027,10.5136,10.6337,19337615
2015-12-21,10.6037,10.8139,10.4159,10.5286,9863255
2015-12-22,10.5436,10.6187,10.4535,10.5586,7292476
