date,open,high,low,close,volume
2015-10-19,9.6791,11.5118,9.6791,11.4289,1887845
2015-10-20,11.6039,11.6039,10.775,11.0605,363410
2015-10-21,11.1158,11.1158,10.3606,11.0974,171500
2015-10-22,11.2816,11.2816,10.775,10.8948,492473
2015-10-23,10.9592,11.4013,10.8027,11.0513,314685
2015-10-26,10.8856,11.0145,10.554,10.7658,238264
2015-10-27,10.6369,11.1618,10.4251,10.8211,868546
2015-10-28,10.7566,11.0882,10.5909,10.8211,471487
2015-10-29,10.6829,10.9684,10.3514,10.8211,668452
2015-10-30,10.4527,11.171,10.1488,11.171,2228498
2015-11-02,11.4842,12.8932,11.4289,12.7366,51620791
2015-11-03,12.6446,13.3537,12.4788,13.1603,39579358
2015-11-04,13.1234,13.2892,12.8103,13.0221,34907608
2015-11-05,13.0866,13.1234,12.8564,12.9393,16651628
2015-11-06,12.8564,12.9485,12.7366,12.9024,21712730
2015-11-09,13.1234,13.2155,12.7459,12.7735,19631580
2015-11-10,12.7735,13.0221,12.7366,13.0037,15740262
2015-11-11,13.0129,13.0866,12.8011,12.8195,9758000
2015-11-12,12.6998,12.709,12.2393,12.2578,20432243
2015-11-13,12.3038,12.3867,11.9999,12.0736,17493705
2015-11-16,12.1104,12.3683,12.0736,12.2946,12705276
2015-11-17,12.3499,12.5709,12.2117,12.2301,14772995
2015-11-18,12.3683,12.6077,12.3222,12.5617,12828573
2015-11-19,12.5893,12.7459,12.5433,12.6998,15354564
2015-11-20,12.7459,12.9761,12.7182,12.9485,20111381
2015-11-23,13.1787,13.1971,12.884,13.105,14518075
2015-11-24,12.9577,13.6484,12.9116,13.4826,28906255
2015-11-25,12.1288,12.2209,11.2908,11.6407,71908577
2015-11-27,11.5486,11.8618,11.521,11.6131,17214251
2015-11-30,11.5855,11.6868,11.4105,11.5486,28852415
2015-12-01,11.6315,11.7604,11.5302,11.7328,17801789
2015-12-02,11.6131,11.6131,10.9592,11.0053,52272809
2015-12-03,11.0237,11.3921,10.9224,11.1895,47349888
2015-12-04,11.1895,11.5671,11.1618,11.346,21815329
2015-12-07,11.3591,11.5963,11.2288,11.3032,21616358
2015-12-08,11.0893,11.4986,11.0614,11.3404,20595506
2015-12-09,11.2381,11.5823,11.2056,11.266,23603459
2015-12-10,11.2753,11.5172,11.2753,11.4986,15199887
2015-12-11,11.2939,11.4242,11.2009,11.3591,20889528
2015-12-14,11.4428,11.6009,11.173,11.3125,19394178
2015-12-15,11.3684,11.5963,11.3497,11.3591,18768571
2015-12-16,11.4149,11.5312,11.3311,11.4056,18241296
2015-12-17,11.4242,11.4893,11.0614,11.0707,25744262
2015-12-18,11.0055,11.08,10.652,10.7078,38462426
2015-12-21,10.7916,10.8195,10.5218,10.6334,18336189
2015-12-22,10.6055,10.9404,10.5125,10.8474,19678125
2015-12-23,10.9311,10.9683,10.8474,10.9311,11953781
2015-12-24,10.9311,11.0614,10.9032,10.9125,4626631
2015-12-28,10.8846,10.9032,10.773,10.8195,8052380
2015-12-29,10.8567,11.0986,10.8567,11.0334,9666338
2015-12-30,11.08,11.1265,10.9869,11.0148,8390613
2015-12-31,11.0055,11.1544,10.9404,11.0148,10382718
2016-01-04,10.773,10.8474,10.652,10.7916,15143504
2016-01-05,10.8381,10.959,10.773,10.8939,13558506
2016-01-06,10.7171,10.7171,10.4194,10.5032,16352592
2016-01-07,10.2799,10.2799,9.9729,10.0194,25487650
2016-01-08,10.0752,10.159,9.8147,9.8426,17429384
2016-01-11,9.9171,10.0008,9.7682,9.9078,17004006
2016-01-12,10.0101,10.128,9.8333,10.0659,16629480
2016-01-13,10.0752,10.1636,9.7124,9.8426,29839454
2016-01-14,9.8613,10.0659,9.8054,9.8799,29085016
2016-01-15,9.4705,9.6566,9.2938,9.4054,24212476
2016-01-19,9.5543,9.5636,9.024,9.0798,27430335
2016-01-20,8.8844,8.9589,8.596,8.8844,27005140
2016-01-21,8.9403,9.3124,8.8427,9.2473,25739327
2016-01-22,9.424,9.5263,9.0519,9.117,17295154
2016-01-25,9.1077,9.1227,8.7914,8.8286,14556839
2016-01-26,8.8751,9.117,8.8472,8.9682,9929560
2016-01-27,8.9682,9.2007,8.8984,8.9496,9768623
2016-01-28,9.0705,9.0891,8.7635,8.8193,13443694
2016-01-29,8.9123,9.0426,8.7449,9.0333,47468423
2016-02-01,8.9775,9.3124,8.9216,9.2752,21712343
2016-02-02,9.1449,9.2752,9.0518,9.1914,21614739
2016-02-03,9.1263,9.1635,8.6798,8.9775,15264346
2016-02-04,8.9309,9.2426,8.9309,9.1728,11744573
2016-02-05,9.1449,9.4147,9.0798,9.2193,17014210
2016-02-08,9.0798,9.1254,8.5681,8.717,15919186
2016-02-09,8.6426,8.7635,8.5123,8.5495,20489175
2016-02-10,8.596,8.8054,8.5495,8.6333,12246977
2016-02-11,8.503,8.5588,8.289,8.3914,14737628
2016-02-12,8.4565,8.7821,8.4007,8.7635,9665478
2016-02-16,8.8937,9.1589,8.7914,9.1263,12066901
2016-02-17,9.1914,9.3961,9.1821,9.3775,11990079
2016-02-18,9.424,9.9264,9.3961,9.7868,18758879
2016-02-19,9.7589,9.7619,9.3496,9.6008,13933483
2016-02-22,9.7124,10.0008,9.6938,9.9357,10850022
2016-02-23,9.8706,9.8892,9.5356,9.5915,13019804
2016-02-24,9.5636,10.103,9.3961,10.0659,21745835
2016-02-25,9.4519,9.731,9.2566,9.6194,35602796
2016-02-26,9.7124,10.2241,9.6566,9.8985,22767977
2016-02-29,9.8985,10.0938,9.8613,9.945,17442482
2016-03-01,10.0845,10.252,9.9264,10.1683,17280143
2016-03-02,10.1683,10.2892,10.0194,10.1403,12508166
2016-03-03,10.2055,10.5078,10.1962,10.3357,18109767
2016-03-04,10.3729,10.5311,10.3264,10.4008,15193961
2016-03-07,10.3387,10.7244,10.3011,10.6398,12399208
2016-03-08,10.5363,10.6021,10.3105,10.3952,13054953
2016-03-09,10.4328,10.7715,10.4328,10.6868,12056828
2016-03-10,10.715,10.875,10.4846,10.7433,15901293
2016-03-11,10.8373,11.0067,10.7715,11.0067,12948046
2016-03-14,10.9408,11.0161,10.6868,10.7903,13588537
2016-03-15,10.7527,10.7715,10.5363,10.7244,11307644
2016-03-16,10.7339,10.9784,10.6774,10.9314,11691723
2016-03-17,10.9314,11.5241,10.9032,11.0255,18154948
2016-03-18,11.0819,11.4959,11.0819,11.4582,35437933
2016-03-21,11.4206,11.5147,11.2701,11.4864,14445644
2016-03-22,11.3736,11.5711,11.3453,11.5335,10974894
2016-03-23,11.5147,11.5524,11.2607,11.3077,11990005
2016-03-24,11.2701,11.383,11.0208,11.3547,12086628
2016-03-28,11.3453,11.4206,11.2513,11.3547,10561485
2016-03-29,11.3171,11.6181,11.2136,11.5523,10721195
2016-03-30,11.6087,11.6558,11.4394,11.5711,10790084
2016-03-31,11.5711,11.6276,11.477,11.5899,13811578
2016-04-01,11.4864,11.5617,11.3171,11.5335,11919330
2016-04-04,11.5147,11.5711,11.3736,11.383,11098437
2016-04-05,11.383,11.4206,11.223,11.2419,15487788
2016-04-06,11.3171,11.5617,11.1854,11.5523,13146724
2016-04-07,11.4864,11.5617,11.223,11.2795,14245294
2016-04-08,11.3736,11.5523,11.3359,11.3453,8256239
2016-04-11,11.383,11.7028,11.3783,11.4112,15969492
2016-04-12,11.477,11.5805,11.0819,11.4959,28336407
2016-04-13,11.6087,11.985,11.5335,11.891,16054721
2016-04-14,11.8157,11.938,11.6087,11.8063,14172546
2016-04-15,11.8251,11.9568,11.7593,11.7781,12488274
2016-04-18,11.7404,12.192,11.7122,11.9192,15584523
2016-04-19,11.9474,12.1497,11.8439,12.0227,18279217
2016-04-20,12.0603,12.192,11.9709,12.0415,17071955
2016-04-21,12.0227,12.0801,11.8345,11.8439,11000358
2016-04-22,11.7781,11.9756,11.7781,11.8627,11636310
2016-04-25,11.8063,11.891,11.637,11.8251,13957188
2016-04-26,11.8439,12.0274,11.8345,11.9756,15712320
2016-04-27,11.9098,12.0321,11.7452,12.0039,10530745
2016-04-28,11.985,12.0415,11.7781,11.8251,8041135
2016-04-29,11.7499,11.7687,11.4112,11.5429,13491933
2016-05-02,11.5335,11.5993,11.3077,11.4018,12284017
2016-05-03,11.3359,11.3924,10.922,11.0161,16316517
2016-05-04,10.9596,11.1007,10.8373,10.9032,8674642
2016-05-05,10.9784,11.0443,10.7244,10.7715,8975394
2016-05-06,10.7244,10.9502,10.6962,10.9032,8439004
2016-05-09,10.8938,10.9408,10.7056,10.7527,9548431
2016-05-10,10.7997,11.0255,10.7339,10.922,14925503
2016-05-11,10.9314,11.0631,10.8467,10.9973,14228886
2016-05-12,11.0819,11.1007,10.7715,10.875,12098821
2016-05-13,10.8467,10.9973,10.7527,10.8185,7605491
2016-05-16,10.8467,10.9879,10.8091,10.9502,6107879
2016-05-17,10.9032,11.0913,10.7997,10.8467,9530677
2016-05-18,10.8938,10.9879,10.7903,10.8844,7045400
2016-05-19,10.7903,10.8656,10.6398,10.7621,10828740
2016-05-20,10.7997,10.9832,10.7244,10.969,10409147
2016-05-23,10.969,11.1666,10.9314,10.9784,9392334
2016-05-24,10.9879,11.223,10.9314,11.2042,8904028
2016-05-25,11.5147,11.6087,11.3924,11.477,15281751
2016-05-26,11.7593,12.3707,11.7122,12.2673,29850860
2016-05-27,12.2484,12.5166,12.1873,12.3896,18881860
2016-05-31,12.3425,12.5871,12.2955,12.5871,22009762
2016-06-01,12.5307,12.6906,12.4272,12.6436,15231960
2016-06-02,12.5965,12.8364,12.5871,12.7376,13659159
2016-06-03,12.6718,12.7282,12.5307,12.6436,10879956
2016-06-06,12.6342,12.8882,12.6342,12.8599,8693869
2016-06-07,12.8882,12.9822,12.8035,12.8787,9551171
2016-06-08,12.8787,13.0763,12.8505,13.0481,9281658
2016-06-09,12.9634,13.0622,12.8129,13.0199,9411979
2016-06-10,12.8976,12.907,12.5965,12.7011,10147977
2016-06-13,12.6004,12.6194,12.3631,12.3725,13612096
2016-06-14,12.3536,12.534,12.2396,12.3915,11584336
2016-06-15,12.4295,12.534,12.306,12.3441,9812950
2016-06-16,12.2871,12.3631,12.0687,12.3251,8609864
2016-06-17,12.3251,12.515,12.3061,12.458,14437778
2016-06-20,12.6099,12.7049,12.401,12.4105,12433368
2016-06-21,12.4675,12.6859,12.401,12.6574,13198707
2016-06-22,12.1636,12.3156,11.9642,11.9737,18255631
2016-06-23,12.1826,12.3156,12.1447,12.2966,13354172
2016-06-24,11.7838,11.9927,11.5369,11.6414,19822702
2016-06-27,11.499,11.5085,10.9008,10.9672,15068527
2016-06-28,11.0812,11.2046,10.9292,11.1951,15332941
2016-06-29,11.366,11.6129,11.2426,11.5654,14196374
2016-06-30,11.6509,11.9168,11.5275,11.9168,14463718
2016-07-01,11.9168,12.1162,11.8788,12.0877,10889168
2016-07-05,11.9832,12.0687,11.6367,11.7364,9277521
2016-07-06,11.6414,11.9832,11.4325,11.9642,12005050
2016-07-07,12.0212,12.2254,11.9547,12.2016,13625681
2016-07-08,12.3915,12.4912,12.2966,12.42,8603605
2016-07-11,12.5055,12.6289,12.3692,12.496,9730143
2016-07-12,12.7903,13.1322,12.7429,13.0277,17162892
2016-07-13,13.0372,13.1512,12.9423,13.1132,9809466
2016-07-14,13.1892,13.2366,13.0562,13.1037,9378251
2016-07-15,13.1892,13.2271,13.0752,13.1512,10008683
2016-07-18,13.1512,13.2936,13.1512,13.2366,6628739
2016-07-19,13.2271,13.3981,13.2129,13.3411,11298815
2016-07-20,13.436,13.531,13.3316,13.4455,17222703
