date,open,high,low,close,volume
2014-01-02,16.0924,16.1007,15.8188,15.9681,4973190
2014-01-03,15.9929,16.0427,15.7857,15.8603,6957443
2014-01-06,15.7525,15.9266,15.653,15.794,5427625
2014-01-07,15.8686,16.0759,15.7608,15.794,8137792
2014-01-08,15.794,15.9681,15.653,15.9515,10107917
2014-01-09,16.0012,16.0427,15.7359,16.0012,7227955
2014-01-10,16.0841,16.1588,15.8105,15.9017,6258319
2014-01-13,15.8271,15.9349,15.7401,15.8188,5242069
2014-01-14,15.8437,16.051,15.7857,16.0344,7357938
2014-01-15,16.0178,16.2085,15.9929,16.1256,6816075
2014-01-16,16.0344,16.1671,16.0261,16.0924,3644890
2014-01-17,16.1173,16.1546,16.0012,16.1007,5828302
2014-01-21,16.1588,16.3412,16.1256,16.1505,10749600
2014-01-22,16.2251,16.3412,16.1256,16.2251,6188831
2014-01-23,16.0759,16.2085,15.9805,16.0593,5364825
2014-01-24,15.9515,15.9847,15.5452,15.5784,6280690
2014-01-27,15.5784,15.6199,15.1639,15.2799,7772701
2014-01-28,15.2882,15.4375,15.2634,15.3463,5555686
2014-01-29,15.1722,15.3421,15.0146,15.0975,7609532
2014-01-30,15.2219,15.2965,15.081,15.197,7687444
2014-01-31,14.9483,15.3048,14.9234,15.2468,9168101
2014-02-03,15.1639,15.2468,14.8074,14.9234,13724614
2014-02-04,15.0229,15.2717,14.9193,15.1224,9258684
2014-02-05,15.0893,15.0975,14.8778,14.9649,7235108
2014-02-06,14.9649,15.2385,14.9483,15.197,6475445
2014-02-07,15.2468,15.3877,15.0312,15.2717,10091999
2014-02-10,15.3131,15.3546,15.1224,15.2136,10489445
2014-02-11,15.2136,15.5577,15.1722,15.5287,8821173
2014-02-12,15.5038,15.537,15.3628,15.537,5991346
2014-02-13,15.4126,15.6696,15.3546,15.6364,6894806
2014-02-14,15.6116,15.8188,15.537,15.7442,7730433
2014-02-18,15.7359,15.7608,15.5784,15.6364,7994889
2014-02-19,15.6696,16.2831,15.4955,15.9598,11267566
2014-02-20,16.0344,16.1753,16.0095,16.1256,6250608
2014-02-21,16.1256,16.3246,16.0137,16.2002,5919830
2014-02-24,16.2168,16.4572,16.2085,16.2665,6459391
2014-02-25,16.2417,16.4489,16.2251,16.2665,5800973
2014-02-26,16.2831,16.4738,16.2417,16.308,5152109
2014-02-27,16.308,16.4241,16.1007,16.2334,5846843
2014-02-28,16.2251,16.4116,16.2002,16.308,6827683
2014-03-03,16.2002,16.3121,15.9847,16.2914,6180890
2014-03-04,16.507,16.6396,16.4489,16.6396,5516788
2014-03-05,16.623,16.6645,16.3992,16.5567,4473685
2014-03-06,16.5816,16.706,16.5484,16.6811,4542400
2014-03-07,16.6894,16.7225,16.565,16.6894,4492925
2014-03-10,16.6562,16.6852,16.5236,16.5982,4721600
2014-03-11,16.5982,16.7723,16.5982,16.6977,4727268
2014-03-12,16.6313,16.8718,16.6313,16.7972,5183459
2014-03-13,16.8884,16.9961,16.7142,16.7225,6938229
2014-03-14,16.7308,16.9298,16.706,16.9049,7574375
2014-03-17,16.9713,17.1081,16.8635,16.9381,4171269
2014-03-18,16.9215,17.021,16.8386,16.9713,4198203
2014-03-19,16.9381,17.0044,16.5899,16.6148,7976286
2014-03-20,16.5484,16.6396,16.4655,16.5982,6853148
2014-03-21,16.7308,16.8884,16.5484,16.8137,6695291
2014-03-24,16.7889,16.8303,16.4199,16.5401,5621197
2014-03-25,16.6479,16.7308,16.5153,16.623,8559581
2014-03-26,16.6645,16.6977,16.3246,16.3577,6080963
2014-03-27,16.3577,16.5957,16.2492,16.4746,4922923
2014-03-28,16.5247,16.8003,16.483,16.65,4082296
2014-03-31,16.7335,16.9423,16.6166,16.9005,4707477
2014-04-01,16.817,17.1761,16.817,17.1677,6731162
2014-04-02,17.1677,17.2846,17.0516,17.2512,7261080
2014-04-03,17.2679,17.3598,17.1594,17.2512,4648194
2014-04-04,17.3681,17.4516,17.0592,17.1343,8028175
2014-04-07,17.0926,17.3598,17.0842,17.2345,6836412
2014-04-08,17.1594,17.4266,17.126,17.3013,5723565
2014-04-09,17.3347,17.4516,17.1009,17.2011,8475647
2014-04-10,17.2262,17.3097,16.7669,16.817,10903021
2014-04-11,16.7419,16.9172,16.6416,16.7419,8223223
2014-04-14,16.8588,16.984,16.7335,16.8922,6101606
2014-04-15,16.9089,17.1093,16.8755,17.1093,7985505
2014-04-16,17.2679,17.5602,17.2178,17.5602,11188350
2014-04-17,17.5184,17.5351,17.3264,17.5184,6981709
2014-04-21,17.5351,17.5852,17.5017,17.5518,5566288
2014-04-22,17.5518,17.6604,17.4892,17.6186,3795230
2014-04-23,17.6019,17.6437,17.4767,17.5351,5480630
2014-04-24,17.6019,17.8023,17.5852,17.6353,7374580
2014-04-25,17.627,17.627,17.4182,17.4516,4176926
2014-04-28,17.5602,17.5852,17.1928,17.5101,6520779
2014-04-29,17.5936,17.6562,17.4516,17.4767,6331113
2014-04-30,17.46,17.9359,17.4099,17.9109,9847582
2014-05-01,17.6771,18.0111,17.3765,17.9526,7507669
2014-05-02,17.9025,18.128,17.7689,17.9276,5927741
2014-05-05,17.6019,17.9276,17.6019,17.794,5493507
2014-05-06,17.7606,17.9234,17.6854,17.7355,5604243
2014-05-07,17.7773,17.8608,17.6103,17.8524,6670526
2014-05-08,17.8608,18.1113,17.7606,17.9526,3757568
2014-05-09,17.9944,18.0612,17.7856,17.8942,4522743
2014-05-12,18.0194,18.1614,17.9944,18.128,3773508
2014-05-13,18.1113,18.1948,17.8274,17.8691,4102039
2014-05-14,17.9109,17.9777,17.7814,17.9192,3579642
2014-05-15,17.8274,17.9109,17.6103,17.8942,8062213
2014-05-16,17.8775,18.1363,17.8107,18.128,5910656
2014-05-19,18.0946,18.1864,18.0111,18.1614,3817425
2014-05-20,18.1447,18.1781,17.9944,18.0278,4417626
2014-05-21,18.0612,18.1196,17.8274,17.9109,3460135
2014-05-22,17.9443,18.0695,17.8441,17.961,3061022
2014-05-23,18.0111,18.1447,17.9109,18.1363,2488886
2014-05-27,18.2365,18.32,18.0278,18.2115,4358313
2014-05-28,18.153,18.1864,17.9276,18.1029,8234017
2014-05-29,18.1697,18.2115,18.1154,18.2031,3691710
