date,open,high,low,close,volume
2014-01-02,160.7452,160.9083,159.0193,159.3027,4546809
2014-01-03,159.5603,160.8654,159.1052,160.2558,4064095
2014-01-06,160.6937,160.8697,159.1052,159.7063,4068105
2014-01-07,160.0411,163.4413,160.0325,162.8918,5934322
2014-01-08,162.5655,162.6406,160.7881,161.3978,4604105
2014-01-09,162.2993,162.7115,160.1785,160.8912,4322284
2014-01-10,161.6897,161.9129,159.9467,160.7881,4023089
2014-01-13,159.9295,160.522,157.8688,158.1264,5789107
2014-01-14,158.8991,160.0738,157.8875,159.6376,4619509
2014-01-15,159.5517,161.9816,159.2684,161.2003,4829291
2014-01-16,161.02,162.2736,160.3932,162.0761,4775167
2014-01-17,161.4579,163.8363,161.3033,163.2181,7671146
2014-01-21,163.3383,163.4757,160.3846,161.7927,11121410
2014-01-22,155.6535,157.5597,154.2711,156.4864,13800586
2014-01-23,155.7823,157.7486,155.1641,156.8985,6974334
2014-01-24,155.6277,156.9707,154.2453,154.2453,6938768
2014-01-27,154.2153,154.2539,152.5452,152.7513,5209244
2014-01-28,152.8801,153.2236,151.2573,151.8497,5336989
2014-01-29,151.1027,153.2922,151.0255,151.4634,4971142
2014-01-30,152.1245,152.717,151.429,152.2876,4854397
2014-01-31,151.2144,152.6955,150.5532,151.7038,5195381
2014-02-03,151.1371,151.1371,148.3036,148.4581,7187767
2014-02-04,148.9991,149.188,147.9945,148.4066,4351180
2014-02-05,147.8485,150.2355,147.8485,149.6087,4714375
2014-02-06,150.1957,150.9555,150.0403,150.8001,4292478
2014-02-07,151.6375,153.2951,151.1454,153.0275,4725647
2014-02-10,152.7858,153.3728,152.1642,152.9325,3544486
2014-02-11,152.6476,155.7384,152.639,155.1427,4654207
2014-02-12,154.9873,156.4809,154.7628,155.6089,3984148
2014-02-13,153.8649,157.4392,153.5541,156.9902,4482761
2014-02-14,156.4895,159.2263,156.2564,158.5874,4665873
2014-02-18,158.1471,158.8551,157.4046,158.1558,4435484
2014-02-19,157.7673,160.2796,157.4823,157.9486,4671705
2014-02-20,157.9572,159.5975,157.8104,159.0795,4968267
2014-02-21,159.0709,160.3314,157.6637,157.8104,5699331
2014-02-24,157.8363,159.8565,157.8363,158.3802,4595312
2014-02-25,158.4407,159.3731,157.8881,158.1903,3902332
2014-02-26,158.8033,159.9601,158.4752,158.9069,3740884
2014-02-27,158.7083,160.5386,158.691,159.9515,3827965
2014-02-28,160.0465,160.6854,158.5529,159.8652,4668452
2014-03-03,158.2766,159.4076,157.8363,159.0795,3950114
2014-03-04,160.4177,161.5832,160.3055,160.9616,4734235
2014-03-05,161.0739,162.2653,160.9271,161.566,3487359
2014-03-06,161.7645,162.6451,161.3588,161.9976,3817529
2014-03-07,162.6106,163.1027,161.6005,162.0322,4117826
2014-03-10,161.9199,162.6279,160.4514,160.9185,4594054
2014-03-11,161.7991,162.6969,160.6163,161.2379,4229679
2014-03-12,160.5904,161.8336,160.4868,160.7717,4833158
2014-03-13,160.9357,161.4451,158.6047,158.7687,4913208
2014-03-14,158.7601,159.1054,157.3097,157.3097,5490326
2014-03-17,157.6982,160.8839,157.6982,160.4177,4938754
2014-03-18,160.5731,162.2221,160.1846,161.2811,3961319
2014-03-19,160.2364,161.1861,158.4235,159.468,4323930
2014-03-20,159.2608,162.5329,159.0018,162.2221,5062629
2014-03-21,162.7401,162.9128,160.9271,161.1602,12535281
2014-03-24,161.8163,163.5516,161.7645,162.5243,5738492
2014-03-25,162.9646,168.6929,162.9128,168.3864,10912699
2014-03-26,168.3346,168.8957,165.7273,166.2971,6851772
2014-03-27,165.6841,166.3402,163.4498,163.8884,6767653
