date,open,high,low,close,volume
2014-01-02,79.4838,79.9645,79.0123,79.1787,346558
2014-01-03,79.3081,79.6594,79.0733,79.4283,390180
2014-01-06,79.6964,79.9645,78.8829,78.9199,449102
2014-01-07,79.0493,79.493,78.698,78.9938,423921
2014-01-08,78.9661,79.2064,78.2728,78.4576,489509
2014-01-09,78.8367,78.869,78.1803,78.6425,432080
2014-01-10,78.8274,79.5392,78.7331,79.2342,314754
2014-01-13,79.0863,79.3913,78.2173,78.3837,294034
2014-01-14,78.5871,79.5023,78.1711,79.3728,268956
2014-01-15,79.3543,79.8073,79.2896,79.7611,325289
2014-01-16,79.6779,80.5977,79.04,80.3065,344023
2014-01-17,80.5099,80.7688,79.8166,80.4452,408430
2014-01-21,80.852,81.3604,80.1863,80.815,366955
2014-01-22,80.852,81.1385,80.4729,80.7133,397862
2014-01-23,80.0199,80.6301,79.4006,79.8258,306848
2014-01-24,79.4098,79.6317,78.5778,78.5778,517088
2014-01-27,78.4669,78.9661,78.1248,78.6333,720121
2014-01-28,79.2064,80.852,79.2064,80.6116,512485
2014-01-29,80.0015,80.2141,79.0585,79.3543,551276
2014-01-30,79.7703,81.1663,79.6871,80.704,442199
2014-01-31,79.6317,80.5284,79.3174,80.1309,443727
2014-02-03,79.8998,80.5524,77.6349,77.6903,402337
2014-02-04,77.9584,78.1433,77.2743,77.5055,448766
2014-02-05,77.1911,78.5778,76.6457,78.2543,375065
2014-02-06,78.3282,79.5642,78.1988,79.4375,317033
2014-02-07,79.8628,80.4637,79.7149,80.3435,260271
2014-02-10,80.2511,81.157,79.9876,81.1385,301471
2014-02-11,81.3789,82.0999,81.0831,81.8781,295012
2014-02-12,81.8873,82.1878,80.9999,81.4528,582714
2014-02-13,81.952,83.8194,80.9536,83.7177,630095
2014-02-14,84.3279,85.0859,83.8009,84.8086,387232
2014-02-18,85.0767,85.6036,84.6884,85.5481,449004
2014-02-19,85.354,86.2415,84.5405,84.596,384540
2014-02-20,84.7254,85.1321,84.0736,85.0212,405116
2014-02-21,85.28,85.6313,84.448,84.485,386329
2014-02-24,84.6144,85.1876,84.4665,84.5312,276804
2014-02-25,84.485,85.4372,84.3464,84.7808,422842
2014-02-26,84.9935,86.4911,84.9888,86.26,584599
2014-02-27,86.1305,86.4356,85.8486,86.1398,372199
2014-02-28,86.3339,87.1844,86.0658,86.7037,505889
2014-03-03,86.6205,90.5124,86.1675,86.8978,602841
2014-03-04,87.8223,88.7939,86.9995,88.7282,571010
2014-03-05,88.5526,88.756,87.7668,88.0811,496640
2014-03-06,88.3584,88.5785,87.776,88.0349,405767
2014-03-07,88.3584,88.4047,87.7206,88.0996,368673
2014-03-10,88.1643,88.4879,87.508,88.0811,299559
2014-03-11,88.4139,89.1442,87.0642,87.1567,396251
2014-03-12,86.8331,87.2121,86.6505,86.9533,396415
2014-03-13,87.2399,87.6559,85.6313,85.733,469722
2014-03-14,85.77,86.4911,85.696,85.8255,484772
2014-03-17,86.26,87.0365,86.0011,86.4726,350749
2014-03-18,86.6482,86.8331,86.1583,86.5003,253859
2014-03-19,86.528,86.7222,85.3355,85.7145,255748
2014-03-20,85.5574,86.2322,85.3078,86.2045,517530
2014-03-21,86.9533,87.0735,86.3524,86.6852,769946
2014-03-24,87.1844,87.5949,85.4095,85.7977,296935
2014-03-25,86.3176,86.7632,85.9463,86.6704,493898
2014-03-26,86.8746,87.2274,85.9555,85.9555,398714
2014-03-27,86.0484,86.8096,85.6121,86.5218,441421
2014-03-28,86.6054,87.7287,86.5868,87.3945,349492
2014-03-31,88.0165,88.8984,87.9181,88.8148,513529
2014-04-01,88.8705,89.5668,88.592,89.5018,429968
2014-04-02,89.5947,89.6782,89.2419,89.5204,707158
2014-04-03,89.7339,90.0774,89.1955,89.8453,612045
2014-04-04,90.1609,90.4302,87.7658,88.0536,439659
2014-04-07,88.035,88.3507,86.5311,86.791,749971
2014-04-08,86.5497,86.856,85.5656,86.429,619143
2014-04-09,86.5218,87.7008,86.2433,87.5709,409325
2014-04-10,87.6823,87.7287,85.5006,85.5006,339816
2014-04-11,85.0736,85.6213,84.7673,84.9901,460504
2014-04-14,85.5192,86.0577,85.3614,85.8534,303752
2014-04-15,85.8813,86.7168,85.5006,86.5218,520349
2014-04-16,87.0417,87.9793,86.8375,87.6173,375750
2014-04-17,87.8865,88.4806,87.8679,88.3228,377288
2014-04-21,88.2114,88.3414,87.6823,88.3321,284753
2014-04-22,88.4342,89.3161,88.4342,88.9541,327852
2014-04-23,88.8984,89.1583,88.7201,89.0376,325998
2014-04-24,89.409,89.6318,88.5363,88.8241,269089
2014-04-25,88.4435,88.8705,88.0443,88.3971,361205
2014-04-28,88.6013,88.9077,87.9143,88.6477,678350
2014-04-29,89.0562,90.0217,89.0562,89.8732,435484
2014-04-30,89.6132,91.4978,89.3254,91.4606,611235
2014-05-01,91.6184,91.8877,91.0197,91.2378,428738
