date,open,high,low,close,volume
2014-01-02,38.8573,39.0474,38.4581,38.6482,2881549
2014-01-03,38.6482,38.8478,38.2489,38.4391,2331366
2014-01-06,38.9713,39.5892,38.7527,38.8098,3714716
2014-01-07,38.6101,39.1139,38.6101,38.9428,2476712
2014-01-08,39.3706,39.4561,38.9618,39.1234,3077558
2014-01-09,39.323,39.5226,38.8288,38.9618,2030938
2014-01-10,38.9808,39.1187,38.6957,39.0854,2429810
2014-01-13,38.8763,39.0759,38.2299,38.344,2382967
2014-01-14,38.4866,38.8668,38.4391,38.8383,2686862
2014-01-15,38.7717,39.247,38.7147,39.228,1841646
2014-01-16,39.0949,39.19,38.8763,39.1614,2104865
2014-01-17,39.209,39.3896,39.0569,39.3325,2870153
2014-01-21,39.2945,39.9979,39.0569,39.323,1752929
2014-01-22,39.3708,39.533,39.1799,39.4376,2330031
2014-01-23,39.2372,39.428,38.4881,38.6742,2764304
2014-01-24,38.3116,38.4547,37.5959,37.5959,2538175
2014-01-27,37.6532,38.073,37.4337,37.6246,2511487
2014-01-28,37.6914,38.2162,37.6818,38.1207,2394247
2014-01-29,37.7104,38.3688,37.6436,37.8727,2141432
2014-01-30,38.073,38.1303,37.6914,37.8536,3684418
2014-01-31,37.8536,39.094,37.3574,38.636,6191195
2014-02-03,38.7982,38.9891,37.6723,37.7391,3724187
2014-02-04,38.0062,38.2162,37.5959,38.1017,2936415
2014-02-05,37.9299,38.5501,37.7104,38.4166,3885899
2014-02-06,38.4929,39.094,38.4643,38.9509,2438806
2014-02-07,39.1227,39.762,38.9509,39.6475,2836347
2014-02-10,39.6379,39.6809,39.3326,39.5044,2786149
2014-02-11,39.5521,39.886,39.4137,39.7047,2107980
2014-02-12,39.7715,40.0005,39.3898,39.5521,1743052
2014-02-13,39.4662,39.8956,39.2181,39.8288,1919841
2014-02-14,39.6952,40.2677,39.5902,40.0101,2825231
2014-02-18,40.2105,40.3727,40.1055,40.2486,1657105
2014-02-19,40.0769,40.4442,39.7524,39.8479,2149449
2014-02-20,39.9242,40.4347,39.6379,40.3154,2806057
