date,open,high,low,close,volume
2014-01-02,62.6844,63.1077,61.6851,61.9066,1545713
2014-01-03,61.8672,62.0149,61.0698,61.3257,1265815
2014-01-06,61.6309,61.7589,60.7547,61.4045,1107802
2014-01-07,61.5325,62.2216,61.3946,61.946,914290
2014-01-08,61.946,62.6055,61.4833,62.1133,681049
2014-01-09,62.3496,62.7877,61.8524,62.2709,719958
2014-01-10,62.2709,62.8124,61.8771,62.7434,863412
2014-01-13,63.5901,64.2891,63.2012,63.344,1453313
2014-01-14,63.1766,63.7575,62.8074,63.5409,851082
2014-01-15,63.7575,64.6042,63.7575,64.2793,732295
2014-01-16,64.2793,64.5746,64.0184,64.4368,534441
2014-01-17,64.5746,64.8602,64.1415,64.7125,639501
2014-01-21,64.7125,65.2195,64.4171,65.0374,689221
2014-01-22,65.3327,65.8447,64.87,65.7758,1036814
2014-01-23,60.548,64.6042,59.5241,63.6,2128261
2014-01-24,63.7378,64.0623,61.7786,62.0247,1709714
2014-01-27,61.5325,62.2512,60.5578,61.306,1034691
2014-01-28,61.6309,62.1724,60.863,61.7392,811566
2014-01-29,61.0796,61.6014,60.5283,60.8236,958911
2014-01-30,61.247,61.2765,60.3806,60.7744,746952
2014-01-31,59.9572,60.3609,59.5831,59.7702,829004
2014-02-03,59.7899,60.0754,57.3877,57.5846,1792147
2014-02-04,58.0867,58.8054,57.4467,58.3722,770908
2014-02-05,58.1556,58.254,57.299,57.7421,603790
2014-02-06,57.811,58.5986,57.811,58.0867,531717
2014-02-07,58.5395,58.9333,58.1457,58.9137,715099
2014-02-10,58.7266,58.9432,58.259,58.4411,823367
2014-02-11,58.5986,59.2779,58.1359,59.0023,736134
2014-02-12,59.0515,59.9572,58.7955,59.8686,713655
2014-02-13,59.3075,59.5044,58.5888,59.3173,929594
2014-02-14,59.5733,59.7505,58.9727,59.5339,1107022
2014-02-18,59.5339,60.2132,58.8152,60.0163,1103209
2014-02-19,59.8785,61.0599,59.209,59.337,1158632
2014-02-20,59.7505,60.5578,59.4207,60.0951,989083
2014-02-21,60.2526,60.2526,59.1204,59.1696,810079
2014-02-24,59.2779,59.9376,59.0909,59.1007,805679
2014-02-25,59.1499,59.3764,58.6971,59.0712,922600
2014-02-26,59.2582,59.7505,58.9924,59.3862,1456704
2014-02-27,59.3764,60.2231,59.2779,59.6225,906207
2014-02-28,59.8785,60.2428,59.4059,59.7111,1157222
2014-03-03,58.9727,59.6127,58.4411,59.465,1177260
2014-03-04,60.036,60.6956,60.0262,60.6464,1348860
2014-03-05,60.6169,60.9811,60.3816,60.8532,711440
2014-03-06,60.8532,62.4087,60.8138,62.0937,1158159
2014-03-07,62.4678,62.5367,61.7983,62.1133,556331
2014-03-10,61.8278,62.1626,61.4439,61.8771,940975
2014-03-11,61.8672,62.2118,61.6703,61.8869,863923
2014-03-12,61.6605,61.9952,61.5029,61.8377,1040509
2014-03-13,61.8968,62.0641,60.7842,60.9713,905000
2014-03-14,60.7941,61.6506,60.7892,61.6211,759126
2014-03-17,61.8475,62.7927,61.8278,62.2906,1028784
2014-03-18,62.4284,63.0388,62.2709,62.9994,601647
2014-03-19,63.0093,63.1471,62.4481,62.7927,775495
2014-03-20,62.6548,63.1766,62.4481,63.1471,515708
2014-03-21,63.6394,64.5648,63.5114,63.8166,1802978
2014-03-24,63.9544,63.9987,62.6844,62.7041,1122246
2014-03-25,62.9502,63.1274,62.6745,62.8419,807690
2014-03-26,63.0585,63.2554,62.1724,62.1823,983518
2014-03-27,61.946,62.1921,61.7097,61.8672,847356
2014-03-28,62.0247,62.7287,62.0247,62.1429,703419
2014-03-31,62.7041,62.8222,62.3299,62.517,758669
2014-04-01,62.832,62.896,62.3595,62.8025,770147
2014-04-02,62.9994,63.5015,62.7434,63.3834,629787
2014-04-03,63.3932,63.7477,63.0191,63.3342,625113
2014-04-04,63.3145,64.0135,62.7927,62.901,785514
2014-04-07,62.7631,62.8222,61.5817,61.9164,1024185
2014-04-08,61.6408,62.1429,61.5916,61.8574,811872
2014-04-09,62.1429,62.4481,61.8081,62.3595,722582
2014-04-10,62.3693,62.645,61.7195,61.7983,986565
2014-04-11,61.2962,61.8623,60.4889,60.4987,1028808
2014-04-14,60.9811,61.247,60.4278,60.9319,371994
2014-04-15,61.0796,61.3356,59.7111,61.1387,672794
2014-04-16,60.4397,62.3989,60.4397,62.0247,515617
2014-04-17,61.946,62.9994,61.9361,62.7434,406056
2014-04-21,62.7336,62.901,62.202,62.7041,768582
2014-04-22,62.7631,63.979,62.4816,63.6197,806543
2014-04-23,63.4818,63.7181,62.7434,62.901,722826
2014-04-24,63.0093,63.1372,62.0159,62.3792,639062
2014-04-25,62.3398,62.3398,61.0993,61.1387,782691
2014-04-28,61.3553,61.7294,60.2132,61.2371,967620
2014-04-29,54.7098,57.1218,54.6408,56.1865,3833694
2014-04-30,56.1964,56.9249,55.5171,56.8068,1982186
2014-05-01,56.7871,57.4959,56.4031,57.1809,1790683
2014-05-02,57.1415,57.5944,55.8026,55.901,3309450
2014-05-05,55.7041,56.1521,55.265,55.773,2720758
2014-05-06,55.7927,56.2161,55.6943,55.7632,1680070
2014-05-07,55.9601,56.2308,55.4875,56.1865,1658165
2014-05-08,55.9896,56.4277,55.3595,55.6943,805805
2014-05-09,55.6943,55.8813,55.202,55.2611,1067268
2014-05-12,55.5072,55.7484,55.0839,55.3891,1327738
2014-05-13,55.5466,55.7435,54.946,54.9854,1087561
2014-05-14,54.9756,55.1233,53.5874,53.6366,1313930
2014-05-15,53.6366,53.7055,51.7562,53.0164,2838786
2014-05-16,53.1641,53.1739,52.3174,52.4552,1182769
2014-05-19,52.4257,52.7801,52.3568,52.5044,1289032
2014-05-20,52.3568,52.7407,51.7562,52.1008,1028645
2014-05-21,52.1992,52.3863,51.9186,52.2288,1212390
2014-05-22,52.278,52.4355,51.8743,52.3469,1350985
2014-05-23,52.2091,52.8687,52.2091,52.5241,771097
2014-05-27,52.7604,53.7154,52.6718,53.676,1470230
2014-05-28,53.6859,54.1387,53.4693,53.7745,2050733
2014-05-29,53.9123,54.0334,53.5185,53.9025,1116169
2014-05-30,53.8926,54.2716,53.8138,54.2175,737635
2014-06-02,54.1978,54.6901,54.06,54.6408,883646
2014-06-03,54.4144,54.6015,53.7055,54.119,1192910
2014-06-04,53.9812,54.6605,53.9221,54.2864,598614
2014-06-05,54.2667,55.3202,54.2667,55.0937,713241
2014-06-06,55.202,56.1472,55.1774,55.8223,783858
2014-06-09,55.6451,56.2948,55.5958,56.1865,1109748
2014-06-10,55.8715,55.9503,55.4186,55.5663,1122244
2014-06-11,55.3202,55.3202,54.0108,54.1387,1381037
2014-06-12,54.1387,54.3652,53.7055,53.804,757284
2014-06-13,53.8434,54.1387,53.6957,53.8926,569545
2014-06-16,53.7252,54.1387,53.4988,53.804,705110
2014-06-17,53.6563,54.2175,53.321,53.8434,727172
2014-06-18,53.8631,54.1387,52.9869,53.8631,1369451
2014-06-19,53.8335,54.183,53.5874,54.0304,688903
2014-06-20,54.2372,54.9264,54.1978,54.8082,1364865
2014-06-23,54.7393,55.0051,54.1437,54.3258,1095522
2014-06-24,53.9615,54.3849,53.6268,53.7055,1043576
2014-06-25,53.6563,53.804,52.4257,52.7407,1428062
2014-06-26,52.8195,52.849,52.022,52.5143,784668
2014-06-27,52.4158,52.977,52.3075,52.721,928302
2014-06-30,52.7407,52.9278,52.1008,52.4552,855104
2014-07-01,52.5044,52.8293,52.3026,52.3863,1137143
2014-07-02,52.3863,52.6816,52.086,52.2485,1152321
2014-07-03,52.4257,52.8491,52.2681,52.7407,968519
2014-07-07,52.6127,52.7801,52.0712,52.7309,961856
2014-07-08,52.5241,52.9179,52.2583,52.5044,1356032
2014-07-09,52.5044,52.849,52.3568,52.4651,536193
2014-07-10,52.1008,52.6373,51.9728,52.3272,1037487
2014-07-11,52.2386,53.2527,51.835,53.0164,1288660
2014-07-14,53.4496,53.8916,53.3314,53.3708,1130180
2014-07-15,53.3708,53.9221,53.3708,53.5283,1220079
2014-07-16,53.548,53.6859,53.2231,53.5086,863561
2014-07-17,53.2625,53.6071,53.0447,53.2133,928590
2014-07-18,53.3511,53.7843,53.1345,53.7154,781401
2014-07-21,53.4397,53.8434,53.42,53.5283,550254
2014-07-22,53.6859,53.8926,53.4102,53.7154,854465
2014-07-23,54.0994,54.0994,53.5776,54.0206,623465
2014-07-24,54.1486,54.1486,53.6859,54.0009,1125615
2014-07-25,53.7745,53.8237,52.9672,53.1542,882978
2014-07-28,52.6423,53.1641,52.2977,53.105,1324920
2014-07-29,53.0164,54.1486,51.5593,51.5593,1982282
2014-07-30,51.6873,51.835,50.7126,50.9489,1602785
2014-07-31,50.5945,50.8997,49.9398,50.0234,1311643
2014-08-01,49.5115,49.7773,49.0783,49.7281,1128178
2014-08-04,49.5115,49.7773,49.0783,49.7281,1128178
2014-08-05,49.5607,50.1219,49.0685,49.2654,1211827
2014-08-06,49.0291,49.669,48.9208,49.1768,1048152
