date,open,high,low,close,volume
2014-01-02,53.3837,53.6113,53.0072,53.2348,1830452
2014-01-03,53.3924,53.4712,52.9985,53.0335,1413685
2014-01-06,53.2173,53.2173,52.4207,52.7446,1992949
2014-01-07,53.0685,53.3837,52.8584,53.2261,1764368
2014-01-08,53.1998,53.1998,52.552,52.6833,2058696
2014-01-09,52.7183,52.9372,52.3857,52.7709,1530223
2014-01-10,52.8672,53.2611,52.8672,53.2086,1052070
2014-01-13,53.0948,53.6288,52.8584,52.9022,1736272
2014-01-14,53.0072,53.5938,52.9722,53.3049,1845591
2014-01-15,53.4187,53.7163,53.0335,53.4887,1449989
2014-01-16,53.2699,53.6638,53.1998,53.655,1522092
2014-01-17,53.6375,53.6375,52.8584,52.9372,2113474
2014-01-21,53.3662,53.4975,53.0141,53.1911,1143361
2014-01-22,53.1911,53.4975,52.7621,53.4099,1556223
2014-01-23,53.2086,53.2523,52.7474,52.9635,1026127
2014-01-24,52.8409,53.0335,52.3769,52.3769,1950707
2014-01-27,52.3769,52.7402,52.3069,52.4032,1399764
2014-01-28,52.517,52.8672,52.2806,52.552,1909716
2014-01-29,52.4207,52.4207,50.8799,51.0988,3133153
2014-01-30,51.3789,51.519,50.7224,50.8887,2841406
2014-01-31,50.4685,51.1163,50.3459,50.7574,2376797
2014-02-03,50.7836,50.9062,49.7331,49.8119,2555988
2014-02-04,49.9958,50.2759,49.7944,50.1271,2468937
2014-02-05,50.0745,50.556,49.8995,50.2234,3136987
2014-02-06,49.8995,50.6173,48.7526,50.5473,6290757
2014-02-07,50.7749,51.2721,50.556,51.09,3172661
2014-02-10,51.09,51.9567,51.0725,51.9392,3306648
2014-02-11,51.519,52.4557,51.519,52.4119,3488882
2014-02-12,52.3244,52.622,51.8166,52.0092,2793197
2014-02-13,51.8517,52.0968,51.7379,52.0705,2665108
2014-02-14,52.2719,52.7534,52.1318,52.6921,1638013
2014-02-18,52.6921,52.7709,52.2806,52.6308,1366316
2014-02-19,52.6658,52.7621,52.2106,52.2894,2420264
2014-02-20,52.1931,52.8146,52.0355,52.7358,1787831
2014-02-21,52.6483,52.9018,52.4645,52.482,1293532
2014-02-24,52.9547,53.3399,52.6439,53.1473,2025918
2014-02-25,53.1998,53.6288,53.1035,53.2436,2658688
2014-02-26,53.2874,53.4975,52.7971,52.8146,2113867
2014-02-27,52.6395,52.8759,52.3422,52.6658,2152646
2014-02-28,52.7534,53.3837,52.6658,53.1298,1872636
2014-03-03,52.8234,53.1905,52.6133,53.1123,2009225
2014-03-04,53.4034,54.1002,53.3769,54.0385,2513360
2014-03-05,54.0561,54.2061,53.7386,54.0561,2132312
2014-03-06,54.065,54.2414,53.8709,54.1885,2137470
2014-03-07,54.2237,54.3384,53.9944,54.3384,1629454
2014-03-10,54.3384,54.495,54.0738,54.409,1331125
2014-03-11,54.3825,54.6383,54.2767,54.4266,1437254
