date,open,high,low,close,volume
2015-07-06,64.2565,67.234,64.2565,66.0303,3809713
2015-07-07,66.7272,67.6141,66.0303,67.5417,5794811
2015-07-08,67.2431,68.3291,67.0078,68.2386,4277461
2015-07-09,69.207,69.7463,67.4241,67.6956,4267057
2015-07-10,67.9218,70.4106,67.8766,69.9672,4982979
2015-07-13,71.9492,72.1302,70.5102,71.3428,9078901
2015-07-14,71.9039,71.9492,70.2749,70.5916,18746119
2015-07-15,70.2749,70.7455,69.1436,69.4242,6330496
2015-07-16,69.6595,71.3519,69.6415,71.2704,5634050
2015-07-17,71.8858,72.1211,69.9219,72.0668,6100876
2015-07-20,72.3564,73.4877,71.6143,72.5012,10284545
2015-07-21,72.3745,73.0171,71.8587,72.6008,6123210
2015-07-22,73.1528,73.2162,71.1166,71.1709,5201248
2015-07-23,71.4716,71.6083,69.8493,69.9405,2975649
2015-07-24,70.1045,70.5693,69.2205,69.6397,3116008
2015-07-27,69.8402,71.0706,69.5303,70.5238,5774342
2015-07-28,71.4898,71.6812,70.6331,71.3805,1895916
2015-07-29,71.3258,71.3622,70.1774,71.0068,2278559
2015-07-30,71.2802,72.6291,70.7243,72.1916,3246987
2015-07-31,72.8569,72.8569,71.8772,72.4286,2685520
2015-08-03,72.9116,73.8504,72.8296,73.2488,2681801
2015-08-04,73.4311,73.823,72.6109,72.7385,2429632
2015-08-05,72.9207,73.823,72.7749,73.3491,4324721
2015-08-06,73.8686,73.9962,72.465,72.6929,3708640
2015-08-07,72.1278,72.3466,70.4417,71.5081,3274134
2015-08-10,72.3921,72.7293,71.6083,71.8271,3252284
2015-08-11,70.7516,73.3491,70.2412,71.0615,3889072
2015-08-12,70.9339,71.3714,69.3481,69.8949,3688888
2015-08-13,70.1866,70.2412,69.0838,69.2569,2917485
2015-08-14,69.3298,69.9405,68.4613,69.6488,2573375
2015-08-17,69.1385,69.6397,68.8195,69.0838,2260346
2015-08-18,69.0109,69.2232,68.4093,68.5278,2009695
2015-08-19,68.3547,68.619,67.3703,68.1541,3026467
2015-08-20,67.4615,68.1399,67.2427,67.6711,2206972
2015-08-21,66.8144,67.6711,65.8574,65.8665,5564549
2015-08-24,62.1936,65.8392,55.9779,64.5906,9844588
2015-08-25,65.2012,65.985,63.7977,63.9891,4423354
2015-08-26,65.3653,67.5435,63.3693,67.3612,5356315
2015-08-27,66.6868,68.5825,66.6412,68.5187,5937763
2015-08-28,67.8078,68.5278,67.2792,68.0721,2150122
2015-08-31,67.6346,67.8352,66.14,66.222,2688401
2015-09-01,64.9187,66.1126,63.4696,63.907,4671422
2015-09-02,64.5632,65.6843,64.0802,65.6843,2986466
2015-09-03,66.1308,67.343,65.4291,65.7663,2595274
2015-09-04,64.8367,65.3379,63.9152,64.3172,2997042
2015-09-08,65.4838,67.744,64.5359,67.5071,4450669
2015-09-09,67.8534,67.899,65.6022,65.7754,2936421
2015-09-10,65.7389,66.5774,65.42,65.7663,3619666
2015-09-11,65.8483,67.3795,65.2559,67.2245,2146733
2015-09-14,66.9876,68.0903,66.1263,67.9445,2927415
2015-09-15,68.3,68.8286,67.22,68.7101,3393323
2015-09-16,68.5369,69.9131,67.7167,69.6033,2302883
2015-09-17,69.7947,70.87,69.266,69.6579,3142630
2015-09-18,68.8559,69.7217,68.3638,68.7557,7231726
2015-09-21,68.9835,69.4392,68.3182,68.5369,3256338
2015-09-22,67.58,68.2362,67.1334,67.7258,2628741
2015-09-23,67.5982,67.9883,66.7644,66.8144,3713174
2015-09-24,66.5319,66.6595,65.347,66.4589,4416111
2015-09-25,67.261,67.3065,66.3314,66.8508,3517027
2015-09-28,66.3587,66.7779,63.7886,63.7886,5006583
2015-09-29,63.9435,64.6908,62.5673,63.0686,3870926
2015-09-30,63.4969,64.5268,63.3055,64.3263,3132780
2015-10-01,64.9551,65.5931,63.5881,64.5541,2519675
2015-10-02,63.9708,65.1283,63.2235,65.0827,2593109
2015-10-05,65.6205,66.7597,65.0277,65.8392,6323458
2015-10-06,65.8848,66.5774,65.5202,66.0488,2819787
2015-10-07,66.2949,67.2063,66.058,66.6686,2325233
2015-10-08,66.6777,67.8716,66.2949,67.8352,2239703
2015-10-09,67.8169,68.5552,67.4341,67.7987,2938086
2015-10-12,67.8169,67.8169,66.8144,67.1881,2081888
2015-10-13,67.0878,67.3795,66.6959,66.8782,2147545
2015-10-14,66.6412,67.7167,66.5319,67.2336,1956846
2015-10-15,67.58,68.5552,67.3722,68.5552,2135670
2015-10-16,68.9744,71.0888,68.2362,70.5329,3435205
2015-10-19,70.0772,70.3596,69.5303,69.9952,1951906
2015-10-20,69.4483,70.3232,69.3663,70.059,1922053
2015-10-21,70.1774,70.8519,69.8402,70.223,2371767
2015-10-22,70.3779,72.8569,70.3779,72.8569,3951738
2015-10-23,72.1369,72.8114,70.5693,71.0706,3179036
2015-10-26,71.2529,71.2529,69.7035,70.0043,2563812
2015-10-27,69.4574,70.6148,69.4574,70.3324,2435227
2015-10-28,70.3141,72.1825,69.5759,72.1643,2382026
2015-10-29,71.8544,71.9975,70.9512,71.6812,1788502
2015-10-30,71.4261,71.9911,70.9612,71.0615,2053021
2015-11-02,71.4807,71.9364,70.8336,71.3349,1536530
2015-11-03,70.9339,71.0887,69.157,69.6579,4489805
2015-11-04,69.5577,69.8751,68.5734,69.102,2631285
2015-11-05,69.4483,69.7207,68.1268,68.7374,3347202
2015-11-06,67.2154,67.899,65.2377,65.6296,8819867
2015-11-09,65.6205,66.2402,64.5724,64.9278,4231011
2015-11-10,65.3926,65.821,64.8463,65.6934,3470418
2015-11-11,66.2584,66.4043,65.0372,65.7207,3537798
2015-11-12,65.3946,65.576,64.5402,65.1373,3931505
2015-11-13,64.8801,65.8815,64.8434,65.0179,3008004
2015-11-16,65.2476,66.249,65.1741,65.831,2398441
2015-11-17,66.2398,66.2674,64.8985,65.6426,4247437
2015-11-18,66.0009,67.0988,65.3854,66.6854,3780235
2015-11-19,67.2963,67.7373,66.4603,67.379,2828653
2015-11-20,68.1416,69.4278,67.4341,67.6638,4003244
2015-11-23,68.0129,68.4815,67.8889,68.0497,2706173
2015-11-24,67.7373,68.4539,67.6914,68.4172,2863937
2015-11-25,68.3988,68.8306,67.8476,68.5733,2384073
2015-11-27,68.509,68.9041,68.1875,68.5458,777321
2015-11-30,68.4631,68.7755,67.526,67.7006,4200074
2015-12-01,68.1967,68.9041,67.8016,68.4172,3749325
2015-12-02,68.1783,68.5549,66.9932,67.1034,2568705
2015-12-03,67.3423,67.6914,65.3119,65.6518,3019136
2015-12-04,65.5967,66.8186,65.2935,66.35,4495856
2015-12-07,66.0744,66.3358,65.0917,65.6243,3323628
2015-12-08,65.2292,65.8308,64.8507,65.7161,4520579
2015-12-09,65.3762,66.3041,64.7698,65.1373,3940794
2015-12-10,65.073,65.537,64.779,65.0822,2733737
2015-12-11,64.3932,64.9444,63.7501,64.0257,3755995
2015-12-14,64.3748,65.3027,64.0992,65.2062,3895009
2015-12-15,65.8999,66.837,65.8264,66.1571,4168696
2015-12-16,66.7083,67.2504,66.0469,67.0758,2176876
2015-12-17,67.0207,67.3423,66.0561,66.0744,2402721
2015-12-18,65.6151,66.0928,64.8893,64.926,6568343
2015-12-21,65.3197,66.3756,65.1807,66.1162,5466879
2015-12-22,66.3571,67.7928,66.056,67.5519,5053274
2015-12-23,67.8947,69.2655,67.6075,69.0154,4193443
2015-12-24,69.2933,69.2933,68.4319,68.506,1962511
2015-12-28,68.2744,68.3433,67.5149,68.0058,5421794
2015-12-29,68.2188,69.3396,67.9873,69.1822,4351737
2015-12-30,69.1451,69.4322,68.2744,68.3115,1779981
2015-12-31,67.9595,68.0799,67.2741,67.3945,1857050
2016-01-04,66.1162,67.4778,66.0885,67.3389,5209447
2016-01-05,67.3759,68.154,66.9499,67.978,3858575
2016-01-06,66.8758,68.2466,66.7183,68.1077,3294730
2016-01-07,66.6998,67.6075,66.5516,66.5979,4050321
2016-01-08,66.8665,67.1259,65.8569,65.931,3092105
2016-01-11,66.0885,67.1814,65.5512,66.9406,3329473
2016-01-12,67.4778,67.941,66.8124,67.8298,2924618
2016-01-13,67.7928,68.0243,65.4308,65.5883,3448459
2016-01-14,65.7272,66.2531,65.1196,65.5234,4610603
2016-01-15,63.8191,64.9769,63.1522,64.097,6551215
2016-01-19,64.8473,65.3197,64.4212,64.9955,5107078
2016-01-20,64.1711,66.3015,63.6709,65.9217,4606976
2016-01-21,66.6905,67.9224,66.0664,67.6631,6208213
2016-01-22,68.1725,69.0062,67.1629,68.9043,3111765
2016-01-25,68.2652,69.1636,67.9318,68.5708,4123073
2016-01-26,67.9595,70.3955,67.9595,70.377,3851276
2016-01-27,70.2751,71.4607,69.6082,70.3678,5348171
2016-01-28,70.6456,71.3125,69.9139,70.5438,3542405
2016-01-29,71.2292,72.4518,70.7661,72.3036,4508248
2016-02-01,71.6645,71.7664,70.0899,71.3311,3564201
2016-02-02,70.3678,71.1366,70.1362,70.3678,5631636
2016-02-03,70.7383,70.7383,68.3856,69.3674,6239683
2016-02-04,69.5063,69.6544,67.5427,68.682,7077139
2016-02-05,68.8024,69.0617,66.8202,67.413,9351550
2016-02-08,66.7739,66.8758,65.0047,65.968,4704643
2016-02-09,65.3938,66.6535,64.8473,66.2367,4616880
2016-02-10,66.7554,67.8947,66.4245,66.7924,2520133
2016-02-11,65.6716,66.6535,64.9992,66.1718,3041545
2016-02-12,66.8758,67.1073,65.7828,66.6164,2985772
2016-02-16,67.5242,67.6724,66.6164,66.9777,3852061
2016-02-17,67.6168,68.9043,67.1536,68.7653,3628134
2016-02-18,68.6171,68.8116,67.9317,68.0336,2755154
2016-02-19,67.5242,68.2589,67.4593,68.0984,4333490
2016-02-22,68.9043,68.9043,66.885,67.9224,2916664
2016-02-23,67.7094,68.0706,67.2092,67.4501,2805581
2016-02-24,66.9962,67.9224,66.5284,67.6075,3526901
2016-02-25,67.9965,69.4508,67.9224,69.4322,4962306
2016-02-26,72.9891,73.0817,70.9976,72.0999,10319742
2016-02-29,71.5812,72.2481,71.257,71.3403,4885535
2016-03-01,71.9331,72.174,71.2477,71.9331,5445500
2016-03-02,71.8868,72.0628,70.5067,71.7757,5075812
2016-03-03,71.5997,71.8312,70.8216,71.6645,3240154
2016-03-04,72.1647,72.174,70.6364,71.5071,3677820
2016-03-07,71.3311,71.683,70.5252,70.8587,2581169
2016-03-08,70.4048,71.4607,70.34,70.6642,2783730
2016-03-09,71.0161,71.3218,70.2103,70.9791,2631348
2016-03-10,71.3033,71.457,69.9787,70.5993,2107224
2016-03-11,71.5626,71.646,70.7753,71.2755,2342927
2016-03-14,71.2107,72.0349,70.4882,71.8498,2278270
2016-03-15,71.7479,72.0813,71.1551,72.0443,2924740
2016-03-16,72.7675,72.8888,71.8064,72.8142,3400043
2016-03-17,72.3942,72.8795,71.6104,72.7955,4506370
2016-03-18,73.1408,73.1501,71.6384,72.1423,9081037
2016-03-21,71.825,72.3196,71.0785,71.4704,3203356
2016-03-22,71.8437,71.8762,70.9479,71.3304,2615585
2016-03-23,71.4518,71.909,71.1158,71.6757,2295790
