date,open,high,low,close,volume
2014-01-02,16.4845,16.5596,16.3511,16.4845,2627327
2014-01-03,16.4512,16.7097,16.4512,16.6263,3176019
2014-01-06,16.6596,16.718,16.4679,16.6346,4520726
2014-01-07,16.6763,16.7847,16.5846,16.6846,6138556
2014-01-08,16.7013,16.8848,16.643,16.8014,3128564
2014-01-09,16.8764,16.9014,16.643,16.9014,3079700
2014-01-10,16.793,17.2016,16.7847,17.1432,3485157
2014-01-13,17.0515,17.0515,16.8181,16.8764,3393030
2014-01-14,16.8848,17.3267,16.8597,17.1683,5841908
2014-01-15,17.1849,17.3517,17.1349,17.31,3535086
2014-01-16,17.2516,17.4434,17.1432,17.4184,2797859
2014-01-17,17.335,17.4768,17.2516,17.31,3466544
2014-01-21,17.4017,17.5018,17.31,17.4768,3392583
2014-01-22,17.4768,17.5768,17.4059,17.5768,2243244
2014-01-23,17.4601,17.5602,17.3267,17.4101,3628826
2014-01-24,17.3183,17.4101,17.1683,17.2516,3353656
2014-01-27,17.2433,17.3767,17.029,17.0599,2470994
2014-01-28,17.0432,17.335,17.0432,17.26,2235856
2014-01-29,17.3267,17.3267,16.989,17.1432,2361966
2014-01-30,17.2683,17.4443,17.2516,17.3767,2694111
2014-01-31,17.1516,17.4893,17.0682,17.4351,3165273
2014-02-03,17.3934,17.4184,17.0098,17.0599,7254891
2014-02-04,17.0932,17.1432,16.9348,17.0599,5413561
2014-02-05,17.0098,17.1432,16.9265,17.1099,4112402
2014-02-06,17.1349,17.36,17.0599,17.31,5107603
2014-02-07,17.4101,17.5435,17.31,17.4518,3381139
2014-02-10,17.4601,17.6602,17.385,17.6185,3885315
2014-02-11,17.6018,17.902,17.6018,17.7436,4502177
2014-02-12,17.7936,17.802,17.6352,17.7603,2687604
2014-02-13,17.7019,17.9854,17.6185,17.9187,2878091
2014-02-14,17.8937,18.1105,17.8937,18.0771,1637101
2014-02-18,18.1105,18.1271,17.9475,18.1271,1774227
2014-02-19,18.1271,18.4523,18.0521,18.1772,2419950
2014-02-20,18.1855,18.2939,18.0229,18.0938,1937271
2014-02-21,18.0688,18.2772,18.0021,18.1688,1719705
2014-02-24,18.1855,18.3273,18.1021,18.1188,2749339
2014-02-25,18.1605,18.3856,18.1188,18.2772,2009160
2014-02-26,18.2772,18.4106,18.2272,18.3356,2119846
2014-02-27,18.2689,18.419,18.2022,18.3439,2968702
2014-02-28,18.3606,18.5941,18.2856,18.5607,5110017
2014-03-03,18.4857,18.5607,18.3439,18.5524,3028839
2014-03-04,18.5607,18.8692,18.5607,18.8609,3930887
2014-03-05,18.8609,18.9276,18.6108,18.8692,3273322
2014-03-06,18.8526,18.8859,18.5774,18.6608,2771852
2014-03-07,18.3606,18.6441,18.2397,18.3856,2873142
2014-03-10,18.3856,18.419,18.0855,18.2522,3518478
2014-03-11,18.1939,18.394,18.1688,18.2689,2424573
2014-03-12,18.2105,18.4023,18.2105,18.3439,4267636
2014-03-13,18.3606,18.4023,18.2522,18.3106,3780068
2014-03-14,18.2689,18.4857,18.2272,18.2439,4194025
2014-03-17,18.3189,18.4106,18.1688,18.2355,3271095
2014-03-18,18.2439,18.3189,18.1522,18.3106,3434621
2014-03-19,18.4023,18.4523,17.902,17.927,3005563
2014-03-20,17.8353,18.0271,17.7603,18.0104,2154546
2014-03-21,18.1688,18.2939,17.9771,18.2189,3455143
2014-03-24,18.2856,18.3273,17.9854,18.1188,1958856
2014-03-25,18.2189,18.3439,18.0938,18.2355,2264939
2014-03-26,18.2772,18.3356,18.0187,18.0688,1681309
2014-03-27,18.0354,18.2439,17.9354,18.1438,2553704
2014-03-28,18.2189,18.3106,18.1522,18.2105,2109488
2014-03-31,18.2939,18.3273,18.0771,18.2439,3343820
2014-04-01,18.2818,18.3576,18.0375,18.3492,3306369
2014-04-02,18.3239,18.4334,18.2481,18.3829,2105630
2014-04-03,18.3997,18.4419,18.2734,18.4082,1718900
2014-04-04,18.484,18.5472,18.3576,18.4334,1907378
2014-04-07,18.4587,18.7199,18.4419,18.5008,2625061
2014-04-08,18.4503,18.6441,18.3913,18.6188,1856279
2014-04-09,18.6441,18.703,18.5093,18.6777,2039432
2014-04-10,18.6946,18.821,18.4376,18.4756,3215487
2014-04-11,18.425,18.5935,18.3239,18.3239,2908937
2014-04-14,18.4924,18.5261,18.2734,18.4082,2609216
2014-04-15,18.3997,18.6693,18.3323,18.6609,2989853
2014-04-16,18.7788,19.04,18.7114,19.0316,2452615
2014-04-17,18.9726,18.9726,18.7704,18.9136,2343116
2014-04-21,18.9389,19.0653,18.8715,18.981,1609141
2014-04-22,18.9979,19.1243,18.8294,19.0821,2032460
2014-04-23,19.0906,19.0906,18.8589,18.9389,2403000
2014-04-24,18.9895,19.1158,18.9305,19.1158,1362407
2014-04-25,19.1158,19.1158,18.9558,18.9895,1128542
2014-04-28,19.0653,19.2169,18.9726,19.2169,2939201
2014-04-29,19.2843,19.3433,19.1748,19.2506,2323457
2014-04-30,19.2338,19.318,19.158,19.3096,2902324
2014-05-01,19.3012,19.4107,19.0906,19.3854,2335580
2014-05-02,19.3349,19.4781,19.2422,19.3517,1983327
2014-05-05,19.3096,19.3686,19.2254,19.318,2485516
2014-05-06,19.2506,19.3349,19.1243,19.2591,1777069
2014-05-07,19.3265,19.5624,19.2422,19.5455,3336251
2014-05-08,19.4781,19.575,19.2254,19.3012,3840891
