date,open,high,low,close,volume
2014-01-02,30.2716,30.4903,30.0697,30.2043,4214292
2014-01-03,30.2043,30.3725,30.0697,30.2548,2736435
2014-01-06,30.3305,30.3641,29.9225,30.2379,3854035
2014-01-07,30.3136,30.5021,30.2295,30.4398,3168600
2014-01-08,30.5407,30.566,30.1538,30.28,2977152
2014-01-09,30.4314,30.5029,30.0823,30.2043,5884168
2014-01-10,30.3389,30.4482,30.1118,30.1959,3981241
2014-01-13,30.1875,30.2464,29.8174,29.8258,4100211
2014-01-14,30.0529,30.095,29.8006,29.8594,8893408
2014-01-15,29.8594,30.0108,29.809,29.851,6340882
2014-01-16,29.952,30.1791,29.809,29.9015,8401560
2014-01-17,29.9436,30.0024,29.8594,29.9183,8486519
2014-01-21,30.2464,30.2464,30.0108,30.0613,6741435
2014-01-22,30.2043,30.6585,30.0697,30.608,7546493
2014-01-23,30.4735,30.5323,30.1202,30.3136,5692625
2014-01-24,30.137,30.1959,29.7922,29.8342,6046270
2014-01-27,30.0739,30.1454,29.7585,29.994,6743592
2014-01-28,29.9183,30.2464,29.8847,30.1875,5712817
2014-01-29,29.9067,29.9152,28.6305,29.0133,13418340
2014-01-30,29.5323,29.5323,29.1495,29.2005,5677283
2014-01-31,28.9112,29.3409,28.5879,28.9368,6404503
2014-02-03,28.9793,29.0899,28.2901,28.3497,9047849
2014-02-04,28.5028,28.7751,28.3327,28.639,7952544
2014-02-05,28.5028,28.5709,28.0859,28.2816,5314005
2014-02-06,28.2901,28.7581,28.2306,28.6134,5342510
2014-02-07,28.8432,28.9963,28.673,28.9197,5682073
2014-02-10,28.9027,28.9027,28.4688,28.7496,4661399
2014-02-11,28.8517,29.0133,28.8006,28.8772,6610505
2014-02-12,28.8857,29.0474,28.6815,28.7836,4010278
2014-02-13,28.707,28.8687,28.5539,28.639,5474593
2014-02-14,28.673,28.8176,28.5369,28.7411,4395323
2014-02-18,28.7666,28.8687,28.6134,28.6815,4523496
2014-02-19,28.673,28.7326,28.1455,28.205,5968638
2014-02-20,28.3582,28.3922,27.9498,28.2731,8088235
2014-02-21,28.4007,28.5454,28.0859,28.1029,6384612
