date,open,high,low,close,volume
2014-01-02,35.8855,35.9771,35.3531,35.484,12720197
2014-01-03,35.5015,35.5451,35.2135,35.3095,10403834
2014-01-06,35.3269,35.4252,35.0477,35.1437,11041224
2014-01-07,35.3269,35.5371,35.1611,35.2484,11879587
2014-01-08,35.292,35.292,34.7597,34.8557,15357527
2014-01-09,34.8644,34.908,34.4892,34.6724,14074835
2014-01-10,34.8731,35.1611,34.8208,35.0215,13314525
2014-01-13,34.908,35.0215,34.4717,34.4979,14136793
2014-01-14,34.5939,34.8382,34.5415,34.6375,12808195
2014-01-15,34.7597,34.8557,34.5415,34.6986,12845194
2014-01-16,34.716,34.751,34.5415,34.655,11076882
2014-01-17,34.6637,34.6899,34.2797,34.2797,14027351
2014-01-21,34.5939,34.8382,34.4979,34.8382,17590424
2014-01-22,34.8993,34.9866,34.6925,34.8208,9856355
2014-01-23,34.5677,34.5939,34.1401,34.2448,14867404
2014-01-24,34.1052,34.2535,33.8783,33.8957,16533729
2014-01-27,33.8783,34.0179,33.7823,33.7997,14603927
2014-01-28,33.8346,34.1008,33.7037,33.9219,8931212
2014-01-29,33.6601,33.6601,33.0056,33.0754,23776371
2014-01-30,33.1626,33.5205,33.1626,33.311,13663569
2014-01-31,33.119,33.3023,32.9183,33.0056,16185576
2014-02-03,33.1801,33.1801,32.3772,32.4645,23195836
2014-02-04,32.6739,32.7699,32.4732,32.7088,17797978
2014-02-05,32.7176,32.9139,32.6216,32.8223,13716618
2014-02-06,33.8259,33.983,33.0928,33.1888,22665049
2014-02-07,33.311,33.4681,33.0492,33.119,20495016
2014-02-10,33.2237,33.7037,33.023,33.6601,20915498
2014-02-11,33.7474,33.8477,33.6077,33.7212,15417558
2014-02-12,33.9044,33.9655,33.5117,33.6077,10633637
2014-02-13,33.2761,33.8249,33.2761,33.7299,10449553
2014-02-14,33.6863,34.0528,33.3983,33.9743,16047482
2014-02-18,33.1452,33.2586,32.5168,32.7001,46195701
2014-02-19,32.7263,32.8136,32.3336,32.3772,26650629
2014-02-20,32.3423,32.7437,32.1939,32.5518,22652321
2014-02-21,32.8048,32.831,32.4121,32.447,19440449
2014-02-24,32.5518,32.8136,32.4819,32.7263,24225051
2014-02-25,32.8397,33.1103,32.7263,32.9619,22879234
2014-02-26,33.0754,33.1103,32.9183,33.0492,18202510
2014-02-27,33.023,33.2586,32.9881,33.2237,18441483
