date,open,high,low,close,volume
2014-01-02,18.3637,18.4947,18.3403,18.373,6389552
2014-01-03,18.4292,18.4292,18.2655,18.2888,5671380
2014-01-06,18.3543,18.4058,18.1158,18.1298,8044102
2014-01-07,18.1813,18.345,18.0877,18.2421,5541016
2014-01-08,18.2093,18.3777,18.1532,18.2187,6182736
2014-01-09,18.2701,18.4596,18.228,18.4105,7513648
2014-01-10,18.4713,18.5508,18.3543,18.4572,5858636
2014-01-13,18.4245,18.4806,18.0269,18.0596,7687160
2014-01-14,18.0596,18.2748,18.0456,18.2421,6044786
2014-01-15,18.2888,18.5344,18.1953,18.3637,7381686
2014-01-16,17.8024,18.3637,17.3814,17.4703,15277834
2014-01-17,17.5217,17.5405,17.1008,17.2084,13749594
2014-01-21,17.3346,17.3393,17.0353,17.1148,9648672
2014-01-22,17.1335,17.199,17.0306,17.04,6228740
2014-01-23,16.9792,17.0774,16.8482,17.0259,9929076
2014-01-24,16.9417,17.04,16.8622,16.8763,8900402
2014-01-27,16.8435,16.923,16.7079,16.7359,9771780
2014-01-28,16.7172,17.2411,16.7032,17.1429,12439082
2014-01-29,17.0634,17.199,16.8716,17.0867,15390058
2014-01-30,17.1803,17.2037,17.0119,17.0353,6794288
2014-01-31,16.8622,16.9558,16.7453,16.8856,11647092
2014-02-03,16.8856,16.895,16.4833,16.5488,10704414
2014-02-04,16.5254,16.6503,16.4787,16.5909,7052628
2014-02-05,16.4974,16.6564,16.4319,16.5816,6950502
2014-02-06,16.633,17.2177,16.619,17.1943,10456750
2014-02-07,17.2271,17.2458,16.9137,16.9698,8069958
2014-02-10,16.9464,17.0306,16.8903,16.9277,5670820
2014-02-11,16.8809,17.3487,16.8295,17.3487,10470946
2014-02-12,17.3651,17.4638,17.29,17.351,5237884
2014-02-13,17.1772,17.4638,17.0879,17.4262,4809502
2014-02-14,17.4074,17.6611,17.3886,17.5625,5330960
2014-02-18,17.6799,17.6846,17.4967,17.6658,5716502
2014-02-19,17.6423,18.2719,17.5766,18.2155,11245290
2014-02-20,18.2155,18.5914,18.1967,18.4551,11835034
2014-02-21,18.4317,18.6219,18.2954,18.6055,9633874
2014-02-24,18.6149,18.8451,18.6055,18.6901,8086806
2014-02-25,18.6619,18.7746,18.5421,18.629,6977822
2014-02-26,18.7042,18.9344,18.629,18.8075,8942380
2014-02-27,18.8075,18.9579,18.7746,18.8592,3955144
2014-02-28,18.8827,19.7143,18.8592,19.7049,16042818
2014-03-03,19.5827,19.8834,19.3572,19.7284,14586994
2014-03-04,19.8506,20.1935,19.766,19.9163,14354108
2014-03-05,19.9398,20.5459,19.8647,20.5224,20712324
2014-03-06,21.058,21.2601,20.2499,20.3768,25930422
2014-03-07,20.4332,20.8466,20.3815,20.5694,17548312
2014-03-10,20.5318,20.5835,20.4848,20.5553,11286172
2014-03-11,20.6258,20.7174,20.2922,20.3627,12498446
2014-03-12,20.3956,20.614,20.3204,20.6117,8528224
2014-03-13,20.6211,20.8842,20.4073,20.4332,12758780
2014-03-14,20.4191,20.7057,20.4191,20.6305,6568214
2014-03-17,20.6916,20.7479,20.4942,20.6822,5924472
2014-03-18,20.7104,20.762,20.654,20.6728,5301876
2014-03-19,20.6963,20.7949,20.3956,20.5271,5726888
2014-03-20,20.5036,20.7268,20.49,20.6681,3916994
2014-03-21,20.7198,20.9359,20.5459,20.6587,11104154
2014-03-24,20.7526,20.8302,20.4414,20.4895,5483368
2014-03-25,20.56,20.6692,20.3533,20.4425,5130808
2014-03-26,20.56,20.6681,20.3298,20.3298,5963386
2014-03-27,20.3345,20.5318,20.2123,20.4989,7158110
2014-03-28,20.513,20.7245,20.405,20.6493,8429020
2014-03-31,20.7338,20.762,20.4378,20.5083,6973532
2014-04-01,20.5459,20.6916,20.358,20.4942,8196384
2014-04-02,20.5506,21.2765,20.5224,21.2648,14690304
2014-04-03,21.2977,21.3634,21.0345,21.1238,8943114
2014-04-04,21.0862,21.3164,20.9758,20.9923,9958378
2014-04-07,20.9923,21.1426,20.7245,20.7385,8312364
2014-04-08,20.7714,20.95,20.7385,20.8184,8786154
2014-04-09,20.9265,21.1238,20.856,21.0111,8130000
2014-04-10,20.9923,21.1144,20.6117,20.6117,8109290
2014-04-11,20.5318,20.7479,20.5271,20.6728,8886200
2014-04-14,20.7526,20.9547,20.7151,20.9453,6138812
2014-04-15,20.9218,20.9829,20.5741,20.6822,7123788
2014-04-16,20.7996,20.8701,20.654,20.8231,7530072
2014-04-17,20.7385,20.8607,20.7057,20.8043,6429942
2014-04-21,20.7902,21.058,20.7855,21.0064,4793100
2014-04-22,21.0017,21.4128,20.9124,21.2366,7749614
2014-04-23,21.2037,21.4574,21.1708,21.354,6598956
2014-04-24,21.3446,21.448,21.0745,21.307,6512958
2014-04-25,21.2413,21.3023,21.0113,21.2131,6062946
2014-04-28,21.2695,21.495,21.2413,21.3963,6537828
2014-04-29,21.4574,21.5608,21.3916,21.401,5772888
2014-04-30,21.3728,21.6312,21.3,21.6312,6411862
2014-05-01,21.6641,21.7675,21.5561,21.6923,6882424
2014-05-02,21.6782,21.9648,21.5983,21.8521,10983462
2014-05-05,21.7816,21.9131,21.7017,21.8239,6020140
2014-05-06,21.7722,21.8615,21.6712,21.7957,7528538
2014-05-07,21.6077,21.8192,21.2883,21.7769,10081742
2014-05-08,21.744,21.9883,21.6124,21.6359,9131328
2014-05-09,21.6594,21.8427,21.6594,21.7816,5799166
2014-05-12,21.8709,21.9836,21.8145,21.9366,6584914
2014-05-13,21.9248,22.0474,21.8305,21.9673,5601944
2014-05-14,21.8966,22.1276,21.8871,22.005,5476022
2014-05-15,21.9107,21.9767,21.6749,21.8258,7025904
2014-05-16,21.8588,22.2172,21.8588,22.1559,10518026
2014-05-19,22.1182,22.203,22.0003,22.071,5369130
2014-05-20,22.0333,22.1323,21.8966,21.9437,5552744
2014-05-21,22.0144,22.1936,21.9861,22.1559,6455918
2014-05-22,22.5614,22.5849,21.8211,21.8353,8004640
2014-05-23,21.8871,22.0993,21.814,22.0899,3697084
2014-05-27,22.1323,22.1653,22.0427,22.1606,3105884
2014-05-28,22.1417,22.2478,22.0144,22.0144,3661082
2014-05-29,22.104,22.1747,21.9248,22.0191,8303884
2014-05-30,22.0097,22.5236,22.0097,22.5095,5766334
2014-06-02,22.5378,22.5849,22.2738,22.4011,4962582
2014-06-03,22.4482,22.5991,22.3303,22.5614,6210730
2014-06-04,22.5189,22.7193,22.4624,22.651,2981550
2014-06-05,22.6274,22.7971,22.5425,22.717,4632502
2014-06-06,22.7358,22.8348,22.6604,22.6934,5189720
2014-06-09,22.6934,22.8961,22.6887,22.849,4087604
2014-06-10,22.8254,22.8348,22.4293,22.5897,5700994
2014-06-11,22.6557,22.757,22.3893,22.6368,6902656
2014-06-12,22.5567,22.5614,22.1889,22.2738,6153784
2014-06-13,22.3162,22.3869,22.1842,22.2313,3254156
2014-06-16,22.2219,22.3398,22.1464,22.1983,5233924
2014-06-17,22.2313,22.3681,22.0852,22.1087,6349220
2014-06-18,22.0993,22.2926,22.0521,22.2879,6998506
2014-06-19,23.5515,23.6694,23.2498,23.4148,15678716
2014-06-20,23.5327,23.6694,23.3889,23.4997,15288918
2014-06-23,23.3865,23.4619,23.2545,23.2922,5081016
2014-06-24,23.2403,23.337,23.146,23.1838,5367972
2014-06-25,23.2073,23.3016,23.113,23.2073,6478528
2014-06-26,23.2215,23.4619,23.113,23.2875,6871530
2014-06-27,23.3299,23.5515,23.2026,23.5374,8548844
2014-06-30,23.4384,23.5232,23.2639,23.3063,6692812
2014-07-01,23.1979,23.4808,23.1555,23.3535,5481618
2014-07-02,23.3063,23.4242,23.179,23.3063,5129352
2014-07-03,23.3724,23.5704,23.3205,23.4148,4028894
2014-07-07,23.3393,23.4242,23.2073,23.3252,3860392
2014-07-08,23.2828,23.3393,23.014,23.0895,6829286
2014-07-09,23.2262,23.3063,23.0753,23.2403,6516266
2014-07-10,23.0612,23.2026,23.014,23.0895,4860482
2014-07-11,23.0989,23.1743,22.9999,23.0187,5544220
2014-07-14,23.0895,23.245,23.0517,23.2262,5351700
2014-07-15,23.3959,23.4195,23.1319,23.2592,6200860
2014-07-16,23.1649,23.2733,23.1177,23.2686,4298402
2014-07-17,23.2309,23.4242,23.1885,23.3865,4050848
2014-07-18,23.2309,23.4242,23.1885,23.3865,4050848
2014-07-21,23.3299,23.4549,23.3016,23.3299,3227544
2014-07-22,23.3959,23.7118,23.3676,23.6553,7864498
2014-07-23,23.6883,23.7213,23.4718,23.6553,4474980
2014-07-24,23.726,24.2776,23.6883,24.0466,5618678
2014-07-25,23.9994,24.0843,23.8674,23.9099,3837804
2014-07-28,23.9287,24.0183,23.6317,23.6364,4480740
2014-07-29,23.7826,23.825,23.6505,23.6977,5532150
2014-07-30,23.7448,23.7873,23.4336,23.4478,7465874
2014-07-31,23.3582,23.3582,23.0847,23.0942,4938382
2014-08-01,23.1036,23.2969,23.047,23.2215,4099768
2014-08-04,23.2545,23.3063,23.1012,23.2733,3212408
2014-08-05,23.1272,23.3582,22.9103,22.9669,4302486
2014-08-06,22.9574,23.3111,22.9056,23.2073,4966566
2014-08-07,23.3535,23.3535,23.0234,23.0895,2764420
2014-08-08,23.0895,23.3252,23.0329,23.2969,2452328
2014-08-11,23.3818,23.7826,23.3794,23.693,4341130
2014-08-12,23.6553,23.7401,23.5751,23.627,4223948
2014-08-13,23.6672,23.7287,23.5158,23.53,5230612
2014-08-14,23.5773,23.9226,23.4921,23.9132,3582040
2014-08-15,23.9132,24.0031,23.6199,23.7334,5743138
2014-08-18,23.8138,23.8801,23.6814,23.7429,5591088
2014-08-19,23.7571,23.9226,23.6435,23.8422,6518654
2014-08-20,23.8564,23.9274,23.6624,23.9037,3893036
2014-08-21,23.9037,23.9889,23.8517,23.8659,3559326
2014-08-22,23.8659,23.9699,23.7476,23.7949,3925526
2014-08-25,23.9179,23.9605,23.6624,23.7145,3945332
2014-08-26,23.7902,23.951,23.7145,23.8801,4456860
2014-08-27,23.8564,24.0645,23.775,24.0598,3839670
2014-08-28,24.0078,24.1639,23.9808,24.126,3881470
2014-08-29,24.1781,24.1781,24.0314,24.1166,4366940
2014-09-02,24.1402,24.4099,24.1119,24.2822,4784300
2014-09-03,24.4193,24.4666,24.3389,24.4099,4223396
2014-09-04,24.4052,24.7126,24.391,24.5281,4174796
2014-09-05,24.5187,24.8025,24.4856,24.7931,4308960
2014-09-08,24.7552,24.9397,24.5684,24.6795,5032862
2014-09-09,24.8688,24.8782,24.4477,24.4761,4821660
2014-09-10,24.4808,24.6133,24.3105,24.5376,6694102
2014-09-11,24.8782,24.9302,24.2112,24.6795,13102384
2014-09-12,24.6795,24.6843,24.3389,24.5187,11857938
2014-09-15,24.5234,24.5328,24.3247,24.3862,6002892
2014-09-16,24.3389,24.812,24.3247,24.7032,6832580
2014-09-17,24.6843,24.8593,24.637,24.741,4749920
2014-09-18,24.7836,24.8593,24.6795,24.8309,4559714
2014-09-19,24.935,24.9634,24.637,24.6701,10609178
2014-09-22,24.6795,24.7164,24.5707,24.6133,4750954
2014-09-23,24.5613,24.7221,24.5187,24.6133,5293002
2014-09-24,24.6843,25.0532,24.6228,24.9681,5837180
2014-09-25,24.8593,24.9255,24.4477,24.4525,6037394
2014-09-26,24.4808,24.5802,24.3399,24.4714,3434958
2014-09-29,24.3626,24.6228,24.3389,24.5849,3314938
2014-09-30,24.7552,24.8356,24.5092,24.5991,6503076
2014-10-01,24.5613,24.5802,24.3815,24.4099,5078542
2014-10-02,24.4856,24.5423,24.2538,24.3626,3775178
2014-10-03,24.5187,25.0485,24.4998,25.0154,7327998
2014-10-06,25.1952,25.3702,25.0201,25.0816,7057658
