date,open,high,low,close,volume
2014-01-02,115.8587,116.0188,112.4877,112.9962,801815
2014-01-03,113.2598,114.6064,112.337,112.7796,592376
2014-01-06,112.9302,113.1939,108.9283,109.578,1203921
2014-01-07,109.9453,111.2165,109.578,111.1035,972329
2014-01-08,110.8869,111.5084,109.1731,110.256,817050
2014-01-09,110.5102,110.9716,108.514,109.7946,1068164
2014-01-10,109.7946,110.256,107.949,109.5874,1079395
2014-01-13,109.5309,110.7551,108.8624,109.239,1232516
2014-01-14,109.4744,111.273,108.9377,111.0658,695602
2014-01-15,111.3201,112.6948,111.0376,112.2052,853423
2014-01-16,110.4914,110.6986,109.4368,110.2654,921693
2014-01-17,109.5969,110.5762,109.5215,109.5215,932672
2014-01-21,110.675,110.9528,109.3897,110.3313,629269
2014-01-22,110.821,111.885,110.1713,110.1901,874001
2014-01-23,109.8417,110.9669,109.7004,110.4349,1185959
2014-01-24,96.9978,97.93,87.1012,93.6832,14629360
2014-01-27,94.5213,94.6719,92.4874,93.4949,2629733
2014-01-28,94.2011,95.8019,94.2011,95.6418,1676988
2014-01-29,95.1051,98.1654,94.6437,96.1127,2369693
2014-01-30,96.4046,99.8133,96.4046,99.3707,2020636
2014-01-31,97.9583,99.9074,97.4215,99.4272,1819043
2014-02-03,99.1447,99.9828,94.2011,94.3989,2443694
2014-02-04,94.7661,96.6023,94.559,95.171,1578632
2014-02-05,94.8697,95.1381,93.2972,94.0881,1257672
2014-02-06,94.4177,95.6512,94.1635,95.2369,1014249
2014-02-07,95.9808,97.0731,95.1051,96.6023,964376
2014-02-10,96.64,96.7765,95.1616,95.7737,892818
2014-02-11,95.4253,96.585,95.3311,96.1503,969307
2014-02-12,96.2445,96.4987,94.446,95.0298,1377740
2014-02-13,93.7774,94.2765,92.4685,92.7698,2527593
2014-02-14,92.864,93.1277,89.493,90.3593,3458969
2014-02-18,88.4289,89.2011,83.3912,86.3197,6378663
2014-02-19,86.7999,88.0428,85.5852,85.8018,2314751
2014-02-20,85.8959,89.0504,85.7547,88.7302,2315133
2014-02-21,89.3329,91.6776,88.8244,90.0014,2402363
2014-02-24,89.7849,90.2557,88.9562,89.0786,1874188
2014-02-25,88.9751,89.3329,87.1483,87.9393,2454519
2014-02-26,87.7886,87.8451,86.1125,86.8093,2842838
2014-02-27,86.3573,88.2782,86.1125,87.8074,1557520
2014-02-28,87.6662,88.7208,87.0824,88.4383,1277411
2014-03-03,87.9958,89.8508,87.5155,89.1351,1385826
2014-03-04,90.6229,91.5834,90.3969,91.3668,1242005
2014-03-05,91.1785,91.8376,90.783,91.1314,978274
2014-03-06,91.528,92.4535,91.3675,92.123,886177
2014-03-07,92.699,93.5962,91.6036,92.8974,1509450
2014-03-10,92.6802,93.6812,92.0663,93.6434,1667581
2014-03-11,93.7756,95.4283,92.699,94.6539,2285071
2014-03-12,94.3328,96.5521,94.0589,95.6077,1989806
2014-03-13,95.8721,96.212,91.7027,92.4629,2632227
2014-03-14,92.4724,92.8596,91.1219,91.2258,1633792
2014-03-17,91.9813,93.5679,91.9813,93.0012,942829
2014-03-18,93.3223,94.5594,92.7179,94.4178,1115586
2014-03-19,94.5028,95.1255,93.8417,94.2856,976159
2014-03-20,93.7662,94.4178,92.8407,93.9739,783694
2014-03-21,94.8711,95.4944,93.0768,93.0957,1620084
2014-03-24,93.4923,93.8039,91.698,92.9635,951326
2014-03-25,93.6812,94.7011,93.6151,94.2384,1002699
2014-03-26,94.4367,94.8711,92.0569,92.0946,1345438
2014-03-27,92.0096,93.2751,91.7924,92.4441,1007308
2014-03-28,92.8974,95.0779,92.6235,94.0684,1687575
2014-03-31,94.6444,96.8306,93.8984,96.3821,1334281
2014-04-01,97.0431,97.4114,96.0421,97.3831,1048336
2014-04-02,97.5059,99.8479,97.4209,98.4975,1687046
2014-04-03,98.4408,98.7477,97.9308,98.6674,931397
2014-04-04,97.2131,97.2698,93.8228,95.1261,2652396
2014-04-07,95.0505,96.146,93.6056,94.3517,1192827
2014-04-08,94.5594,94.9296,93.5132,93.6717,1165799
2014-04-09,94.1156,95.6643,93.294,95.6455,963190
2014-04-10,95.4471,95.7682,92.038,92.1513,1046034
2014-04-11,90.7725,91.698,90.102,90.2248,1389340
2014-04-14,91.3391,92.6046,90.7725,91.7641,1117168
2014-04-15,91.9247,94.0967,91.9152,93.6434,1533170
2014-04-16,93.6434,95.9099,93.0296,95.7966,1239954
2014-04-17,95.7966,98.6958,94.7578,95.5133,2152224
2014-04-21,95.8816,96.7504,95.4944,96.4954,725604
2014-04-22,96.8259,97.0715,96.1554,96.1932,859075
2014-04-23,96.2121,96.5568,94.9844,95.3433,887321
2014-04-24,95.8721,96.1837,94.6067,95.2488,787072
2014-04-25,95.1072,95.1638,93.4168,93.7473,668118
2014-04-28,94.2761,95.0883,92.5817,94.1534,1427349
2014-04-29,94.4178,95.4849,94.1061,94.5406,659192
2014-04-30,94.5783,95.3527,94.4084,95.2677,1436635
2014-05-01,95.1922,95.4471,94.0589,94.1723,691168
2014-05-02,94.1723,94.9938,93.6151,93.7756,572653
2014-05-05,93.3695,94.0495,92.7179,93.8228,586911
2014-05-06,93.2751,94.7861,93.2279,93.6906,760748
2014-05-07,94.1534,94.3706,92.8785,94.0117,522513
2014-05-08,93.7945,94.72,93.3506,94.0684,608784
2014-05-09,93.9078,94.1911,93.0957,94.0117,362664
2014-05-12,94.55,97.0242,94.55,96.977,790619
2014-05-13,97.2698,97.8931,96.316,96.5615,509340
2014-05-14,96.5237,96.5615,95.1261,95.1922,511385
2014-05-15,95.0316,95.0741,92.8974,93.4356,964554
2014-05-16,94.7294,97.8647,94.4367,97.7608,1246676
