date,open,high,low,close,volume
2014-01-02,46.3757,46.4046,45.4409,45.6625,868993
2014-01-03,45.6625,45.8456,45.4987,45.5469,624037
2014-01-06,45.7685,45.8071,45.4216,45.4505,536414
2014-01-07,45.5083,45.5469,45.1036,45.2963,627328
2014-01-08,45.2481,45.5565,44.8819,45.065,908350
2014-01-09,45.1325,45.2288,44.6988,45.1132,923915
2014-01-10,45.3059,45.3734,45.0168,45.1614,612329
2014-01-13,45.0265,45.1999,44.5735,44.6506,885106
2014-01-14,44.8337,45.0168,44.6217,44.9686,978042
2014-01-15,45.0265,45.4794,45.0168,45.4794,991981
2014-01-16,45.3734,45.4023,45.171,45.3252,770772
2014-01-17,45.5372,45.7878,45.2963,45.6143,1169772
2014-01-21,45.7975,45.7975,45.0843,45.277,656110
2014-01-22,45.4216,45.5662,45.2293,45.4891,624122
2014-01-23,45.0361,45.2385,44.1784,44.3326,926401
2014-01-24,43.976,44.1572,43.0315,43.0315,995846
2014-01-27,42.9833,43.3592,42.7906,43.0219,948571
2014-01-28,43.0604,43.4266,43.0219,43.311,873962
2014-01-29,42.9544,43.3495,42.8291,42.9544,950899
2014-01-30,43.4074,43.7254,43.2724,43.6965,824691
2014-01-31,43.0026,43.3784,42.7713,42.9737,900313
2014-02-03,42.8966,43.1375,41.7593,41.8364,995731
2014-02-04,42.1063,42.9833,41.8461,42.9062,1528223
2014-02-05,42.8002,43.0508,42.5593,42.9158,1182263
2014-02-06,42.9448,43.205,42.8291,43.1182,741838
2014-02-07,43.3206,43.5423,43.0508,43.5423,1106535
2014-02-10,42.0485,42.1834,41.0847,41.6919,2850477
2014-02-11,41.528,42.328,41.528,42.2605,1318299
2014-02-12,42.4147,42.7424,42.193,42.2605,1437910
2014-02-13,42.0292,42.4147,41.7218,42.3954,1248102
2014-02-14,42.2798,42.4532,42.1256,42.434,587590
2014-02-18,42.5303,42.6653,42.193,42.3376,754967
2014-02-19,42.2412,42.4706,41.7401,41.7786,760337
2014-02-20,41.8268,42.2027,41.6726,42.087,814508
2014-02-21,42.1545,42.2316,41.8123,41.9232,926168
2014-02-24,41.875,42.4822,41.8136,42.0003,797279
2014-02-25,41.981,42.1063,41.7497,41.8654,765231
2014-02-26,42.0196,42.0196,41.7015,41.9135,868811
2014-02-27,41.8484,42.0897,41.5154,42.0414,1117024
2014-02-28,42.0414,42.2441,41.7277,41.9642,1306993
2014-03-03,41.6554,41.8677,41.4672,41.6457,1508370
2014-03-04,42.0318,42.413,41.9208,42.3599,1538152
2014-03-05,42.3599,42.5143,42.1476,42.5047,886510
2014-03-06,42.6398,42.9583,42.5143,42.8521,839317
