date,open,high,low,close,volume
2014-01-02,48.6953,49.3584,48.4821,47.4479,745300
2014-01-03,48.6558,49.1453,48.4347,47.361,798600
2014-01-06,48.8216,48.9479,48.2058,47.0374,1239500
2014-01-07,48.5058,49.0584,48.5058,47.6058,1022100
2014-01-08,48.0005,48.3953,47.3689,46.3663,2264300
2014-01-09,45.79,46.1847,44.811,44.4873,5286200
2014-01-10,45.5137,45.9637,45.04,44.5742,2216100
2014-01-13,45.5926,45.7426,44.5821,43.611,1986800
2014-01-14,44.6926,45.0242,44.4321,43.4689,3322800
2014-01-15,44.6531,45.6084,44.0926,43.7531,2671300
2014-01-16,45.1031,45.3637,44.0531,43.0189,3000900
2014-01-17,44.4163,44.4163,43.4768,42.5057,2177500
2014-01-21,43.7057,43.8242,42.8215,42.0084,3177900
2014-01-22,43.1689,43.3426,42.7189,41.8426,2199500
2014-01-23,42.5847,42.932,42.2768,41.3452,2750900
2014-01-24,42.2452,42.4899,41.4952,40.5557,2960000
2014-01-27,41.7873,42.332,41.5189,40.6031,3039000
2014-01-28,41.7557,42.2373,41.6926,40.8873,2335900
2014-01-29,41.7241,41.9136,40.8873,40.1531,4470200
2014-01-30,41.7005,41.8189,41.3768,40.5715,1790900
2014-01-31,41.0294,41.5899,40.832,40.3347,1726000
2014-02-03,41.4873,41.6294,40.0899,39.1899,2834800
2014-02-04,41.1478,41.3215,40.4215,39.5294,3297600
2014-02-05,41.1794,43.4215,40.4847,39.9004,3503700
2014-02-06,41.7005,43.0347,41.5899,41.582,5481200
2014-02-07,42.8373,43.1689,42.4663,42.0478,2613500
2014-02-10,43.0268,43.6347,42.7426,42.4268,3182500
2014-02-11,43.4215,44.0847,43.3899,42.9163,2687700
2014-02-12,44.1242,44.1636,42.7426,41.961,2702600
2014-02-13,42.8136,43.4294,42.6399,42.1899,1613100
2014-02-14,43.1057,43.6821,42.861,42.3952,1564600
2014-02-18,43.6268,44.1557,43.3978,43.7294,2122789
2014-02-19,43.7973,43.9267,43.3847,43.409,1595628
2014-02-20,43.417,43.6274,42.9317,43.1258,1683583
2014-02-21,43.1582,43.6516,43.0854,43.3038,1515632
2014-02-24,43.4979,44.1128,43.3523,43.506,1823495
2014-02-25,43.4979,44.0561,43.1177,43.9995,2110286
2014-02-26,44.2665,46.0704,44.0966,45.763,3815896
2014-02-27,44.9055,46.3293,44.9055,45.3424,2437260
2014-02-28,46.1756,46.4668,45.1968,45.5689,1933495
2014-03-03,45.0592,45.3747,44.9055,45.0188,1233258
2014-03-04,45.3262,45.9046,45.2615,45.8278,1587462
2014-03-05,45.8278,46.5396,45.8278,46.5235,2346690
2014-03-06,47.0412,47.0655,45.5851,46.1756,2598095
2014-03-07,46.4021,46.7257,46.0947,46.4102,2303625
2014-03-10,46.2727,46.8713,45.9976,46.8228,2152273
2014-03-11,47.0169,47.0655,45.7469,46.2646,2001450
2014-03-12,45.9491,46.1918,45.4314,46.1675,3043662
2014-03-13,46.4183,46.4344,45.7307,45.8925,1216489
2014-03-14,45.7064,46.394,45.6012,46.0543,1199879
2014-03-17,46.1675,46.5073,45.941,46.4102,931993
2014-03-18,46.394,46.661,46.1918,46.3455,819645
2014-03-19,46.3293,46.8147,46.1028,46.3617,1029453
2014-03-20,46.1513,46.5639,46.0397,46.305,2963483
2014-03-21,46.8875,47.8178,46.7014,47.4295,2715698
2014-03-24,47.6156,47.8663,46.479,46.8471,1621609
2014-03-25,47.025,47.0736,46.0268,46.4345,1405180
2014-03-26,46.6044,46.6044,45.399,45.4314,2194379
2014-03-27,45.4637,45.7126,45.0188,45.3019,1542810
2014-03-28,45.399,45.8358,45.1887,45.7469,947351
2014-03-31,46.1513,46.1513,45.6902,45.9248,1090130
2014-04-01,45.9734,46.5639,45.7145,46.4668,1133000
2014-04-02,46.5396,47.5751,46.5396,47.5509,1553016
2014-04-03,47.6641,47.9392,47.3082,47.6722,1215826
2014-04-04,48.2061,48.4973,46.8956,47.0897,1461203
2014-04-07,46.8066,46.8794,45.8763,46.0947,3184286
2014-04-08,45.9815,46.9765,45.4556,46.8309,2353205
2014-04-09,46.936,47.6398,46.5073,47.6317,1715681
2014-04-10,47.6317,47.6722,45.0916,45.1644,3272930
2014-04-11,44.3474,44.4444,43.3442,43.7245,3743244
2014-04-14,43.9995,44.1128,43.3119,43.7406,2051274
2014-04-15,43.773,44.2017,43.0692,43.7973,1810176
2014-04-16,44.1289,44.8894,43.9591,44.3635,1255017
2014-04-17,44.1856,44.3635,43.6516,43.6516,1266293
2014-04-21,43.7325,44.0885,43.5789,43.6031,1547721
2014-04-22,43.684,44.1128,43.4494,43.9267,1376784
2014-04-23,43.9024,44.3554,43.7811,43.8134,1241805
2014-04-24,44.0157,44.0157,43.5546,43.8862,1041779
