date,open,high,low,close,volume
2014-01-02,97.1041,97.2964,96.0696,96.1978,720066
2014-01-03,96.2436,96.9036,96.1484,96.4724,369001
2014-01-06,96.7288,97.1407,96.1337,96.6555,564432
2014-01-07,95.4105,96.6372,95.1976,95.8865,717239
2014-01-08,95.795,96.7745,95.2457,96.5457,615270
2014-01-09,97.8731,98.3217,97.0858,97.3055,660895
2014-01-10,97.4062,97.6717,96.9027,97.333,551775
2014-01-13,97.5527,97.9006,96.564,96.7288,460340
2014-01-14,96.9576,97.385,96.5457,97.1682,403270
2014-01-15,97.4062,98.5963,97.3513,98.2118,438633
2014-01-16,97.6534,98.2118,97.4978,97.9555,304816
2014-01-17,97.9921,98.5139,97.8731,98.4773,418155
2014-01-21,98.4865,99.6308,98.4773,99.1822,533653
2014-01-22,99.5026,99.7315,98.6787,99.4386,569185
2014-01-23,99.3195,99.3928,98.1477,98.6055,611675
2014-01-24,97.7632,97.8639,95.3556,95.3647,774171
2014-01-27,95.5844,95.5844,94.148,94.9436,648162
2014-01-28,95.0168,95.795,94.9711,95.6393,570758
2014-01-29,94.7422,95.3739,94.2387,94.9527,628834
2014-01-30,95.676,96.5182,94.6781,96.4999,1234065
2014-01-31,95.7584,102.1575,95.5112,101.6815,1910666
2014-02-03,100.9308,102.4322,99.1731,99.4386,1879566
2014-02-04,99.4843,99.7773,97.6534,99.1731,1085287
2014-02-05,98.5963,100.2167,97.8639,99.7498,825532
2014-02-06,99.7498,100.6928,99.704,100.3449,484734
2014-02-07,102.3772,104.318,101.3794,103.4666,1292834
2014-02-10,103.2927,103.4849,102.2307,102.899,697102
2014-02-11,103.2195,103.668,102.8716,103.0272,1475296
2014-02-12,102.9448,104.2082,102.9448,103.5582,680697
2014-02-13,103.2011,103.9976,102.8624,103.5216,901913
2014-02-14,103.6223,104.0251,102.8441,103.9061,581714
2014-02-18,104.1532,105.2335,103.6588,105.1145,862913
2014-02-19,104.3638,105.4532,103.8145,104.0617,1279109
2014-02-20,104.2173,106.1032,103.7596,105.8743,581342
2014-02-21,105.9201,106.6433,105.1694,105.8102,760185
2014-02-24,105.499,107.5405,105.4624,106.4694,1016297
2014-02-25,105.7645,106.1947,104.0251,104.2173,1450828
2014-02-26,104.3638,104.7391,103.6406,104.3455,715160
2014-02-27,103.4528,104.7964,103.4528,104.7504,653582
2014-02-28,104.3823,106.6647,104.3823,106.2045,777205
2014-03-03,105.7352,107.1801,105.4591,106.7659,748509
2014-03-04,107.2537,108.7446,107.2537,108.128,948358
2014-03-05,108.128,109.0299,107.4746,107.8243,1442763
2014-03-06,108.0083,108.2936,107.5666,107.7875,1241694
2014-03-07,108.3949,108.809,107.5068,107.9071,1084112
2014-03-10,107.2169,107.3825,106.2597,106.9316,1035368
2014-03-11,107.2353,107.2353,105.6799,105.9008,622813
2014-03-12,105.6615,106.3357,105.1554,106.2597,847895
2014-03-13,106.6739,106.9684,104.8701,105.229,702765
2014-03-14,105.1093,106.7475,104.7136,106.1125,776097
2014-03-17,106.4806,108.0544,106.3978,107.7322,469679
2014-03-18,108.5973,109.3336,108.082,108.3212,509295
2014-03-19,108.5697,108.5881,106.2689,107.1524,531450
2014-03-20,106.6555,107.7783,106.6555,106.8119,501796
2014-03-21,107.7599,107.7599,106.4714,106.7659,1367212
2014-03-24,106.7659,107.1064,105.6247,106.5911,433235
2014-03-25,106.9868,107.585,106.2505,106.9224,811589
2014-03-26,107.7414,109.1541,107.7414,107.9255,1540022
2014-03-27,108.0636,108.0682,106.904,107.2261,780086
2014-03-28,107.4285,108.6157,107.3733,108.0544,354126
2014-03-31,108.2016,109.2416,108.1556,108.7354,1409304
2014-04-01,109.0575,109.6649,108.6342,109.3244,991415
2014-04-02,109.7201,110.6773,109.5637,110.622,1298849
2014-04-03,110.392,110.576,109.895,110.3551,675506
2014-04-04,110.7233,111.0546,106.9316,107.0696,1286478
2014-04-07,107.2169,107.9531,105.2934,105.7996,854334
2014-04-08,105.7628,105.91,104.3547,105.5879,717409
2014-04-09,106.1217,107.5298,105.7996,107.3457,1327103
2014-04-10,107.4654,107.6586,104.9345,105.1277,717793
2014-04-11,104.8977,105.7996,104.4927,104.6032,681268
2014-04-14,105.1554,105.9468,104.3639,105.1646,602422
2014-04-15,105.5327,107.3825,105.0541,107.2445,754350
2014-04-16,107.677,107.9531,106.6463,107.7046,574742
2014-04-17,107.585,108.6618,107.585,108.3489,447894
2014-04-21,108.7262,108.8826,108.0267,108.4501,857483
2014-04-22,108.5145,109.0391,107.4377,107.4469,639587
2014-04-23,107.6678,108.4455,107.0788,108.1372,594283
2014-04-24,108.4041,108.8182,106.2229,107.1801,693829
2014-04-25,107.0236,107.0236,105.7444,106.0849,464942
2014-04-28,106.7659,106.904,104.5295,105.5511,923480
2014-04-29,106.453,106.9592,105.7628,106.3794,720350
2014-04-30,106.2689,106.904,105.5143,106.1769,829645
2014-05-01,105.8364,106.6049,104.005,105.5419,991663
2014-05-02,105.321,105.7168,104.143,104.3455,1297908
2014-05-05,104.7688,105.6799,104.2534,105.2198,960433
2014-05-06,105.0541,105.3118,104.5664,104.732,627573
2014-05-07,105.1001,106.3242,104.5019,106.2137,580904
2014-05-08,106.3702,107.042,105.5971,105.7352,586056
2014-05-09,105.4959,105.9928,104.8793,105.4223,687003
2014-05-12,105.9744,106.8211,105.7826,106.6187,409586
2014-05-13,106.7291,111.754,106.7291,111.4135,4684100
2014-05-14,110.5852,111.3123,108.3212,108.5513,2843746
2014-05-15,108.2183,108.6207,106.8955,107.6263,1960924
2014-05-16,108.5051,108.7641,106.1463,106.2573,1955849
2014-05-19,105.9243,106.5163,105.175,106.1925,1116825
2014-05-20,106.1463,106.5625,105.5265,105.9243,1006807
2014-05-21,106.6365,107.0528,105.6375,106.3868,830535
2014-05-22,106.3775,107.5338,105.989,107.4783,813726
2014-05-23,107.4598,108.9398,107.3118,108.9121,949159
2014-05-27,109.0693,109.5689,108.5236,109.5504,804641
2014-05-28,109.7446,110.4846,109.6521,110.0499,866743
2014-05-29,110.0684,111.3912,109.8186,111.3819,928561
2014-05-30,111.0396,112.1497,110.7436,112.0849,1061092
2014-06-02,112.0109,112.6214,111.4929,112.5104,1066915
2014-06-03,112.2329,113.2782,111.9924,113.1764,1124065
2014-06-04,112.9544,113.8887,112.7139,113.8147,1043139
2014-06-05,114.1755,115.674,113.824,115.5168,909655
2014-06-06,115.6278,116.4048,115.6194,116.1643,842575
2014-06-09,116.0163,117.7276,115.6463,117.2558,1022156
2014-06-10,116.8118,117.4778,115.9885,116.673,1054714
2014-06-11,116.5528,116.7193,115.9238,116.3863,864887
2014-06-12,116.044,116.8303,115.2762,115.822,789071
2014-06-13,115.8128,116.4048,115.4057,116.1458,796139
2014-06-16,115.933,116.3678,115.2762,115.6555,920328
2014-06-17,115.7665,115.7665,114.1477,114.8137,936337
2014-06-18,115.045,115.0912,113.7139,114.5732,922308
2014-06-19,114.5732,115.1005,113.1302,114.9247,715982
2014-06-20,114.7397,115.4427,114.379,114.4252,1145247
2014-06-23,113.9997,114.564,113.1394,113.676,493327
2014-06-24,113.6205,114.0737,112.1867,112.2607,568974
2014-06-25,111.7519,112.6214,111.7519,112.5382,439320
2014-06-26,112.5752,112.5752,111.7797,112.1589,416265
2014-06-27,111.9184,112.3069,111.5854,112.1034,734011
2014-06-30,112.5289,112.5289,111.4837,111.6964,547548
2014-07-01,111.8259,112.4087,110.7991,112.0942,570829
2014-07-02,111.6687,112.5289,111.0211,111.1414,433233
2014-07-03,111.4097,112.0387,111.2524,111.5854,352763
2014-07-07,111.5207,111.5577,110.2905,110.4199,591953
2014-07-08,110.2534,110.6789,109.4671,109.6614,570433
2014-07-09,110.1701,110.7344,109.5689,110.2996,520575
2014-07-10,109.1711,110.7344,109.0693,110.1054,468545
2014-07-11,110.1331,111.3542,109.8279,111.2061,454400
2014-07-14,111.8352,112.0017,111.2154,111.5762,443688
2014-07-15,111.5762,112.6029,111.3542,111.7612,567549
2014-07-16,112.0479,112.4688,111.5947,112.2514,552703
2014-07-17,111.6502,112.9359,111.5484,111.5669,519767
2014-07-18,111.8259,112.8527,111.6872,112.8157,405174
