date,open,high,low,close,volume
2014-01-02,129.4576,130.1091,128.3924,128.5949,1115858
2014-01-03,128.9734,129.7041,128.9514,129.4664,843422
2014-01-06,129.6777,130.3731,128.6213,128.7797,1134990
2014-01-07,131.1743,131.4384,129.8538,130.831,1684141
2014-01-08,130.6373,131.2659,130.0387,130.7341,1222706
2014-01-09,131.1743,132.4333,130.7694,130.9366,1646605
2014-01-10,131.1655,131.7774,129.8978,131.5705,1246130
2014-01-13,135.312,135.8843,132.5037,132.8646,3449023
2014-01-14,133.0495,133.7494,131.3416,133.3048,2575853
2014-01-15,133.3048,135.8755,133.0231,135.136,2294769
2014-01-16,134.6958,135.1536,134.3613,135.1272,1378682
2014-01-17,135.3385,135.5674,134.7046,135.4177,2016527
2014-01-21,135.5762,137.8158,135.3913,135.6642,2274649
2014-01-22,136.4565,138.2613,135.805,137.9091,2659852
2014-01-23,138.3141,139.4762,132.3188,132.4861,3945489
2014-01-24,133.2256,133.2256,129.1319,130.0827,3498728
2014-01-27,130.3996,131.2536,127.7585,129.4312,2852226
2014-01-28,129.4224,131.0159,129.2375,130.5405,2676033
2014-01-29,129.5369,130.5053,128.9761,129.7217,2500983
2014-01-30,130.8134,132.31,130.0034,130.875,1931654
2014-01-31,129.4752,133.8066,128.476,132.8558,2619931
2014-02-03,132.5301,133.8154,129.7834,130.0651,2307236
2014-02-04,130.1091,131.1479,127.38,130.4524,2204957
2014-02-05,130.0651,133.789,129.7922,132.398,2728126
2014-02-06,131.817,134.3789,131.6145,133.5865,2073849
2014-02-07,133.7274,137.0728,132.9879,136.571,2079509
2014-02-10,136.2364,136.8139,135.1492,135.5585,2375022
2014-02-11,136.078,139.3793,135.7346,138.7103,2242159
2014-02-12,139.7227,140.3741,139.0712,139.9075,1851275
2014-02-13,138.7983,141.5274,137.8123,140.6823,2461603
2014-02-14,140.6823,143.7107,140.2509,143.4026,2557286
2014-02-18,142.2053,144.3358,142.2053,143.2353,1985338
2014-02-19,143.1473,145.0049,142.6279,143.1913,1762394
2014-02-20,143.4994,146.0437,143.429,144.6175,2113230
2014-02-21,145.2602,145.6475,143.8252,144.6703,2378114
2014-02-24,145.806,148.2622,145.0876,146.2638,2534374
2014-02-25,146.6511,147.3995,143.5875,144.0365,2283970
2014-02-26,143.7635,144.7433,141.5714,141.589,2691196
2014-02-27,142.388,143.5154,141.5998,143.3113,3075573
2014-02-28,143.0538,144.9713,143.0538,144.0747,2232736
2014-03-03,142.7609,145.7702,142.4946,145.1843,1708976
2014-03-04,145.8412,147.5101,145.8412,147.0396,1748260
2014-03-05,147.5634,148.6286,146.9153,148.0871,1889246
2014-03-06,148.1137,148.673,147.7143,148.1049,1378314
2014-03-07,148.6907,149.0192,147.3348,147.8652,1403507
2014-03-10,147.084,147.9806,146.5691,146.8976,1377123
2014-03-11,146.7999,147.0929,145.3352,145.4062,1738241
2014-03-12,145.1133,145.5829,143.8084,145.4595,1503075
2014-03-13,146.0543,146.5691,144.0969,144.5452,1404574
2014-03-14,144.2877,146.1164,143.9415,144.1812,1394290
2014-03-17,145.0867,146.1608,144.7671,145.6459,1466315
2014-03-18,146.3383,146.5514,145.4506,145.566,1655799
2014-03-19,145.9122,146.0942,142.0427,142.8319,2068176
2014-03-20,143.0272,144.2252,141.4737,141.9708,3228486
2014-03-21,142.9207,143.2491,139.7249,139.7249,4248004
2014-03-24,140.728,141.4737,139.3787,140.4262,1997404
2014-03-25,140.9233,143.0361,140.7724,142.5389,2099691
2014-03-26,142.7786,143.8883,141.6956,141.7134,1299782
2014-03-27,141.4027,141.9886,140.2753,141.0387,1858871
2014-03-28,141.6157,143.2491,141.3583,142.5123,1191808
2014-03-31,144.0303,145.1843,143.4533,144.9091,1458711
2014-04-01,145.1577,145.6992,144.2789,145.3263,982497
2014-04-02,145.5838,146.2673,144.4137,146.2052,1050349
2014-04-03,146.4715,146.5869,145.3175,145.3619,1254888
2014-04-04,146.4271,146.4271,141.5206,141.6867,1622749
2014-04-07,141.4826,142.5751,139.7959,140.0267,1315456
2014-04-08,139.8758,140.08,137.3725,139.0591,1784524
2014-04-09,140.2842,141.9886,139.2988,140.9943,1124311
2014-04-10,141.2163,141.7258,137.87,137.9761,1501443
2014-04-11,137.5678,137.9406,136.2984,136.5469,2025662
2014-04-14,137.5944,139.5119,136.9642,138.3223,1356072
2014-04-15,138.0827,139.8936,136.8931,139.716,1160501
2014-04-16,140.6481,141.5625,139.2544,141.5358,1167933
2014-04-17,140.4795,142.4679,140.4795,142.2549,1544935
2014-04-21,144.9091,144.9091,142.3525,143.3556,1305772
2014-04-22,146.1874,146.214,138.6597,139.0946,2674864
2014-04-23,139.2012,144.1901,138.3223,143.7906,2862510
2014-04-24,144.1901,144.3321,141.6779,142.5833,1398406
2014-04-25,142.2282,143.3556,140.8701,143.0006,1803359
2014-04-28,143.2136,144.048,141.8554,143.2491,1352718
2014-04-29,143.187,144.2789,142.8408,143.7995,1225902
2014-04-30,143.8261,145.9211,143.2314,145.7081,1615759
2014-05-01,145.3352,146.3295,144.0924,144.5629,1302015
2014-05-02,144.6961,145.6823,144.4298,145.495,1133094
2014-05-05,145.1399,146.7999,144.5097,146.578,945542
2014-05-06,146.1697,146.7378,144.8647,145.131,1026587
2014-05-07,145.5838,146.001,144.3173,145.7613,1173308
2014-05-08,145.7436,146.7822,145.2642,145.93,1024706
2014-05-09,145.7169,146.649,145.0334,146.6313,837859
2014-05-12,146.9153,148.3978,146.7378,148.1759,1051877
2014-05-13,148.1759,149.1168,147.6521,148.815,968449
2014-05-14,149.1257,149.1346,146.3383,146.7023,1165820
2014-05-15,146.3117,146.8399,144.4919,145.1754,1061274
2014-05-16,145.3086,145.8412,143.8172,143.8971,1739167
2014-05-19,143.9415,144.9091,143.5421,144.0747,1460232
2014-05-20,144.2433,144.2522,141.9353,142.5389,909795
2014-05-21,143.0627,143.8794,142.7875,143.7107,859476
2014-05-22,143.8705,144.1448,143.147,143.6486,823192
2014-05-23,144.4031,144.909,143.7196,144.3765,1663351
2014-05-27,144.8115,144.9002,143.8128,144.6517,1294573
2014-05-28,145.0778,146.1164,143.693,143.8971,1831510
2014-05-29,144.2104,146.2422,143.7271,146.0274,1489150
2014-05-30,145.6515,146.7524,145.2576,146.4749,2122918
2014-06-02,146.6808,147.1551,145.562,146.8866,1013258
2014-06-03,146.8866,147.2178,146.0632,146.6897,850867
2014-06-04,146.3317,147.4326,145.8842,147.2536,871290
2014-06-05,147.2626,149.0348,147.2626,148.8736,996066
2014-06-06,149.0527,149.6792,148.8915,149.6255,890976
2014-06-09,148.7662,151.1471,148.3098,150.44,1351013
2014-06-10,150.3594,150.431,148.8289,149.7776,1002712
2014-06-11,149.0437,149.4196,146.8106,147.2626,1298039
2014-06-12,147.0567,147.4684,145.1592,145.5709,857255
2014-06-13,145.8573,147.3163,145.5843,146.824,750209
2014-06-16,146.6629,148.2471,146.3675,147.8085,897600
2014-06-17,147.6832,148.2561,146.3854,147.003,858077
2014-06-18,146.9045,146.9851,145.0428,146.6002,1028241
2014-06-19,146.7971,148.2382,146.1616,146.9672,1045848
2014-06-20,146.5644,148.3098,146.5644,148.0412,1862926
2014-06-23,147.9249,148.4082,146.1751,146.7434,829507
2014-06-24,146.1437,147.2357,145.4098,145.4546,812472
2014-06-25,145.5799,145.8126,144.4968,145.4008,988351
2014-06-26,145.7231,145.7231,143.6645,145.0428,988446
2014-06-27,145.2487,145.8305,144.8728,145.6246,1102222
2014-06-30,145.6783,145.741,143.5302,143.8614,1234530
2014-07-01,143.2438,144.7922,141.946,143.7808,1358243
2014-07-02,143.8972,143.9956,141.5999,142.295,1309801
2014-07-03,143.029,143.5481,142.4114,143.1185,687190
2014-07-07,142.5367,142.9484,141.1583,141.6864,1167639
2014-07-08,141.8117,141.8117,140.483,140.7108,970969
2014-07-09,141.5253,142.0713,140.9077,141.3552,827466
2014-07-10,139.8336,142.3487,139.8336,141.579,815689
2014-07-11,141.5342,143.7629,141.3552,143.4854,1073587
2014-07-14,143.9061,144.9802,143.6555,144.828,1045176
2014-07-15,144.7564,146.3272,144.5237,145.553,1313917
2014-07-16,145.9647,146.3048,144.2373,144.5953,947811
2014-07-17,144.2015,146.0721,143.7092,144.3984,1190893
2014-07-18,144.837,145.4814,144.1567,145.4366,1074835
2014-07-21,144.9981,146.4928,144.2731,145.8752,1201477
2014-07-22,147.2357,150.5295,147.1372,150.252,2174579
2014-07-23,150.1536,151.4514,149.6702,150.4579,1808521
2014-07-24,150.8427,152.2659,150.2073,152.1316,1617585
2014-07-25,151.5588,152.7761,151.4335,152.1943,2112251
2014-07-28,152.1495,152.6687,150.6369,152.1585,1989631
2014-07-29,152.606,152.7492,151.4738,151.5588,1063434
2014-07-30,152.3733,153.3757,151.1202,152.3196,1077748
2014-07-31,151.335,151.4782,149.4465,149.4465,1935997
2014-08-01,149.2227,151.0576,148.7483,149.5807,1535923
2014-08-04,149.9746,150.8874,149.5002,150.6279,1196373
2014-08-05,150.1804,151.4066,149.0795,149.4107,1218909
2014-08-06,148.6499,148.6499,145.6345,145.9379,1885235
2014-08-07,147.0388,147.3431,145.4636,145.8484,1087119
2014-08-08,145.9916,148.7483,145.9826,148.3993,1196123
2014-08-11,149.348,149.4107,148.5783,148.7125,801750
2014-08-12,148.7125,149.6076,147.9159,148.3814,779533
2014-08-13,148.7125,151.6214,148.7125,151.344,1079062
2014-08-14,151.5677,152.3464,151.1381,151.711,1030029
2014-08-15,152.0779,152.606,150.3147,151.4066,1062433
2014-08-18,152.3375,154.0381,152.1943,153.5189,766472
2014-08-19,153.9665,154.3066,153.3131,154.0649,841052
2014-08-20,154.0828,157.0544,154.0649,156.9112,1353129
2014-08-21,156.5621,157.0723,155.9034,156.7232,1089330
2014-08-22,156.3742,157.6451,156.0609,156.768,801404
2014-08-25,157.305,158.4865,157.0186,158.0031,866414
2014-08-26,158.397,158.4328,157.5646,158.0748,1037021
2014-08-27,158.4149,158.5939,157.5288,157.9942,1115227
2014-08-28,157.5253,157.868,156.6866,157.0113,1455774
2014-08-29,157.6065,157.9041,156.6956,156.9211,1532041
2014-09-02,157.9492,158.1025,156.0824,156.7407,1547713
2014-09-03,157.7688,158.4001,156.2087,156.4701,1454801
2014-09-04,156.9121,157.363,155.8002,156.0553,1109122
2014-09-05,156.1725,157.5073,155.4511,157.4441,983572
2014-09-08,157.39,158.337,157.2457,157.6155,928152
2014-09-09,158.364,159.0404,157.6786,157.7688,1418370
2014-09-10,157.7868,157.85,156.6686,157.4532,2210569
2014-09-11,157.2638,157.6155,156.5423,157.1014,1299213
2014-09-12,157.0744,157.8139,156.6595,157.3089,759383
2014-09-15,157.2998,158.5264,156.8472,158.364,678526
2014-09-16,157.9402,160.4698,157.841,159.798,1187091
2014-09-17,160.33,162.0165,160.0324,161.2499,1152637
2014-09-18,161.764,162.0796,160.799,161.9444,1040525
2014-09-19,162.7741,163.4324,162.5306,162.9995,1896684
2014-09-22,162.0796,163.0175,161.2139,161.4213,1097393
2014-09-23,161.0064,161.4123,158.6526,159.0314,1451121
2014-09-24,158.9773,160.9794,158.9773,160.8802,959395
2014-09-25,160.6186,161.1958,158.9592,160.0234,1739089
2014-09-26,160.1136,164.3793,160.1136,163.7571,1880819
2014-09-29,163.9555,164.8483,162.4314,163.5587,1582582
2014-09-30,164.6769,166.0207,164.2531,164.8393,1981557
2014-10-01,163.3693,163.3693,159.6988,160.4293,1901420
2014-10-02,160.2218,160.799,158.5354,159.0404,1469110
2014-10-03,160.2308,161.7369,159.5545,160.8351,2463719
2014-10-06,161.9894,162.0616,159.329,159.5545,1486304
2014-10-07,159.0855,159.2298,156.0192,156.0373,1183730
2014-10-08,156.2627,159.2208,154.9668,159.0404,1677604
2014-10-09,159.0134,159.2298,156.5152,157.4171,1581640
2014-10-10,157.5343,159.4269,156.6505,157.3449,1668759
2014-10-13,156.894,159.1261,155.8208,155.911,1475635
2014-10-14,156.5152,160.303,156.1455,158.824,1585342
2014-10-15,156.9301,158.7428,153.5482,157.9943,2181144
2014-10-16,156.2267,159.3831,155.5232,157.5704,1972836
2014-10-17,159.4823,160.4293,158.5985,158.9412,2360081
2014-10-20,158.6616,159.0584,156.8579,158.3009,2055612
2014-10-21,153.449,156.7858,149.9588,155.6675,4106894
2014-10-22,154.2155,160.3842,153.954,158.7338,3805733
2014-10-23,159.7078,163.8022,159.7078,162.9364,2442867
2014-10-24,163.8382,163.9194,161.8091,163.5316,1550786
2014-10-27,163.8563,165.1279,162.9634,165.0377,1072440
2014-10-28,166.0297,167.3374,164.75,167.3374,1809175
2014-10-29,173.3256,173.4609,169.7994,171.1071,1743812
2014-10-30,168.5819,169.3846,168.0589,168.5278,789298
2014-10-31,172.6132,173.0839,171.044,171.8647,1700082
2014-11-03,172.523,173.0912,170.1151,172.027,1146009
2014-11-04,172.1081,174.002,171.6121,172.0631,1668316
2014-11-05,173.3256,173.4609,169.7994,171.1071,1743822
2014-11-06,171.3506,171.7745,170.5209,171.2424,995063
2014-11-07,170.7915,170.8185,166.7602,167.8785,2569425
2014-11-10,168.1581,168.875,167.5268,168.636,1296164
2014-11-11,168.6451,169.9437,168.4106,168.7533,881387
2014-11-12,168.5819,169.3846,168.0589,168.5278,789348
2014-11-13,168.8074,170.4938,168.5774,169.5199,990612
2014-11-14,169.5379,169.5469,167.6621,168.2843,1665674
2014-11-17,168.3655,168.8074,167.166,167.3013,1160875
2014-11-18,167.0939,168.8615,166.3904,168.2482,1775200
2014-11-19,167.8063,168.4286,167.2111,167.7432,1167485
2014-11-20,167.4276,167.7252,166.294,167.3464,1021607
2014-11-21,169.5108,169.7994,168.8074,169.4838,1328213
2014-11-24,169.7994,170.6787,169.5474,170.2864,1126986
2014-11-25,170.2864,171.3867,170.0429,170.1511,1808128
2014-11-26,170.4511,172.3147,170.1147,171.951,1320566
2014-11-28,172.3783,175.0717,171.8147,174.1419,940923
2014-12-01,173.5692,174.4328,172.7419,173.7237,1538325
2014-12-02,173.3328,174.151,172.1056,172.8237,1659903
2014-12-03,172.9056,173.3327,172.4056,172.4328,1390401
2014-12-04,172.7056,172.951,171.3329,172.4783,922481
2014-12-05,171.8783,172.8874,171.3329,172.6056,1204355
2014-12-08,172.7237,173.2737,171.6056,172.5874,1676528
2014-12-09,171.1874,173.4056,171.0238,173.2874,1140900
2014-12-10,172.4965,173.3624,170.5056,170.8238,1246312
2014-12-11,171.5965,173.0874,170.942,172.0419,1170567
2014-12-12,170.2511,170.9397,167.9784,168.342,1204771
2014-12-15,168.7147,170.2329,166.4148,167.4602,1311126
2014-12-16,167.2693,171.2965,167.2602,168.5329,1228577
2014-12-17,168.5329,169.0238,165.8193,168.3148,1482562
2014-12-18,170.4965,174.2874,169.1238,174.2146,1670454
2014-12-19,174.1328,176.5782,173.6419,175.3146,2609142
2014-12-22,175.8146,179.0509,175.8146,178.5873,1110052
2014-12-23,180.4509,180.6509,177.9509,177.9691,986538
2014-12-24,178.1509,179.9145,177.9873,178.5691,403319
2014-12-26,178.8236,179.8236,178.7055,178.9418,547404
2014-12-29,179.0236,179.0236,177.0055,177.8509,611276
2014-12-30,177.4873,178.5509,177.2691,177.66,523556
2014-12-31,177.1873,178.1509,175.0146,175.0601,713310
2015-01-02,174.6328,176.7964,173.6692,175.7328,902755
2015-01-05,175.3601,176.8146,171.4511,172.0783,1506476
2015-01-06,172.3783,173.6237,169.8147,171.2692,1206318
2015-01-07,172.1056,173.651,172.0147,173.4783,942037
2015-01-08,173.5419,178.9782,173.5419,177.3873,1952999
2015-01-09,177.3509,179.1509,177.1055,177.2873,1439524
2015-01-12,177.7327,178.3873,176.0936,176.7873,896874
2015-01-13,178.3055,180.3962,175.1601,176.6782,1094981
2015-01-14,176.4964,176.5782,174.2055,175.6601,1101279
2015-01-15,176.5055,177.0237,174.4055,174.8783,897276
2015-01-16,174.4328,177.06,174.4328,177.0055,1085573
2015-01-20,178.7509,179.0782,175.4601,177.9509,858244
2015-01-21,177.2691,178.86,176.46,177.7236,966793
2015-01-22,179.0873,180.5054,177.5237,180.0781,1307908
2015-01-23,179.9872,180.7963,179.0418,179.4872,1313920
2015-01-26,178.4055,179.0145,175.4782,177.8873,1339423
2015-01-27,175.451,175.8919,173.0147,173.2237,1943283
2015-01-28,174.3964,177.0873,171.8147,172.0419,1570436
2015-01-29,172.051,175.0237,170.0874,174.9964,2017001
