date,open,high,low,close,volume
2014-01-02,22.2712,22.2712,21.8742,21.913,1103324
2014-01-03,21.9778,22.008,21.7577,21.8742,894340
2014-01-06,21.6584,21.8267,21.5764,21.7879,1692696
2014-01-07,21.8267,22.0295,21.8267,21.995,923040
2014-01-08,22.0209,22.0209,21.7922,21.9173,1417840
2014-01-09,22.0295,22.2453,21.8656,22.1374,1172184
2014-01-10,22.1417,22.4309,22.0123,22.3834,976296
2014-01-13,22.3402,22.3618,22.1115,22.159,672862
2014-01-14,22.2237,22.282,22.0641,22.2237,879134
2014-01-15,22.3057,22.3661,22.0684,22.1245,905230
2014-01-16,22.0468,22.2539,22.0468,22.1978,619188
2014-01-17,22.2324,22.2798,22.0878,22.1331,873572
2014-01-21,22.2237,22.405,22.1806,22.405,1039704
2014-01-22,22.3489,22.4309,22.2194,22.3489,1514166
2014-01-23,22.2841,22.3618,22.1946,22.3057,1282270
2014-01-24,22.241,22.282,21.8958,21.9001,1364704
2014-01-27,21.9217,22.0986,21.8483,21.9993,975518
2014-01-28,22.0641,22.0856,21.9864,22.0727,916196
2014-01-29,22.016,22.2863,22.016,22.1294,1026844
2014-01-30,22.2863,22.5739,22.1947,22.5565,742274
2014-01-31,22.3734,22.7483,22.2436,22.648,829206
2014-02-03,22.6873,22.8921,22.1904,22.2078,2100142
2014-02-04,22.3168,22.3473,22.0727,22.2427,1667274
2014-02-05,22.1991,22.2078,21.9637,22.0553,1021660
2014-02-06,22.0553,22.2732,21.9605,22.1817,525806
2014-02-07,22.2514,22.3909,22.1424,22.356,550758
2014-02-10,22.3386,22.5565,22.1773,22.5086,671020
2014-02-11,22.4911,22.9357,22.4519,22.9096,797076
2014-02-12,23.0055,23.1144,22.8878,22.9444,1496926
2014-02-13,22.8747,23.1929,22.8747,23.1624,795608
2014-02-14,23.1667,23.4021,23.0708,23.3934,790468
2014-02-18,23.4719,23.5329,23.3853,23.4762,847200
2014-02-19,23.3803,23.5154,23.1755,23.1929,710618
2014-02-20,23.1929,23.4893,23.1711,23.4065,614280
2014-02-21,23.4413,23.6898,23.3716,23.4283,767378
2014-02-24,23.4544,23.5895,23.3062,23.3237,948116
2014-02-25,23.2844,23.6462,23.1101,23.4457,956756
2014-02-26,23.6288,23.6288,23.3979,23.437,949322
2014-02-27,23.5852,23.6767,23.2931,23.389,763936
2014-02-28,23.4239,23.7334,23.3193,23.6418,824240
2014-03-03,23.5242,23.6157,23.2713,23.3237,682930
2014-03-04,23.5808,23.6767,23.5067,23.6636,907156
2014-03-05,23.6549,23.6941,23.3585,23.4326,467322
2014-03-06,23.437,23.5024,23.2539,23.2713,692280
2014-03-07,23.2713,23.4195,23.097,23.4195,631748
2014-03-10,23.389,23.5111,23.2888,23.3978,493746
2014-03-11,23.3803,23.3847,23.1667,23.2365,435294
2014-03-12,23.2016,23.6462,23.2016,23.6113,1117102
2014-03-13,23.6767,23.9513,23.5634,23.8423,762236
2014-03-14,23.7726,24.0341,23.6854,23.8423,800984
2014-03-17,23.9513,24.1758,23.8118,24.0516,915064
2014-03-18,24.0472,24.1126,23.9775,24.0821,838126
2014-03-19,24.0821,24.0821,23.5677,23.6462,670696
2014-03-20,23.62,23.729,23.3367,23.5024,1556660
2014-03-21,23.5329,23.8772,23.5242,23.6941,2037338
2014-03-24,23.7595,23.9513,23.5765,23.7552,1324694
2014-03-25,23.8336,23.9862,23.7726,23.9164,830224
2014-03-26,24.2826,24.4308,24.0603,24.2651,2421206
2014-03-27,24.2695,24.3131,24.1562,24.2826,1194780
2014-03-28,24.3131,24.4177,24.2237,24.3698,678742
2014-03-31,24.4526,24.8405,24.4264,24.762,1138694
2014-04-01,24.7926,24.8318,24.5223,24.6531,1047652
2014-04-02,24.6356,24.7882,24.5659,24.7185,896120
2014-04-03,24.7315,24.8231,24.6356,24.6574,646124
2014-04-04,24.7359,24.9669,24.5833,24.6008,887498
2014-04-07,24.5877,24.6574,24.4046,24.4264,1969612
2014-04-08,24.4308,24.7402,24.178,24.5485,2386530
2014-04-09,24.5746,24.64,24.2708,24.5703,1137010
2014-04-10,24.6487,25.0061,24.5397,24.6356,1265280
2014-04-11,24.5136,24.8091,24.5136,24.7359,2014628
2014-04-14,24.8274,25.0105,24.6749,24.8884,1187710
2014-04-15,24.9364,25.2629,24.8884,25.2371,1189000
2014-04-16,25.3243,25.442,25.211,25.4289,619672
2014-04-17,25.4289,25.4971,25.163,25.163,1219290
2014-04-21,25.2197,25.2982,24.956,25.0454,568238
2014-04-22,25.0802,25.1369,24.9146,25.0933,841558
2014-04-23,25.0715,25.3941,25.0715,25.1979,983242
2014-04-24,25.2764,25.3243,25.0192,25.2284,1435308
2014-04-25,25.2851,25.6251,25.1761,25.6076,2052064
2014-04-28,25.6208,25.7659,25.423,25.6604,1828682
2014-04-29,25.6868,25.7967,25.5285,25.5637,904762
2014-04-30,25.6208,25.7395,25.5197,25.7132,1188954
2014-05-01,25.7879,25.8934,25.4845,25.8451,1588438
2014-05-02,25.7439,26.4343,25.2559,25.3746,1618112
2014-05-05,25.2955,25.733,25.2955,25.6912,1493834
2014-05-06,25.7044,25.7044,25.4318,25.4977,1378340
2014-05-07,25.5417,25.8627,25.4625,25.8627,1265656
2014-05-08,25.8715,25.9814,25.612,25.6428,1253570
2014-05-09,25.6076,25.6472,25.2471,25.2823,951650
2014-05-12,25.3834,25.423,25.113,25.146,872564
2014-05-13,25.2119,25.3394,25.1152,25.2163,935246
2014-05-14,25.2163,25.4711,25.1847,25.313,537826
2014-05-15,25.313,25.3693,25.0932,25.2119,836872
2014-05-16,25.1811,25.3087,25.0492,25.2999,725080
2014-05-19,25.2207,25.2515,24.9041,24.9217,799668
2014-05-20,24.9129,25.0536,24.6623,24.8294,871370
2014-05-21,24.9349,24.9525,24.7766,24.8734,651684
2014-05-22,24.8997,25.0756,24.8382,25.0536,712768
2014-05-23,25.0712,25.1328,24.9525,25.102,693718
2014-05-27,25.2515,25.3174,25.1592,25.2339,538964
2014-05-28,25.2559,25.4889,25.1943,25.4757,891220
2014-05-29,25.5725,25.5835,25.2779,25.3922,597380
2014-05-30,25.3746,25.6648,25.357,25.634,965718
2014-06-02,25.5769,25.6846,25.4757,25.5945,732680
2014-06-03,25.5197,25.6472,25.4318,25.5461,954498
2014-06-04,25.5109,25.5945,25.3614,25.5857,440998
2014-06-05,25.6296,25.8451,25.5813,25.8099,503864
2014-06-06,25.8803,25.9748,25.7527,25.8055,643096
2014-06-09,25.7352,25.8275,25.6296,25.6912,888868
2014-06-10,25.6384,25.6863,25.5175,25.5417,643634
2014-06-11,25.5065,25.5197,25.1767,25.1855,882416
2014-06-12,25.1108,25.2999,24.8646,25.2911,607274
2014-06-13,25.313,25.4252,25.1284,25.3526,595352
2014-06-16,25.3922,25.8363,25.3214,25.6604,807946
2014-06-17,25.6428,25.7835,25.5285,25.6384,1070954
2014-06-18,25.6692,26.0957,25.6357,26.0825,780374
2014-06-19,26.0869,26.3068,26.0693,26.2056,913446
2014-06-20,26.2628,26.2892,26.0781,26.1221,1382530
