date,open,high,low,close,volume
2014-01-02,45.8871,46.1742,45.5167,45.7852,5458567
2014-01-03,45.7575,45.8686,45.2203,45.3315,4257787
2014-01-06,45.35,45.4704,44.4887,44.6925,4923053
2014-01-07,44.8221,45.2111,44.4517,44.8036,5541919
2014-01-08,44.711,45.1462,44.6832,44.961,4875815
2014-01-09,45.1462,45.2666,44.7851,45.1462,4941436
2014-01-10,45.3037,46.1001,45.2666,46.0075,5736433
2014-01-13,45.7482,46.2205,44.9147,45.0629,6403816
2014-01-14,45.0166,45.3129,44.7897,45.2852,5498908
2014-01-15,45.3592,45.4055,44.5443,44.7203,6224623
2014-01-16,44.5536,44.711,44.2387,44.6184,4146722
2014-01-17,44.7113,44.7485,44.2094,44.2559,5764093
2014-01-21,44.2373,44.4882,43.9305,44.4511,7430557
2014-01-22,44.4697,44.4789,43.8562,44.386,7917556
2014-01-23,44.2001,44.8229,43.9212,44.7578,6939255
2014-01-24,44.4139,44.8972,44.3674,44.4604,9089843
2014-01-27,44.4139,44.9158,44.0049,44.6184,8050640
2014-01-28,43.4564,44.0421,43.2984,43.6516,13365355
2014-01-29,43.2891,43.5866,42.5501,42.7314,9922021
2014-01-30,43.0474,43.4843,42.7221,43.2241,5773231
2014-01-31,42.7686,43.4984,42.4061,43.0289,6771509
2014-02-03,43.001,43.2473,42.2759,42.3875,7755040
2014-02-04,42.341,42.5083,41.6252,41.7368,8399291
2014-02-05,41.6624,42.4525,41.3185,42.3224,8036048
2014-02-06,42.4525,43.3542,42.3875,43.2984,6486415
2014-02-07,42.8615,43.001,42.2387,42.8244,9677370
2014-02-10,42.8615,43.1497,42.671,42.8708,7342887
2014-02-11,42.7407,43.6331,42.7314,43.4657,6922050
2014-02-12,43.4843,43.7725,43.2798,43.3914,6788184
2014-02-13,43.1962,43.5122,42.7872,43.3542,5051560
2014-02-14,43.317,44.0514,43.1869,43.9491,3460049
2014-02-18,44.1536,44.3209,43.4007,43.6238,5454547
2014-02-19,43.5122,43.8469,43.2334,43.2612,5460619
2014-02-20,43.3821,43.7725,43.3124,43.3728,7724244
2014-02-21,43.3728,43.9677,43.3728,43.7446,7675229
2014-02-24,43.884,44.4139,43.884,43.8933,7786661
2014-02-25,44.4697,44.9623,44.3953,44.7206,10105727
2014-02-26,46.6634,47.6673,45.3713,47.1468,18638320
2014-02-27,47.0166,47.4256,46.84,47.2397,7249260
2014-02-28,47.2955,47.3048,45.9848,46.5054,9573614
2014-03-03,45.1761,47.0166,45.1761,46.6541,7203402
2014-03-04,46.8679,47.2025,46.7285,47.0631,6390337
2014-03-05,47.1653,47.2025,46.7563,46.8028,5217180
2014-03-06,46.2265,46.7099,46.1893,46.5611,4380847
2014-03-07,46.9423,46.9701,46.4961,46.8679,4340533
2014-03-10,46.7378,46.9423,46.4589,46.4682,5132115
2014-03-11,46.5704,46.6634,45.8036,45.9755,4553004
2014-03-12,45.8361,45.9105,45.4922,45.9012,4435855
2014-03-13,46.0406,46.2451,45.1947,45.2784,5587265
2014-03-14,45.6316,46.1243,45.5107,45.6316,5299313
2014-03-17,45.7803,46.3102,45.7431,45.9941,4965197
2014-03-18,46.0034,46.4124,45.8733,46.3195,3910559
2014-03-19,46.4217,46.7378,45.8082,46.0871,4315530
2014-03-20,45.929,46.115,45.7617,46.0592,4145457
2014-03-21,46.3288,46.5425,45.7245,45.7803,7777483
2014-03-24,45.8454,46.0871,45.3155,45.7152,5388413
2014-03-25,45.7989,45.8826,44.7903,44.953,5955620
2014-03-26,45.046,45.3899,44.7671,45.111,7082329
2014-03-27,44.9809,45.1482,44.8229,45.1203,5308720
2014-03-28,45.3992,45.5665,45.204,45.4736,4016250
2014-03-31,45.6502,45.6781,45.3248,45.455,6694111
2014-04-01,45.613,46.2823,45.5944,45.9476,3570963
2014-04-02,45.9105,46.4496,45.8175,46.0313,4845956
2014-04-03,46.0127,46.0964,45.4457,45.5944,4765631
2014-04-04,45.7431,45.771,44.7857,45.0274,5951890
2014-04-07,45.0367,45.1017,43.2984,43.475,8818203
2014-04-08,43.4564,43.6052,43.1404,43.4379,6887625
2014-04-09,43.5215,44.2559,43.2334,44.1908,6023039
2014-04-10,44.1443,44.4882,43.4564,43.4936,6205077
2014-04-11,43.3728,43.4286,42.9359,43.0474,4931512
2014-04-14,43.3542,43.819,43.0103,43.3542,4698251
2014-04-15,43.6516,43.6516,42.5641,43.4193,5437911
2014-04-16,43.6609,43.8562,43.2798,43.4379,4270878
2014-04-17,43.2334,43.7632,43.0289,43.5029,4280989
2014-04-21,43.5402,43.7455,43.4003,43.5589,3140924
2014-04-22,43.6242,44.6787,43.5496,44.3614,4687246
2014-04-23,44.3521,44.492,43.1017,43.1297,7862466
2014-04-24,43.3536,44.0255,43.2416,44.0068,4674759
2014-04-25,43.8388,43.8668,43.251,43.279,4589154
2014-04-28,43.4843,44.0395,42.6164,43.279,7024056
2014-04-29,43.3723,43.4656,43.055,43.3256,3888807
2014-04-30,43.2043,43.2696,42.5978,42.8404,6618794
2014-05-01,42.971,43.5636,42.8217,43.2696,4367068
2014-05-02,43.279,44.1748,43.279,43.8388,4732265
2014-05-05,43.5589,43.7082,43.0457,43.195,3984703
2014-05-06,43.1017,43.1577,42.2805,42.3552,4587009
2014-05-07,42.5511,42.7284,41.6926,42.0939,5148528
2014-05-08,42.0565,42.7284,41.7859,42.0099,3718240
2014-05-09,42.0006,42.6724,41.8886,42.6538,4023693
2014-05-12,42.7657,43.3443,42.7564,43.1856,2820546
2014-05-13,43.2043,43.5122,42.4671,42.7004,3962426
2014-05-14,42.6258,42.6444,41.9819,42.1499,5480321
2014-05-15,41.9072,41.9072,41.1794,41.646,7721711
2014-05-16,41.7766,42.3645,41.7766,42.3272,5727092
2014-05-19,42.2152,42.6351,41.9866,42.5045,4567746
2014-05-20,42.9337,43.195,42.2245,42.4765,8857693
2014-05-21,42.3645,42.7751,41.3474,42.3738,8572158
2014-05-22,42.1779,43.9975,42.1779,43.7549,8780816
2014-05-23,43.6895,43.9881,43.6056,43.9135,5096362
2014-05-27,44.0255,44.632,43.9975,44.5854,5534362
2014-05-28,43.7735,44.0815,43.4563,43.5869,6889936
2014-05-29,43.7269,43.9975,43.3443,43.8668,3947831
2014-05-30,43.8295,43.9602,43.4516,43.9322,4288583
2014-06-02,43.9415,44.2402,43.7549,43.8668,4070791
2014-06-03,43.6895,44.2121,43.6709,44.0628,3560566
2014-06-04,43.9415,44.2308,43.7269,44.0161,4501927
2014-06-05,44.1748,44.4267,43.9135,44.2308,4300060
2014-06-06,44.3521,44.6973,44.2681,44.576,3860498
2014-06-09,44.4734,45.0239,44.3521,44.4267,3700168
2014-06-10,44.2774,44.5574,44.1188,44.4081,3588050
2014-06-11,44.2121,44.3427,43.6895,43.7735,4244899
2014-06-12,43.4563,43.5402,42.4765,42.5045,11319012
2014-06-13,42.6351,42.7657,42.0845,42.4111,6139509
2014-06-16,42.3272,42.5698,42.1872,42.3831,6713459
2014-06-17,42.3085,42.985,42.2152,42.7751,8366958
2014-06-18,42.7004,42.8777,42.4578,42.7751,10408444
2014-06-19,42.8684,43.1019,42.5558,42.8311,4751217
2014-06-20,42.999,43.1483,42.5978,42.943,13871064
2014-06-23,42.9057,43.139,42.7751,42.999,6532810
2014-06-24,42.887,43.7269,42.6444,43.4003,11137660
2014-06-25,43.4656,43.7409,43.2883,43.5776,5059487
2014-06-26,43.6989,44.2681,43.6242,44.0441,5272039
2014-06-27,43.9788,44.3894,43.9182,44.2494,5216885
2014-06-30,44.1561,44.8466,43.9228,44.7813,7388783
2014-07-01,44.8186,45.1826,44.7627,44.912,5843846
2014-07-02,44.9399,45.1546,44.7906,44.9026,3097921
2014-07-03,44.9959,45.2012,44.9586,45.0053,2132374
2014-07-07,44.884,45.1639,44.7627,44.9866,4538038
2014-07-08,44.8653,44.9306,44.4454,44.6227,5011380
2014-07-09,44.8,45.0892,44.4081,44.66,5833422
2014-07-10,43.5496,44.2494,43.3723,44.0441,8008680
2014-07-11,44.0255,44.3334,43.9415,44.2681,4430792
2014-07-14,44.5107,44.5107,43.9881,44.0628,4358850
2014-07-15,44.1841,44.5387,44.1095,44.3334,5921708
2014-07-16,44.4454,44.576,44.0675,44.4734,5318121
2014-07-17,44.2774,44.6693,44.2121,44.6133,5211223
2014-07-18,44.2774,44.6693,44.2121,44.6133,5211250
2014-07-21,44.6509,44.7821,44.4633,44.6134,3117933
2014-07-22,44.6227,45.0822,44.5759,44.8103,3222378
2014-07-23,44.7915,45.0072,44.6321,44.9228,3917926
2014-07-24,44.9884,45.3447,44.8947,45.0072,3934798
2014-07-25,44.829,45.1291,44.5852,44.7259,4531111
2014-07-28,44.7821,44.8665,44.3977,44.7165,3192891
2014-07-29,44.7446,45.251,44.7259,45.0447,4181429
2014-07-30,45.1947,45.5135,45.0634,45.4479,4380564
2014-07-31,45.176,45.4479,44.8665,44.8665,4741301
2014-08-01,44.904,45.1291,44.3227,44.6227,5231215
2014-08-04,44.6415,45.0541,44.6321,44.9228,3528092
2014-08-05,44.7821,45.2181,44.5852,44.6696,4879427
2014-08-06,44.6227,45.2135,44.5571,45.1009,3968528
2014-08-07,45.251,45.476,44.815,44.9322,3175690
2014-08-08,45.251,46.6856,45.1947,46.6199,7386371
2014-08-11,46.7325,46.8356,46.3246,46.7512,4070534
2014-08-12,46.6762,46.8356,46.498,46.7231,3287292
2014-08-13,46.7981,47.1638,46.5262,46.7418,4397796
