date,open,high,low,close,volume
2014-01-02,18.1717,18.403,18.1042,18.2006,4559256
2014-01-03,18.2681,18.8079,18.2681,18.7212,8708777
2014-01-06,18.779,18.9279,18.3838,18.4609,8125418
2014-01-07,18.5476,18.9622,18.5476,18.8272,7228029
2014-01-08,18.8368,19.4827,18.7115,19.4538,11519360
2014-01-09,19.6755,20.1161,19.6081,20.0129,12104500
2014-01-10,20.0226,20.3889,19.8587,20.2732,6997006
2014-01-13,20.4082,20.4371,19.8973,19.9744,6694689
2014-01-14,20.0515,20.6781,20.0515,20.6588,11579740
2014-01-15,21.1312,21.189,20.1672,20.3985,9842541
2014-01-16,20.4178,20.7119,20.3793,20.6878,8010154
2014-01-17,20.7938,20.9577,20.4082,20.4564,6087870
2014-01-21,20.8902,21.0525,20.4853,20.5335,8166006
2014-01-22,20.8902,21.0155,20.6492,20.9866,8158938
2014-01-23,21.1794,21.3047,20.0708,20.4757,15075517
2014-01-24,20.5335,20.6492,19.9744,20.0901,11294757
2014-01-27,20.0901,20.2347,19.4924,19.8683,8326807
2014-01-28,20.1768,20.6685,20.0901,20.5432,9880587
2014-01-29,20.3214,20.7938,19.7719,19.8683,12384992
2014-01-30,20.0515,20.5624,20.0419,20.4564,11467610
2014-01-31,20.2154,20.4949,20.1286,20.1961,9510914
2014-02-03,20.225,20.2636,19.6081,19.6948,11375523
2014-02-04,19.8876,20.0081,19.5598,19.9069,7692037
2014-02-05,19.8587,19.9262,19.502,19.8683,9161190
2014-02-06,19.8587,20.3407,19.8201,20.2057,7161478
2014-02-07,20.2347,20.7504,20.1672,20.6588,10232709
2014-02-10,20.6492,20.7552,20.1865,20.2636,8428617
2014-02-11,20.3696,20.6299,20.2057,20.5528,8676585
2014-02-12,20.5721,20.6106,20.2057,20.4467,7782099
2014-02-13,20.3214,20.548,20.2443,20.4371,7051763
2014-02-14,20.3889,20.6588,20.3311,20.5335,5357887
2014-02-18,20.6492,20.7938,20.2154,20.2732,7443351
2014-02-19,20.2539,20.4082,20.1286,20.1961,7691390
2014-02-20,20.2829,20.977,20.2154,20.9191,8849639
2014-02-21,20.9191,21.1312,20.8324,20.977,8896979
2014-02-24,20.977,21.4782,20.948,21.3626,9631392
2014-02-25,21.3818,21.7385,21.3529,21.4975,8950726
2014-02-26,21.671,21.8108,21.4493,21.6132,7267201
2014-02-27,21.565,21.806,21.4975,21.6518,5728710
2014-02-28,21.5264,21.7433,21.3599,21.6325,6996782
2014-03-03,21.3529,21.5842,21.0348,21.4975,7918592
2014-03-04,21.9225,22.2122,21.8066,22.048,10436836
2014-03-05,22.1349,22.4343,22.048,22.2412,7478097
2014-03-06,22.3281,22.5502,22.2412,22.3281,7330076
2014-03-07,22.4633,22.4729,22.0866,22.3088,7067117
2014-03-10,22.3474,22.8592,22.3088,22.7916,7952402
2014-03-11,22.7916,23.2021,22.6178,22.9655,7451801
2014-03-12,23.1007,23.3228,22.9075,23.0814,8013771
2014-03-13,23.1296,23.1586,22.6854,22.7916,8093690
2014-03-14,22.782,23.3083,22.6371,23.1007,8198211
2014-03-17,23.2648,23.2842,22.9365,23.1586,6500335
2014-03-18,23.1876,23.3421,23.062,23.0814,6802541
2014-03-19,23.091,23.2166,22.782,22.9558,5972981
2014-03-20,22.8785,23.0717,22.7819,23.062,5590785
2014-03-21,23.2648,23.2842,22.386,22.386,12407858
2014-03-24,22.5792,22.7607,22.2606,22.5695,5548525
2014-03-25,22.6951,23.0041,22.6757,22.8882,3968488
2014-03-26,23.0041,23.0524,22.5985,22.6371,5129647
2014-03-27,22.5888,22.5888,21.9997,22.3667,6001421
