date,open,high,low,close,volume
2014-01-02,68.2045,68.3407,66.3726,67.1224,4922706
2014-01-03,67.2673,67.4206,66.739,67.0628,1528547
2014-01-06,67.361,67.361,66.2108,66.4323,3119456
2014-01-07,66.5942,67.5229,66.3726,67.2587,2732859
2014-01-08,68.4771,68.5197,66.901,67.9318,3419199
2014-01-09,68.0,68.8605,67.9752,68.5709,3499584
2014-01-10,68.7157,69.5422,68.1789,68.4601,2350422
2014-01-13,68.5197,68.6731,67.8466,68.0085,3222122
2014-01-14,68.3067,70.0193,68.2045,69.704,3533563
2014-01-15,69.883,70.5561,69.6614,70.5049,2787352
2014-01-16,70.2238,70.6924,69.7892,70.0534,2351978
2014-01-17,69.8915,69.9469,68.9287,69.3547,2524208
2014-01-21,69.9767,70.3857,68.7499,68.9713,2860610
2014-01-22,69.1928,69.3803,67.2332,68.3493,5102642
2014-01-23,68.3238,68.3238,65.1713,66.2533,10505057
2014-01-24,65.7421,66.2619,64.6345,64.6856,5922059
2014-01-27,64.6856,65.3076,63.365,64.5323,5521287
2014-01-28,64.7197,66.0233,64.5493,65.3417,2963028
2014-01-29,65.3672,66.4834,64.413,65.3161,4430086
2014-01-30,65.9381,67.2478,65.3076,66.509,4588120
2014-01-31,67.3099,68.8605,66.0318,67.1054,5929433
2014-02-03,67.3013,67.6592,65.3758,65.7847,4804753
2014-02-04,66.1085,67.1735,65.7507,66.4919,3660193
2014-02-05,65.9211,66.4152,65.0264,66.1255,4798821
2014-02-06,66.4578,67.5229,66.0847,67.4121,2807814
2014-02-07,68.0937,69.1076,67.7955,68.8691,3619455
2014-02-10,68.7668,69.2695,68.4857,68.9798,3019859
2014-02-11,69.2525,70.096,68.8605,69.5933,4133163
2014-02-12,69.6103,70.6924,69.6103,70.3942,3195213
2014-02-13,69.7637,71.3655,69.7637,71.0332,3304911
2014-02-14,70.8884,72.013,70.7265,71.9704,2936214
2014-02-18,72.4135,72.7628,71.5955,72.7032,3614766
2014-02-19,72.422,73.3592,71.6807,71.8085,3899582
2014-02-20,71.8426,73.4785,71.1184,73.1036,4005053
2014-02-21,73.5808,73.9471,72.9247,72.9758,3302551
2014-02-24,73.0184,74.2113,72.9417,73.2485,2980376
2014-02-25,73.1888,73.8875,72.7628,73.5296,2937073
2014-02-26,73.6063,74.5521,73.4274,74.4839,3226478
2014-02-27,74.5439,75.4276,74.1493,75.3847,3754127
2014-02-28,75.6163,76.5171,75.1702,75.5648,4634176
2014-03-03,74.8785,75.908,74.6726,75.8994,2428127
2014-03-04,76.8946,77.0404,76.234,76.9375,3084704
2014-03-05,76.9032,77.5209,76.8088,77.2978,2929979
2014-03-06,77.701,78.8764,77.6667,78.1214,4128424
2014-03-07,78.3359,78.5589,77.4694,77.9841,2679157
2014-03-10,77.7354,78.2158,77.212,78.0957,2326251
2014-03-11,78.1643,78.5761,77.4694,77.5895,2827396
2014-03-12,77.1177,77.9241,76.7316,77.3493,2829428
2014-03-13,77.7697,78.0871,76.2082,76.3799,3118596
2014-03-14,76.1911,77.2849,76.1225,76.2855,3376899
2014-03-17,76.8431,78.0871,76.7917,77.7268,2286522
2014-03-18,77.864,78.1643,77.6839,77.8126,3985595
2014-03-19,78.0013,78.0013,76.234,76.9547,3421627
2014-03-20,76.8345,77.4694,76.5727,77.4351,2245907
2014-03-21,77.6839,77.8383,77.1692,77.2463,3906485
2014-03-24,77.6581,77.9841,76.4571,76.8431,3558818
2014-03-25,77.478,78.4817,77.4437,77.701,3616334
2014-03-26,78.3874,78.3874,77.0919,77.1091,3300033
2014-03-27,76.9975,77.0319,74.9301,74.9471,4693930
2014-03-28,74.8699,76.1568,74.8099,75.8222,2495796
2014-03-31,76.8174,77.0233,76.1568,76.3026,2592102
2014-04-01,76.4828,76.4914,75.9166,76.1568,3642358
2014-04-02,76.234,77.4866,76.011,77.4437,2517433
2014-04-03,77.2721,77.9927,77.0404,77.6067,2567353
2014-04-04,78.4989,78.8163,76.337,76.3799,3362995
2014-04-07,76.1225,76.4313,74.2102,74.7412,3924335
2014-04-08,74.767,75.3075,74.2093,74.6726,3388165
2014-04-09,74.8613,76.397,74.5611,75.9595,2983567
2014-04-10,76.2941,76.2941,74.7841,74.9643,4483749
2014-04-11,73.2656,75.7021,73.2656,74.7327,3775362
2014-04-14,75.3761,75.9852,74.99,75.6249,2568794
