date,open,high,low,close,volume
2014-01-02,81.1535,81.2075,80.4451,80.8366,7408790
2014-01-03,80.8366,80.9975,80.0478,80.5139,6439160
2014-01-06,80.6254,80.8114,79.9179,80.1147,7022770
2014-01-07,80.6406,81.4343,80.6396,81.2306,7646070
2014-01-08,81.2529,81.9021,81.1261,81.2063,6937260
2014-01-09,81.5129,81.9244,81.149,81.8623,7212580
2014-01-10,82.1767,82.2388,80.6978,81.0045,8213690
2014-01-13,81.0724,81.3189,78.3718,78.6018,12359540
2014-01-14,78.8754,79.8604,78.0331,79.7381,10869050
2014-01-15,80.068,80.5211,79.6925,79.8992,7750600
2014-01-16,80.0399,80.3475,79.807,80.1059,4965690
2014-01-17,80.0574,80.9326,78.396,79.4188,13330190
2014-01-21,79.8652,80.2087,78.9928,79.4247,10103590
2014-01-22,79.7759,81.4159,79.5722,80.8337,7220658
2014-01-23,81.3189,81.3286,79.4945,79.9215,6595431
2014-01-24,79.3587,79.5527,76.1758,76.1855,9541224
2014-01-27,76.6125,76.6416,72.7309,73.7983,13715112
2014-01-28,74.4291,76.7483,74.3126,76.496,7738725
2014-01-29,75.875,76.3407,74.7299,75.3995,7915482
2014-01-30,78.068,78.1651,75.9235,77.3985,8749157
2014-01-31,73.2743,74.7105,69.6256,73.4393,23255509
2014-02-03,73.7983,74.1476,71.6635,71.7217,9834575
2014-02-04,72.0225,72.1438,70.6445,70.9551,11981190
2014-02-05,70.6057,71.3238,69.975,70.6834,7769433
2014-02-06,71.0618,72.6921,70.9739,72.6824,6805661
2014-02-07,73.4296,74.6523,72.9056,74.0506,8551622
2014-02-10,74.3903,75.05,73.6042,74.0894,4886654
2014-02-11,74.5261,74.5552,73.7498,73.9342,5323791
2014-02-12,74.1768,74.6523,73.4296,73.7207,4775447
2014-02-13,73.2452,74.3709,72.9056,74.2641,4912964
2014-02-14,74.3126,75.3607,74.2156,75.0986,4766134
2014-02-18,76.137,76.1661,74.9143,75.1957,5811790
2014-02-19,75.0501,75.7003,74.2641,74.3806,6038258
2014-02-20,74.6037,74.6037,72.6339,73.6139,8723584
2014-02-21,73.6139,74.0894,73.2646,73.4587,6551857
2014-02-24,73.3325,74.6911,73.3228,73.711,7942731
2014-02-25,73.7498,74.6911,73.284,74.4679,7437312
2014-02-26,74.5552,75.1181,74.3417,75.0695,7438903
2014-02-27,75.0501,75.7003,74.7202,75.4577,4939433
2014-02-28,75.8847,76.3398,74.6717,75.4189,5919129
2014-03-03,74.2641,74.8075,73.4102,74.4582,6154731
2014-03-04,75.5062,76.4669,75.1181,76.1758,5303009
2014-03-05,76.3407,76.5445,75.5208,75.8847,4233519
2014-03-06,76.0787,76.3796,75.2733,75.3315,4594433
2014-03-07,75.7585,75.9332,75.2248,75.6324,4134098
2014-03-10,75.4965,75.6362,74.9822,75.0986,3314844
2014-03-11,75.1957,76.1273,74.6135,75.5935,4835405
2014-03-12,74.9337,76.0205,74.5261,76.0205,4744935
2014-03-13,76.0593,76.4378,74.2738,74.3514,6521375
2014-03-14,74.2447,74.9337,73.973,74.0797,4859053
2014-03-17,74.4776,75.5353,74.4679,75.5256,3911475
2014-03-18,75.7876,76.6416,75.2442,76.5833,4523471
2014-03-19,76.6028,77.2432,75.613,75.9914,5929255
2014-03-20,75.8944,76.3213,75.3121,76.0884,5197964
2014-03-21,76.9909,77.4664,73.6528,73.7401,14425292
2014-03-24,74.2156,75.4092,73.6237,75.0986,8822012
2014-03-25,75.283,75.4674,73.0026,73.0511,7134713
2014-03-26,73.5654,73.9148,71.4985,71.5276,7612692
2014-03-27,71.3626,71.4403,70.2079,71.1686,7690125
2014-03-28,71.2171,71.6052,70.2952,71.0521,5245438
2014-03-31,71.6732,72.6533,71.3238,72.4883,5843774
2014-04-01,73.022,73.1093,72.1797,72.595,4105928
2014-04-02,72.6727,73.1191,72.3233,72.4883,4271585
2014-04-03,72.8182,73.313,72.0419,72.3233,4133295
2014-04-04,73.1676,73.2549,69.5868,70.0429,8294189
2014-04-07,69.6444,69.936,68.4529,69.3237,9701807
2014-04-08,69.2168,69.9167,69.003,69.5084,6288654
2014-04-09,69.9068,71.5979,69.5958,71.491,6985344
2014-04-10,71.5979,72.2296,68.9544,69.1682,8984297
2014-04-11,68.0797,68.4004,66.7483,66.7483,11611261
2014-04-14,67.827,69.9457,67.6424,69.1779,10893950
2014-04-15,70.2664,70.6941,68.4976,70.1207,7010084
2014-04-16,70.8301,71.87,70.4608,71.8506,7002536
2014-04-17,71.9867,72.7156,71.5396,72.045,5552348
2014-04-21,72.1616,72.5309,71.7534,72.2199,5991676
2014-04-22,72.3754,72.667,71.7728,72.4337,5049896
2014-04-23,72.2393,72.4046,71.0077,71.2966,5057415
2014-04-24,71.6368,72.6184,71.2675,72.2588,5195169
2014-04-25,70.179,70.9468,68.6143,68.6726,9661421
2014-04-28,68.8086,70.1304,68.2419,69.2363,8649368
2014-04-29,69.4792,70.5677,69.3237,70.004,6031110
2014-04-30,70.3053,71.559,69.5278,71.4813,6554327
2014-05-01,73.4445,74.5524,71.9672,72.1324,9752820
2014-05-02,72.113,72.4046,70.4803,71.7048,5977593
2014-05-05,71.1508,72.7544,70.8982,72.7156,4777809
2014-05-06,72.2491,72.3803,71.6757,71.734,4290252
2014-05-07,71.8506,72.2782,70.9953,71.7923,4413087
2014-05-08,71.7923,73.3473,71.4327,72.1519,4628491
2014-05-09,71.9283,72.3462,71.4521,72.2879,2975555
2014-05-12,72.5892,73.1043,72.4046,72.9099,2975256
2014-05-13,73.0752,73.3084,72.356,72.7253,3268662
2014-05-14,72.5601,72.9099,71.8797,72.0158,2595985
2014-05-15,71.9186,72.1519,70.8311,71.0245,4306940
2014-05-16,70.9759,71.7874,70.5191,71.6757,3703945
2014-05-19,71.4035,72.2879,71.3452,71.7826,3429017
2014-05-20,71.7437,72.3948,71.4424,71.5785,3764725
2014-05-21,72.113,73.5125,72.0838,73.5028,4365876
2014-05-22,73.6777,74.0762,72.9877,73.6194,4625410
2014-05-23,73.8624,74.5135,73.6874,74.2997,3376052
2014-05-27,74.7176,75.6992,74.5621,74.8634,5599191
2014-05-28,74.9411,75.0772,74.5621,74.7662,2733287
2014-05-29,74.8828,75.0578,74.358,74.6301,3375589
2014-05-30,74.6399,74.8585,74.2025,74.2997,5003547
2014-06-02,74.6107,75.0383,74.0859,74.8828,3050434
2014-06-03,74.601,74.8342,74.0956,74.2025,2619141
2014-06-04,74.1637,74.3775,73.6886,74.1734,2794917
2014-06-05,74.1734,75.0014,73.9984,74.6787,2684380
2014-06-06,74.8342,75.6864,74.7371,75.291,3119190
2014-06-09,75.1452,75.3105,74.5913,74.6982,3500030
2014-06-10,74.5816,75.3785,74.4163,75.1841,3396205
2014-06-11,74.7954,75.2561,74.5621,74.7079,3427470
2014-06-12,74.8148,74.9703,73.3335,73.5902,3844890
2014-06-13,73.5902,73.9984,73.0168,73.8041,3194937
2014-06-16,73.4736,73.6486,72.7933,72.9974,5674197
2014-06-17,73.0266,73.3084,72.4532,72.8711,4163781
2014-06-18,72.8419,73.0946,72.3074,73.0071,3822026
2014-06-19,72.9682,73.2967,72.0158,72.181,5504688
2014-06-20,72.4337,72.9002,71.4133,71.734,9339318
2014-06-23,71.5202,72.2102,71.141,72.0547,4900715
2014-06-24,72.0061,72.6864,70.5094,70.6552,5949993
2014-06-25,70.5191,71.4813,70.4997,70.9856,3813591
2014-06-26,71.1994,71.2189,70.5191,70.7232,4085460
2014-06-27,70.4803,71.5396,70.4122,71.3355,12447487
2014-06-30,71.18,71.802,71.0051,71.4035,4737099
2014-07-01,72.113,73.7749,72.0547,73.4056,6336226
2014-07-02,72.7544,74.2414,72.7544,74.0567,3973937
2014-07-03,74.4455,74.7371,74.2025,74.4746,3213435
2014-07-07,74.3968,74.5914,73.9101,74.1437,3595751
2014-07-08,74.0756,74.1145,73.1218,73.6668,3903585
2014-07-09,73.842,74.6206,73.5792,74.5817,3341723
2014-07-10,73.6279,73.9247,72.7519,73.4527,3318037
2014-07-11,73.5208,73.8225,73.2484,73.8031,2759088
2014-07-14,74.3968,75.6356,74.0074,75.263,5586121
2014-07-15,75.9053,77.1024,75.7788,76.2265,7517065
2014-07-16,76.5477,76.5866,75.8664,76.2168,3623299
2014-07-17,75.2435,75.7885,74.2118,74.3481,5476388
2014-07-18,74.6985,75.5744,74.4065,75.4284,3492458
2014-07-21,75.0488,75.37,74.5427,75.2824,3101401
2014-07-22,75.4479,76.2946,75.2824,76.1778,3468877
2014-07-23,76.0708,76.2849,75.1267,75.662,3526950
2014-07-24,75.8469,75.9734,74.8639,75.4965,5153756
2014-07-25,73.6084,73.9977,73.2045,73.7252,5870676
2014-07-28,73.6765,74.1729,73.4965,74.1534,3209232
2014-07-29,74.2702,74.5622,73.6279,73.8615,4017269
2014-07-30,74.0366,74.2508,73.4332,73.8809,5521809
2014-07-31,74.2605,74.28,71.8371,72.168,7394975
2014-08-01,73.3748,73.8225,73.0731,73.6571,4923992
2014-08-04,73.3748,73.8225,73.0731,73.6571,4923992
2014-08-05,73.297,73.6376,72.8103,73.1899,4639026
2014-08-06,72.8493,73.5597,72.6935,73.3456,2783566
2014-08-07,73.5208,73.6571,71.8468,72.0804,4714460
2014-08-08,72.022,73.2191,71.7787,73.1607,3614379
2014-08-11,73.5208,74.0366,72.9855,73.6084,3546770
2014-08-12,73.3456,73.7933,72.9271,73.6084,2752462
2014-08-13,73.8225,74.4649,73.5695,74.2605,3389619
2014-08-14,74.5525,74.5622,73.6376,74.0172,2411679
2014-08-15,74.3676,74.5233,72.9758,73.1996,4352006
2014-08-18,73.6668,74.7666,73.6629,74.7179,4030623
2014-08-19,74.6985,74.7471,74.0561,74.3578,3562280
2014-08-20,73.9393,74.4357,73.8712,74.3481,2612906
2014-08-21,74.4649,75.0586,74.2508,74.9321,2694676
2014-08-22,74.6985,74.825,74.1145,74.4357,2500685
2014-08-25,74.0658,74.1534,73.7057,73.9101,2870214
2014-08-26,74.7374,75.7691,74.4941,74.9418,3849043
2014-08-27,74.9613,75.0586,74.4552,74.5914,1980770
2014-08-28,74.0561,74.387,73.6376,74.1242,2991654
2014-08-29,74.2605,74.4357,73.7057,73.7836,3231583
2014-09-02,73.9004,73.9782,73.4235,73.5597,3617965
2014-09-03,74.0658,74.1534,73.7057,73.9101,2870740
2014-09-04,73.9977,74.7666,73.9685,74.3384,2680393
2014-09-05,74.1534,74.8737,73.8323,74.8055,3492143
2014-09-08,74.5427,74.7958,73.8712,74.1924,2845566
