date,open,high,low,close,volume
2014-01-02,47.9161,48.0263,47.2221,47.663,767845
2014-01-03,47.5487,48.1651,47.4752,47.9161,1028822
2014-01-06,48.0875,48.1896,47.6711,47.9569,1063019
2014-01-07,47.9977,48.4345,47.8018,48.161,835415
2014-01-08,48.1365,48.4631,47.5242,48.1855,818739
2014-01-09,48.21,48.4141,47.614,48.0222,763845
2014-01-10,48.3651,48.5529,47.7936,48.0957,1351089
2014-01-13,48.0059,48.1692,47.614,47.7283,938162
2014-01-14,47.8916,48.1365,47.7773,48.0059,629386
2014-01-15,48.0712,48.3488,47.9977,48.1692,936094
2014-01-16,48.1773,48.3406,47.6793,48.0875,838409
2014-01-17,48.1365,48.1365,47.3446,47.3854,694081
2014-01-21,47.6221,47.7446,47.1649,47.5568,875135
2014-01-22,47.9569,48.259,47.6956,48.1038,1070943
2014-01-23,47.8671,48.0793,47.4589,47.6303,1274428
2014-01-24,47.4017,47.6548,46.4547,46.6179,1310508
2014-01-27,46.6098,46.7976,45.8178,45.8505,865705
2014-01-28,45.8995,46.2669,45.826,45.9158,796967
2014-01-29,45.5321,45.924,45.0749,45.377,951938
2014-01-30,45.6954,45.9811,45.4831,45.826,825741
2014-01-31,45.2627,46.5281,45.1403,46.2097,1093701
2014-02-03,46.2914,46.373,45.3198,45.5076,1337488
2014-02-04,45.7852,46.3657,45.5648,46.2261,1278865
2014-02-05,46.1934,46.9853,45.7689,46.9363,1129914
2014-02-06,47.0915,47.7773,46.9853,47.712,733411
2014-02-07,47.9487,48.4304,47.7364,48.3569,839683
2014-02-10,48.259,48.9448,48.1283,48.8386,513369
2014-02-11,48.6508,49.4874,48.6508,49.1407,591979
2014-02-12,49.1652,49.3285,48.8631,49.0999,447142
2014-02-13,48.8468,49.6142,48.7178,49.3856,579627
2014-02-14,49.4346,49.753,49.2632,49.7204,487107
2014-02-18,49.7449,50.0224,49.353,50.0143,599605
2014-02-19,49.8081,50.4844,49.6514,49.973,803085
2014-02-20,50.006,50.3772,49.3957,49.5854,587568
