date,open,high,low,close,volume
2014-01-02,84.4755,84.6675,83.9935,84.1265,2932283
2014-01-03,84.5541,84.6675,84.205,84.2399,2966051
2014-01-06,84.3097,84.3097,83.3499,83.6378,5028393
2014-01-07,84.1003,84.7111,83.8822,84.1003,4887121
2014-01-08,83.3761,83.5157,82.8961,83.2539,7670246
2014-01-09,83.9781,84.0741,83.1143,83.2975,7712713
2014-01-10,83.6204,83.9607,83.4546,83.5942,5520132
2014-01-13,83.6204,83.6204,82.5384,82.7478,5777612
2014-01-14,82.7303,83.2452,82.7216,83.0881,3842225
2014-01-15,83.3237,83.4808,83.027,83.2975,3572048
2014-01-16,83.2452,84.0305,83.0619,83.8211,5069474
2014-01-17,83.7862,83.8822,82.6954,82.835,6056698
2014-01-21,83.2103,83.7338,82.9049,82.9659,6483756
2014-01-22,82.9572,83.1754,82.6256,82.7914,4983494
2014-01-23,82.5035,83.7251,82.4598,83.1754,7150912
2014-01-24,82.6605,83.7338,82.3638,82.3988,6952410
2014-01-27,82.2766,82.6169,81.9494,82.0846,6608685
2014-01-28,82.3115,82.582,82.1108,82.1806,3686206
2014-01-29,81.9886,82.2853,81.0375,81.2818,8017792
2014-01-30,81.4913,82.0235,81.0855,81.849,4988702
2014-01-31,81.1946,82.5035,81.1073,82.1719,6028697
2014-02-03,82.4947,82.6693,81.0724,81.1684,6908865
2014-02-04,81.0288,81.5611,80.7932,81.2295,6531117
2014-02-05,80.9764,81.8839,80.4703,81.6571,4958957
2014-02-06,81.9101,83.0619,81.753,82.8438,5361338
2014-02-07,82.9747,83.7251,82.5645,83.6989,6610561
2014-02-10,83.5506,83.7076,82.4773,82.774,6975657
2014-02-11,82.9485,83.6291,82.7478,83.1928,5365373
2014-02-12,83.2801,83.4808,82.7129,82.8001,4269118
2014-02-13,82.6256,83.4022,82.4598,83.2975,3618018
2014-02-14,83.1579,83.7425,82.9886,83.5767,3537846
2014-02-18,83.7949,84.2661,83.3673,83.7862,5458110
2014-02-19,83.5767,84.3446,83.2975,83.3761,4505475
2014-02-20,83.472,83.8647,83.3193,83.5506,2975158
2014-02-21,83.8036,84.6413,83.8036,84.1614,5289923
2014-02-24,84.1439,84.589,83.9781,84.205,4487632
2014-02-25,84.1701,84.397,83.6727,84.3097,4233964
2014-02-26,84.3185,84.4144,83.5157,83.6727,4265938
2014-02-27,83.8135,83.9631,83.2943,83.6727,4183929
2014-02-28,83.6991,84.0071,83.4782,83.7343,5108016
2014-03-03,82.9335,83.4263,82.7223,83.0039,5149263
2014-03-04,83.8223,83.8399,83.4791,83.5847,4655238
2014-03-05,83.9015,84.1391,83.5495,83.6199,3913441
2014-03-06,83.6551,84.1919,83.3823,84.1127,4363227
2014-03-07,84.2535,84.2975,83.5759,84.0423,3726306
2014-03-10,83.8311,84.2007,83.5759,83.7783,4395086
2014-03-11,84.4295,87.052,84.2271,86.9288,16375774
2014-03-12,86.6032,87.184,86.3744,86.8672,6702123
2014-03-13,87.0344,87.0344,85.3712,85.688,5480267
2014-03-14,85.6528,86.1456,85.3712,85.8728,5510673
2014-03-17,86.3656,86.4184,85.7672,85.8904,5554918
2014-03-18,86.0664,86.2336,85.556,85.6352,3269489
2014-03-19,85.6,85.6176,84.2887,84.5703,5556948
2014-03-20,84.4295,85.3184,84.3151,85.0104,4242571
2014-03-21,85.556,85.7144,84.0159,84.0159,12640611
2014-03-24,84.5615,85.1336,84.4735,84.6407,6401178
2014-03-25,84.8696,84.9136,84.3327,84.4031,4929902
2014-03-26,84.5175,84.9796,84.3415,84.3415,4126987
2014-03-27,84.2799,84.7992,84.0599,84.6231,3755967
2014-03-28,84.7199,85.7496,84.6671,85.5736,4344100
2014-03-31,85.7496,86.6384,85.6264,86.2688,4853293
2014-04-01,86.3304,86.7,85.9168,86.1544,4493973
2014-04-02,86.3744,86.4448,85.6617,85.8816,3701174
2014-04-03,86.2688,86.3392,85.6704,85.9432,2576064
2014-04-04,86.04,86.612,85.7056,86.128,5413601
2014-04-07,85.8728,86.4536,84.984,85.3712,6000476
2014-04-08,85.3448,86.436,84.943,86.3128,5585144
2014-04-09,86.3128,86.7176,86.1544,86.5504,3669495
2014-04-10,86.7264,87.8704,86.3832,87.5008,8874797
2014-04-11,87.2544,87.7648,87.1752,87.3776,6553636
2014-04-14,87.7032,88.1432,87.404,88.0992,6155873
2014-04-15,88.6185,88.8297,88.064,88.7329,5886192
2014-04-16,88.8825,88.9881,88.43,88.7329,3532731
2014-04-17,88.6449,88.8825,88.2224,88.2224,4545196
2014-04-21,87.8264,88.3456,87.3424,87.712,6358323
2014-04-22,88.02,88.24,87.0256,87.404,8934500
2014-04-23,87.4304,87.9936,87.1312,87.2368,4179128
2014-04-24,87.58,88.0904,87.2368,87.8616,4765762
2014-04-25,87.8704,88.6625,87.4612,88.6449,5048938
2014-04-28,88.8649,89.0409,87.6944,88.2752,7444635
2014-04-29,88.1872,89.5689,87.8352,89.3225,6630910
2014-04-30,89.3665,89.5513,88.9177,89.2169,4524399
2014-05-01,88.6009,88.9177,88.2967,88.8473,3531410
2014-05-02,88.9793,90.0045,88.8737,89.2609,4934023
2014-05-05,89.2169,89.2169,88.5217,89.0057,3483458
2014-05-06,88.9353,89.1421,88.7065,88.8385,3075103
2014-05-07,89.1113,89.8593,88.8385,89.7273,4322592
2014-05-08,89.7625,89.9209,89.2609,89.7185,3384503
2014-05-09,89.6305,90.5985,89.6041,90.5809,3649434
2014-05-12,90.5985,90.9329,90.4533,90.5193,3817396
2014-05-13,90.9241,91.1881,90.2025,91.1089,3955362
2014-05-14,91.2497,91.3289,90.2377,90.6689,3826313
2014-05-15,90.4489,90.6425,89.8945,90.2025,3810901
2014-05-16,90.2465,90.9857,90.0705,90.7657,5080977
2014-05-19,90.4753,90.4929,89.5337,89.8417,3865156
2014-05-20,89.8065,90.1497,89.2697,89.3489,3123726
2014-05-21,89.5073,90.2729,89.3691,90.2553,2735638
2014-05-22,90.3345,90.6249,89.9649,90.1585,3376045
2014-05-23,90.2201,90.5105,89.5601,89.7625,4179128
2014-05-27,89.9385,90.5545,89.8241,90.0793,5093357
