date,open,high,low,close,volume
2014-01-02,156.1663,156.2998,154.808,155.4964,846980
2014-01-03,155.5838,157.3799,155.4479,156.0304,2156183
2014-01-06,161.2731,161.6887,155.2536,155.5935,2017912
2014-01-07,156.0595,158.5838,155.409,157.1177,2215352
2014-01-08,161.1663,168.0402,160.778,164.8654,5450756
2014-01-09,170.3314,171.846,169.1275,170.2246,3846505
2014-01-10,170.5159,170.7392,169.2441,170.3314,1180767
2014-01-13,169.9334,170.2635,155.5449,162.2731,6215168
2014-01-14,162.6226,164.0789,159.5741,162.5935,4455154
2014-01-15,162.7294,163.2343,160.9819,162.4479,3290432
2014-01-16,162.5741,164.1566,162.3799,163.6518,1392248
2014-01-17,163.9528,164.1566,162.3799,163.2246,1683925
2014-01-21,163.7974,165.0498,162.7197,163.6421,1488881
2014-01-22,163.6906,165.4285,162.4226,164.7392,1263024
2014-01-23,169.0693,169.2246,165.9236,167.3508,3469241
2014-01-24,171.0402,172.3315,167.5062,168.6615,4560376
2014-01-27,168.3314,170.1373,166.7683,167.9431,2539508
2014-01-28,167.5062,170.5353,167.477,170.1567,1689448
2014-01-29,168.5644,169.9043,167.6567,168.2343,1673042
2014-01-30,170.5159,172.312,169.9625,172.0693,2403215
2014-01-31,170.8751,171.846,168.5936,169.3314,2700047
2014-02-03,169.6033,169.7877,164.9625,166.0207,2129025
2014-02-04,166.0207,166.2634,163.8945,164.5061,1633215
2014-02-05,163.6809,164.2731,162.1566,163.71,1320213
2014-02-06,164.1275,168.0402,163.1275,167.38,2078377
2014-02-07,167.2343,169.9043,166.8557,169.8945,1438949
2014-02-10,169.4382,169.8945,166.8751,167.7392,1775912
2014-02-11,167.4673,170.1567,166.5644,169.9528,1617891
2014-02-12,169.5256,171.2344,168.6809,169.8557,1073176
2014-02-13,169.4188,170.7285,169.0013,170.5547,1094317
2014-02-14,170.545,171.1955,169.9141,170.4868,1014450
2014-02-18,171.5645,173.7878,170.613,172.312,1649710
2014-02-19,172.8169,174.1761,171.2149,172.4868,1671590
2014-02-20,172.2732,173.4091,170.8751,172.4091,1225858
2014-02-21,172.4577,173.1373,171.0402,171.2149,2244171
2014-02-24,171.312,172.9237,171.1567,171.1858,2109273
2014-02-25,171.3217,172.7878,171.1761,171.5839,1234450
2014-02-26,171.5353,172.1179,169.2246,169.6907,1013780
2014-02-27,169.924,170.2448,168.6504,169.5837,1587541
2014-02-28,169.8948,173.4045,169.3309,172.1309,1683641
2014-03-03,170.4684,172.0628,170.0601,171.1587,1097293
2014-03-04,173.0739,176.3309,172.7871,175.7767,1688117
2014-03-05,176.6711,177.4723,174.61,176.9045,1342331
2014-03-06,177.2253,178.9364,176.5642,177.5072,1479470
2014-03-07,177.8961,178.4114,176.3892,177.3323,1191624
2014-03-10,177.2836,177.4975,174.1726,175.485,1492315
2014-03-11,175.9614,178.4017,175.5823,177.3031,1092810
2014-03-12,177.2059,178.6156,175.4753,178.5475,987560
2014-03-13,178.9753,180.7642,178.1878,178.5475,1171014
2014-03-14,177.9739,178.7711,175.4267,175.7864,1359872
2014-03-17,176.185,178.0322,175.7767,176.8656,771097
2014-03-18,176.8364,178.3434,176.1559,178.0809,834031
2014-03-19,177.7843,178.5281,175.9225,176.8559,954315
2014-03-20,176.8461,180.5211,176.7829,180.2003,1327430
2014-03-21,181.7364,182.7961,175.7281,175.8253,1784480
2014-03-24,176.1073,176.467,171.6545,172.6073,1448077
2014-03-25,172.7823,173.9587,169.6615,171.567,1631801
2014-03-26,172.5781,173.2976,169.0101,169.0101,1449158
2014-03-27,168.4754,169.8365,166.8226,168.2906,1394780
2014-03-28,168.6698,170.8378,168.4462,170.5462,1124942
2014-03-31,171.6837,173.0156,171.0809,171.6642,1010305
2014-04-01,172.3351,173.2587,169.4184,171.149,1163719
2014-04-02,171.2851,171.917,169.7684,170.867,1244101
2014-04-03,170.799,171.4095,168.5021,168.9226,1356897
2014-04-04,169.2726,170.624,166.0254,166.1226,1520928
2014-04-07,166.8712,167.542,160.7365,162.9337,2246427
2014-04-08,163.4879,165.267,162.6907,164.0226,1762816
2014-04-09,163.9157,168.2226,163.1379,168.1643,1359923
2014-04-10,168.242,168.3976,162.0879,162.8171,1773313
2014-04-11,161.3782,162.9921,158.374,160.1046,1753862
2014-04-14,161.1935,163.9643,160.6587,162.8171,1417198
2014-04-15,162.8657,163.799,159.774,163.6337,1248116
2014-04-16,165.0143,166.2101,163.6629,165.2768,1368321
2014-04-17,164.7809,167.474,164.3532,166.2295,1603808
2014-04-21,165.7532,167.6295,165.2184,167.1726,741307
2014-04-22,167.4156,168.5531,166.1907,166.249,1054698
2014-04-23,166.4823,166.9198,165.4323,165.8893,1207175
2014-04-24,166.6573,167.5129,165.5976,165.724,853137
2014-04-25,165.7337,166.0643,162.9629,163.1865,1030813
2014-04-28,162.9823,165.6851,161.6796,162.7976,1840612
2014-04-29,162.8754,164.815,162.3115,163.7893,1088383
2014-04-30,163.6921,164.5476,162.9046,164.4893,1294294
2014-05-01,162.331,165.2768,160.0074,163.5268,2813236
2014-05-02,163.8184,164.5622,162.0296,162.3698,1647910
2014-05-05,161.2226,164.3969,160.8046,164.0226,1168156
2014-05-06,163.3032,163.7601,162.1754,162.2046,975568
2014-05-07,161.9226,163.1865,161.0768,161.7962,1216258
2014-05-08,162.156,162.856,160.931,162.0879,1343611
2014-05-09,161.349,166.2782,161.1643,166.249,2004066
2014-05-12,167.2504,169.4573,166.9393,169.3892,1608655
2014-05-13,174.9989,175.9711,172.6364,174.9989,3303143
2014-05-14,173.2976,174.7559,172.4128,173.2489,1579358
2014-05-15,172.4712,173.1226,171.3726,172.6364,1593593
2014-05-16,171.6059,173.3948,170.9448,173.2587,1040367
2014-05-19,172.8601,176.2045,172.792,175.66,1573473
2014-05-20,175.5239,176.2239,173.91,174.8434,912768
2014-05-21,175.2517,178.5757,175.2225,178.1781,1303858
2014-05-22,178.4697,180.2586,177.867,178.4892,1321139
2014-05-23,179.0045,179.2864,177.6725,178.6447,1826548
2014-05-27,178.1684,179.0239,177.5461,178.2753,1247133
2014-05-28,177.4295,179.2553,176.0586,177.6434,1100679
2014-05-29,178.0225,183.5252,177.5461,183.3308,1844131
2014-05-30,183.2044,184.4683,182.1933,184.3711,1272897
2014-06-02,184.5655,184.9739,183.5642,184.5558,1085025
2014-06-03,184.7211,186.6947,183.8986,186.3058,1795490
2014-06-04,185.8197,186.1794,183.3017,184.478,1290541
2014-06-05,185.2276,185.5294,183.5144,183.6506,1230938
2014-06-06,184.4683,184.6144,183.1055,183.7188,1262266
2014-06-09,183.563,184.4197,181.6745,181.733,865723
2014-06-10,181.0223,182.1126,179.6303,180.6622,1085411
2014-06-11,180.0781,182.502,179.1338,182.1905,1131092
2014-06-12,181.3338,181.8692,177.4887,178.4038,1249755
2014-06-13,178.4719,179.1631,177.1773,177.7613,863740
2014-06-16,177.8684,178.5984,176.9144,177.7029,948050
2014-06-17,176.9631,180.1268,176.4667,179.7569,1030619
2014-06-18,179.6498,180.7692,177.6347,180.3312,1001972
2014-06-19,181.0223,181.9179,179.0949,180.3701,899972
2014-06-20,180.5356,181.5285,179.1144,180.5648,1399890
2014-06-23,179.9223,181.7232,179.2117,181.256,924967
2014-06-24,176.8754,181.7524,176.8754,179.533,934420
2014-06-25,179.5914,182.979,178.5206,182.3754,971526
2014-06-26,182.502,183.9329,182.4338,183.0958,1031399
2014-06-27,183.2223,184.2347,182.8816,183.9037,1036393
2014-06-30,183.9816,184.0303,180.8374,181.2657,1342944
2014-07-01,181.548,185.1011,180.9931,184.4294,1447992
2014-07-02,183.9816,185.6462,183.82,184.4099,922870
2014-07-03,184.3807,185.1887,183.456,184.9551,486095
2014-07-07,184.8869,185.6657,183.8259,184.5754,893471
2014-07-08,184.0887,184.9453,180.7303,183.0082,1199626
2014-07-09,183.3391,184.9648,182.3073,184.663,1070722
2014-07-10,183.1931,184.7896,182.2781,183.9719,842331
2014-07-11,183.9719,184.2542,182.5896,183.9524,494852
2014-07-14,184.9551,185.5975,183.9037,185.3542,745848
2014-07-15,184.9161,185.2909,183.0179,183.7577,958815
2014-07-16,184.5657,184.5657,182.2099,183.417,817797
2014-07-17,183.2807,185.4321,183.0276,183.6993,1127621
2014-07-18,183.9037,186.4347,183.2029,186.3666,1372506
2014-07-21,186.1524,186.1524,183.0568,183.4462,1021736
2014-07-22,183.7577,185.9772,183.6896,185.7338,681226
2014-07-23,185.6365,186.3821,184.7409,185.617,652475
2014-07-24,188.3816,189.6276,186.571,188.44,1446584
2014-07-25,188.0701,190.017,186.4055,186.7073,632188
2014-07-28,186.7267,186.8922,184.7312,186.3374,609377
2014-07-29,186.571,187.4958,185.4807,186.0161,741557
2014-07-30,186.4834,187.2816,185.325,186.1719,1094146
2014-07-31,188.0214,190.6919,186.3861,186.7657,2543331
2014-08-01,190.8347,191.2238,186.6099,188.5276,1339943
2014-08-04,190.8347,191.2238,186.6099,188.5276,1339943
2014-08-05,186.9993,188.3621,185.9188,186.717,1080934
2014-08-06,185.9967,187.8559,184.7798,185.3834,1022691
2014-08-07,185.6851,185.8993,180.9055,181.6259,1437189
2014-08-08,181.8984,184.9356,181.3825,184.7896,964139
2014-08-11,185.0719,187.4471,185.0621,186.2108,899952
2014-08-12,184.9745,186.1816,182.8914,183.1737,1264150
2014-08-13,184.4975,185.5197,183.8064,184.7117,824183
2014-08-14,185.3639,187.2036,185.3639,187.0382,809977
