date,open,high,low,close,volume
2014-01-02,32.5448,32.7009,32.2847,32.3404,6213092
2014-01-03,32.3125,32.5262,32.1732,32.2847,5300668
2014-01-06,32.3776,32.4612,31.9409,32.0803,7416765
2014-01-07,32.071,32.4519,32.0524,32.3404,6846389
2014-01-08,32.2382,32.3869,32.136,32.3497,9278139
2014-01-09,32.1267,32.8886,32.0989,32.8514,10606443
2014-01-10,32.9722,33.2973,32.7097,33.2602,12548556
2014-01-13,33.0558,33.2509,32.6145,32.7027,11635168
2014-01-14,31.8108,33.1022,31.8016,32.8886,8904143
2014-01-15,32.8793,33.3902,32.7027,33.1673,12169904
2014-01-16,33.1394,33.4909,32.8049,33.1673,14005640
2014-01-17,32.9629,33.1487,32.5076,32.7492,17311737
2014-01-21,32.424,32.4259,31.5507,32.0059,27930949
2014-01-22,32.1267,32.3962,31.9595,32.0059,10834080
2014-01-23,31.8759,32.2103,31.7087,32.0059,9557106
2014-01-24,32.0245,32.0338,31.2348,31.2627,22654939
2014-01-27,31.2534,31.4578,31.0304,31.2255,8846061
2014-01-28,31.1791,31.5693,31.1605,31.337,7512313
2014-01-29,30.9561,31.1233,30.5659,30.6495,14317553
2014-01-30,30.6495,30.9097,30.5752,30.5938,8166002
2014-01-31,30.0178,30.7053,29.9899,30.4358,11070504
2014-02-03,30.473,30.473,29.7483,29.8041,13055698
2014-02-04,29.9713,29.9992,29.609,29.7391,10135901
2014-02-05,29.5811,29.9945,29.5811,29.8134,8234064
2014-02-06,29.9156,30.473,29.8598,30.3801,7092188
2014-02-07,30.5938,30.7146,30.3708,30.5938,7187398
2014-02-10,30.4637,30.7889,30.4266,30.7703,4559930
2014-02-11,30.6495,31.0351,30.5631,30.919,6559052
2014-02-12,31.0955,31.0955,30.7053,30.8539,7560518
2014-02-13,30.538,31.625,30.4544,31.5972,11350366
2014-02-14,31.4299,31.848,31.3742,31.6994,11111051
2014-02-18,31.8201,31.8712,31.5321,31.7644,9426655
2014-02-19,31.6065,31.913,31.5693,31.8294,8625885
2014-02-20,31.783,32.3079,31.7644,32.0338,7997966
2014-02-21,32.4705,32.4705,31.8666,31.8666,8145893
2014-02-24,31.8294,32.2103,31.8016,31.9595,7195643
2014-02-25,31.9781,32.0524,31.5414,31.5414,12672899
2014-02-26,31.5507,31.7923,31.4114,31.5136,6744023
2014-02-27,31.3649,31.5312,31.2813,31.4485,9536699
2014-02-28,30.9747,31.8155,30.8818,31.6157,11922840
2014-03-03,31.3092,31.4764,31.193,31.4021,7875400
2014-03-04,31.5879,31.9409,31.5136,31.8759,6436744
2014-03-05,31.4764,32.0431,31.4299,31.8945,8783170
2014-03-06,32.0152,32.4612,31.6901,32.4054,12001025
2014-03-07,32.4891,32.6005,32.1453,32.5913,10259657
2014-03-10,32.6656,32.7027,32.3776,32.5913,9061637
2014-03-11,32.5448,32.7771,32.4287,32.4891,7663064
2014-03-12,32.2103,32.4519,32.0152,32.424,12575975
2014-03-13,32.5169,32.6284,31.9335,32.0803,10693457
2014-03-14,31.8387,32.3125,31.7923,31.8201,12682971
2014-03-17,32.0431,32.071,31.6529,31.8201,11466261
2014-03-18,31.7737,32.0803,31.6529,31.9596,6520445
2014-03-19,32.1267,32.1359,31.4114,31.7272,11521702
