date,open,high,low,close,volume
2014-01-02,52.4627,52.6873,52.3022,52.4902,4219216
2014-01-03,53.3705,53.641,52.9166,53.4989,12577592
2014-01-06,54.2417,54.8102,54.0124,54.3059,10544159
2014-01-07,54.8194,55.1404,54.5902,54.8744,6512674
2014-01-08,54.8928,55.874,54.7827,55.7914,6725042
2014-01-09,53.1871,54.7827,53.1138,54.4343,8137050
2014-01-10,54.7185,55.2504,54.3701,54.9753,6551683
2014-01-13,54.8194,55.0028,54.2646,54.3334,4263982
2014-01-14,54.5626,54.6045,53.9941,54.4801,4546517
2014-01-15,54.6543,54.8378,54.2692,54.4068,4785623
2014-01-16,54.4526,54.6177,54.0858,54.205,4321415
2014-01-17,54.205,54.6452,54.0033,54.5718,6486151
2014-01-21,54.7002,54.9203,54.1316,54.4434,4490185
2014-01-22,54.5626,54.5902,53.7923,54.2417,4085210
2014-01-23,54.15,54.3059,53.6823,53.8382,4396017
2014-01-24,53.5539,53.6455,52.4168,52.4168,5696935
2014-01-27,52.5452,52.8478,52.1377,52.2334,4402245
2014-01-28,52.2701,52.7928,52.2701,52.3526,4050115
2014-01-29,52.05,52.3526,51.4741,51.6832,5511648
2014-01-30,51.9491,52.5544,51.8483,52.2793,4710681
2014-01-31,51.7199,52.2151,51.4539,51.8666,4403986
2014-02-03,51.8666,51.885,50.0784,50.1701,7089700
2014-02-04,49.5924,50.1518,48.9046,49.1522,15938413
2014-02-05,49.4457,50.404,49.2714,50.1885,9625107
2014-02-06,50.1976,50.5002,50.05,50.2068,5126380
2014-02-07,50.9221,51.0963,50.5186,50.9771,4365984
2014-02-10,51.078,51.3256,50.9863,51.1788,3688077
2014-02-11,51.0688,51.8391,51.0046,51.7841,3407598
2014-02-12,51.9491,52.1142,51.6007,51.7474,3032337
2014-02-13,51.564,51.9125,51.4173,51.9033,2543879
2014-02-14,51.8666,52.2701,51.4906,52.1601,5170488
2014-02-18,52.0775,52.0775,50.7112,51.5273,7573855
2014-02-19,51.4723,52.3343,51.3531,51.5365,6517476
2014-02-20,51.6832,52.2976,51.509,52.2701,3846188
2014-02-21,52.3343,52.9212,52.2701,52.3801,5084584
2014-02-24,52.5085,53.2238,52.4168,52.8203,4397119
