date,open,high,low,close,volume
2014-01-02,41.583,41.5985,41.0705,41.3034,3879875
2014-01-03,41.8237,41.9635,41.451,41.7849,3682439
2014-01-06,41.5364,41.948,41.35,41.6063,5739324
2014-01-07,41.9635,42.111,41.319,41.4432,4170956
2014-01-08,41.8004,42.3129,41.5597,42.08,5091843
2014-01-09,42.1188,42.4527,42.0178,42.3595,5320262
2014-01-10,42.3595,42.476,41.6296,42.0101,4679825
2014-01-13,41.8548,42.2353,41.0666,41.1326,5989037
2014-01-14,41.5675,41.7383,41.0628,41.6141,4152298
2014-01-15,41.7228,42.243,41.6917,42.1809,5015331
2014-01-16,42.1033,42.1033,41.4277,41.5131,3905614
2014-01-17,41.5286,41.5908,41.0006,41.1248,4832295
2014-01-21,41.4898,41.5131,40.8298,40.8996,6464643
2014-01-22,40.9462,41.1404,40.6356,40.7599,3500939
2014-01-23,40.4726,40.4726,39.7193,39.9368,5816311
2014-01-24,39.5873,39.6261,38.407,38.4458,9370176
2014-01-27,38.4458,38.6322,37.5334,37.9877,11092236
2014-01-28,38.3138,38.7797,38.275,38.539,5045990
2014-01-29,38.0886,38.539,37.8479,37.9333,4644561
2014-01-30,38.2828,38.8069,38.2206,38.6555,3928606
2014-01-31,37.9023,38.5856,37.6926,38.0886,6094717
2014-02-03,38.0964,38.1818,36.4812,36.5433,9615697
2014-02-04,36.9066,37.5783,36.805,37.3205,6260829
2014-02-05,37.2268,37.3713,36.7582,37.2424,5686349
2014-02-06,37.3986,37.961,37.0315,37.9532,6688619
2014-02-07,38.2032,38.3984,37.7736,38.3594,5663614
2014-02-10,38.336,38.375,37.7134,37.9298,4560241
2014-02-11,37.8985,38.9999,37.8907,38.8671,7975326
2014-02-12,39.0077,39.5623,38.664,38.9608,6567912
2014-02-13,38.9608,39.0936,38.1563,39.0624,6625423
2014-02-14,38.8788,39.4842,38.7734,39.3592,4458439
2014-02-18,39.3514,39.9762,39.3045,39.8903,7237689
2014-02-19,39.8513,40.4293,39.531,39.6482,7386350
2014-02-20,39.7107,39.8278,39.117,39.6091,5504076
2014-02-21,39.6091,39.8435,39.449,39.4607,4559596
2014-02-24,39.4607,39.9528,39.4217,39.7341,5562013
2014-02-25,39.6951,39.7107,39.2733,39.4685,4211607
2014-02-26,38.539,39.4685,38.539,39.0311,6605522
2014-02-27,38.9764,39.4685,38.5117,39.4685,7669607
2014-02-28,39.4451,40.1403,39.2889,39.5779,9911708
2014-03-03,38.9764,39.3045,38.789,39.1092,6089566
2014-03-04,39.8357,40.1247,39.6638,39.9841,5973222
2014-03-05,39.945,40.8511,39.8591,40.687,6144961
2014-03-06,40.9214,41.2182,40.8901,40.9057,5482161
2014-03-07,41.3275,41.8743,41.2807,41.515,5714866
2014-03-10,41.8431,41.9758,41.3978,41.679,6684125
