date,open,high,low,close,volume
2014-01-02,63.3509,63.4337,62.6334,62.8633,470695
2014-01-03,63.0105,63.3049,62.8541,63.0565,348071
2014-01-06,63.2589,63.4153,62.5874,62.799,412245
2014-01-07,62.8541,63.5624,62.8541,63.3601,605531
2014-01-08,63.2589,63.3969,62.2424,62.6794,1036763
2014-01-09,62.707,63.4429,62.5414,63.3601,624501
2014-01-10,63.5164,63.9672,63.3141,63.8844,506707
2014-01-13,63.5532,64.2063,63.4797,63.682,611420
2014-01-14,63.682,64.3811,63.5376,64.3443,688915
2014-01-15,64.2339,64.3995,63.8476,64.1604,1094895
2014-01-16,62.5046,64.0693,62.5046,64.004,904621
2014-01-17,63.9672,63.9672,63.1393,63.4245,938935
2014-01-21,63.7464,64.4455,63.5183,64.3351,1190199
2014-01-22,64.5191,64.7767,64.2431,64.4087,574053
2014-01-23,64.0224,64.2408,63.544,63.866,722499
2014-01-24,63.5992,64.4731,63.4061,63.4613,860971
2014-01-27,63.4981,64.1236,63.4153,63.59,986202
2014-01-28,63.5256,64.1787,63.5256,64.0408,1078051
2014-01-29,61.3456,61.7227,59.2943,60.067,3413685
2014-01-30,59.8278,59.837,58.6881,59.5426,2092343
2014-01-31,58.8803,59.2943,58.3652,59.0367,1281436
2014-02-03,58.9171,59.1747,57.8409,57.9789,1369217
2014-02-04,58.0985,58.6044,57.9881,58.4296,1071233
2014-02-05,58.1261,58.5952,58.0252,58.356,1346515
2014-02-06,58.5216,58.6412,57.7949,58.0157,1616955
2014-02-07,58.2364,58.7332,57.7213,57.9881,1221152
2014-02-10,57.9973,58.8344,57.8501,58.7976,980428
2014-02-11,58.7332,59.4875,58.4848,59.4139,912004
2014-02-12,59.3679,59.7621,59.0551,59.1379,658521
2014-02-13,58.9631,59.8002,58.9447,59.7726,730175
2014-02-14,59.5702,60.4552,59.4231,60.2509,1015858
2014-02-18,60.2509,61.0052,60.2141,60.8397,893273
2014-02-19,60.5913,60.8213,60.1406,60.2049,737111
2014-02-20,60.0578,60.8948,60.0578,60.8305,537171
2014-02-21,60.7937,61.0788,60.5913,60.6833,445193
2014-02-24,60.8488,61.318,60.7845,60.9408,533480
2014-02-25,61.0328,61.1616,60.5729,60.8948,644113
2014-02-26,61.0236,61.2582,60.3429,60.3613,593328
2014-02-27,60.3245,60.6649,59.9106,60.6557,663094
2014-02-28,60.6373,61.1938,60.5729,61.0788,614348
2014-03-03,60.5177,61.1524,60.2896,60.8213,761341
2014-03-04,61.18,61.7871,61.18,61.6491,619003
2014-03-05,61.5571,61.6491,61.18,61.4744,668790
2014-03-06,61.5112,61.6767,61.3732,61.4468,467921
2014-03-07,61.6031,61.7135,61.3456,61.6215,411972
2014-03-10,61.5479,61.9527,61.3456,61.5847,566882
2014-03-11,61.7503,61.9711,61.6123,61.8147,458841
2014-03-12,61.5295,62.4862,61.5295,62.477,519229
2014-03-13,62.5506,62.753,61.9895,62.1091,681153
2014-03-14,61.8607,62.5322,61.8607,62.2286,511071
2014-03-17,62.4034,62.6886,62.1459,62.5322,542948
2014-03-18,62.5506,62.9737,62.5322,62.6978,402989
2014-03-19,62.7346,62.9553,61.8607,62.2194,318236
2014-03-20,62.1459,62.385,61.9251,62.1275,644529
2014-03-21,62.385,62.8771,61.9987,62.1275,1352259
2014-03-24,62.431,63.0105,62.0355,62.0999,1061630
2014-03-25,64.6249,66.2208,64.4087,65.4942,1636616
