date,open,high,low,close,volume
2014-01-02,40.6944,40.8411,39.5112,39.8003,6070238
2014-01-03,39.9382,40.1428,39.0442,39.2577,4357374
2014-01-06,39.3911,40.0361,39.1998,39.4578,4191576
2014-01-07,39.4712,39.787,38.4797,39.5868,7566960
2014-01-08,39.6936,39.6936,38.7506,39.4445,8400382
2014-01-09,39.6002,40.8589,39.4578,40.4942,10665486
2014-01-10,40.4764,40.8589,39.6936,40.4631,5297766
2014-01-13,40.4631,40.7255,38.9863,39.2132,6918654
2014-01-14,39.7603,40.2273,39.3199,39.6313,6102010
2014-01-15,39.8492,39.8581,37.7943,38.5415,11716320
2014-01-16,38.3725,38.606,37.6653,38.119,7891538
2014-01-17,38.03,38.5415,37.821,37.9322,7060226
2014-01-21,38.377,38.9285,38.1724,38.3992,5157356
2014-01-22,38.5949,38.6572,37.5763,38.0656,5248192
2014-01-23,38.3681,38.635,37.2605,38.0033,8390744
2014-01-24,37.5141,37.5852,36.4955,36.9091,5502118
2014-01-27,36.9091,37.3584,36.193,37.1404,8472682
2014-01-28,37.0693,37.1493,36.4732,36.9937,5317212
2014-01-29,37.5319,39.231,36.4777,38.4837,15533510
2014-01-30,39.0797,39.5601,38.1546,38.9196,6661758
2014-01-31,38.5816,39.4778,38.3414,38.7195,8399550
2014-02-03,38.7328,38.7417,37.176,37.5141,9182634
2014-02-04,37.6342,37.6609,36.1174,37.0292,10087164
2014-02-05,36.7401,36.8914,35.8861,36.6111,10038106
2014-02-06,36.62,37.1315,36.3176,37.0648,5265126
2014-02-07,37.2516,38.0389,37.1671,37.5719,5137772
2014-02-10,37.5674,37.5852,36.4861,36.7045,6340288
2014-02-11,36.6956,37.7632,36.6289,37.5674,7046856
2014-02-12,37.6208,38.0834,37.3006,37.4518,5172834
2014-02-13,37.3406,38.1857,37.3184,38.0656,6113472
2014-02-14,38.2489,39.6301,37.9405,39.2055,6001196
2014-02-18,39.3306,39.8446,38.9015,39.201,5360026
2014-02-19,39.1071,39.8223,38.8076,38.897,6390514
2014-02-20,39.0579,39.6659,38.6154,39.3127,5420830
2014-02-21,39.2993,39.5541,38.9641,39.0267,4939604
2014-02-24,39.3396,40.0234,39.3396,39.3887,5838960
2014-02-25,39.3932,40.7118,39.2099,40.1799,9419040
2014-02-26,40.1084,40.6403,39.134,39.353,6570432
2014-02-27,39.3351,39.3351,37.261,37.6142,14379770
2014-02-28,37.5427,38.0701,37.337,37.5471,6486014
2014-03-03,37.4398,38.2131,37.042,37.2655,6215102
2014-03-04,37.5918,37.9539,37.0554,37.8555,7198802
2014-03-05,37.641,38.7808,37.5918,38.5216,6024188
2014-03-06,38.6691,40.2291,38.6691,39.9966,9340952
2014-03-07,40.2291,40.4973,39.867,40.2291,8229780
2014-03-10,40.2291,41.0828,40.1665,40.7118,8218930
2014-03-11,40.7833,41.0024,40.1307,40.8057,7221642
2014-03-12,40.7565,42.321,40.7297,42.2405,10853470
2014-03-13,42.1824,42.2539,41.1811,41.3689,8558816
2014-03-14,41.3555,42.321,41.3063,42.0081,6533428
2014-03-17,42.1422,42.4104,41.7086,41.8248,7592474
2014-03-18,41.8338,42.312,41.4627,42.0796,6144092
2014-03-19,41.9678,42.017,40.7967,40.9666,5648454
2014-03-20,40.8995,41.3735,40.5598,41.0828,5188316
2014-03-21,41.4225,41.8293,40.3721,40.5375,9785308
2014-03-24,40.6716,41.0493,39.8134,40.0547,7331076
2014-03-25,40.238,41.0068,40.2246,40.5151,5048490
2014-03-26,40.609,40.9353,39.7865,39.8268,5223482
2014-03-27,39.6748,39.7548,38.7719,39.0177,6879016
2014-03-28,39.2278,39.5049,38.9462,39.1876,4366222
2014-03-31,39.3351,39.5318,38.7987,38.906,5579932
2014-04-01,38.9551,40.0503,38.9194,40.0234,8850008
2014-04-02,39.6256,39.6256,38.7763,38.9596,7907800
2014-04-03,39.1384,39.2323,38.9238,38.9641,5124432
2014-04-04,39.2814,39.5094,38.6601,38.9328,5920570
2014-04-07,38.7942,38.9417,37.6186,38.0299,5041948
2014-04-08,38.079,38.2109,37.0152,37.5024,7488362
2014-04-09,37.5024,38.6076,37.2342,38.0478,6291332
2014-04-10,37.9762,38.7719,37.5212,37.784,6598358
2014-04-11,37.6991,38.0924,36.9482,37.2298,7891340
2014-04-14,37.5203,37.9226,37.2387,37.8019,5615182
2014-04-15,37.9047,38.7316,37.8198,38.7004,7724956
2014-04-16,38.9641,39.7508,38.6333,39.6837,6155386
2014-04-17,39.5765,40.4168,39.5407,40.1888,5594012
2014-04-21,39.7284,40.4704,39.6033,40.2916,3252216
2014-04-22,40.0145,40.7967,39.2457,40.4034,6409868
2014-04-23,40.3989,40.8861,40.3632,40.6045,4273778
2014-04-24,40.6895,40.9219,40.1665,40.5598,4380346
2014-04-25,40.4481,40.9666,40.4302,40.5554,4442750
2014-04-28,40.7163,42.0841,40.2916,41.5343,7105674
2014-04-29,41.8919,42.2807,41.6013,41.7399,4785464
2014-04-30,41.7086,42.1422,41.4806,41.5477,9770864
2014-05-01,39.7821,43.4831,39.66,42.6607,11084432
2014-05-02,42.7456,43.358,42.2048,42.7992,5491502
2014-05-05,42.616,43.2418,42.2092,42.8261,6481726
2014-05-06,42.7277,43.6709,42.6115,43.2194,7757492
2014-05-07,43.1211,43.2731,42.3076,42.5534,5786036
2014-05-08,42.5534,42.9691,41.2661,41.4762,6225014
2014-05-09,41.6505,41.6505,40.542,40.8057,4853588
2014-05-12,41.1096,41.6415,40.9353,41.132,4840892
2014-05-13,41.3421,41.8203,38.459,41.0158,5439674
2014-05-14,40.9755,41.57,40.1978,41.0426,5395466
2014-05-15,40.761,40.7744,39.8402,40.1844,5937402
2014-05-16,40.162,40.2469,39.5854,39.8044,4317684
2014-05-19,39.6517,40.2311,39.5668,39.9167,4890932
2014-05-20,39.7999,40.5634,39.6742,39.8044,4671566
2014-05-21,39.8807,40.1053,38.9421,39.3822,5646436
2014-05-22,39.3194,40.3523,38.9691,39.0319,7462216
2014-05-23,39.014,39.3373,38.7131,39.1352,4625922
2014-05-27,39.1622,39.4002,38.8703,39.0499,5096008
2014-05-28,39.2385,40.0469,39.0589,39.2385,7556068
2014-05-29,39.7236,40.4107,39.0858,40.3343,5173462
2014-05-30,40.1996,40.4197,39.8583,40.1457,4271620
2014-06-02,40.3613,40.4332,39.8135,40.2939,3391890
2014-06-03,40.3119,40.3343,39.5215,39.5619,4737352
2014-06-04,39.5215,39.9571,39.1846,39.4496,5627292
2014-06-05,39.5754,39.8628,39.1667,39.4766,8724586
2014-06-06,39.6966,39.6966,39.005,39.3822,4157354
2014-06-09,39.2834,39.7932,39.0589,39.2969,4777160
2014-06-10,39.2969,39.3194,38.246,38.484,8261234
2014-06-11,38.2191,38.5783,38.1786,38.484,4279016
2014-06-12,38.6726,39.0005,38.1068,38.9152,8324344
2014-06-13,38.987,39.1442,38.6906,38.8119,4127354
2014-06-16,38.7984,38.9376,38.5065,38.5649,3916214
2014-06-17,38.5065,38.9241,38.0978,38.8837,7714696
2014-06-18,38.9107,39.9167,38.5244,39.8089,6749994
2014-06-19,39.9571,40.3074,39.8628,40.249,5882558
2014-06-20,40.4062,40.514,39.9661,40.2445,7134000
2014-06-23,40.3299,40.4915,39.8583,39.9616,3866132
2014-06-24,39.9975,40.1345,38.7625,38.8253,6239724
2014-06-25,36.2654,36.8717,35.0124,36.3642,27575854
2014-06-26,36.2205,36.6651,35.9693,36.3463,9658250
2014-06-27,36.3912,36.49,35.5513,35.6591,14646060
2014-06-30,35.6367,35.713,35.0034,35.0618,7780874
2014-07-01,35.1516,35.4642,34.972,35.3043,5785328
2014-07-02,35.1472,36.0813,35.1157,35.8747,6280162
2014-07-03,35.9331,36.3777,35.7175,36.3328,4323442
2014-07-07,36.1262,36.3777,35.5154,35.6906,5309392
2014-07-08,35.74,35.7804,34.9406,34.954,6529048
2014-07-09,35.0663,35.3088,34.6621,35.0708,5026882
2014-07-10,34.707,34.981,34.4555,34.7654,6558860
2014-07-11,35.3537,35.7355,34.9989,35.4166,5679596
2014-07-14,35.5783,35.6097,34.9271,35.0663,4885916
2014-07-15,34.7879,35.7669,34.6936,35.4885,6498510
2014-07-16,35.5828,35.7804,35.0304,35.2235,5106660
2014-07-17,34.725,34.8822,34.4825,34.5409,5385782
2014-07-18,34.725,34.8822,34.4825,34.5409,5385782
2014-07-21,34.6037,34.6576,34.0648,34.1007,5123176
2014-07-22,34.3028,34.5813,33.9896,34.0379,5202296
2014-07-23,34.2624,34.725,34.0738,34.4061,4275076
2014-07-24,34.5004,35.1337,34.469,34.7744,5539746
2014-07-25,34.8058,35.3313,34.6531,35.2909,6125074
2014-07-28,35.4031,35.6367,34.8665,34.9361,5551698
2014-07-29,35.2594,36.1487,35.1921,35.7624,8105746
2014-07-30,35.74,35.987,35.237,35.4705,6335192
2014-07-31,36.5394,38.1652,36.5035,37.4915,15821474
2014-08-01,37.5858,38.6637,37.1996,37.5319,13103456
2014-08-04,37.5005,38.1202,37.1816,37.9361,6393974
2014-08-05,37.5184,38.5334,37.4017,38.1876,7867054
2014-08-06,38.0259,39.2161,38.0259,38.9601,7819174
2014-08-07,39.1173,39.3239,38.4661,38.8478,4041108
2014-08-08,39.0005,39.3867,38.7086,39.2969,3274344
2014-08-11,39.4945,39.6742,39.023,39.1128,3574348
2014-08-12,39.0724,39.2924,38.6547,38.8792,3156680
2014-08-13,39.0813,39.4092,38.4795,39.2655,4499996
2014-08-14,39.4092,40.1098,39.3261,39.9301,4561688
2014-08-15,40.0784,40.1772,39.508,40.0065,6883340
2014-08-18,40.0246,40.7201,40.0246,40.6885,5004426
2014-08-19,40.684,41.4382,40.6614,41.3705,4194318
2014-08-20,41.2395,41.5195,40.9866,41.235,3995920
2014-08-21,41.2801,41.2801,40.6117,40.6749,4776488
2014-08-22,40.6975,40.9595,40.343,40.842,4416348
2014-08-25,40.9188,41.1537,40.7607,40.9143,3758506
2014-08-26,40.9233,41.0091,40.3091,40.842,3747730
2014-08-27,40.9595,40.982,40.5123,40.7336,4036480
2014-08-28,40.5575,41.0679,40.5575,41.0001,2681854
2014-08-29,40.8646,41.1898,40.7291,41.104,3281176
2014-09-02,40.9866,41.2124,39.9252,40.4265,5939222
2014-09-03,40.6343,40.9414,40.4039,40.8375,5477604
2014-09-04,40.7969,41.3795,40.5665,41.0859,6382236
2014-09-05,41.0182,41.384,40.7156,41.384,4693934
2014-09-08,41.2846,41.9531,41.1175,41.7273,4197326
2014-09-09,41.5647,41.7769,41.0859,41.4247,5839050
2014-09-10,41.4201,41.4653,40.0968,40.842,9845778
2014-09-11,40.6162,41.0498,39.9704,40.151,9604164
2014-09-12,40.1284,40.1962,39.0535,39.2297,8215820
2014-09-15,39.1439,40.0697,38.7148,39.9839,8076414
2014-09-16,39.7852,40.5778,39.7265,39.8258,5515578
2014-09-17,40.0336,40.0652,39.0897,39.8304,7038322
2014-09-18,39.9026,40.151,39.0806,39.4419,5820786
2014-09-19,39.6091,40.133,39.5458,40.0336,7768892
2014-09-22,39.8665,40.0336,38.8413,38.8774,5316722
2014-09-23,38.8864,39.5323,38.2225,38.2541,9688726
2014-09-24,38.1186,38.3219,37.466,38.1593,7517370
2014-09-25,38.087,38.218,37.6941,38.0644,5787680
2014-09-26,38.0283,38.6606,37.9831,38.3941,4092864
2014-09-29,38.1141,38.5861,37.8386,38.1141,5069646
2014-09-30,38.1502,38.5161,37.9018,38.2406,5853696
2014-10-01,38.358,38.4077,37.1657,37.2334,5749684
2014-10-02,37.2289,37.4863,36.2398,36.5605,8026432
2014-10-03,36.6779,36.6824,36.0862,36.5018,10049330
2014-10-06,36.5379,36.8947,35.7475,36.5289,5227682
2014-10-07,36.443,37.3689,36.443,36.5018,7022316
2014-10-08,36.6598,38.1006,36.2895,38.0554,7956966
2014-10-09,37.956,38.3535,36.7682,36.9444,5595528
2014-10-10,37.0844,38.0102,36.2714,36.8495,6964790
2014-10-13,36.8224,37.6489,35.9733,36.0501,6491228
2014-10-14,36.1992,36.5289,34.9617,35.4223,10668798
2014-10-15,34.9707,35.7656,33.9997,34.4468,9307722
2014-10-16,33.8687,36.0727,33.7106,35.4314,10641292
2014-10-17,35.6707,36.3663,35.2417,35.7927,6795468
2014-10-20,35.7701,36.7682,35.7701,36.4205,5336656
2014-10-21,36.4521,38.5025,36.4521,38.367,7371774
2014-10-22,38.4122,38.9226,37.7122,37.7438,4256986
2014-10-23,38.3128,38.769,38.0644,38.1773,4831692
2014-10-24,38.3038,38.8458,37.7031,38.7464,3485374
2014-10-27,38.3941,39.0942,37.7664,39.031,6993794
2014-10-28,39.1303,40.4175,38.6787,40.2504,6601622
2014-10-29,40.5936,40.7562,38.9079,39.4781,7878098
2014-10-30,40.4265,41.5602,39.9433,40.9414,14001400
2014-10-31,40.8195,41.2666,40.0697,41.0543,7236604
2014-11-03,41.2711,41.786,41.1469,41.3795,10483736
2014-11-04,41.3343,41.926,40.7156,40.9324,8183360
2014-11-05,41.095,41.5014,40.4807,40.9685,6508428
2014-11-06,41.1808,42.1021,41.1492,42.0615,7233476
2014-11-07,42.1292,42.4905,41.7092,42.4905,7025368
2014-11-10,42.6802,42.9873,42.2195,42.4996,6703986
2014-11-11,42.4544,43.0641,42.0705,42.7389,5727026
2014-11-12,42.6667,43.1725,42.5177,42.9106,5957442
2014-11-13,42.6125,42.8067,41.7137,42.2512,6880202
2014-11-14,42.4905,42.7796,41.7092,41.7227,7134394
2014-11-17,41.7182,42.5265,41.641,42.0088,9015696
2014-11-18,42.195,42.976,41.9316,42.6309,8154462
2014-11-19,42.6854,43.0351,42.2722,42.5946,8838616
2014-11-20,42.5719,43.4029,42.5174,43.2122,6156204
2014-11-21,43.7889,44.4746,43.58,44.0114,8870990
2014-11-24,43.9024,44.2157,43.5482,43.6481,4756420
2014-11-25,43.857,44.0023,43.194,43.2485,5583094
2014-11-26,43.2848,43.8316,43.1713,43.4438,3290424
2014-11-28,42.3494,42.3494,40.7101,40.9099,7651624
2014-12-01,40.5966,41.4139,40.5284,41.2278,6449474
2014-12-02,41.196,43.1895,41.0961,42.749,9013288
2014-12-03,42.7672,44.1022,42.7672,43.6027,6801004
2014-12-04,44.0477,44.0931,42.9034,43.8979,5121738
2014-12-05,43.7571,44.1158,41.7681,41.8453,9278036
2014-12-08,41.4639,41.9089,40.0834,40.2878,7801676
2014-12-09,39.8155,40.365,39.1026,40.3059,14885212
2014-12-10,39.7292,40.1833,37.9855,38.6258,10562518
2014-12-11,38.712,39.3886,38.0082,38.0899,8591028
2014-12-12,36.546,38.6711,36.546,37.7811,7719414
2014-12-15,37.9083,38.2398,36.8548,36.9501,7760932
2014-12-16,36.6686,38.2171,36.328,37.327,6132262
2014-12-17,37.1318,38.7983,36.882,38.4759,7400868
2014-12-18,39.1298,39.2252,37.0464,38.158,6876438
2014-12-19,38.4441,39.652,38.1989,39.5975,8382790
2014-12-22,39.2615,39.7792,38.8766,39.6384,5983412
2014-12-23,40.0198,40.3423,39.6293,40.1334,3625312
2014-12-24,39.9381,40.4649,39.6021,40.2424,2572020
2014-12-26,40.3468,41.2051,40.2651,40.7419,3188486
2014-12-29,40.919,41.4276,40.8509,41.3504,4696192
2014-12-30,41.0961,41.6228,41.0507,41.1596,4362126
2014-12-31,41.305,41.3731,40.9508,40.9871,3204174
2015-01-02,40.6647,41.7182,40.6647,41.6137,5359318
2015-01-05,41.255,41.4593,39.8904,40.4558,10492758
2015-01-06,40.474,41.0189,39.6066,40.0562,5604532
2015-01-07,40.7055,40.7055,39.7973,40.3877,7011946
2015-01-08,40.8554,41.5456,40.642,41.3367,7000112
2015-01-09,41.2641,41.4003,40.1243,40.1833,5370558
2015-01-12,39.7111,40.0289,38.6031,38.7892,8258216
2015-01-13,38.5713,39.2478,36.4279,36.7185,12575112
2015-01-14,36.3326,36.3462,34.4935,35.2518,14329406
2015-01-15,35.4062,35.5283,34.1665,34.8976,9460456
2015-01-16,35.0656,35.7331,34.9839,35.22,9135786
2015-01-20,35.1746,36.6641,35.1746,36.5187,7446256
2015-01-21,36.5414,37.1227,36.3371,36.7594,7159278
2015-01-22,37.1,38.267,36.7594,38.1308,7920490
2015-01-23,38.2216,40.1878,37.9492,39.5794,9277904
2015-01-26,39.5748,40.2197,39.5748,40.0471,6269230
2015-01-27,39.7292,40.3831,39.6747,40.2696,4695876
2015-01-28,40.4149,41.1279,39.9109,40.5466,8432102
2015-01-29,41.0098,41.4321,40.0471,40.8736,5209136
2015-01-30,40.424,42.4084,40.3286,42.0451,9757894
2015-02-02,42.1632,42.6809,41.3095,42.6582,6282726
2015-02-03,42.7217,43.5119,42.3585,43.5119,8428576
2015-02-04,43.5982,44.1431,42.8444,43.6799,9119638
2015-02-05,44.0205,44.6153,43.689,44.1839,6988310
